%time,field.star_effort,field.port_effort,
1.58764317699331E+018,15.822800872,-6.4390066298,0
1.58764317735455E+018,0,-4.5470698416,0.36123648
1.58764317736046E+018,14.7126181792,-11.3570465368,0.367146752
1.5876431775854E+018,-6.2733201881,-5.0920538628,0.592087808
1.58764317782214E+018,14.2819669673,-10.7594327431,0.828833536
1.58764317784794E+018,-7.3266686541,-3.3995384132,0.85462528
1.58764317813041E+018,14.9078060435,-8.7766798245,1.13709824
1.58764317817851E+018,-7.448827237,-3.9659437093,1.185203712
1.5876431784903E+018,-7.7843202855,-4.52953612,1.496994048
1.58764317849735E+018,15.2552870142,0,1.504040192
1.5876431787451E+018,-7.548349635,0,1.751789568
1.58764317875706E+018,14.8956383862,6.5082975829,1.763744768
1.58764317916615E+018,-6.7144132356,-4.6532355874,2.172838912
1.58764317917997E+018,14.9030738436,8.6188816409,2.186663424
1.58764317948679E+018,14.7727418918,9.332063334,2.493484288
1.58764317953207E+018,-7.5859786112,-7.1933687195,2.538760448
1.58764317987473E+018,15.2906776764,-4.7382055781,2.881421824
1.58764317990371E+018,-9.3209024845,-9.0854406951,2.91039744
1.58764318016118E+018,-10.0131235798,-9.7388496427,3.167873792
1.58764318050667E+018,-9.0075083341,-8.749958532,3.513360896
1.58764318052395E+018,10.4026987366,12.636103314,3.530639872
1.58764318076775E+018,-8.1025317795,-7.959384515,3.77444352
1.5876431810527E+018,11.5564616917,12.3781340381,4.059388672
1.58764318107578E+018,-7.7828970852,-7.756634225,4.082471936
1.58764318134269E+018,12.600539867,12.4255092769,4.349382912
1.58764318163861E+018,13.009607301,12.5433838925,4.645300224
1.58764318169299E+018,-4.4612698778,-5.2920201657,4.699683328
1.58764318196662E+018,13.1983584559,12.309755019,4.973312
1.58764318200886E+018,-5.0834907081,-5.6311072861,5.015549952
1.58764318228094E+018,-4.6015280909,-5.0261807004,5.287632384
1.58764318254101E+018,11.9662262148,10.8165917413,5.547700736
1.58764318285008E+018,13.054440594,13.4327759724,5.85677056
1.58764318288867E+018,4.1698821201,4.3928252125,5.895355392
1.58764318311731E+018,12.9683465508,12.6819041072,6.12399872
1.58764318314252E+018,4.3013771139,4.4891084528,6.1492096
1.58764318345651E+018,12.8931028209,12.066600566,6.46319872
1.58764318349676E+018,3.1090394961,2.1487496994,6.503452928
