%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1588337225018330312,-1.20508093387,90,2,0.0
1588337225218094215,-8.06573480368,90,2,0.199763968
1588337225418779625,-18.4714585543,90,2,0.40044928
1588337225615056491,21.1009144783,90,2,0.596726016
1588337225818426567,-15.4309377074,90,2,0.800096256
1588337226020420217,-6.72608166933,90,2,1.002089728
1588337226220035967,33.529227972,90,2,1.201705472
1588337226423673467,1.96045935154,90,2,1.405342976
1588337226616540452,30.1382005215,90,2,1.598210048
1588337226816981380,3.53460609913,90,2,1.798651136
1588337227019739774,21.8919813633,90,2,2.00140928
1588337227218180704,4.76061180234,90,2,2.19985024
1588337227418591969,2.41178870201,90,2,2.400261632
1588337227619665234,8.38117599487,90,2,2.601334784
1588337227817790690,35.8420193195,90,2,2.799460352
1588337228020551124,1.80168896914,90,2,3.0022208
1588337228217945952,-7.86845907569,90,2,3.199615488
1588337228418426818,6.56577423215,90,2,3.400096512
1588337228618868185,26.0170221329,90,2,3.600537856
1588337228817933753,-12.7550333738,90,2,3.799603456
1588337229019673356,16.6215911508,90,2,4.001342976
1588337229219570540,28.2786518335,90,2,4.201240064
1588337229419563220,15.4880315065,90,2,4.401232896
1588337229618166648,19.7187259793,90,2,4.59983616
1588337229818575683,0.345630198717,90,2,4.800245248
1588337230018180756,18.0779010057,90,2,4.999850496
1588337230219211424,-34.5828324556,90,2,5.200881152
1588337230417929152,-4.68385629356,90,2,5.399598848
1588337230617751436,2.67642214894,90,2,5.599421184
1588337230818463563,-5.40955737233,90,2,5.80013312
1588337231018218448,-27.6978254318,90,2,5.999888128
1588337231218327234,0.282708974555,90,2,6.199996928
1588337231418215493,7.32360184193,90,2,6.399885056
1588337231621548001,-21.1299881339,90,2,6.603217664
1588337231818239081,6.97583705187,90,2,6.799908608
1588337232020950065,-35.0796461105,90,2,7.002619648
1588337232220907294,3.64971756935,90,2,7.202576896
1588337232418543694,-23.403377831,90,2,7.400213248
1588337232619280794,-19.3070650101,90,2,7.600950528
1588337232817607944,-0.942375510931,90,2,7.799277568
1588337233018317497,-14.2088785768,90,2,7.9999872
1588337233217998659,-42.5466120243,90,2,8.199668224
1588337233418574734,-23.19586128,90,2,8.40024448
1588337233618724285,20.5789506435,90,2,8.600393984
1588337233817662519,20.1910406351,90,2,8.799332096
1588337234019239558,-5.20777702332,90,2,9.000909312
1588337234217425602,1.00799947977,90,2,9.199095296
1588337234421355518,13.3662253618,90,2,9.403025152
1588337234618967897,19.2807734013,90,2,9.60063744
1588337234819638673,-11.844997108,90,2,9.801308416
1588337235018451530,7.31159076095,90,2,10.000121088
1588337235221649097,-19.382339716,90,2,10.203318784
1588337235421384937,-34.0857625008,90,2,10.403054592
1588337235616003702,18.3832257986,90,2,10.597673216
1588337235815880051,-9.60663631558,90,2,10.797549568
1588337236016346263,-30.7622432709,90,2,10.998016
1588337236224046254,-4.90654706955,90,2,11.205715968
1588337236422967063,-31.7749142647,90,2,11.404636672
1588337236614874450,-66.2368476391,90,2,11.596544
1588337236819623299,-66.5887176991,90,2,11.801293056
1588337237025015545,-86.2450659275,90,2,12.006685184
1588337237220103541,-77.4061918259,90,2,12.201773056
1588337237418226198,-80.3602933884,90,2,12.399895808
1588337237621812252,-28.9812147617,90,2,12.603481856
1588337237817445658,-55.1430940628,90,2,12.799115264
1588337238022104226,-49.3259936571,90,2,13.003773952
1588337238214596994,-42.0490324497,90,2,13.196266752
1588337238417056725,-8.52577984333,90,2,13.3987264
1588337238618249424,-11.1205130816,90,2,13.599919104
1588337238820855742,-18.152205646,90,2,13.80252544
1588337239015429420,-11.2655766308,90,2,13.997099008
1588337239218462409,23.8021552563,90,2,14.200132096
1588337239419318208,58.3171844482,90,2,14.400987904
1588337239618471968,66.4164125919,90,2,14.600141568
1588337239819295574,71.9535827637,90,2,14.80096512
1588337240019085189,69.8779940605,90,2,15.000754944
1588337240217810950,100.0,90,2,15.199480576
1588337240417220225,82.2205483913,90,2,15.398889984
1588337240618873426,81.4354598522,90,2,15.600542976
1588337240818363258,71.5366005898,90,2,15.800032768
1588337241017931057,79.7275066376,90,2,15.99960064
1588337241222384451,53.058886528,90,2,16.204054016
1588337241419563837,18.1086748838,90,2,16.401233408
1588337241617465610,42.8171724081,90,2,16.599135232
1588337241818655658,-5.49917817116,90,2,16.800325376
1588337242025006816,-2.96216290444,90,2,17.00667648
1588337242221423373,-9.96707603335,90,2,17.203092992
1588337242420304975,-34.6154242754,90,2,17.401974528
1588337242618799360,-32.4150800705,90,2,17.600468992
1588337242820636752,-16.5055125952,90,2,17.802306304
1588337243020762102,-22.5214749575,90,2,18.002431744
1588337243218427551,-23.752579093,90,2,18.20009728
1588337243419734443,0.408366322517,90,2,18.40140416
1588337243618957141,-48.512083292,90,2,18.600626688
1588337243818983931,-47.7510392666,90,2,18.800653568
1588337244017311964,-50.4069328308,90,2,18.998981632
1588337244217722380,-14.0434488654,90,2,19.199392
