%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,secs_since_start
1589543974219404326,152.371272936,1128.18086122,-2.12165502128,-8.31713538032e-05,-2.30498080165e-05,0.170176425701,0.0
1589543974264939018,152.37127269,1128.18086453,-2.12165501444,-9.8542708367e-05,-2.21081208432e-05,0.170225335489,0.04553472
1589543974316571748,152.371272372,1128.18063052,-2.12165504477,-0.000378180678931,-2.06118089391e-05,0.170245278444,0.09716736
1589543974368714036,152.371272093,1128.18049753,-2.12165505065,-0.000324008967782,-2.05212715271e-05,0.170314622807,0.149309696
1589543974418826405,152.371271868,1128.18042286,-2.12165504844,-0.000200212051361,-2.04489599982e-05,0.170412359014,0.199422208
1589543974469408018,152.371271772,1128.1803842,-2.12165503965,-9.95220387333e-05,-1.93318914015e-05,0.17044861496,0.250003712
1589543974516754395,152.371271577,1128.18036118,-2.1216550233,-3.35092823823e-05,-1.94819224456e-05,0.170503467115,0.297350144
1589543974568438813,152.371271512,1128.18035145,-2.12165500729,-2.03469054187e-06,-1.85909231652e-05,0.1705612131,0.349034496
1589543974628475704,152.371271395,1128.18034626,-2.12165498898,3.0437205139e-05,-1.83906919446e-05,0.170678921992,0.40907136
1589543974674537795,152.371271337,1128.18034487,-2.12165497235,3.83279343494e-05,-1.77690031273e-05,0.17077109644,0.45513344
1589543974719085963,152.371271273,1128.18034577,-2.12165495862,4.40089498189e-05,-1.73481190038e-05,0.17086104984,0.499681792
1589543974761254747,152.371271243,1128.18034708,-2.1216549412,3.9620753309e-05,-1.68757567369e-05,0.17095357701,0.541850368
1589543974823520404,152.371271202,1128.18034884,-2.12165492613,3.23565959295e-05,-1.68791936045e-05,0.171120121932,0.604116224
1589543974875059654,152.37127116,1128.18035034,-2.12165491635,2.36744148277e-05,-1.68900960606e-05,0.171255666881,0.655655424
1589543974918489902,152.371271166,1128.1803521,-2.12165491064,1.79542390224e-05,-1.65781198919e-05,0.171380287929,0.699085568
1589543974969989176,152.371271134,1128.1803535,-2.1216549056,1.63711884805e-05,-1.65953516291e-05,0.171506257449,0.750584832
1589543975032870258,152.371271051,1128.18011811,-2.12165494525,-0.000252670408376,-1.57531416963e-05,0.171715425645,0.813465856
1589543975060251976,152.371271001,1128.17998394,-2.12165496439,-0.000195161231952,-1.578452982e-05,0.171878517892,0.840847616
1589543975113125445,152.371270977,1128.17990783,-2.12165497704,-8.04696640845e-05,-1.58286022095e-05,0.172024988571,0.893721088
1589543975163417932,152.371270978,1128.17986525,-2.12165498606,1.56856024826e-05,-1.56325363941e-05,0.172166278918,0.944013568
1589543975223753725,152.371270992,1128.17984192,-2.12165499153,8.85938257725e-05,-1.51516806539e-05,0.172394958553,1.00434944
1589543975271165671,152.371271023,1128.17982918,-2.12165499313,0.000129091687498,-1.44422830063e-05,0.172570168777,1.051761408
1589543975318371883,152.371271076,1128.17982298,-2.12165499101,0.000135529296655,-1.34372981097e-05,0.172727241284,1.098967552
1589543975367796754,152.371271136,1128.17982048,-2.12165498482,0.000110443505925,-1.20068767102e-05,0.172978611922,1.148392448
1589543975416778886,152.371271218,1128.17981967,-2.12165497349,8.12894689705e-05,-1.06706063461e-05,0.173174219378,1.19737472
1589543975466023418,152.371271296,1128.17981984,-2.12165495961,5.11921842838e-05,-9.4709251317e-06,0.173352897465,1.246619136
1589543975518133023,152.371271374,1128.17982071,-2.12165494477,2.17912022174e-05,-8.54043439003e-06,0.173526704235,1.298728704
1589543975563138281,152.371271428,1128.17982175,-2.1216549306,-1.7494714492e-05,-7.919208404e-06,0.173813527531,1.343734016
1589543975618682378,152.371271485,1128.17982224,-2.1216549184,-4.86123650058e-05,-7.40176495834e-06,0.174033564096,1.39927808
1589543975665845452,152.371271535,1128.17982262,-2.12165490779,-7.4581895234e-05,-6.9718223609e-06,0.174229716643,1.446441216
1589543975714892340,152.371271503,1128.17958608,-2.12165493986,-0.000364656910842,-5.69508761971e-06,0.174416551039,1.495488
1589543975763785271,152.371271502,1128.17945148,-2.12165494973,-0.000318031516133,-5.73097122055e-06,0.174714894666,1.544380928
1589543975821547960,152.371271522,1128.17937442,-2.12165495446,-0.00021413988615,-5.85684396899e-06,0.174941054563,1.602143744
1589543975865638896,152.371271556,1128.17933088,-2.12165495679,-0.000127405129188,-5.84862860042e-06,0.175139681607,1.646234624
1589543975919711325,152.371271604,1128.17930683,-2.1216549571,-7.49540976552e-05,-5.61069584947e-06,0.175328430031,1.700306944
1589543975966065422,152.371271668,1128.17929415,-2.12165495517,-5.15180166122e-05,-5.07749344586e-06,0.175631019776,1.74666112
1589543976018681351,152.371271735,1128.17928705,-2.12165495051,-4.27139232887e-05,-4.49469654155e-06,0.175863427562,1.799277056
1589543976059986171,152.37127181,1128.17928362,-2.12165494428,-4.14577362383e-05,-3.87209895315e-06,0.17607012368,1.840581888
1589543976114355763,152.371271884,1128.17928239,-2.12165493713,-5.20648779174e-05,-3.31217672962e-06,0.176268492157,1.894951424
1589543976164240965,152.371271948,1128.17928231,-2.1216549301,-7.53602804417e-05,-2.80911018729e-06,0.176590875995,1.944836608
1589543976218213205,152.371272015,1128.17928213,-2.12165492378,-9.51375238086e-05,-2.37064238965e-06,0.176838072459,1.998808832
1589543976264091666,152.371272079,1128.17928218,-2.12165491832,-0.000111190453371,-1.9775340223e-06,0.177058131044,2.04468736
1589543976319404756,152.37127214,1128.17928243,-2.12165491354,-0.000113329446425,-1.966309231e-06,0.177395802817,2.100000512
1589543976363871445,152.371272188,1128.17928188,-2.12165491123,-0.000112495149967,-1.93998659659e-06,0.177650066564,2.1444672
1589543976415317963,152.371272227,1128.17928125,-2.12165491012,-0.000108192205585,-1.90837223071e-06,0.177872254749,2.195913728
1589543976464300480,152.371272184,1128.17904376,-2.12165495102,-0.00037532410462,-8.94427758305e-07,0.178081149588,2.244896256
1589543976526855266,152.371272178,1128.17890841,-2.12165496841,-0.000285983258124,-1.01990647475e-06,0.178409011943,2.30745088
1589543976563787972,152.371272197,1128.1788306,-2.12165497879,-0.000150199572547,-1.19256371261e-06,0.178655790041,2.344383744
1589543976622837104,152.371272227,1128.17878623,-2.12165498535,-3.66747005364e-05,-1.21111178964e-06,0.178871173861,2.403432704
1589543976665108028,152.371272273,1128.17876157,-2.12165498876,4.36697857519e-05,-1.04725892994e-06,0.179073037019,2.44570368
1589543976713943103,152.37127233,1128.17874826,-2.1216549894,8.20214056822e-05,-3.92707820449e-07,0.179393218536,2.494538752
1589543976764422253,152.371272399,1128.17874077,-2.12165498573,9.34466413875e-05,2.67671054678e-07,0.179636913639,2.545017856
1589543976819143287,152.371272471,1128.17873696,-2.12165497967,9.16095584238e-05,9.25473291807e-07,0.179852587113,2.59973888
1589543976864382457,152.371272553,1128.17873553,-2.1216549724,8.10244525722e-05,1.54779856633e-06,0.180057077875,2.644978176
1589543976915132604,152.371272622,1128.17873531,-2.1216549647,5.5323875418e-05,1.83734823411e-06,0.180382105002,2.695728384
1589543976966608740,152.371272669,1128.17873492,-2.12165495873,3.01948754872e-05,1.95934030741e-06,0.180627708453,2.747204352
1589543977016930346,152.37127272,1128.17873506,-2.12165495477,5.11262081334e-06,1.96522179124e-06,0.18083961461,2.797526016
1589543977064329207,152.371272751,1128.17873528,-2.1216549525,-2.00004027793e-05,1.72043833184e-06,0.181156941035,2.844924928
1589543977114786199,152.371272775,1128.17873488,-2.12165495249,-3.50589666174e-05,1.48964444422e-06,0.181391789212,2.895382016
1589543977163187615,152.371272801,1128.17873456,-2.12165495359,-4.49672114759e-05,1.29220180569e-06,0.181592083579,2.943783424
1589543977214958156,152.371272819,1128.17873431,-2.12165495503,-5.20391915131e-05,1.16097193613e-06,0.181777798175,2.995553792
