%time,field.port,field.star,secs_since_start
1588503358785636150,20.5606162226,-94.8864632707,0.0
1588503358983806006,0.209645906426,-106.487204897,0.198169856
1588503359183672202,1.4120816333,-59.9152390221,0.398036224
1588503359384792077,1.76364513026,-73.9165667451,0.599155968
1588503359583388880,11.0990104437,-75.3566984712,0.797752832
1588503359785862917,16.35741343,-90.2562643719,1.000226816
1588503359984766039,3.24009318564,-96.2379391414,1.199129856
1588503360185346825,15.3101268642,-93.8246010812,1.39971072
1588503360390783990,-1.82761326693,-72.7639996434,1.605147904
1588503360583262708,2.81015945781,-76.3984935649,1.797626624
1588503360784238396,7.31444958217,-84.0132255837,1.99860224
1588503360983150024,10.9417760739,-70.0809510732,2.197513984
1588503361183838453,0.472203367361,-100.142847082,2.398202368
1588503361383370936,25.5044847288,-80.4869013681,2.597734912
1588503361584188809,8.51406985704,-69.0568939808,2.798552832
1588503361789776291,3.57097913866,-62.8709282533,3.004140288
1588503361985581530,20.7556795951,-106.558532562,3.199945472
1588503362184066949,13.2452343196,-82.7173406227,3.398430976
1588503362385391672,8.28771653417,-94.2856183596,3.59975552
1588503362583674574,14.26628186,-77.6978004507,3.798038528
1588503362785994687,2.39694261798,-74.0495095471,4.000358656
1588503362984596498,14.0889359982,-99.1530570489,4.198960384
1588503363187189902,1.21893050032,-71.2190996456,4.40155392
1588503363385363594,1.25688906319,-57.0521090993,4.599727616
1588503363593839998,21.6075749394,-72.6561919375,4.808203776
1588503363785695163,5.58918179075,-68.97995873,5.000059136
1588503363986869064,13.9654222723,-74.8466336043,5.201232896
1588503364183721278,-5.53010535018,-84.0744992108,5.39808512
1588503364383423977,21.1887818904,-68.5104310359,5.597787904
1588503364583853165,16.5609803881,-85.2817829579,5.79821696
1588503364784483863,19.5402166965,-99.2874478511,5.998847744
1588503364982647461,-10.815561862,-65.8994409615,6.197011456
1588503365185418953,2.51154593518,-100.390359477,6.399782912
1588503365384575914,-4.95142952558,-91.07941145,6.598939904
1588503365585219632,9.73874668089,-81.7591743652,6.799583488
1588503365784879611,29.0410695961,-74.4121652712,6.99924352
1588503365986484547,19.9344347248,-90.4553848768,7.200848384
1588503366185399451,2.53476687081,-90.0093257127,7.399763456
1588503366384791041,0.326817107946,-74.4496971607,7.599154944
