%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1589544307322293831,34.9052863698,90,2,0.0
1589544307442020220,-8.80842305366,90,2,0.119726336
1589544307634253688,34.2752526668,90,2,0.311959808
1589544307821180289,34.0042593373,90,2,0.498886656
1589544307932320975,7.34592257457,90,2,0.610027264
1589544308143270579,32.3645429858,90,2,0.820976896
1589544308265337609,9.8868380602,90,2,0.94304384
1589544308435386798,29.5280918415,90,2,1.11309312
1589544308621916285,27.9037655904,90,2,1.2996224
1589544308747432260,13.0477063757,90,2,1.425138432
1589544308934897232,25.2524391897,90,2,1.612603392
1589544309063544046,14.1077613234,90,2,1.741250304
1589544309220388881,25.2895241848,90,2,1.898095104
1589544309357944684,16.5486502657,90,2,2.035650816
1589544309531284570,28.4137887258,90,2,2.20899072
1589544309663168894,20.433582785,90,2,2.340875008
1589544309830266773,32.7153895543,90,2,2.50797312
1589544309947929630,23.6005062973,90,2,2.62563584
1589544310138369497,35.7690688065,90,2,2.816075776
1589544310251943862,25.6199720076,90,2,2.929650176
1589544310433426897,37.0832683617,90,2,3.111133184
1589544310542843108,26.8696313319,90,2,3.220549376
1589544310736254855,37.6178004379,90,2,3.413961216
1589544310866801025,27.6926186327,90,2,3.544507392
1589544311036613216,38.138215626,90,2,3.71431936
1589544311150434541,28.3170727915,90,2,3.8281408
1589544311332004332,37.9957270004,90,2,4.009710592
1589544311453355647,28.1829821998,90,2,4.13106176
1589544311632733450,37.8853326803,90,2,4.31043968
1589544311760081325,28.3030883594,90,2,4.437787648
1589544311932770939,37.1329430856,90,2,4.610477056
1589544312062876164,27.6461291478,90,2,4.7405824
1589544312245462393,35.5134361933,90,2,4.923168512
1589544312362863116,26.5813422957,90,2,5.040569344
1589544312534556263,32.6902926461,90,2,5.2122624
1589544312661073253,25.014683286,90,2,5.338779392
1589544312833377601,29.3853037191,90,2,5.511083776
1589544312962621957,23.0429600651,90,2,5.640328192
1589544313125406689,26.2699979819,90,2,5.80311296
1589544313249393026,20.5540878082,90,2,5.927099392
1589544313431866729,21.341639825,90,2,6.109572864
1589544313550770988,17.3607418298,90,2,6.228477184
1589544313730988301,16.6728829126,90,2,6.408694528
1589544313839660497,13.5486981171,90,2,6.517366784
1589544314034322399,15.2598913993,90,2,6.712028672
1589544314160092550,12.074327634,90,2,6.837798912
1589544314329679401,19.0770255865,90,2,7.0073856
1589544314451773519,10.5747984691,90,2,7.12947968
1589544314635407835,20.9511540792,90,2,7.313114112
1589544314749120877,8.2740937235,90,2,7.426827008
1589544314944062503,22.6654350353,90,2,7.621768704
1589544315130512769,22.6098300266,90,2,7.808219136
1589544315245136003,-7.43923700147,90,2,7.922842368
1589544315432472818,19.7135513933,90,2,8.110179072
1589544315559535887,-13.1850011085,90,2,8.237242112
1589544315731832747,15.1659337447,90,2,8.409539072
1589544315870076543,-17.2651869291,90,2,8.547782656
1589544316034730636,4.29738570464,90,2,8.712436992
1589544316159787606,-21.8669429868,90,2,8.83749376
1589544316336047614,-13.9757945719,90,2,9.013753856
1589544316459448182,-24.8303051271,90,2,9.137154304
1589544316635255133,-19.3660499038,90,2,9.31296128
1589544316767486477,-27.7824854951,90,2,9.445192704
1589544316944001189,-20.3774175226,90,2,9.62170752
1589544317136339603,-17.1151617642,90,2,9.814045952
1589544317261714264,-29.1587180991,90,2,9.939420416
1589544317445371121,-12.0156506054,90,2,10.123077376
1589544317629029534,-4.24353079552,90,2,10.306735872
1589544317762263285,-29.7261785192,90,2,10.439969536
1589544317917620281,9.87930413044,90,2,10.595326464
1589544318029614700,-30.5584482783,90,2,10.707320832
