%time,field.star_effort,field.port_effort,secs_since_start
1588773918599282406,11.487191839,12.4674149484,0.0
1588773918804834594,12.6830070893,13.4149384401,0.205552128
1588773918979439947,13.5280702455,13.7995913747,0.38015744
1588773919125722677,13.7884756813,13.8713306892,0.526440192
1588773919305836141,14.3290311581,14.1712664344,0.7065536
1588773919505837899,14.5645437816,14.1580577562,0.906555392
1588773919706856076,14.4456140915,13.8978911489,1.10757376
1588773919905350084,13.4801491056,13.1304754678,1.306067712
1588773920090231207,12.2827007706,12.3633177385,1.490948864
1588773920316748857,11.137700679,11.8916396727,1.717466368
1588773920502646101,9.7808112669,11.40906661,1.903363584
1588773920706769578,8.57738712888,11.0040327482,2.107487232
1588773920906531156,7.88693946266,10.6229313235,2.30724864
1588773921113390081,7.56652107448,10.0875556026,2.514107648
1588773921306089792,6.92333592019,8.87656528878,2.706807296
1588773921508362772,6.51714033518,7.49522190094,2.90908032
1588773921713200004,5.79235169513,6.08766025263,3.113917696
1588773921913778980,3.91154261032,4.14773505751,3.314496512
1588773922105021105,3.0022978995,3.65952951839,3.505738752
1588773922305888336,3.34041717175,3.18365761858,3.706605824
1588773922505069065,4.44863355205,3.30680804851,3.905786624
1588773922706490237,8.57839615864,4.30037164695,4.10720768
1588773922904376664,9.59694227255,9.81770856716,4.305094144
1588773923103190682,10.1933894258,10.3298264819,4.503908352
1588773923302340356,10.3489622334,10.5141236072,4.70305792
1588773923504151862,9.86128234766,9.94650427305,4.904869376
1588773923701958921,8.80304589441,8.79875810323,5.10267648
1588773923904031692,7.28524365075,7.33146186959,5.304749312
1588773924106660932,5.14312656234,5.51929795118,5.507378432
1588773924304994841,2.8077317253,4.20941513163,5.705712384
1588773924504968735,2.31315547536,3.87110971216,5.905686272
1588773924705193541,2.21249136556,4.08347760394,6.10591104
1588773924904840509,2.42349592058,5.14044495771,6.305558016
1588773925106095038,7.4648691672,5.91481205239,6.506812672
1588773925309871619,7.5426990149,7.10571247705,6.710589184
1588773925506449475,7.26575179434,7.0908322415,6.907166976
1588773925707287673,6.65281018818,6.63684726792,7.10800512
1588773925908661231,5.639931253,5.572628372,7.309378816
1588773926104720769,3.47165314662,4.77861864317,7.505438464
1588773926301943014,1.54844816267,4.21065737415,7.702660608
1588773926502288550,1.28933463051,4.09238219487,7.903006208
1588773926703624159,1.36399162355,3.99785486737,8.10434176
1588773926901829032,1.87741402665,4.14923519315,8.302546688
1588773927104282936,7.81470336584,5.44932176071,8.505000448
1588773927302303815,7.79571734944,6.37315074763,8.703021312
1588773927507091235,7.47427490267,6.37609087267,8.907808768
1588773927625227569,7.70911017312,6.07594199906,9.025945088
1588773927808927733,7.46854642576,5.39514765052,9.209645312
1588773928005120117,6.15035628354,3.45023075488,9.405837568
1588773928205604246,5.07160742785,1.36987389065,9.60632192
1588773928404488185,4.99550032101,1.0959427097,9.80520576
1588773928518924688,6.17866019845,1.15239047096,9.919642368
1588773928705920352,6.71038136872,1.31464646912,10.106637824
1588773928907393044,7.46673249701,1.81617204349,10.308110592
1588773929112095412,21.5165741456,21.5165741456,10.512813056
1588773929306157363,28.8721543123,25.5071971604,10.70687488
1588773929504623136,67.3595204729,44.5143555752,10.905340672
1588773929706621863,73.0082850135,73.222612308,11.10733952
1588773929825466381,72.9361093095,73.2946988755,11.226183936
1588773930006592220,72.7505300809,73.510812647,11.407309824
1588773930205221114,72.5402970966,73.8337894513,11.605938688
1588773930403136827,72.3760086516,74.1736004874,11.803854336
1588773930601146502,72.2492081185,74.4884951426,12.001864192
1588773930790541314,72.1255723271,74.782495911,12.19125888
1588773931001209074,67.9965842718,71.2237992362,12.401926656
1588773931204119528,36.0581935945,37.0017009599,12.60483712
1588773931405163285,29.8791940688,30.4037734387,12.805880832
1588773931606488315,29.1867541069,29.5333778023,13.007205888
1588773931804834179,33.0129668669,33.1702399066,13.205551872
1588773932005473120,48.4211770084,47.6700618541,13.406190592
1588773932204600569,75.6128311853,71.0157059688,13.605318144
1588773932408286054,75.4585273916,70.975781087,13.80900352
1588773932604247098,75.1934395143,71.0774793461,14.004964608
1588773932806453653,74.9879475974,71.2152492808,14.207171328
1588773932921633022,74.8097388888,71.3813221675,14.322350592
1588773933105149074,74.5855890003,71.6228658444,14.505866752
1588773933304807531,74.3208886346,71.9289463956,14.705524992
1588773933505519663,74.0048535672,72.2952479886,14.906237184
1588773933710081850,73.7184683828,72.6308808169,15.11079936
1588773933904464275,73.4179110363,72.9824149251,15.305181952
1588773934091675742,73.0875624526,73.367195104,15.492393216
1588773934295778077,72.3194685797,73.2817312656,15.696495616
1588773934493528121,64.1998030873,66.0076689752,15.894245632
1588773934698258034,55.5372533173,58.3991631572,16.098975488
1588773934815668091,50.9181705843,54.4447836099,16.216385536
1588773935010086078,40.9367374641,46.0781022104,16.410803712
1588773935207346365,29.275456936,36.8817406544,16.608064
1588773935406731070,21.5165741456,48.2131717598,16.807448576
1588773935609332172,21.5165741456,53.1443603904,17.010049792
1588773935804135677,22.1255434499,60.325880839,17.204853248
1588773936007243717,26.9899734278,63.3157065477,17.407961344
1588773936206369120,54.8207798661,63.8486836952,17.607086592
1588773936406574601,81.9086174271,61.4057988982,17.80729216
1588773936602162255,92.412547719,54.4537873384,18.002879744
1588773936803010240,87.5649370712,38.0898815096,18.203727872
1588773937005001547,78.4400425088,22.4049752688,18.40571904
1588773937185907544,67.0577751022,21.5165741456,18.586625024
1588773937392011921,64.1439569201,21.5165741456,18.7927296
1588773937590551665,65.3889188206,24.8068970547,18.99126912
1588773937799615228,66.3666395986,39.6778986876,19.2003328
1588773938001433030,67.2043278419,65.9487897554,19.402150656
1588773938110596982,67.5822275643,66.557108885,19.511314432
1588773938302356202,68.2339334525,67.6265933014,19.703073792
1588773938503963755,68.7940566147,68.5101304817,19.904681216
1588773938706092262,69.2954326097,69.2374144776,20.106809856
1588773938907654831,69.6488122327,69.9349878764,20.30837248
1588773939105478732,69.921214995,70.5690417928,20.506196224
1588773939305193755,70.129580173,71.1123620541,20.705911296
1588773939508529395,70.2913161503,71.5741170949,20.909246976
1588773939709442457,70.4094427686,71.9716268955,21.110160128
1588773939898465805,70.4773216949,72.3264918553,21.29918336
1588773940109065220,70.5517418815,72.6022896127,21.509782784
1588773940304698973,70.6184224436,72.8208863385,21.705416448
1588773940494486065,70.6673018126,72.9902629123,21.895203584
1588773940696696635,70.7152357263,73.1095247546,22.097414144
1588773940892421781,70.7607539695,73.1822184052,22.293139456
1588773941099078213,70.7960159933,73.2044586549,22.499795712
1588773941299612657,70.8364153192,73.1921667928,22.70033024
1588773941503183142,70.8746919091,73.1422959754,22.903900672
1588773941704779250,70.9083090607,73.0593580919,23.105496832
1588773941905908331,70.9347992816,72.9449599543,23.306625792
1588773942104192205,70.94496301,72.793334295,23.504909824
1588773942308135806,70.9413401676,72.6120087932,23.708853248
1588773942505738790,70.9116419264,72.4145223588,23.90645632
1588773942712393937,70.8747624045,72.1703532382,24.113111552
1588773942907944855,70.9232443534,71.9979556513,24.308662528
1588773943106294476,70.8769695923,71.7101846956,24.507012096
1588773943223031632,70.7785074532,71.4580610719,24.62374912
1588773943400084083,70.6333763579,71.0543340446,24.800801536
1588773943520979787,70.5972608527,70.9180757186,24.92169728
1588773943705732284,70.380683597,70.4459372421,25.10644992
1588773943906358464,69.9330344962,69.7091574088,25.307076096
1588773944104775794,69.5331873856,69.0765248782,25.505493248
1588773944306808067,69.077276811,68.4069304933,25.707525632
1588773944503099233,68.5088075049,67.6376097803,25.903816704
1588773944695080896,67.6236427217,66.5443714711,26.095798528
1588773944903889619,66.7841779767,65.5322975322,26.304607232
1588773945104933120,65.7977866493,64.4119828668,26.505650688
1588773945303872667,64.4544550866,62.9841595002,26.704590336
1588773945505309978,63.0879389489,61.5758934879,26.90602752
1588773945708574502,61.4418246811,59.9187827918,27.109292032
1588773945905629093,59.5799085627,58.0897589204,27.306346752
1588773946104846034,57.230803903,55.8028722713,27.505563648
1588773946304772880,54.8032082944,53.4713298041,27.705490432
1588773946506711224,52.1057254632,50.8999211627,27.907428864
1588773946707512768,48.8859270005,47.8390363416,28.1082304
1588773946907226511,47.3388117541,46.5076958764,28.307944192
1588773947108992626,41.0372204033,40.4022551592,28.50971008
1588773947305391745,35.8612629971,35.5057399786,28.70610944
1588773947504634486,35.4711781292,35.4138243815,28.905351936
1588773947622867965,31.5556266955,31.7313111031,29.023585536
1588773947805046346,24.0013424078,24.7414984567,29.20576384
1588773948011885027,10.8002809536,13.2281730754,29.412602624
1588773948206388551,5.83829103946,6.35962119135,29.607106048
1588773948408691717,21.5165741456,21.5165741456,29.80940928
1588773948607806585,21.5165741456,21.5165741456,30.008524032
1588773948803950978,22.2749052267,21.8316883862,30.204668672
1588773949011192687,27.8516892746,26.5069888588,30.411910144
1588773949201994323,45.3565328597,44.2274976932,30.602711808
1588773949397855275,48.087956503,47.3407852211,30.7985728
1588773949597989805,49.93608916,49.8074942495,30.998707456
1588773949796286349,51.3944403799,51.8619587287,31.197004032
1588773949993397242,52.6168828883,53.5357982809,31.394114816
1588773950101200734,54.0246256132,55.1432971366,31.501918208
1588773950303539894,55.3421936391,56.6774743273,31.704257536
1588773950502508080,56.0441744748,57.4756519466,31.9032256
1588773950705682630,56.6260095985,58.1097170421,32.106400256
