%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1591011479036440614,0.805191136897,90,2,0.0
1591011479241574133,24.2432385683,90,2,0.205133568
1591011479437193858,55.7173550129,90,2,0.400753408
1591011479636113928,80.2837669849,90,2,0.599673344
1591011479843055943,96.5160727501,90,2,0.806615296
1591011480036697606,100.0,90,2,1.000257024
1591011480237353294,100.0,90,2,1.20091264
1591011480439557960,100.0,90,2,1.403117312
1591011480636048842,100.0,90,2,1.59960832
1591011480837966382,100.0,90,2,1.80152576
1591011481037897109,98.1666147709,90,2,2.00145664
1591011481237320646,89.0674889088,90,2,2.200880128
1591011481441192359,76.7769932747,90,2,2.404751872
1591011481638544516,63.5006904602,90,2,2.602104064
1591011481835512895,57.3787987232,90,2,2.799072256
1591011482036419713,54.8270404339,90,2,2.999979264
1591011482236516386,52.2438585758,90,2,3.200075776
1591011482436358124,45.9529966116,90,2,3.399917568
1591011482642622876,32.7188789845,90,2,3.6061824
1591011482836688709,16.2290871143,90,2,3.800248064
1591011483035700386,-1.90516915172,90,2,3.999259904
1591011483236512602,-11.139909178,90,2,4.200071936
1591011483436862306,-14.1495555639,90,2,4.400421632
1591011483637150496,-15.4480904341,90,2,4.600709888
1591011483842377058,-17.1787977219,90,2,4.805936384
1591011484036931012,-19.5279717445,90,2,5.000490496
1591011484237103233,-22.8289991617,90,2,5.200662784
1591011484437016720,-25.8860737085,90,2,5.400576256
1591011484643515839,-29.1366040707,90,2,5.607075328
1591011484837305984,-31.4800918102,90,2,5.80086528
1591011485037079252,-23.5581755638,90,2,6.00063872
1591011485237241117,-11.7170065641,90,2,6.200800512
1591011485441489271,2.38892547786,90,2,6.405048576
1591011485638445227,20.5002844334,90,2,6.602004736
1591011485839293392,42.3591077328,90,2,6.802852864
1591011486036722539,59.1965317726,90,2,7.000281856
1591011486237062873,67.4970567226,90,2,7.200622336
1591011486437035824,73.5688269138,90,2,7.4005952
1591011486636871689,76.9332945347,90,2,7.600431104
1591011486836878970,77.0406842232,90,2,7.800438272
1591011487037549268,76.2039065361,90,2,8.001108736
1591011487240739237,75.9861707687,90,2,8.204298752
1591011487438598428,76.7319500446,90,2,8.402157824
1591011487639829913,72.8547215462,90,2,8.60338944
1591011487838969990,70.9146618843,90,2,8.802529536
1591011488037903959,71.3062644005,90,2,9.001463296
1591011488238380476,72.8582620621,90,2,9.201939968
1591011488437599695,70.3583061695,90,2,9.401159168
1591011488637809254,70.9999084473,90,2,9.601368576
1591011488841086542,68.4222519398,90,2,9.804645888
1591011489036799448,60.5022609234,90,2,10.000358912
1591011489236469979,51.5908777714,90,2,10.20002944
1591011489439703043,39.9095386267,90,2,10.403262464
1591011489638898814,28.8076937199,90,2,10.602458112
1591011489837045366,18.6423569918,90,2,10.800604672
1591011490045137133,9.5747679472,90,2,11.008696576
1591011490237254522,2.20546126366,90,2,11.200813824
1591011490436595684,-2.52808481455,90,2,11.400155136
1591011490648375360,-3.84693853557,90,2,11.61193472
1591011490838381703,-2.05791555345,90,2,11.801941248
1591011491037425774,5.40331825614,90,2,12.000985088
1591011491237323689,17.9921716452,90,2,12.2008832
1591011491437423002,33.9623212814,90,2,12.400982528
1591011491637431914,51.2338638306,90,2,12.600991232
1591011491836812225,58.0342292786,90,2,12.800371712
1591011492041186234,65.9608006477,90,2,13.004745728
1591011492237142418,72.5840747356,90,2,13.200701952
1591011492437627870,70.5905795097,90,2,13.401187328
1591011492637341850,66.015124321,90,2,13.600901376
1591011492838347404,59.6826970577,90,2,13.801906944
1591011493037615676,51.8599569798,90,2,14.00117504
1591011493242978857,44.0668880939,90,2,14.20653824
1591011493437185803,39.7556424141,90,2,14.400745216
1591011493636581767,37.6374363899,90,2,14.600141312
1591011493836525253,30.704626441,90,2,14.800084736
1591011494042651815,19.5515960455,90,2,15.006211328
1591011494237053390,11.0828898847,90,2,15.200612864
1591011494438165580,7.94957578182,90,2,15.401724928
1591011494636521927,5.86495772004,90,2,15.600081408
1591011494843567714,8.76862108707,90,2,15.80712704
1591011495043915170,15.9142941236,90,2,16.007474688
1591011495241836016,27.1628081799,90,2,16.205395456
1591011495437957778,41.9198513031,90,2,16.401517312
1591011495636899576,57.0131123066,90,2,16.600459008
1591011495840218532,72.7782666683,90,2,16.803778048
1591011496036663527,85.0769102573,90,2,17.000222976
1591011496239387582,88.5415732861,90,2,17.202947072
1591011496436416266,86.2992346287,90,2,17.39997568
1591011496636540508,85.9117686749,90,2,17.60009984
1591011496841921866,77.8841674328,90,2,17.805481216
1591011497038291374,64.8025453091,90,2,18.00185088
1591011497244385345,52.4912714958,90,2,18.207944704
1591011497436549400,31.6686481237,90,2,18.4001088
