%time,field.port,field.star,secs_since_start
1591012528238737327,-135.47799064,-38.7867284284,0.0
1591012528437549062,-135.680123258,-39.3577459034,0.198811648
1591012528636151038,-136.011018603,-39.4102188317,0.397413632
1591012528835576099,-136.596324834,-39.0410607675,0.596838656
1591012529037932354,-137.470261198,-38.5659152428,0.79919488
1591012529235721257,-138.371777867,-37.8550564747,0.996983808
1591012529438609450,-139.598575464,-37.1115152515,1.199872
1591012529636351617,-141.078841382,-36.2883237772,1.397614336
1591012529837434566,-142.816837658,-35.0422616311,1.598697216
1591012530037352316,-144.540804725,-34.1104496585,1.798614784
1591012530236963004,-146.371035876,-33.2587455595,1.998225664
1591012530436636264,-147.549311809,-32.160847292,2.197898752
1591012530640341865,-148.69895559,-30.8983346352,2.401604352
1591012530836466599,-149.663050452,-29.7963382542,2.59772928
1591012531041637656,-150.591792254,-29.0992628078,2.802900224
1591012531239394876,-151.183887693,-28.8682897158,3.000657408
1591012531438220662,-151.248337358,-29.0115836695,3.199483136
1591012531636072151,-150.515908853,-29.375950356,3.397334784
1591012531838711015,-149.294821293,-29.7892348574,3.599973632
1591012532036763609,-147.850987605,-30.0883185959,3.79802624
1591012532238387123,-145.29739844,-31.0440601363,3.999649792
1591012532437819989,-142.504110617,-31.7149179014,4.199082496
1591012532637543271,-139.14240079,-31.5890443452,4.39880576
1591012532835602769,-136.078692117,-30.6570001462,4.59686528
1591012533037956692,-134.335259011,-30.0956747096,4.7992192
1591012533239363167,-133.278847312,-29.8052584812,5.000625664
1591012533435741449,-132.778030522,-29.6745013397,5.197004032
1591012533640380723,-132.737650443,-29.6979391339,5.401643264
1591012533835743943,-132.797537542,-29.4823476278,5.597006592
1591012534038035814,-133.378130942,-29.3076621247,5.799298304
1591012534237904815,-134.127908128,-29.1889227011,5.999167488
1591012534436386113,-134.938965771,-29.2250202508,6.19764864
1591012534638759489,-135.695299939,-29.5295066689,6.400022016
1591012534843067360,-136.566463247,-30.2153601145,6.604329984
1591012535042156694,-137.249086013,-30.8242783091,6.803419392
1591012535237440425,-137.189226235,-31.4468671275,6.998703104
1591012535439003415,-136.912972404,-32.1879665581,7.200265984
1591012535636300114,-136.464830032,-33.0761302068,7.397562624
1591012535837847083,-136.089210609,-33.9522795528,7.599109632
1591012536037456008,-135.814964853,-34.7366277412,7.79871872
1591012536236622153,-135.755091415,-35.3530659742,7.997884672
1591012536436952923,-136.023709094,-35.7037313013,8.198215424
1591012536639843832,-136.496139619,-35.7993402893,8.401106432
1591012536838536843,-137.729016085,-35.9025307872,8.599799552
1591012537037066521,-139.439595981,-35.9992360206,8.798329088
1591012537236520022,-141.99043941,-35.4483129622,8.997782528
1591012537436867097,-144.688336811,-34.3556534497,9.198129664
1591012537641172824,-146.225265978,-33.4471734033,9.402435328
1591012537836421440,-147.925423006,-32.2048712763,9.597683968
1591012538041365899,-149.804981783,-30.5075965883,9.802628608
1591012538242807326,-151.542937077,-28.7306340832,10.004069888
1591012538436523609,-153.190228441,-27.1195222316,10.197786112
1591012538635899892,-154.31524256,-25.9507453835,10.397162496
1591012538838389693,-154.524464914,-25.5992211601,10.599652352
1591012539036042368,-154.549039935,-25.4176183829,10.797304832
1591012539237308865,-153.972408044,-25.6010994621,10.99857152
1591012539438527334,-152.394456761,-26.3351364772,11.199789824
1591012539638347744,-149.459483494,-27.6634443462,11.399610368
1591012539838114353,-144.875948447,-28.3974403801,11.599376896
1591012540037031009,-139.298347669,-28.3267223089,11.798293504
1591012540236779785,-135.285406626,-27.0991665604,11.998042368
1591012540438786816,-132.658570513,-27.6399792313,12.200049408
1591012540636826847,-130.349556762,-28.3869901906,12.398089472
1591012540836901399,-128.350182807,-28.6779562493,12.598163968
1591012541036621855,-127.200593668,-29.0852267691,12.797884416
1591012541236903202,-126.578732265,-29.7002853039,12.99816576
1591012541438782622,-126.106438344,-30.4722640197,13.200045312
1591012541641308381,-125.7488233,-31.2881745123,13.402571008
1591012541839404716,-125.590922986,-32.0788816068,13.600667392
1591012542040094283,-125.155484766,-32.9482212542,13.8013568
1591012542238644756,-125.277417303,-33.3509872643,13.999907328
1591012542438876730,-125.823122097,-33.4416648557,14.200139264
1591012542639769095,-126.724980275,-33.3141008277,14.40103168
1591012542835540622,-128.077863165,-32.6960575002,14.596803328
1591012543038589864,-129.428587715,-32.0785913238,14.799852544
1591012543236279470,-130.714985543,-31.5527453049,14.997542144
1591012543437233735,-132.172903082,-31.0727947421,15.198496256
1591012543637620554,-133.636995112,-30.6557365612,15.398883072
1591012543837376042,-135.250012586,-30.4213415443,15.598638592
1591012544040349863,-136.100712647,-30.8563050662,15.801612544
1591012544238377314,-137.817084544,-31.4810658846,15.999639808
1591012544437690574,-140.140646598,-32.6856790278,16.198953216
1591012544637240756,-142.650303986,-34.3265124476,16.398503424
1591012544836952577,-144.791663913,-35.4185640732,16.598215168
1591012545037916527,-146.910101726,-35.877030276,16.799179008
1591012545236515272,-146.604587364,-36.2239492443,16.99777792
1591012545438653605,-147.367205306,-35.7057974335,17.199916288
1591012545640142849,-147.57100449,-35.1972078875,17.40140544
1591012545836692379,-148.039159316,-34.2974807285,17.597955072
1591012546039949597,-148.061753582,-33.6113813962,17.80121216
1591012546236496148,-148.208411404,-32.9808080867,17.99775872
1591012546438203995,-148.59532796,-32.3171664164,18.199466496
1591012546637391987,-148.562761618,-31.7887659067,18.398654464
1591012546837869109,-148.791586616,-31.3353267232,18.599131648
1591012547038510736,-149.083317655,-30.8382528762,18.79977344
1591012547237305498,-147.176492764,-31.5734646837,18.998568192
1591012547438396002,-144.664185262,-32.0159960552,19.199658496
1591012547638531318,-137.005740033,-31.6124718941,19.39979392
1591012547836693577,-132.937884269,-30.4104952039,19.597956096
1591012548036361347,-130.043168136,-29.1630704351,19.797624064
1591012548236742784,-126.633865552,-28.465643234,19.998005248
1591012548435674507,-125.099846045,-28.593512913,20.196937216
1591012548635950414,-124.015963326,-28.8644579796,20.397212928
1591012548837652184,-122.654952511,-29.2484136487,20.598914816
1591012549036760507,-121.205149237,-29.5535796707,20.798023168
1591012549238307076,-119.953844921,-29.8637385609,20.999569664
1591012549437140702,-118.769654043,-30.0702015191,21.198403328
1591012549638117111,-118.020109084,-30.1846447538,21.399379712
1591012549840677299,-117.840761977,-30.3000544602,21.601939968
1591012550039120208,-118.064682898,-30.8850874833,21.80038272
1591012550236328643,-119.244065323,-32.16529033,21.997591296
1591012550437092516,-121.045254509,-33.6623038716,22.1983552
1591012550638117879,-123.454152946,-35.2505380045,22.39938048
1591012550837123863,-125.735340506,-36.3846670106,22.598386432
1591012551036669166,-129.024868893,-37.5941944748,22.797931776
1591012551236571202,-132.810924713,-38.6677670237,22.997833728
1591012551437207593,-137.441751989,-39.2928761818,23.198470144
1591012551638212909,-141.8239877,-40.8870423341,23.399475456
1591012551837683173,-145.007347627,-41.1708162035,23.598945792
1591012552036919912,-143.773187085,-40.5574788764,23.7981824
1591012552236456672,-143.846051543,-39.3618440169,23.997719296
1591012552437210022,-143.83329275,-38.417167383,24.198472704
1591012552637503621,-143.914298793,-37.7617185246,24.398766336
1591012552839509067,-144.089001372,-37.1092168928,24.600771584
1591012553037486799,-144.298578897,-36.4845209611,24.79874944
1591012553236364243,-145.647800805,-35.1212971651,24.99762688
1591012553436250729,-147.756334843,-33.1835964032,25.197513216
1591012553640417320,-149.637123054,-30.128292278,25.401679872
1591012553836755855,-149.667954528,-28.369528812,25.59801856
1591012554037458762,-148.198917441,-27.368523608,25.79872128
1591012554237682964,-143.046072467,-26.333994128,25.998945536
1591012554438497468,-138.366750848,-25.940348128,26.199760128
1591012554638718942,-135.210861942,-26.6145287803,26.399981568
1591012554838269158,-133.080116128,-26.3867266035,26.599531776
1591012555037936059,-130.592151421,-26.3709232533,26.79919872
1591012555238258842,-129.950004356,-26.6668104633,26.999521536
1591012555438813314,-129.054457273,-27.1422684691,27.200076032
1591012555638480496,-128.321987786,-27.5106632597,27.399742976
1591012555835849939,-127.498499199,-28.1152989258,27.597112576
1591012556037123464,-126.543269923,-29.1401961315,27.798386176
1591012556237062759,-125.74376896,-30.2236827,27.998325248
1591012556437421611,-125.760694168,-30.9229540521,28.19868416
1591012556637164026,-125.746282469,-31.5541352484,28.398426624
1591012556836376306,-125.505750527,-32.2846034895,28.597638912
1591012557036323385,-125.221532696,-33.1144373228,28.79758592
1591012557236945266,-125.533877246,-34.0008968393,28.998207744
1591012557436195022,-126.657689252,-35.1511382616,29.197457664
1591012557636596959,-128.197090947,-36.0764034978,29.397859584
1591012557836077179,-130.325883327,-36.7623935471,29.597339648
1591012558036908771,-133.604005298,-37.4440839923,29.798171392
1591012558237263578,-137.277813788,-38.0404073182,29.998526208
1591012558437047571,-141.491480431,-38.154676383,30.198310144
1591012558636696823,-144.393860035,-38.1834280643,30.397959424
1591012558836852291,-145.880559991,-38.4117681185,30.598114816
1591012559037356719,-146.874065648,-38.3088166771,30.798619392
1591012559236372410,-147.196095407,-37.2924947739,30.997635072
1591012559437403304,-147.647065477,-35.8453142926,31.198665984
1591012559639887292,-148.177060836,-34.512078442,31.401149952
1591012559838611312,-148.401500852,-33.6559483805,31.599873792
1591012560041660877,-148.650529549,-32.8227233584,31.80292352
1591012560237116410,-148.930253116,-31.9980975444,31.998379008
1591012560436902165,-149.177301058,-30.9484204124,32.198164736
1591012560637370617,-148.966780968,-29.9928154758,32.398633216
1591012560839871229,-148.395736172,-29.7171080598,32.601133824
1591012561038258391,-147.272894054,-29.6396161486,32.799521024
1591012561237698108,-145.307384177,-29.7022558134,32.99896064
1591012561436317698,-142.533152581,-29.5679401434,33.197580288
1591012561637962570,-139.902354958,-29.550991029,33.399225088
1591012561836564132,-138.295675899,-29.8085950286,33.597826816
1591012562036315425,-137.077552642,-29.9152211118,33.797577984
1591012562236262857,-136.079743966,-29.9178199987,33.997525504
1591012562436621582,-135.428854259,-30.0419347812,34.19788416
1591012562636290665,-134.562636008,-30.2971755354,34.397553152
1591012562836706776,-133.29321803,-30.6277157101,34.597969408
1591012563036216462,-132.475903934,-31.4802667525,34.797479168
1591012563236124095,-131.293434264,-32.407884989,34.997386752
1591012563437716948,-129.88913371,-33.1709707985,35.198979584
1591012563637426412,-128.626887431,-33.9766667432,35.398689024
1591012563837938241,-127.505985086,-34.7306649861,35.599200768
1591012564037708288,-126.408414668,-35.5898242365,35.79897088
1591012564237895979,-125.571989702,-36.2819648711,35.999158528
1591012564436078592,-124.835586026,-36.8038664558,36.197341184
1591012564638852456,-124.36056003,-37.2232605614,36.400114944
1591012564838763593,-124.148223109,-37.4303655574,36.600026112
1591012565038951242,-124.242466059,-37.5047394873,36.80021376
1591012565239849880,-124.617088275,-37.6221538542,37.001112576
1591012565437631279,-125.541021624,-37.8336335864,37.198893824
1591012565638917948,-126.963381198,-38.1272326829,37.40018048
1591012565836918198,-128.966511757,-38.3980906647,37.598180864
1591012566037593011,-131.762791203,-39.0145152373,37.79885568
1591012566237338712,-135.408964748,-39.6612146233,37.998601216
1591012566436131374,-139.117156411,-40.5354139503,38.19739392
1591012566636160186,-142.054069452,-40.4935004945,38.397422848
1591012566835832195,-141.623057195,-41.1246509549,38.597094912
1591012567036905454,-141.455307749,-40.0209231209,38.798168064
1591012567236555708,-141.947860011,-38.8002453728,38.997818368
1591012567438017532,-141.433000351,-38.1712532521,39.199280128
1591012567636655276,-142.681722856,-37.5755446433,39.397917952
1591012567837607436,-144.631195449,-36.5547728718,39.598870016
1591012568036810445,-146.345026515,-35.2769332706,39.798073088
1591012568237323001,-147.444413764,-34.240090064,39.9985856
1591012568436965696,-148.094620452,-33.3123830351,40.198228224
1591012568636469913,-148.578894525,-32.6220763062,40.397732608
1591012568837077249,-148.718476271,-32.4300387075,40.59833984
1591012569037542608,-147.979531765,-32.8187208675,40.798805248
1591012569237766979,-146.262695415,-33.7962268057,40.999029504
1591012569438590521,-143.658453568,-34.486694044,41.199853056
1591012569637445296,-141.522366546,-33.3453182073,41.398707968
1591012569837117465,-138.586997128,-32.6209971364,41.598380032
1591012570036471196,-132.832699356,-31.6143194603,41.797733888
1591012570236513350,-130.869866913,-31.0579424957,41.997775872
1591012570438035713,-128.139184603,-30.897170088,42.199298304
1591012570637146901,-126.359838362,-31.2660003032,42.398409472
1591012570835976803,-125.883815158,-31.4362256927,42.597239296
1591012571037353085,-126.140561969,-31.7188759961,42.798615552
1591012571237565913,-125.750380583,-31.8952485559,42.998828544
1591012571437781038,-125.704659296,-32.0494639821,43.199043584
1591012571637434786,-125.856535383,-32.3562999853,43.398697472
1591012571837697810,-126.356191041,-32.9871977287,43.598960384
1591012572037108306,-127.005810333,-34.0513890127,43.798370816
1591012572238700069,-128.934751378,-35.4609249065,43.999962624
1591012572436750281,-131.254160676,-37.1266577809,44.198012928
1591012572638924944,-133.338488524,-38.8538726031,44.400187648
1591012572838276838,-135.506021736,-41.1219052189,44.599539456
1591012573039190175,-138.750388913,-41.6784358626,44.800452864
1591012573238648766,-139.702858793,-41.8858106511,44.999911424
1591012573436750972,-140.264641852,-40.2005605112,45.19801344
1591012573638556460,-141.418766237,-38.6099084912,45.399819008
1591012573836485443,-142.811728677,-36.9616096747,45.597747968
1591012574037352669,-143.930827851,-35.3649641637,45.798615296
1591012574237905891,-145.030051176,-33.916110286,45.999168512
1591012574438312807,-145.936062109,-33.0899066984,46.199575296
1591012574639478594,-147.11571774,-32.3838529684,46.40074112
1591012574837461486,-146.887575762,-32.351812551,46.598724096
