%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1590675564660761640,152.382953053,1128.15276865,0.350836409337,-3.45051174938e-14,-2.61449451484e-13,-2.37457370188e-14,-1.6476535712e-15,-6.16564091449e-15,-8.12138124795e-18,0.0
1590675564760918484,152.382953053,1128.15276865,0.350836409337,-3.46698748371e-14,-2.62065985588e-13,-2.37465491175e-14,-1.6476535712e-15,-6.16564091449e-15,-8.12138124795e-18,0.100156928
1590675564864073839,152.382953053,1128.15276865,0.350836409337,-3.48348443094e-14,-2.62683313493e-13,-2.37473622617e-14,-1.6476535712e-15,-6.16564091449e-15,-8.12138124795e-18,0.203312128
1590675564961348694,152.382953053,1128.15276865,0.350836409337,-3.49985830414e-14,-2.63296035878e-13,-2.37481693395e-14,-1.6476535712e-15,-6.16564091449e-15,-8.12138124795e-18,0.300587008
1590675565066151864,152.382953053,1128.15276865,0.350836409337,-3.5165343824e-14,-2.63920066998e-13,-2.37489913132e-14,-1.6476535712e-15,-6.16564091449e-15,-8.12138124795e-18,0.405390336
1590675565166572856,152.382953053,1128.15276865,0.350836409337,-3.53377032372e-14,-2.64565048606e-13,-2.37498408829e-14,-1.6476535712e-15,-6.16564091449e-15,-8.12138124795e-18,0.5058112
1590675565262409817,152.382953053,1128.15276865,0.350836409337,-3.5494396934e-14,-2.65151407951e-13,-2.37506132353e-14,-1.6476535712e-15,-6.16564091449e-15,1.07832628987e-17,0.601648128
1590675565361022327,152.382953053,1128.15276865,0.350836409337,-3.56577318355e-14,-2.65762619172e-13,-2.37495442708e-14,-1.6476535712e-15,-6.16564091449e-15,3.04891492992e-17,0.700260608
1590675565462040136,152.382953053,1128.15276865,0.350836409337,-3.58224294685e-14,-2.66378929835e-13,-2.37464966091e-14,-1.6476535712e-15,-6.16564091449e-15,3.04891492992e-17,0.801278464
1590675565561545437,152.382953053,1128.15276865,0.350836409337,-3.59870764263e-14,-2.66995050867e-13,-2.37434498851e-14,-1.6476535712e-15,-6.16564091449e-15,1.0624967079e-17,0.900783872
1590675565661424571,152.382953053,1128.15276865,0.350836409337,-3.61513490159e-14,-2.67609770987e-13,-2.3742390566e-14,-1.6476535712e-15,-6.16564091449e-15,1.0624967079e-17,1.00066304
1590675565763499735,152.382953053,1128.15276865,0.350836409337,-3.63164111963e-14,-2.68227445813e-13,-2.37413261552e-14,-1.6476535712e-15,-6.16564091449e-15,1.0624967079e-17,1.102738176
1590675565861130474,152.382953053,1128.15276865,0.350836409337,-3.6480797707e-14,-2.68842592233e-13,-2.37402661015e-14,-9.38744592585e-16,-6.16564091449e-15,1.0624967079e-17,1.200368896
1590675565960871253,152.382953053,1128.15276865,0.350836409337,-3.65748374754e-14,-2.69460242069e-13,-2.37392017338e-14,-2.26950619756e-16,-6.16564091449e-15,1.0624967079e-17,1.300109568
1590675566064097909,152.382953053,1128.15276865,0.350836409337,-3.65974667189e-14,-2.70075018048e-13,-2.37381423185e-14,4.8153145425e-16,-6.16564091449e-15,1.0624967079e-17,1.403336192
1590675566164481443,152.382953053,1128.15276865,0.350836409337,-3.65491897437e-14,-2.70693167685e-13,-2.37370770895e-14,1.19390140948e-15,-6.16564091449e-15,1.0624967079e-17,1.503719936
1590675566260722719,152.382953053,1128.15276865,0.350836409337,-3.6430098028e-14,-2.71308190625e-13,-2.37360172485e-14,1.90266808656e-15,-6.16564091449e-15,1.0624967079e-17,1.599961088
1590675566360597067,152.382953053,1128.15276865,0.350836409337,-3.62404174926e-14,-2.71922854884e-13,-2.37349580257e-14,2.61102141156e-15,-6.16564091449e-15,1.0624967079e-17,1.699835392
1590675566462125427,152.382953053,1128.15276865,0.350836409337,-3.59772108738e-14,-2.72544388469e-13,-2.37338869653e-14,2.61102141156e-15,-6.16564091449e-15,1.0624967079e-17,1.801363712
1590675566563728170,152.382953053,1128.15276865,0.350836409337,-3.57159234719e-14,-2.73161390034e-13,-2.37328237147e-14,1.89997452179e-15,-6.16564091449e-15,1.0624967079e-17,1.902966528
1590675566660560647,152.382953053,1128.15276865,0.350836409337,-3.55278052002e-14,-2.73771855963e-13,-2.37317717267e-14,1.89997452179e-15,-6.16564091449e-15,1.0624967079e-17,1.99979904
1590675566765146309,152.382953053,1128.15276865,0.350836409337,-3.53330732858e-14,-2.74403783942e-13,-2.37306827541e-14,1.89997452179e-15,-6.16564091449e-15,1.0624967079e-17,2.104384768
1590675566860899262,152.382953053,1128.15276865,0.350836409337,-3.51484144929e-14,-2.75003023456e-13,-2.37296501121e-14,1.89997452179e-15,-6.16564091449e-15,1.0624967079e-17,2.200137728
1590675566966516341,152.382953053,1128.15276865,0.350836409337,-3.49583107694e-14,-2.7561993241e-13,-2.37285870211e-14,1.89997452179e-15,-6.16564091449e-15,1.0624967079e-17,2.305754624
1590675567066026403,152.382953053,1128.15276865,0.350836409337,-3.47666089e-14,-2.76242027536e-13,-2.3727514993e-14,1.89997452179e-15,-6.16564091449e-15,1.0624967079e-17,2.405264896
1590675567162069880,152.382953053,1128.15276865,0.350836409337,-3.45783705862e-14,-2.76852883016e-13,-2.37264623337e-14,1.89997452179e-15,-6.16564091449e-15,1.0624967079e-17,2.50130816
1590675567260519191,152.382953053,1128.15276865,0.350836409337,-3.43885382032e-14,-2.77468911438e-13,-2.372540076e-14,1.89997452179e-15,-3.3259392419e-15,1.0624967079e-17,2.599757568
1590675567362154648,152.382953053,1128.15276865,0.350836409337,-3.4195736476e-14,-2.77806414296e-13,-2.37243225814e-14,1.89997452179e-15,-4.41819161551e-16,1.0624967079e-17,2.701393152
1590675567460479628,152.382953053,1128.15276865,0.350836409337,-3.40085608749e-14,-2.7784994002e-13,-2.37232758649e-14,1.89997452179e-15,2.35813972516e-15,1.0624967079e-17,2.799718144
1590675567561383017,152.382953053,1128.15276865,0.350836409337,-3.38168137065e-14,-2.776119544e-13,-2.37222035835e-14,1.89997452179e-15,5.22648466389e-15,1.0624967079e-17,2.900621312
1590675567662632271,152.382953053,1128.15276865,0.350836409337,-3.36280816344e-14,-2.77092786765e-13,-2.3721148163e-14,1.89997452179e-15,8.04972679225e-15,1.0624967079e-17,3.001870592
1590675567760545805,152.382953053,1128.15276865,0.350836409337,-3.34385287459e-14,-2.76289697593e-13,-2.37200881524e-14,1.89997452179e-15,8.04972679225e-15,1.0624967079e-17,3.099784192
1590675567863165345,152.382953053,1128.15276865,0.350836409337,-3.32474257282e-14,-2.75480040903e-13,-2.37190194732e-14,1.89997452179e-15,5.19101770033e-15,1.0624967079e-17,3.20240384
1590675567966295201,152.382953053,1128.15276865,0.350836409337,-3.30532405718e-14,-2.74949497692e-13,-2.37179335581e-14,1.89997452179e-15,5.19101770033e-15,1.0624967079e-17,3.305533696
1590675568062596336,152.382953053,1128.15276865,0.350836409337,-3.28689926401e-14,-2.74446104481e-13,-2.37169032137e-14,1.89997452179e-15,5.19101770033e-15,1.0624967079e-17,3.401834752
1590675568161916030,152.382953053,1128.15276865,0.350836409337,-3.26794796146e-14,-2.73928326238e-13,-2.3715843426e-14,1.89997452179e-15,5.19101770033e-15,1.0624967079e-17,3.501154304
1590675568260636303,152.382953053,1128.15276865,0.350836409337,-3.24891380718e-14,-2.7340828436e-13,-2.37147790051e-14,1.89997452179e-15,5.19101770033e-15,1.0624967079e-17,3.599874816
1590675568360549268,152.382953053,1128.15276865,0.350836409337,-3.22994941324e-14,-2.72890148441e-13,-2.37137184852e-14,1.89997452179e-15,5.19101770033e-15,-9.21651343533e-18,3.699787776
1590675568464726324,152.382953053,1128.15276865,0.350836409337,-3.2109682587e-14,-2.72371554596e-13,-2.37146392348e-14,1.89997452179e-15,5.19101770033e-15,-2.90755297141e-17,3.803964672
1590675568563121057,152.382953053,1128.15276865,0.350836409337,-3.19166013654e-14,-2.71844027502e-13,-2.3717593979e-14,1.89997452179e-15,5.19101770033e-15,-2.90755297141e-17,3.902359552
1590675568659716007,152.382953053,1128.15276865,0.350836409337,-3.17303485033e-14,-2.71335156518e-13,-2.37204442281e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,3.998954496
1590675568761886351,152.382953053,1128.15276865,0.350836409337,-3.15393116221e-14,-2.70813214871e-13,-2.3721408358e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,4.101124864
1590675568861035418,152.382953053,1128.15276865,0.350836409337,-3.1349572555e-14,-2.70294819048e-13,-2.3722365938e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,4.20027392
1590675568959987053,152.382953053,1128.15276865,0.350836409337,-3.11606733299e-14,-2.697787178e-13,-2.37233192795e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,4.299225344
1590675569060921549,152.382953053,1128.15276865,0.350836409337,-3.09700187715e-14,-2.69257820717e-13,-2.37242814798e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,4.40016
1590675569161489488,152.382953053,1128.15276865,0.350836409337,-3.07801238761e-14,-2.68738999147e-13,-2.37252398462e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,4.500727808
1590675569263964331,152.382953053,1128.15276865,0.350836409337,-3.05901057676e-14,-2.68219840941e-13,-2.37261988345e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,4.603202816
1590675569359867513,152.382953053,1128.15276865,0.350836409337,-3.04013089181e-14,-2.67704019399e-13,-2.37271516593e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,4.699105792
1590675569459903888,152.382953053,1128.15276865,0.350836409337,-3.02113854843e-14,-2.67185119859e-13,-2.37281101698e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,4.7991424
1590675569565005870,152.382953053,1128.15276865,0.350836409337,-3.00203409023e-14,-2.66663157171e-13,-2.37290743385e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,4.904244224
1590675569662013638,152.382953053,1128.15276865,0.350836409337,-2.98313125752e-14,-2.66146703198e-13,-2.37300283316e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,5.001252096
1590675569761615781,152.382953053,1128.15276865,0.350836409337,-2.96405040005e-14,-2.65625385318e-13,-2.37309913092e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,5.100854272
1590675569860833578,152.382953053,1128.15276865,0.350836409337,-2.94517184757e-14,-2.65109594717e-13,-2.37319440768e-14,1.89997452179e-15,5.19101770033e-15,-9.58884036933e-18,5.200071936
1590675569961467958,152.382953053,1128.15276865,0.350836409337,-2.92618444178e-14,-2.64590830079e-13,-2.37329023381e-14,1.18989324958e-15,5.19101770033e-15,-9.58884036933e-18,5.300706304
1590675570065571941,152.382953053,1128.15276865,0.350836409337,-2.9141680435e-14,-2.64066603757e-13,-2.37338706882e-14,4.72336064575e-16,5.19101770033e-15,-9.58884036933e-18,5.40481024
1590675570163767684,152.382953053,1128.15276865,0.350836409337,-2.90948138817e-14,-2.63551535935e-13,-2.37348221208e-14,-2.32685032808e-16,5.19101770033e-15,-9.58884036933e-18,5.503006208
