%time,field.star_effort,field.port_effort,secs_since_start
1590675564686982694,-99.9922454357,-4.15606051683,0.0
1590675564889189707,-92.6221847534,-12.8275156021,0.202206976
1590675565087178776,-83.3687722683,-23.328499496,0.400196096
1590675565289225000,-71.2927877903,-33.7939202785,0.602242304
1590675565486368576,-60.9211266041,-44.5936888456,0.799385856
1590675565686227499,-50.8128404617,-54.8937261105,0.9992448
1590675565887507610,-39.5878404379,-65.1309013367,1.200525056
1590675566086905641,-25.1052498817,-77.2361934185,1.399922944
1590675566285481102,-11.2495645881,-86.2984001637,1.59849856
1590675566486212358,-1.15400142968,-94.2884385586,1.799229696
1590675566685871637,7.01477825642,-99.310541153,1.99888896
1590675566883745030,17.5212994218,-100.0,2.196762368
1590675567091922106,17.7937611938,-98.9004909992,2.40493952
1590675567287190554,23.8984137774,-94.621270895,2.600207872
1590675567485522562,27.0965993404,-89.4688010216,2.798540032
1590675567685292498,28.519448638,-79.9805760384,2.998309888
1590675567885388527,24.808293581,-71.1257338524,3.198405888
1590675568086752403,20.5866798759,-57.6231062412,3.399769856
1590675568284695746,12.0249733329,-40.4804110527,3.597713152
1590675568485860226,0.607047975063,-20.0018510222,3.798877696
1590675568683548119,-20.5114707351,1.27094425261,3.996565504
1590675568886440935,-44.3787306547,20.2729955316,4.199458304
1590675569088047013,-69.4733023643,30.7152152061,4.401064448
1590675569287993389,-90.9348189831,38.9718979597,4.601010688
1590675569484993039,-100.0,49.8953998089,4.798010368
1590675569686539801,-100.0,60.8605504036,4.99955712
1590675569884359186,-100.0,71.3596642017,5.197376512
1590675570086864123,-100.0,75.1629948616,5.399881472
1590675570285823629,-100.0,73.7289011478,5.598841088
1590675570485773558,-100.0,66.9104516506,5.798790912
1590675570687678217,-100.0,60.0308835506,6.000695552
1590675570891211049,-100.0,51.985347271,6.204228352
1590675571090968728,-100.0,42.0447528362,6.403986176
1590675571287477821,-100.0,30.0849199295,6.600495104
1590675571487154455,-100.0,16.6465774179,6.800171776
1590675571685943295,-100.0,3.30255962908,6.99896064
1590675571886045444,-100.0,-8.59131664038,7.199062784
1590675572086116402,-100.0,-21.8705564737,7.399133696
1590675572285437253,-100.0,-33.2980722189,7.598454528
1590675572484602717,-84.1700077057,-43.2283788919,7.797619968
1590675572693054186,-68.2101011276,-53.2903432846,8.006071552
1590675572886519148,-51.4542818069,-59.7349703312,8.199536384
1590675573089665087,-23.0692848563,-62.6894116402,8.402682368
1590675573287790489,4.69120815396,-70.0263679028,8.600807936
1590675573485498888,23.2659757137,-77.1807789803,8.798516224
1590675573686643589,29.6892702579,-71.1520493031,8.999661056
1590675573885470359,41.9346660376,-66.0840809345,9.198487808
1590675574090588057,52.7071714401,-62.4030768871,9.403605504
1590675574286119246,59.503442049,-56.8110108376,9.599136512
1590675574485438387,63.6096775532,-51.5094399452,9.798455808
1590675574688427901,58.1165254116,-45.067191124,10.00144512
1590675574886645765,47.2538590431,-39.7047430277,10.199663104
1590675575085145921,32.2962552309,-34.6519261599,10.3981632
1590675575285696569,10.1411908865,-30.3404867649,10.598713856
1590675575487648705,-22.6632297039,-22.7886483073,10.800666112
1590675575685209180,-45.1341211796,-5.24047091603,10.998226432
1590675575885121900,-66.2520468235,1.51531286538,11.198139136
1590675576088758617,-80.144405365,12.2286736965,11.401775872
1590675576288416554,-90.5343472958,23.0731710792,11.601433856
1590675576488713322,-100.0,30.6771993637,11.80173056
1590675576691598443,-100.0,33.3403348923,12.00461568
1590675576888631914,-100.0,33.4034502506,12.201649152
1590675577093879210,-100.0,31.1929434538,12.40689664
1590675577285954179,-100.0,26.303306222,12.598971648
1590675577484618046,-87.5567853451,17.908783257,12.797635328
1590675577692805881,-68.6312437057,8.25310349464,13.005823232
1590675577888728986,-47.9513585567,-1.61773562431,13.201746432
1590675578085194470,-26.0461270809,-20.8790719509,13.39821184
1590675578283706779,12.5712513924,-42.3113256693,13.596724224
1590675578488132747,43.3745145798,-65.0097072124,13.801150208
1590675578686550829,57.3469877243,-75.6937682629,13.999568128
1590675578889124301,73.5916018486,-78.9576590061,14.202141696
1590675579086341544,81.7439496517,-77.7026951313,14.399358976
1590675579287849372,88.2768750191,-73.416608572,14.600866816
1590675579489019187,86.5891635418,-68.4704303741,14.80203648
1590675579689412734,72.1279680729,-64.206212759,15.002429952
1590675579888912837,46.7748343945,-63.6817574501,15.20193024
1590675580089483667,8.94383192062,-56.7258238792,15.40250112
1590675580285087865,-28.1149506569,-46.383652091,15.598105088
