%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,secs_since_start
1590676130210216975,152.119160976,1128.36586543,-2.13712923636,-0.0080296639732,-0.062806801546,-0.804027581655,0.0
1590676130258414376,152.108399023,1128.36637765,-2.1368902688,-0.00454598151765,-0.063196600875,-0.820779638056,0.048197376
1590676130310971783,152.098451125,1128.36664899,-2.13661624958,-0.00164613245881,-0.061742595758,-0.834590669055,0.100754944
1590676130359600581,152.085795372,1128.36652969,-2.13626832929,0.00188425521758,-0.0542734134136,-0.851406030075,0.14938368
1590676130410320332,152.076310837,1128.36620349,-2.13585348785,0.0043309690241,-0.053299629689,-0.861870443487,0.200103424
1590676130460680550,152.068194586,1128.36573207,-2.13530073776,0.00639020789992,-0.0515086375976,-0.868667920283,0.250463488
1590676130511377950,152.059118612,1128.36468067,-2.13477354764,0.00863269058479,-0.0460034308355,-0.873552782334,0.30116096
1590676130563236596,152.05215377,1128.36352639,-2.1341723621,0.010215028035,-0.0439081773901,-0.874709591616,0.353019648
1590676130609944804,152.046919607,1128.3623067,-2.13349929189,0.0111996509044,-0.0421697706452,-0.873331137462,0.399727872
1590676130661138011,152.043142238,1128.36080649,-2.13279793127,0.0114352732595,-0.0401992803017,-0.86998876986,0.45092096
1590676130709456633,152.039086408,1128.35842847,-2.13206865676,0.0105984118059,-0.034320191122,-0.859964571401,0.49923968
1590676130757724287,152.036432378,1128.35599443,-2.13126422774,0.0102386843454,-0.03065720506,-0.850288989521,0.5475072
1590676130807003231,152.03505989,1128.3535486,-2.13041501317,0.0097153615109,-0.0276206508478,-0.839766593039,0.596786176
1590676130856865534,152.034889679,1128.35109735,-2.12955597279,0.00882968415379,-0.0246315289889,-0.828004281774,0.646648576
1590676130910322265,152.035883108,1128.34723328,-2.12866433459,0.00432518677711,-0.0192683760777,-0.805696887097,0.700105216
1590676130963627126,152.037491509,1128.34370472,-2.12772401144,0.00180924971245,-0.0144579960087,-0.78738472663,0.753410048
1590676131009551112,152.03993024,1128.34016529,-2.12676180551,-0.000727001766377,-0.010127496161,-0.770094691886,0.799334144
1590676131063396214,152.04490185,1128.33498324,-2.12577642793,-0.00750264712306,-0.00514545299322,-0.763154209563,0.853179136
1590676131111314080,152.048065134,1128.33207223,-2.12479118181,-0.00905272649401,0.00244356211863,-0.73887541727,0.901097216
1590676131161939927,152.052282316,1128.32887036,-2.12374318488,-0.0118692255094,0.00732185884076,-0.718327336229,0.951723008
1590676131212442626,152.057088832,1128.32529909,-2.1227064152,-0.0153410021588,0.0122397647082,-0.69885026952,1.002225664
1590676131262300510,152.062604566,1128.32137018,-2.12167617083,-0.0209260078738,0.0190064572167,-0.679949063504,1.052083456
1590676131312236790,152.071704989,1128.31531985,-2.12063443461,-0.0267426320334,0.020630944141,-0.649207712951,1.10201984
1590676131371273627,152.080636582,1128.30991986,-2.1196387269,-0.0288625947146,0.0245636638682,-0.625940384901,1.161056768
1590676131410963000,152.089501831,1128.30466342,-2.11864756031,-0.0302682608636,0.0296878042767,-0.605542176801,1.200745984
1590676131475466153,152.098240475,1128.29954481,-2.11768670266,-0.0300380891754,0.0315773771533,-0.586292758249,1.26524928
1590676131511691175,152.111617013,1128.29214859,-2.11676137329,-0.0339662142307,0.0356284867484,-0.557892795869,1.301474304
1590676131565512730,152.123855082,1128.28556862,-2.11585709163,-0.0336528860034,0.0383960982381,-0.536633610746,1.355295744
1590676131613404506,152.135392167,1128.27950567,-2.11500132701,-0.0321350944379,0.0425657747542,-0.51918471822,1.403187456
1590676131665119333,152.147065992,1128.27350811,-2.11415711217,-0.0305133734534,0.0463970352864,-0.503780787462,1.454902272
1590676131715138903,152.16400422,1128.2652274,-2.1133485206,-0.0297364233419,0.0461889100878,-0.482299115132,1.504921856
1590676131764730494,152.178619759,1128.25798134,-2.11258452562,-0.0257562727618,0.0510835064358,-0.467206807202,1.554513408
1590676131808720532,152.192371452,1128.25114654,-2.1118444783,-0.0209219549884,0.0554380972097,-0.455069133087,1.59850368
1590676131856111369,152.211946102,1128.24195503,-2.1111203757,-0.0149204088241,0.0539957798794,-0.438693069982,1.6458944
1590676131915884885,152.228966008,1128.23401059,-2.11045656382,-0.00692352847734,0.0581909524568,-0.42696274273,1.70566784
1590676131959710090,152.244459205,1128.22682951,-2.10982750067,0.00130764608865,0.0624737674643,-0.41713071854,1.749493248
1590676132010766559,152.259060291,1128.22009614,-2.10922782579,0.00942344812078,0.065736660975,-0.408029382701,1.800549632
1590676132059016799,152.279940702,1128.21056819,-2.10868863468,0.0193309109163,0.0613383437411,-0.393353194492,1.848799744
1590676132110269452,152.297513439,1128.2024814,-2.10822929336,0.0299686356895,0.0643015964768,-0.381762972104,1.90005248
1590676132169919657,152.313682063,1128.19501775,-2.10780292247,0.0395988811444,0.0670429215793,-0.370928553126,1.959702784
1590676132205520636,152.328470257,1128.18817114,-2.10742942722,0.0484552771965,0.0691052997219,-0.359851695595,1.99530368
1590676132255554988,152.349806111,1128.17838143,-2.10712606431,0.0578686905782,0.0620928424661,-0.3392427913,2.045338112
1590676132305859755,152.367527995,1128.16989749,-2.10688752358,0.067238262541,0.0637465875045,-0.321702283197,2.09564288
1590676132354272295,152.383612207,1128.16223093,-2.10670749146,0.0748479488217,0.0652070405855,-0.304132119102,2.144055296
1590676132404304049,152.398239083,1128.15503004,-2.10656663275,0.0808666851173,0.0661443482953,-0.285082242589,2.194087168
1590676132459806163,152.418910291,1128.14524041,-2.10646087062,0.0853142905983,0.058076270911,-0.247824914925,2.249589248
1590676132516147742,152.435553295,1128.13674234,-2.10647969856,0.088984943031,0.0586909464401,-0.216357770771,2.305930752
1590676132560049517,152.450386377,1128.12928749,-2.10656088086,0.0905110087781,0.0591553287662,-0.185760748196,2.349832448
1590676132604824052,152.470022163,1128.11935595,-2.10668236995,0.0844936378356,0.0513835185481,-0.13328868279,2.394607104
