%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1591011001672195375,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1591011001772351060,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100155648
1591011001877243000,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205047552
1591011001972294442,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300099072
1591011002073050281,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40085504
1591011002172425062,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500229632
1591011002274706209,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602510848
1591011002372477221,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700281856
1591011002474589873,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802394624
1591011002574601573,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902406144
1591011002674597357,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002402048
1591011002773371180,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101175808
1591011002872624488,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.200429056
1591011002977083682,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30488832
1591011003077185612,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.404990208
1591011003171927460,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.499732224
1591011003277105202,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.604909824
1591011003371788842,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.699593472
1591011003474702031,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.802506752
1591011003573076499,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.900881152
1591011003677496581,152.395784834,1128.15407684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.005301248
