%time,field.port,field.star,secs_since_start
1591011001637745313,-142.628010248,-29.4303425675,0.0
1591011001836507449,-143.587720128,-29.9585313413,0.198761984
1591011002037068112,-144.466492267,-31.8150109086,0.399322624
1591011002237822220,-144.572674388,-34.688850568,0.6000768
1591011002438711099,-143.800671766,-37.0371037556,0.800965632
1591011002637638428,-141.260087282,-39.5606844841,0.999892992
1591011002837072465,-139.540846706,-41.3251989693,1.199326976
1591011003040271230,-137.332591905,-42.5181803003,1.402525696
1591011003236527677,-136.547475321,-43.0767941518,1.598782208
1591011003436726002,-136.47377758,-43.3653081725,1.798980608
1591011003636971833,-136.51785962,-43.6134147941,1.999226368
1591011003839401169,-136.161405708,-43.9278493827,2.201655808
1591011004039101543,-136.014037547,-44.2402349146,2.401356032
1591011004236281129,-135.84481278,-44.4676187423,2.59853568
1591011004436185968,-135.861382819,-44.583110411,2.798440448
1591011004636096946,-135.829226288,-44.7842185009,2.998351616
1591011004836108318,-136.278557113,-44.7681334054,3.19836288
1591011005037332411,-136.898273837,-44.3722556411,3.399587072
1591011005236620559,-136.732559787,-43.6087941711,3.598875136
1591011005437212761,-137.760380314,-42.0668687207,3.799467264
1591011005637795478,-137.744561595,-40.8718724839,4.000050176
1591011005837281829,-137.775693598,-39.2664160289,4.199536384
1591011006037242142,-136.238040431,-37.4038439328,4.399496704
1591011006236848822,-135.732305904,-35.8061397426,4.599103488
1591011006436798431,-135.391383841,-34.236948177,4.799053056
1591011006637695151,-135.390659841,-33.3894583048,4.999949824
1591011006836084107,-135.572465817,-32.8672561918,5.198338816
1591011007036028154,-136.272642169,-32.5023328448,5.398282752
1591011007238629980,-137.167547214,-32.2662917524,5.60088448
1591011007436136940,-138.276332803,-32.2628254314,5.798391552
1591011007636395021,-139.860964012,-32.7219883134,5.9986496
1591011007836013030,-141.536805566,-33.3872521537,6.198267648
1591011008041888070,-143.153361078,-34.236480309,6.404142592
1591011008236482592,-144.007626498,-34.3828956592,6.598737152
1591011008436853432,-143.635258245,-34.7502744592,6.799108096
1591011008637352110,-144.52689846,-34.9515977,6.999606784
1591011008842389758,-144.382685846,-35.4661192653,7.204644352
1591011009036953140,-143.723012516,-35.898261919,7.39920768
1591011009237340449,-142.723564595,-36.3374533279,7.599595008
1591011009437388188,-141.885131553,-36.8016056632,7.79964288
1591011009639138530,-141.506165337,-37.1818627848,8.001393152
1591011009836345324,-141.424366992,-37.4952796753,8.198599936
1591011010037846878,-140.934396542,-38.0834887364,8.400101376
1591011010238184169,-140.571754478,-38.6482019468,8.600438784
1591011010435915824,-140.090007575,-39.3051636921,8.798170368
1591011010641208214,-139.497953118,-40.0449312358,9.003462912
1591011010841056370,-138.9932841,-40.9205136761,9.203310848
1591011011036329768,-138.598021053,-41.7274868662,9.39858432
1591011011236214815,-137.858256924,-42.6354887993,9.598469376
1591011011439957887,-137.423911535,-43.410964572,9.802212352
1591011011637390166,-137.086595812,-44.2495068964,9.999644672
1591011011837302246,-137.033320337,-45.0383459342,10.199556864
1591011012039208147,-137.235821785,-45.6825249805,10.401462784
1591011012236554960,-137.162629478,-46.3505482172,10.5988096
1591011012436395447,-136.893383421,-46.5436513254,10.798650112
1591011012636354293,-137.012037467,-46.3294702534,10.998608896
1591011012837040792,-136.578033587,-46.0060061547,11.199295488
1591011013037492762,-136.116299139,-45.2715251774,11.399747328
1591011013238023805,-135.68883858,-44.3066072779,11.600278272
1591011013438578460,-135.474507244,-42.9568116337,11.800833024
1591011013635761977,-134.372565504,-41.3215823842,11.998016512
1591011013838679340,-134.120900354,-39.4116121903,12.200933888
1591011014036384644,-133.732085005,-35.981340925,12.39863936
1591011014236620539,-133.304870333,-32.7312910311,12.598875136
1591011014437695820,-132.986761103,-30.5617429129,12.799950336
1591011014637129969,-134.335026784,-28.5192482662,12.999384576
1591011014837132841,-136.482383618,-26.3042503617,13.199387392
1591011015037183059,-139.564752368,-24.47947824,13.399437568
1591011015235969412,-143.161584626,-23.2480002553,13.598224128
1591011015440317037,-146.458257391,-23.4977153865,13.80257152
1591011015639590607,-149.615662599,-25.2097313303,14.001845248
1591011015836063526,-151.594641609,-25.9438417698,14.19831808
1591011016036369048,-152.640930968,-27.3293131995,14.398623744
1591011016239124726,-152.208416069,-30.3407009159,14.601379328
1591011016437878063,-148.903588058,-33.7257870648,14.800132608
1591011016636772203,-143.937111625,-36.5707862504,14.999026688
1591011016836783259,-140.954805147,-38.9114271921,15.199037952
1591011017036745048,-139.199296266,-40.6714303374,15.398999552
1591011017239350969,-137.698198271,-41.8129325327,15.601605632
1591011017436855357,-136.760194732,-42.3516056469,15.799109888
1591011017637611327,-135.861205234,-42.6905196335,15.999865856
1591011017839398307,-136.008518754,-42.7638895255,16.201652992
1591011018037105790,-136.281398471,-42.6923569544,16.399360256
1591011018237848248,-136.958010671,-42.4592630885,16.600102912
1591011018436359328,-139.017954744,-41.291464665,16.798614016
1591011018636235273,-140.645370257,-39.8127662757,16.998489856
1591011018836414064,-142.169076177,-38.2928511099,17.198668544
1591011019036389871,-143.417020041,-36.9723979585,17.39864448
1591011019236080125,-143.446198609,-36.3099925524,17.59833472
1591011019436139428,-143.048094203,-36.5962491956,17.798394112
1591011019638911198,-142.181192933,-37.5786592096,18.001165824
1591011019839277722,-140.887705368,-39.2084208927,18.201532416
1591011020036205593,-139.226138909,-41.2293475096,18.39846016
1591011020244033224,-138.070621166,-42.5420005851,18.606287872
1591011020435720808,-137.544669279,-43.6580466652,18.797975296
1591011020638296275,-135.643786652,-44.2976153338,19.000550912
1591011020839294685,-134.725877529,-44.4238987014,19.201549312
1591011021037726835,-134.384053882,-44.2084540444,19.399981312
1591011021238506598,-134.257709043,-43.9031719093,19.600761088
1591011021436767685,-134.189666698,-43.6243226062,19.799022336
1591011021636102168,-133.928534906,-43.2416373523,19.998356736
1591011021837111821,-134.074864879,-42.7083771631,20.1993664
1591011022035567177,-134.615324088,-42.0828308728,20.397821696
1591011022239974687,-135.19202428,-41.1561278817,20.602229248
1591011022437691300,-135.863937309,-39.2158931197,20.799945984
1591011022635956070,-136.605299702,-36.3713822926,20.99821056
1591011022835943644,-137.532989656,-33.0703791875,21.198198272
