%time,field.star_effort,field.port_effort,secs_since_start
1591011212836347352,100.0,-19.1896915436,0.0
1591011213035579669,89.9654865265,-5.69185428321,0.199232256
1591011213235786592,60.0078225136,9.27968621254,0.399439104
1591011213440623429,19.347281754,26.1734336615,0.604275968
1591011213636634949,-17.0128360391,44.3112671375,0.800287488
1591011213845309855,-43.4171915054,64.0739321709,1.00896256
1591011214040949919,-73.0315506458,75.6115794182,1.204602624
1591011214237134387,-87.8558635712,76.9823133945,1.400786944
1591011214441801213,-100.0,78.2099127769,1.605453824
1591011214636502909,-100.0,75.1158058643,1.800155392
1591011214838294871,-100.0,66.230648756,2.001947392
1591011215037473701,-100.0,54.1690886021,2.2011264
1591011215237575079,-100.0,40.3364896774,2.401227776
1591011215436860128,-100.0,24.4193449616,2.600512768
1591011215641794454,-87.6882433891,6.3653498888,2.805447168
1591011215841462825,-69.7805225849,-14.7498473525,3.005115392
1591011216039391719,-52.7584075928,-41.2963271141,3.203044352
1591011216236425609,-30.1877140999,-71.2519943714,3.400078336
1591011216439925035,-3.36082950234,-95.5515027046,3.6035776
1591011216639114079,14.6509721875,-100.0,3.802766592
1591011216839059192,26.3921797276,-100.0,4.002711808
1591011217038247535,40.3526812792,-100.0,4.201900032
1591011217237928798,58.9417695999,-100.0,4.401581312
1591011217442476252,66.935813427,-96.9284713268,4.606128896
1591011217637136967,83.778321743,-88.138705492,4.800789504
1591011217836644007,84.5340788364,-73.2038021088,5.000296704
1591011218036565737,87.6484870911,-63.3977293968,5.200218368
1591011218236348090,86.1086905003,-55.2834808826,5.400000768
1591011218438975623,81.8044304848,-48.9272594452,5.602628352
1591011218639896950,74.6860086918,-41.8108105659,5.80354944
1591011218837503369,65.7592356205,-33.7813824415,6.001156096
1591011219037425776,55.0368666649,-25.1162916422,6.201078272
1591011219238380081,39.18376863,-17.8238198161,6.40203264
1591011219437259428,22.1721291542,-11.6221874952,6.600912128
1591011219641676296,3.8177035749,-1.63830034435,6.805328896
1591011219837297243,-25.3671586514,11.4156723022,7.00094976
1591011220036283768,-50.2847254276,23.4356567264,7.199936256
1591011220237243608,-73.4643042088,32.9943776131,7.400896256
1591011220436501766,-91.053467989,46.2825655937,7.600154368
1591011220636375104,-100.0,56.8093776703,7.800027648
1591011220837335137,-100.0,61.8387699127,8.000987648
1591011221037491462,-100.0,62.0176255703,8.201144064
1591011221238086634,-100.0,61.4753723145,8.401739264
1591011221440798029,-100.0,59.1239452362,8.60445056
1591011221636371146,-100.0,53.7714421749,8.800023808
1591011221838515656,-100.0,49.3132829666,9.00216832
1591011222038692086,-100.0,45.5118715763,9.202344704
1591011222237008418,-91.6681885719,45.4163193703,9.400660992
1591011222436281557,-80.2637696266,42.0876920223,9.599934208
1591011222637457009,-63.3706688881,38.3320003748,9.801109504
1591011222836210352,-38.8308554888,35.2298021317,9.99986304
1591011223037488565,-12.1935799718,27.2164672613,10.201141248
1591011223239868304,13.8357877731,17.7378505468,10.403521024
1591011223437693866,43.4887498617,1.68232284486,10.60134656
1591011223636951021,64.834100008,-10.0563451648,10.800603648
1591011223837063935,77.7560651302,-17.2507584095,11.000716544
1591011224037499758,94.3122446537,-27.629134059,11.201152256
1591011224236914926,100.0,-39.9016469717,11.400567552
1591011224436144373,100.0,-53.2785534859,11.599796992
1591011224637731145,100.0,-68.8765287399,11.80138368
1591011224838649609,100.0,-84.1042101383,12.002302208
1591011225038194925,100.0,-93.7415897846,12.201847552
1591011225238582924,100.0,-98.8671958447,12.402235648
1591011225438578187,100.0,-100.0,12.602230784
1591011225638553982,100.0,-98.1642782688,12.802206464
1591011225836669588,100.0,-91.7911887169,13.000322304
1591011226036624548,100.0,-82.674986124,13.200277248
1591011226236441827,85.4209840298,-64.8675978184,13.400094464
1591011226436923556,53.813970089,-41.428270936,13.600576256
1591011226636581653,20.4409047961,-16.7746171355,13.80023424
1591011226838239762,-10.6418870389,10.640399158,14.001892352
1591011227040862129,-61.338698864,34.5702588558,14.204514816
1591011227235753767,-100.0,59.5701694489,14.399406336
1591011227436640726,-100.0,79.5937240124,14.600293376
1591011227637859481,-100.0,85.2708160877,14.801512192
1591011227836673676,-100.0,87.8598034382,15.0003264
1591011228039016973,-100.0,87.1765971184,15.202669568
1591011228236652446,-100.0,81.7932784557,15.400305152
1591011228438994319,-100.0,72.5446045399,15.60264704
1591011228637145900,-100.0,59.9349200726,15.800798464
1591011228838475268,-100.0,45.2319383621,16.002127872
1591011229038779747,-100.0,32.6884835958,16.202432256
1591011229237160509,-100.0,24.9886408448,16.400813056
1591011229435314232,-100.0,19.1664218903,16.598966784
