%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1591010849245029567,-71.7204391956,90,2,0.0
1591010849437532201,-73.9036619663,90,2,0.192502528
1591010849639138409,-72.4325180054,90,2,0.394108672
1591010849838157302,-68.9685761929,90,2,0.59312768
1591010850041257713,-66.065967083,90,2,0.796228096
1591010850237214754,-62.8918886185,90,2,0.992185088
1591010850436741192,-58.0539405346,90,2,1.191711488
1591010850643019004,-50.8454203606,90,2,1.397989376
1591010850841951710,-43.0213063955,90,2,1.596922112
1591010851040331593,-37.15518713,90,2,1.795301888
1591010851236907470,-34.2300325632,90,2,1.991877888
1591010851441576943,-34.6605032682,90,2,2.196547328
1591010851637090162,-36.7852687836,90,2,2.392060416
1591010851836580995,-40.4918223619,90,2,2.591551488
1591010852043936233,-43.4442579746,90,2,2.798906624
1591010852239320016,-49.874651432,90,2,2.994290432
1591010852438813587,-55.5378317833,90,2,3.193784064
1591010852637464039,-58.6223721504,90,2,3.392434432
1591010852837494625,-59.7917199135,90,2,3.592464896
1591010853039461831,-57.7047467232,90,2,3.794432256
1591010853242395751,-50.8693158627,90,2,3.997366016
1591010853443528090,-41.1970794201,90,2,4.19849856
1591010853643347266,-28.8943737745,90,2,4.398317568
1591010853836609829,-9.36881974339,90,2,4.59158016
1591010854039192556,12.731641531,90,2,4.794162944
1591010854239950336,30.9477478266,90,2,4.994920704
1591010854435951540,51.3104915619,90,2,5.190921984
1591010854638248614,73.6770093441,90,2,5.393219072
1591010854836950497,92.0041143894,90,2,5.591920896
1591010855042547544,100.0,90,2,5.797517824
1591010855237116262,100.0,90,2,5.992086528
1591010855441788458,99.3920683861,90,2,6.196758784
1591010855641752692,90.7077431679,90,2,6.396722944
1591010855837625547,74.778264761,90,2,6.592595968
1591010856041192555,52.3693203926,90,2,6.796162816
1591010856239892752,27.3581385612,90,2,6.994863104
1591010856438402132,-7.36100226641,90,2,7.193372416
1591010856639201001,-43.6201423407,90,2,7.394171392
1591010856836443757,-72.2637057304,90,2,7.591414016
1591010857037433830,-93.0173456669,90,2,7.792404224
1591010857239393909,-98.8477885723,90,2,7.99436416
1591010857436635333,-100.0,90,2,8.19160576
1591010857642798231,-98.7031400204,90,2,8.397768704
1591010857836260509,-91.1028921604,90,2,8.591230976
1591010858039029782,-78.4458875656,90,2,8.794000128
1591010858236837542,-62.0213150978,90,2,8.991808
1591010858437917311,-40.4174298048,90,2,9.192887552
1591010858638112883,-19.252577424,90,2,9.393083136
1591010858837108721,-1.39148719609,90,2,9.592079104
1591010859038552959,15.6812489033,90,2,9.7935232
1591010859236794169,30.704665184,90,2,9.99176448
1591010859437994686,41.4175003767,90,2,10.19296512
1591010859643821012,43.4670954943,90,2,10.398791424
1591010859839418349,41.3133263588,90,2,10.594388736
1591010860036649844,33.4788322449,90,2,10.791620096
1591010860237465476,21.465459466,90,2,10.992435968
1591010860438678028,5.22888824344,90,2,11.193648384
1591010860638710270,-9.46783721447,90,2,11.39368064
1591010860836717541,-30.5358111858,90,2,11.591687936
1591010861037380415,-44.5048958063,90,2,11.79235072
1591010861243887120,-55.5880844593,90,2,11.998857472
1591010861438372727,-65.8034980297,90,2,12.193342976
1591010861639831160,-71.1547493935,90,2,12.394801408
1591010861836870523,-71.0424661636,90,2,12.591840768
1591010862042306524,-67.2629654408,90,2,12.797276928
1591010862237938998,-59.791302681,90,2,12.992909312
1591010862442508349,-51.2507855892,90,2,13.197478656
1591010862637268475,-40.159034729,90,2,13.392238848
1591010862837917845,-26.9317150116,90,2,13.59288832
1591010863038758949,-12.3326376081,90,2,13.79372928
1591010863238405854,2.18616314232,90,2,13.993376256
1591010863440306569,18.8311100006,90,2,14.195277056
1591010863639717637,33.8967472315,90,2,14.394688
1591010863838604500,50.5394876003,90,2,14.593574912
1591010864040011386,62.4949097633,90,2,14.794981632
1591010864239268083,70.8444416523,90,2,14.994238464
1591010864438115312,74.8278737068,90,2,15.193085696
1591010864639606074,75.2405822277,90,2,15.394576384
1591010864838836789,75.1332819462,90,2,15.593807104
1591010865043019836,73.974198103,90,2,15.797990144
1591010865239491088,71.719288826,90,2,15.99446144
1591010865439428168,68.8392519951,90,2,16.194398464
1591010865639059843,64.5658552647,90,2,16.394030336
1591010865839617053,60.1352572441,90,2,16.594587392
1591010866040654751,54.0937542915,90,2,16.795625216
