%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1591963047496886557,15.0895843923,90,2,0.0
1591963047693422322,32.1521015786,90,2,0.196535808
1591963047803163136,18.1367888098,90,2,0.306276608
1591963047918076565,22.2222520454,90,2,0.421190144
1591963048080011510,56.128506013,90,2,0.583124992
1591963048205240174,40.1746791673,90,2,0.708353536
1591963048357823106,43.9412385984,90,2,0.860936704
1591963048495521997,79.8453310721,90,2,0.99863552
1591963048603204887,55.1287414604,90,2,1.106318336
1591963048781584599,86.5079336214,90,2,1.284698112
1591963048928303976,61.4382979398,90,2,1.431417344
1591963049081446926,90.6593012227,90,2,1.584560384
1591963049193628286,90.264611922,90,2,1.696741632
1591963049298729331,66.0821587635,90,2,1.801842688
1591963049442148974,66.4991599571,90,2,1.945262336
1591963049598517427,85.5174985761,90,2,2.101630976
1591963049791067957,83.4438802462,90,2,2.294181376
1591963050001189268,78.2150686944,90,2,2.504302848
1591963050141715786,66.9692977808,90,2,2.644829184
1591963050294345806,68.6879533863,90,2,2.7974592
1591963050482773430,60.4643510405,90,2,2.985886976
1591963050655311065,63.4556508538,90,2,3.158424576
1591963050784311192,45.9386490605,90,2,3.287424768
1591963050906049200,60.4192779071,90,2,3.409162752
1591963051015160761,58.6498708391,90,2,3.518274304
1591963051124509789,57.6741095136,90,2,3.627623168
1591963051285292201,10.6641051048,90,2,3.78840576
1591963051422373775,53.0390637413,90,2,3.92548736
1591963051596924540,-24.4877151731,90,2,4.100037888
1591963051701904607,48.0875099445,90,2,4.205018112
1591963051835545544,46.6526046884,90,2,4.338659072
1591963051990281252,-20.5607029916,90,2,4.493394688
1591963052127968339,45.2829214664,90,2,4.631081728
1591963052281810246,35.1266534576,90,2,4.784923648
1591963052451741908,45.0280267368,90,2,4.954855424
1591963052587191522,52.9861134716,90,2,5.090305024
1591963052709097392,43.6935210057,90,2,5.212210944
1591963052834614546,44.2551393508,90,2,5.337728
1591963052993485358,65.0162364161,90,2,5.496598784
1591963053100635425,40.0034754516,90,2,5.603748864
1591963053281335681,67.4410204345,90,2,5.78444928
1591963053415142186,33.2393242077,90,2,5.918255616
1591963053591212753,65.1306401256,90,2,6.094326272
1591963053734698239,24.9830296483,90,2,6.237811712
1591963053885466236,63.4897937765,90,2,6.388579584
1591963054039441672,20.7507090534,90,2,6.542555136
1591963054189600197,63.181678759,90,2,6.692713728
1591963054305722795,18.7426215088,90,2,6.808836352
1591963054452982401,19.9213609969,90,2,6.956096
1591963054590150622,59.5824668085,90,2,7.093264128
1591963054723485878,24.3402807529,90,2,7.226599424
1591963054887419087,50.0300618994,90,2,7.390532608
1591963055052932202,27.23364985,90,2,7.556045568
1591963055181847588,22.8651907239,90,2,7.684961024
1591963055291114725,22.6128626451,90,2,7.794228224
1591963055451261994,21.0474733615,90,2,7.954375424
1591963055590286693,-58.5906746544,90,2,8.093400064
1591963055702271299,4.69308153392,90,2,8.205384704
1591963055806411457,-12.098496182,90,2,8.309524992
1591963055980157200,-67.7555758171,90,2,8.483270656
1591963056098257065,-77.4271366905,90,2,8.601370624
1591963056229985476,-39.3766053849,90,2,8.733099008
1591963056386017553,-76.7890978812,90,2,8.889131008
1591963056496423306,-76.2912969202,90,2,8.999536896
1591963056678732770,-74.0247685337,90,2,9.181846272
1591963056794351772,-68.1173792484,90,2,9.297465344
1591963056934606430,-13.9833083075,90,2,9.437719808
1591963057097724416,-56.4626168273,90,2,9.600837888
