%time,field.port,field.star,secs_since_start
1591963757796899600,79.0723703772,85.9885686453,0.0
1591963757997744111,83.813168271,113.674629753,0.200844544
1591963758188598467,95.7573047309,128.214048333,0.391698944
1591963758396645220,106.55660585,142.417996142,0.599745536
1591963758585760343,116.330919765,152.44968736,0.788860672
1591963758695634068,146.330919765,168.305608154,0.898734592
1591963758827962171,165.571176445,169.129375933,1.031062528
1591963758984912370,140.312723122,167.935279697,1.1880128
1591963759100275685,170.060962481,172.779008388,1.303376128
1591963759304951050,140.060962481,178.995897809,1.508051456
1591963759477716769,110.060962481,-177.42940769,1.680817152
1591963759592058593,80.0609624815,-173.694996664,1.79515904
1591963759729268214,110.060962481,177.640944873,1.93236864
1591963759891130141,140.060962481,-157.038957971,2.094230528
1591963760097729265,170.060962481,-144.77500423,2.300829696
1591963760285688722,-159.939037519,-130.59431667,2.488789248
1591963760396658713,-129.939037519,-160.59431667,2.599759104
1591963760596512981,-99.9390375185,-130.59431667,2.79961344
1591963760781087408,-69.9390375185,-100.59431667,2.984187904
1591963760897258434,-39.9390375185,-70.5943166701,3.100358912
1591963761094928592,-51.513949329,-51.2174060289,3.298029056
1591963761278611336,-39.7673707091,-28.9526639634,3.481711872
1591963761390183363,-28.2369801509,-15.9668253083,3.59328384
1591963761580476830,1.76301984909,1.60162461263,3.783577344
1591963761702771414,-3.64074185114,-3.5770776689,3.905871872
1591963761837423496,-1.93021104341,-1.83299179953,4.040524032
1591963761949496096,0.482105435681,0.435767030085,4.15259648
1591963762097955017,30.4821054357,9.27436560493,4.301055488
1591963762281301404,60.4821054357,10.4649743367,4.48440192
1591963762442408756,30.4821054357,19.8463794918,4.64550912
1591963762581307131,60.4821054357,34.098486503,4.784407552
1591963762740598438,73.0445800749,43.1947773777,4.943698944
1591963762896977031,103.044580075,68.6026199485,5.100077568
1591963763087405260,107.310805848,74.1574428815,5.290505728
1591963763277836054,107.811262016,80.1250622891,5.480936448
1591963763396150008,108.038330271,83.9147865675,5.599250432
1591963763592437634,107.935691825,91.370845164,5.795538176
1591963763788670893,107.48116872,100.301098314,5.991771392
1591963763934554508,137.48116872,130.301098314,6.13765504
1591963764095359066,107.48116872,118.427278724,6.298459392
1591963764278738687,101.875248692,130.987379266,6.481839104
1591963764384560335,98.9424879645,136.569614325,6.5876608
1591963764537924889,128.942487964,149.949852198,6.74102528
1591963764689892461,98.9424879645,158.463152365,6.892992768
1591963764824183936,128.942487964,153.568733315,7.027284224
1591963764958529733,140.318266847,155.21153304,7.161630208
1591963765082433405,110.318266847,-174.78846696,7.285533696
1591963765235927307,124.414950678,157.859139783,7.439027712
1591963765386773075,94.4149506776,-172.140860217,7.589873408
1591963765496972070,64.4149506776,159.241653704,7.700072448
1591963765617797366,34.4149506776,158.893566897,7.820897792
1591963765754482659,13.6981283816,157.203686794,7.957583104
1591963765890716016,-16.3018716184,-172.796313206,8.09381632
1591963765996574897,-0.499214366277,-142.796313206,8.199675392
1591963766195070659,-30.4992143663,-112.796313206,8.398171136
1591963766377402188,-48.5657074519,-101.428954563,8.580502528
1591963766507759668,-18.5657074519,-71.4289545634,8.710860032
1591963766681747509,-48.5657074519,-92.5708242919,8.884847872
1591963766828548013,-18.5657074519,-62.5708242919,9.031648512
1591963766987177617,-46.9613423328,-84.3781253945,9.190278144
1591963767090339050,-16.9613423328,-54.3781253945,9.293439488
1591963767247940328,-8.52733846593,-24.3781253945,9.451040768
1591963767387144912,-37.9504164626,-54.3781253945,9.590245376
1591963767591875582,-25.112667718,-31.7021799671,9.794976
1591963767721283044,-4.48823971957,-10.8004289084,9.924383488
1591963767884482752,25.5117602804,19.1995710916,10.087583232
1591963768010768473,11.3543932639,49.1995710916,10.2138688
1591963768125210270,41.3543932639,79.1995710916,10.328310784
1591963768284104989,71.3543932639,92.0248528846,10.487205376
1591963768396799086,101.354393264,122.024852885,10.599899392
1591963768554105120,131.354393264,152.024852885,10.757205504
1591963768677934519,129.523873898,122.024852885,10.881035008
1591963768818086379,159.523873898,152.024852885,11.021186816
1591963768984363083,138.076717205,127.958928149,11.187463424
1591963769115552256,168.076717205,157.958928149,11.318652672
1591963769283523913,149.745254301,147.639076792,11.486624256
1591963769406561955,172.305434213,173.14219466,11.609662464
1591963769525863187,173.343252772,174.08265522,11.728963584
1591963769681131919,174.417354787,175.336466984,11.884232448
1591963769861081399,177.131194145,177.483459854,12.06418176
1591963769993781317,-164.107740672,-168.344264247,12.196881664
1591963770188286255,-158.49670604,-163.955260096,12.391386624
1591963770298633317,-178.620300469,-178.794333245,12.501733632
1591963770493047005,-157.702810148,-161.715606535,12.696147456
1591963770680666950,-155.872170598,-158.878330856,12.883767296
1591963770857018280,-175.550476021,-176.085326831,13.060118784
1591963770985141311,-159.852013492,-157.950517342,13.188241664
1591963771100126599,-163.932461932,-159.105729174,13.303227136
1591963771280565029,-173.553558486,-165.565274244,13.483665408
1591963771453133413,-170.838081552,-170.928872727,13.656233728
1591963771582596472,159.161918448,159.071127273,13.785696768
1591963771704450949,129.161918448,129.071127273,13.907551488
1591963771891021671,112.465010736,99.0711272732,14.094121984
1591963772097925116,99.8607897913,69.0711272732,14.301025536
1591963772278277954,93.1637940687,61.8554160685,14.481378304
1591963772391891933,63.1637940687,31.8554160685,14.594992384
1591963772498806966,34.3155420708,30.334740375,14.701907456
1591963772686370931,64.3155420708,60.334740375,14.889471232
1591963772803514358,46.0328028026,47.4871094596,15.006614784
1591963772910247923,55.4671153318,60.9311059808,15.113348352
1591963773083743511,77.5885281838,90.9311059808,15.286843904
1591963773234803733,98.587003104,120.674633716,15.437904128
1591963773378150849,77.8447653051,139.986379825,15.581251328
1591963773499987890,107.844765305,151.60619111,15.703088384
1591963773685395144,77.8447653051,165.063289501,15.888495616
1591963773855149824,107.844765305,162.589021196,16.05825024
1591963774000414034,77.8447653051,177.624338871,16.203514368
1591963774192277075,47.8447653051,-174.222374926,16.395377408
1591963774379142525,17.8447653051,-169.824228052,16.582242816
1591963774539083923,47.8447653051,169.749752339,16.742184448
1591963774696387513,17.8447653051,-165.807995975,16.899488
1591963774893746374,-12.1552346949,-158.528587361,17.096846848
1591963775105170044,-20.8255404277,-143.238558086,17.308270336
1591963775299135149,-15.7168280836,-113.238558086,17.502235648
1591963775480706533,-9.01033973655,-83.2385580857,17.683806976
1591963775595321031,-9.28743046963,-53.2385580857,17.798421504
1591963775784705354,-0.90649143557,-23.2385580857,17.987805696
1591963775914633941,2.50366302167,3.13320253774,18.1177344
1591963776086413924,13.3188231698,10.5289789889,18.28951424
1591963776208416472,2.97602945895,3.34403138255,18.411516928
1591963776385516366,32.976029459,22.0607335859,18.588616704
1591963776516724100,5.08957333836,5.21687811738,18.71982464
1591963776689776369,35.0895733384,29.7438955881,18.8928768
1591963776831323807,8.82751059026,8.06379968721,19.03442432
1591963776990211643,38.8275105903,37.9666708575,19.193312
1591963777183569182,68.8275105903,21.7966524933,19.386669568
1591963777310173015,98.8275105903,18.7065762689,19.513273344
1591963777480572013,128.82751059,23.0077293427,19.68367232
1591963777589072200,152.09141968,31.9693882807,19.792172544
1591963777782736312,136.702066683,61.9693882807,19.9858368
1591963777900090109,166.702066683,91.9693882807,20.103190528
