%time,field.star_effort,field.port_effort,secs_since_start
1591963758001011405,29.2999763782,28.1219611542,0.0
1591963758192933667,32.7236801296,29.0797108546,0.191922176
1591963758399347383,36.2067117971,28.8810021298,0.398336
1591963758585786833,38.8635139314,27.9188075125,0.584775424
1591963758696119253,57.1121612369,35.1839132626,0.69510784
1591963758828277962,56.8100828914,49.4234358012,0.82726656
1591963758984952920,42.2214613759,24.1551690751,0.983941376
1591963759100294837,59.9481660959,51.1584228919,1.099283456
1591963759307667923,53.231533288,22.360679775,1.306656512
1591963759477937349,56.3334012864,22.360679775,1.476925952
1591963759593055754,50.2662440503,22.360679775,1.592044288
1591963759729672575,56.6090907792,22.360679775,1.728660992
1591963759893273539,39.4311858773,22.360679775,1.892262144
1591963760098686296,38.027726333,22.360679775,2.097674752
1591963760285988533,36.3364419214,22.360679775,2.284977152
1591963760396827261,32.3259355834,16.5055854193,2.39581568
1591963760598107324,30.6228719446,22.360679775,2.597095936
1591963760781804663,30.1296057063,29.6241602854,2.780793088
1591963760898394078,28.00184207,33.0183960598,2.897382656
1591963761093812237,33.0359231768,32.9676628463,3.092800768
1591963761283393031,34.3019869836,29.8402348256,3.282381568
1591963761393808750,35.8918039986,27.3678043918,3.392797184
1591963761580447609,38.6889071632,24.057899038,3.579436032
1591963761703611717,53.8537317321,53.3814187176,3.702600192
1591963761837665305,53.6622378419,52.2938571814,3.836653824
1591963761950120819,54.0169190244,51.3554393228,3.949109248
1591963762100347202,79.8244087305,25.0733819269,4.09933568
1591963762281318335,86.9666494774,22.360679775,4.280306944
1591963762445041551,51.8184266534,36.5825742684,4.444030208
1591963762581828459,58.3554052924,32.5059217294,4.580816896
1591963762742527780,38.2954782948,32.3950270416,4.741516288
1591963762898273838,49.4110049897,45.4273450804,4.897262336
1591963763091821505,50.4323198625,50.6250480261,5.090810112
1591963763278104951,51.4455794024,52.3326294533,5.277093376
1591963763394721730,49.85083733,50.9787916418,5.393710336
1591963763596114615,46.903402651,48.0795052339,5.595103232
1591963763794167047,43.490988779,44.1711252183,5.793155584
