%time,field.star_effort,field.port_effort,secs_since_start
1591960388461065929,20.3275956673,20.1238994006,0.0
1591960388579778617,19.1879617949,18.6721324132,0.118712576
1591960388761286915,18.2289845941,10.4085715821,0.300220928
1591960388877223751,26.5555995256,22.360679775,0.416157696
1591960389062347840,25.715181085,15.8831105394,0.601281792
1591960389174761636,35.7776556977,31.5583172295,0.713695744
1591960389360383424,32.6326558875,25.6114407222,0.899317504
1591960389476276107,43.2972152245,38.9090009017,1.01521024
1591960389659779904,38.526057515,32.4058483314,1.198713856
1591960389776977664,47.3671126534,43.1531931341,1.31591168
1591960389880995666,47.9152762951,43.703864347,1.4199296
1591960390060478052,40.4991986212,35.8543245423,1.599411968
1591960390179866536,48.0359519731,44.2007264403,1.71880064
1591960390360891534,38.7667511978,35.5747567691,1.899825664
1591960390486008108,45.5877828451,42.5164330635,2.02494208
1591960390661343695,34.4526791433,32.671125494,2.20027776
1591960390783122006,38.9448933081,36.4244207155,2.322055936
1591960390963855957,28.7875734458,27.7813948747,2.502789888
1591960391083707722,26.9688135592,25.1175490994,2.622641664
1591960391260906540,20.8867683172,20.4072439506,2.799840512
1591960391386064876,18.6414936889,18.7775830692,2.924998912
1591960391560286637,16.9161824936,15.1752369912,3.099220736
1591960391683286107,22.360679775,22.360679775,3.222220032
1591960391860593567,24.4240184303,20.4735936743,3.39952768
1591960391982928498,46.2535357972,45.1542634823,3.5218624
1591960392160391566,33.0091166369,28.9193655297,3.699325696
1591960392284419088,51.115437171,49.1827375916,3.823353088
1591960392458738418,39.6119544407,35.68805541,3.997672448
1591960392584239963,53.0992841193,50.1255566547,4.123173888
1591960392760741061,43.4368282136,39.0087726946,4.299675136
1591960392874433322,49.9989791184,46.3145642106,4.413367296
1591960393059184698,42.5938393201,38.0586791076,4.598118656
1591960393177776841,44.1681798286,39.972888997,4.716710912
1591960393357929199,38.1722408887,34.2868523748,4.896863232
1591960393475167307,35.1719220281,31.082787817,5.014101248
1591960393660078639,31.9857319693,29.1565706837,5.199012608
1591960393780142755,25.8734871558,25.0153235779,5.319076864
1591960393958988710,26.1544665786,27.1666112981,5.497922816
1591960394072844477,24.8916114037,27.4703856332,5.61177856
1591960394177213492,26.3362543163,28.8493990814,5.716147456
1591960394359806235,18.2163472539,18.2539563249,5.898740224
1591960394476050731,27.9682317146,29.0254090633,6.014984704
1591960394661984150,19.8424958146,15.4562741477,6.200918272
1591960394778944926,23.1508649806,22.8864606557,6.31787904
1591960394959974060,22.360679775,17.0796077497,6.49890816
1591960395083011381,17.0987571517,13.7524624747,6.621945344
1591960395264200885,22.360679775,22.360679775,6.803134976
1591960395381039644,13.6261752372,14.4950689493,6.919973632
1591960395486001366,12.4661298191,22.360679775,7.024935424
1591960395661488924,27.7609001905,28.319061941,7.200422912
1591960395779468325,23.1845964179,27.4065335959,7.318402304
1591960395962603326,25.9170088224,29.1225080981,7.50153728
1591960396089249945,23.0399059472,29.3371130082,7.628184064
1591960396260568671,20.1936714811,24.1019893032,7.799502592
1591960396379226028,22.360679775,25.2952166837,7.918160128
1591960396561881809,13.2551682607,15.2135307227,8.100815872
1591960396685884528,1.54733580037,12.8482796258,8.224818432
1591960396858869827,1.05330008633,7.85417028118,8.397803776
1591960396984061611,22.360679775,22.360679775,8.522995712
1591960397159509511,18.853852863,22.360679775,8.69844352
1591960397277672586,27.6607130306,22.360679775,8.81660672
1591960397458970719,27.5027481198,26.9271167618,8.99790464
1591960397577621691,48.4332664723,47.7017612399,9.116555776
1591960397759731288,32.5733235565,36.7036418373,9.298665216
1591960397872143993,52.7433882638,53.0538331623,9.411077888
1591960397975021294,53.1353012229,53.5027543081,9.513955328
1591960398159276338,33.6533542115,37.9097824359,9.698210304
1591960398273708657,52.8055790889,53.0191943335,9.81264256
1591960398459612362,31.293397232,34.2271789355,9.998546432
1591960398579757187,48.6400893488,48.5442596967,10.118691328
1591960398763768867,27.1718934597,28.8938197009,10.302702848
1591960398882452349,38.185221601,37.6855799961,10.42138624
1591960399066583416,17.9339846095,17.9139768937,10.605517312
1591960399183155890,16.710791243,15.9159996115,10.722089984
1591960399361070432,10.4709171783,10.8895473622,10.900004352
1591960399479282580,22.360679775,22.360679775,11.018216704
1591960399594006096,24.6785820373,24.8156560198,11.132940032
1591960399764557326,22.360679775,23.7935292792,11.303491328
1591960399884987661,46.9253745535,48.1698826994,11.423921664
1591960400062485086,29.7606153966,32.9697621646,11.601419008
1591960400185126712,51.5667284472,53.4606741955,11.724060672
1591960400359944165,37.7539512287,41.3577991575,11.898878208
1591960400486202937,51.0364381468,53.8566575621,12.025136896
1591960400660015798,40.8647844847,45.3534092894,12.198949888
1591960400776590270,46.9563141324,50.6827248838,12.315524352
1591960400958533822,40.8087609719,45.9127101787,12.497467904
1591960401074707121,37.810574554,41.9379314592,12.613641216
1591960401259563578,37.0303088782,42.151453642,12.798497536
1591960401378453929,30.6541787256,32.6486159902,12.917388032
1591960401561131970,39.6301216559,39.0887733008,13.100066048
1591960401679504305,35.4372922767,33.3017574543,13.2184384
1591960401861342657,38.3572670431,36.099543107,13.400276736
1591960401979049717,42.7506791513,37.7064561746,13.517983744
1591960402085715602,46.4844355893,45.5541367493,13.624649728
1591960402259697906,31.1362003758,32.8936812926,13.798631936
1591960402383000403,50.0372553029,51.0244740263,13.921934336
1591960402561858853,27.6164972759,34.5687303234,14.100792832
1591960402676404738,50.0014555478,52.5283590563,14.215338752
1591960402779196879,49.3351620202,52.3805425499,14.318130944
1591960402960917227,33.7315070376,38.8252240314,14.499851264
1591960403081807098,43.9189478145,48.0187434077,14.62074112
1591960403259573880,33.725168118,38.8119679379,14.798507776
1591960403383172941,34.7946461392,39.9421511561,14.92210688
1591960403558829617,30.3141174042,35.7422696022,15.097763584
1591960403680999528,22.5452683031,27.5979937124,15.21993344
