%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1591962133475828370,152.395616102,1128.15208645,0.00102759021898,3.20672137416e-14,2.50618346579e-13,-3.56222130815e-14,1.34620640373e-15,-7.21942152327e-15,-2.10900336085e-20,0.0
1591962133575906219,152.395616102,1128.15208645,0.00102759021898,3.22018355375e-14,2.4989639823e-13,-3.56222151905e-14,1.34620640373e-15,-7.21942152327e-15,-2.10900336085e-20,0.100077824
1591962133675738976,152.395616102,1128.15208645,0.00102759021898,3.23361870845e-14,2.49175899169e-13,-3.56222172953e-14,1.34620640373e-15,-4.38293179961e-15,-2.10900336085e-20,0.1999104
1591962133777313124,152.395616102,1128.15208645,0.00102759021898,3.24706297843e-14,2.48738185322e-13,-3.56222194015e-14,1.34620640373e-15,-1.5445176171e-15,-2.10900336085e-20,0.301484544
1591962133875897670,152.395616102,1128.15208645,0.00102759021898,3.26052961936e-14,2.48583681049e-13,-3.56222215112e-14,1.34620640373e-15,1.29861962113e-15,-2.10900336085e-20,0.40006912
1591962133975586901,152.395616102,1128.15208645,0.00102759021898,3.27398066161e-14,2.48713436689e-13,-3.56222236185e-14,1.34620640373e-15,4.13846359525e-15,-2.10900336085e-20,0.499758336
1591962134075688859,152.395616102,1128.15208645,0.00102759021898,3.28743963159e-14,2.49127187932e-13,-3.5622225727e-14,1.34620640373e-15,6.97998130648e-15,1.77261733868e-20,0.59986048
1591962134175577901,152.395616102,1128.15208645,0.00102759021898,3.30088890855e-14,2.49824523062e-13,-3.56222239561e-14,1.34620640373e-15,9.81945258612e-15,5.65144253522e-20,0.699749376
1591962134275577765,152.395616102,1128.15208645,0.00102759021898,3.31434425168e-14,2.50805978086e-13,-3.56222183074e-14,1.34620640373e-15,9.81945258612e-15,5.65144253522e-20,0.799749376
1591962134375770767,152.395616102,1128.15208645,0.00102759021898,3.32781317143e-14,2.51788423412e-13,-3.56222126531e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,0.8999424
1591962134475834117,152.395616102,1128.15208645,0.00102759021898,3.34126286565e-14,2.5248536585e-13,-3.56222108878e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,1.000005632
1591962134577702935,152.395616102,1128.15208645,0.00102759021898,3.35470729611e-14,2.53182035529e-13,-3.56222091232e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,1.101874432
1591962134675693109,152.395616102,1128.15208645,0.00102759021898,3.36815362024e-14,2.53878803335e-13,-3.56222073583e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,1.199864576
1591962134775752441,152.395616102,1128.15208645,0.00102759021898,3.38162051794e-14,2.54576637231e-13,-3.56222055907e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,1.299923968
1591962134875734682,152.395616102,1128.15208645,0.00102759021898,3.39506427439e-14,2.55273271983e-13,-3.56222038261e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,1.399906304
1591962134977457973,152.395616102,1128.15208645,0.00102759021898,3.40851367974e-14,2.55970199453e-13,-3.56222020608e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,1.50162944
1591962135075700604,152.395616102,1128.15208645,0.00102759021898,3.42198449316e-14,2.56668236256e-13,-3.56222002927e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,1.599872
1591962135176411797,152.395616102,1128.15208645,0.00102759021898,3.4354306889e-14,2.57364997409e-13,-3.56221985279e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,1.700583424
1591962135275830791,152.395616102,1128.15208645,0.00102759021898,3.448894377e-14,2.58062664988e-13,-3.56221967607e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,1.800002304
1591962135377811758,152.395616102,1128.15208645,0.00102759021898,3.46234310833e-14,2.58759557531e-13,-3.56221949955e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,1.901983232
1591962135475923541,152.395616102,1128.15208645,0.00102759021898,3.47581392176e-14,2.59457594334e-13,-3.56221932274e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,2.000094976
1591962135575865312,152.395616102,1128.15208645,0.00102759021898,3.48927680746e-14,2.60155220335e-13,-3.56221914603e-14,1.34620640373e-15,6.97583423317e-15,1.76695227964e-20,2.100036864
