%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1591961059706526809,-58.8712406376,90,2,0.0
1591961059885987303,-42.0253109331,90,2,0.179460608
1591961060011950982,-66.3643478401,90,2,0.305424384
1591961060185672062,-51.9035436225,90,2,0.479145216
1591961060314212815,-71.4483525185,90,2,0.607686144
1591961060485514840,-57.2381466981,90,2,0.778988032
1591961060613642693,-76.2541607835,90,2,0.907116032
1591961060784778859,-55.2924709418,90,2,1.078252032
1591961060914995135,-77.7624652574,90,2,1.20846848
1591961061085767775,-49.2091109732,90,2,1.37924096
1591961061215366335,-75.4500421264,90,2,1.50883968
1591961061387841183,-35.3307856187,90,2,1.68131456
1591961061514176382,-68.9974221593,90,2,1.807649536
1591961061687268934,-17.7820083283,90,2,1.980742144
1591961061815589534,-59.5997027731,90,2,2.109062912
1591961061987672563,29.8717236497,90,2,2.281145856
1591961062111691729,-47.9643696678,90,2,2.405165056
1591961062285354457,46.3018756296,90,2,2.578827776
1591961062412189093,-36.5404021407,90,2,2.705662464
1591961062584565134,55.7605905263,90,2,2.878038528
1591961062708593672,-20.6749383371,90,2,3.002066944
1591961062884161477,56.0231583485,90,2,3.177634816
1591961063011981351,-2.78697433717,90,2,3.305454592
1591961063184701410,52.0981443116,90,2,3.47817472
1591961063310084334,-12.7748456895,90,2,3.603557632
1591961063484128470,39.8698138412,90,2,3.777601792
1591961063608856442,-26.8291771312,90,2,3.9023296
1591961063784639385,11.3396295384,90,2,4.078112768
1591961063909554868,-39.7770517763,90,2,4.203028224
1591961064017335409,-44.26094813,90,2,4.310808576
1591961064188045698,-47.1405165697,90,2,4.481519104
1591961064312149306,-56.3004363695,90,2,4.605622528
1591961064487700817,-63.3295925988,90,2,4.781174016
1591961064612812842,-63.756029338,90,2,4.90628608
1591961064784610044,-70.5813856552,90,2,5.078083328
1591961064912403069,-71.8049992906,90,2,5.205876224
1591961065086069226,-78.6743881165,90,2,5.379542528
1591961065214030753,-77.4549999134,90,2,5.507504128
1591961065386611338,-80.2856582556,90,2,5.680084736
1591961065512720520,-81.3320453101,90,2,5.80619392
1591961065684293016,-79.3065219713,90,2,5.9777664
1591961065814647201,-83.3080511245,90,2,6.108120576
1591961065987500063,-75.201863121,90,2,6.280973312
1591961066110858235,-83.9601251525,90,2,6.40433152
1591961066285560135,-68.0135624834,90,2,6.579033344
1591961066416019415,-82.6542055529,90,2,6.709492736
1591961066527910128,-81.8959095396,90,2,6.821383424
1591961066684928326,-52.6006017268,90,2,6.978401536
1591961066813609414,-78.5422329377,90,2,7.107082752
1591961066984296971,-41.5263519997,90,2,7.27777024
1591961067111040769,-73.5919136093,90,2,7.404514048
1591961067284907664,-31.1660922195,90,2,7.578381056
1591961067412099934,-66.5665209134,90,2,7.70557312
1591961067585893318,3.6527712672,90,2,7.879366656
1591961067711792762,-58.5898043834,90,2,8.00526592
1591961067884876525,31.8069059602,90,2,8.178349824
1591961068012647245,-48.1541628124,90,2,8.306120448
1591961068186721275,46.1044580087,90,2,8.48019456
1591961068312749784,-39.1978516766,90,2,8.606223104
1591961068419874487,-37.408213702,90,2,8.71334784
1591961068588630827,41.846509327,90,2,8.882104064
1591961068715858209,-32.2067067269,90,2,9.009331456
1591961068884639485,-16.9484335281,90,2,9.178112768
1591961069013381170,-32.5388108798,90,2,9.3068544
1591961069188182581,-49.1486319063,90,2,9.481655808
1591961069310268681,-34.3198065231,90,2,9.603741952
1591961069420364077,-34.872334656,90,2,9.713837312
1591961069587296671,-65.2011618379,90,2,9.880770048
1591961069711395783,-36.3662884067,90,2,10.00486912
1591961069888086275,-67.6037140336,90,2,10.181559552
1591961070018712768,-37.7229174107,90,2,10.312186112
1591961070186092557,-66.0581739601,90,2,10.479565824
1591961070311885444,-40.963640942,90,2,10.605358848
1591961070484828011,-63.5855770362,90,2,10.778301184
1591961070612411661,-46.0053034212,90,2,10.905884928
1591961070784928366,-60.705121296,90,2,11.078401536
1591961070913677475,-52.3849693601,90,2,11.207150848
1591961071084938825,-59.2865681608,90,2,11.378412032
1591961071208640396,-58.8340065092,90,2,11.502113792
1591961071387871639,-56.6623132268,90,2,11.681345024
1591961071508277549,-63.7859081857,90,2,11.801750784
1591961071686402198,-55.5087034445,90,2,11.979875584
1591961071809583235,-68.1286147084,90,2,12.10305664
1591961071984375923,-56.800366039,90,2,12.277849088
1591961072112130761,-72.1753767514,90,2,12.405604096
1591961072292588492,-55.3676554264,90,2,12.586061824
1591961072412778869,-74.4208108345,90,2,12.706252032
1591961072586015145,-57.2049419037,90,2,12.879488512
1591961072717508203,-76.9859828028,90,2,13.010981376
1591961072892665268,-55.7208626512,90,2,13.186138624
1591961073014360709,-78.0279139318,90,2,13.307834112
1591961073186804454,-53.0803735142,90,2,13.48027776
1591961073312163673,-77.8307645285,90,2,13.605636864
1591961073485040489,-47.3540307623,90,2,13.778513664
1591961073613438754,-76.3657250836,90,2,13.906912
1591961073784498855,-38.3673449025,90,2,14.077972224
1591961073908995959,-73.0940235842,90,2,14.20246912
1591961074085831684,-29.9715171334,90,2,14.37930496
1591961074210451645,-67.1072725281,90,2,14.503924992
1591961074386854343,-7.6773420996,90,2,14.68032768
1591961074511327148,-58.4176323046,90,2,14.804800512
1591961074688545887,32.1220279617,90,2,14.982019072
1591961074813386926,-43.3554862408,90,2,15.106860288
1591961074987169183,50.6433239161,90,2,15.28064256
1591961075116375357,-25.0904494233,90,2,15.409848576
1591961075286741478,61.764988401,90,2,15.580214784
1591961075412562628,30.3797833075,90,2,15.706035968
1591961075586943975,73.2623755979,90,2,15.88041728
1591961075715380970,50.1421993931,90,2,16.008854272
1591961075886037038,83.4187305371,90,2,16.179510272
1591961076013646678,62.3857380285,90,2,16.307119872
1591961076184799898,91.0077002892,90,2,16.47827328
1591961076317974759,71.803340611,90,2,16.611448064
1591961076486972870,93.5843873019,90,2,16.780446208
1591961076615053211,76.2914469535,90,2,16.908526592
1591961076783254428,89.4007627605,90,2,17.076727808
1591961076911941144,77.2582824603,90,2,17.2054144
1591961077086986787,81.4762417343,90,2,17.380460032
1591961077217966613,73.0054679601,90,2,17.511439872
1591961077379858950,68.3894662669,90,2,17.673332224
1591961077488594796,63.0091351739,90,2,17.782067968
1591961077681551288,47.6234124895,90,2,17.97502464
1591961077784158898,44.2315305507,90,2,18.077632256
1591961077909681395,36.5778438594,90,2,18.203154688
1591961078088287297,-48.71681188,90,2,18.381760512
1591961078213373430,-25.5236385999,90,2,18.50684672
1591961078385053973,-70.0950975491,90,2,18.678527232
1591961078508446918,-52.9783233319,90,2,18.801920256
1591961078613959582,-58.0974523565,90,2,18.90743296
1591961078783499580,-88.4293979102,90,2,19.0769728
1591961078912230139,-71.3741840186,90,2,19.205703424
1591961079085837896,-97.1162853834,90,2,19.379311104
1591961079211371835,-80.3084849023,90,2,19.504845056
1591961079385779747,-97.6501756297,90,2,19.679252992
1591961079511644842,-86.6126633826,90,2,19.805118208
1591961079684784198,-94.5821658676,90,2,19.978257408
1591961079816602070,-89.0826636622,90,2,20.110075392
1591961079984078094,-84.2920027969,90,2,20.27755136
1591961080111697450,-87.8983900715,90,2,20.405170688
1591961080285433895,-70.7818795896,90,2,20.578907136
1591961080410312479,-84.1757952095,90,2,20.703785728
1591961080585007247,-52.4409291299,90,2,20.87848064
1591961080709108997,-78.5530114344,90,2,21.002582272
1591961080885730817,-41.5467346608,90,2,21.179204096
1591961081010227318,-70.133904322,90,2,21.30370048
1591961081184582923,-21.7788909499,90,2,21.478056192
1591961081309201474,-60.2902071151,90,2,21.602674688
1591961081485857948,28.4523350617,90,2,21.779331328
1591961081609142783,-44.6566901383,90,2,21.902616064
1591961081788727910,49.4997421239,90,2,22.082201088
1591961081912695029,-18.5958269784,90,2,22.20616832
1591961082086284277,64.0206190491,90,2,22.379757568
1591961082213399963,24.6258434981,90,2,22.506873344
1591961082387049763,71.0695195737,90,2,22.680523008
1591961082512588637,36.1327842058,90,2,22.806061824
1591961082686053552,75.8289030575,90,2,22.979526912
1591961082811377771,41.5798167482,90,2,23.104850944
1591961082986809843,78.5705135866,90,2,23.280283136
1591961083112954884,41.5798167482,90,2,23.40642816
1591961083285766473,78.5705135866,90,2,23.57923968
1591961083415484391,41.5798167482,90,2,23.708957696
1591961083586129624,78.5705135866,90,2,23.879602944
1591961083711366069,41.5798167482,90,2,24.004839424
1591961083883734570,61.029470724,90,2,24.177207808
1591961084014736746,15.7788351641,90,2,24.30820992
1591961084186430781,39.9992715014,90,2,24.479904
1591961084312002712,-24.9541902523,90,2,24.605476096
1591961084486609901,-27.6205261463,90,2,24.7800832
1591961084610208995,-40.8720589656,90,2,24.903682304
1591961084786626080,-54.8256504095,90,2,25.080099328
1591961084908672609,-51.5742499431,90,2,25.202145792
