%time,field.port,field.star,secs_since_start
1591961322483279293,-86.4238463088,-96.1670230416,0.0
1591961322608387561,-65.1721642003,-66.1670230416,0.125108224
1591961322782235517,-86.2121317096,-88.849486023,0.298956032
1591961322910993331,-56.2594483818,-58.849486023,0.427714048
1591961323084612016,-86.2594483818,-79.3180823066,0.601332736
1591961323213843761,-56.2594483818,-49.3180823066,0.730564352
1591961323383326224,-86.2594483818,-69.600928476,0.900046848
1591961323507000290,-61.560622524,-39.600928476,1.02372096
1591961323682392007,-91.560622524,-61.4194823988,1.199112704
1591961323807603978,-83.1685565243,-37.4007705184,1.324324608
1591961323983142823,-113.168556524,-51.0124231086,1.499863552
1591961324108670947,-126.827874533,-44.3856445661,1.625391616
1591961324282765936,-156.827874533,-39.8368394281,1.799486464
1591961324411180855,-156.384760581,-63.1202702501,1.92790144
1591961324584297162,175.567725955,-33.1202702501,2.101017856
1591961324709624182,-168.405171202,-63.1202702501,2.226344704
1591961324818906843,-171.823875338,-93.1202702501,2.33562752
1591961324985736573,158.176124662,-123.12027025,2.502457088
1591961325115900381,-178.377733513,-153.12027025,2.632621056
1591961325282624586,151.622266487,176.87972975,2.799345152
1591961325415314850,175.585013393,150.168514229,2.932035584
1591961325582055381,145.585013393,120.168514229,3.098776064
1591961325709137900,165.998758332,90.1685142293,3.22585856
1591961325885835410,135.998758332,88.3485634301,3.40255616
1591961326008578142,140.00592218,58.3485634301,3.525298688
1591961326183809368,110.00592218,80.6336500079,3.70052992
1591961326308077198,80.0059221804,50.6336500079,3.824797952
1591961326483127409,87.0850170573,68.6025338011,3.999847936
1591961326623607736,57.0850170573,38.6025338011,4.140328448
1591961326784597169,27.0850170573,23.3860190544,4.301317888
1591961326907628305,5.681879925,4.19211716969,4.424348928
1591961327082649033,-24.318120075,-25.8078828303,4.599369728
1591961327209323130,-5.88563899451,-4.95590002077,4.726043648
1591961327384162879,-35.8856389945,-34.9559000208,4.900883456
1591961327511870969,-17.6321903859,-16.0495777631,5.028591616
1591961327685471983,-47.6321903859,-46.0495777631,5.20219264
1591961327811297188,-28.1267653847,-27.2220751665,5.32801792
1591961327983885121,-58.1267653847,-57.2220751665,5.500605696
1591961328113049020,-37.2599993581,-37.5213013663,5.629769728
1591961328282128483,-67.2599993581,-67.5213013663,5.798849024
1591961328409476371,-46.6967701836,-47.4563666111,5.926196992
1591961328584693526,-73.9683004393,-77.4563666111,6.101414144
1591961328710523219,-56.6851207417,-56.9961832961,6.227243776
1591961328882184574,-77.1331360262,-86.9961832961,6.398905088
1591961329012024244,-68.9655179509,-67.4121673393,6.52874496
1591961329183100657,-80.7860558747,-97.4121673393,6.699821312
1591961329312225619,-83.9777491515,-78.5314647404,6.828946176
1591961329482265345,-86.0687448754,-99.456705577,6.998985984
1591961329607642487,-102.168838215,-89.7546258417,7.124363008
1591961329783188440,-95.0855395934,-101.977700395,7.29990912
1591961329907264861,-116.867486084,-95.7652434667,7.423985408
1591961330082367011,-112.589407149,-106.122102106,7.599087616
1591961330211181669,-131.191712908,-94.8141639694,7.727902208
1591961330383612081,-161.191712908,-124.814163969,7.9003328
1591961330509386776,-133.998176747,-94.8141639694,8.026107392
1591961330683415607,-163.998176747,-64.8141639694,8.200136192
1591961330845190057,-133.998176747,-34.8141639694,8.361910784
1591961330982959890,-163.998176747,-4.81416396938,8.499680512
1591961331108735747,-133.998176747,-3.37598376118,8.625456384
1591961331284367029,-163.998176747,26.6240162388,8.801087744
1591961331410290456,-133.998176747,-0.963461473128,8.927011072
1591961331583971752,-163.998176747,29.0365385269,9.10069248
1591961331724633994,-133.998176747,0.206366187681,9.241354752
1591961331882869268,-163.998176747,30.2063661877,9.399589888
1591961332011897232,-133.998176747,0.206366187681,9.528617984
1591961332183257087,-163.998176747,20.0036147063,9.699977728
1591961332311974901,-133.998176747,-6.58784454132,9.828695552
1591961332482516182,-155.15694011,-19.1990854576,9.999236864
1591961332612536694,-125.15694011,-16.2209839038,10.129257216
1591961332783223559,-140.933706207,-46.2209839038,10.299944192
1591961332910850087,-154.73120476,-55.6646589556,10.427570688
1591961333082535001,-152.125802876,-85.6646589556,10.599255552
1591961333213845821,-169.264907369,-115.664658956,10.7305664
1591961333383871808,-167.635351664,-145.664658956,10.900592384
1591961333512500923,-175.652967761,-172.281263036,11.029221632
1591961333682449527,176.390340647,174.896917483,11.199170048
1591961333807277176,179.01888889,178.491701166,11.323997696
1591961333982437295,159.716885238,154.035670991,11.499158016
1591961334107773797,173.830479002,171.124105509,11.624494336
1591961334282613766,147.316822006,141.124105509,11.7993344
1591961334407272577,167.616279969,162.853114083,11.923993344
1591961334583637959,137.616279969,133.423050941,12.100358656
1591961334699146377,159.776103226,151.978674584,12.215867136
1591961334813318188,156.422175678,146.968307996,12.330038784
1591961334983771128,126.44848656,130.28306642,12.500491776
1591961335112004038,134.248526675,112.490325049,12.628724736
1591961335281722675,110.614283469,142.490325049,12.798443264
1591961335409398882,80.6142834686,112.490325049,12.926119424
1591961335583889471,50.6142834686,142.490325049,13.100610048
1591961335708163623,20.6142834686,112.490325049,13.224884224
