%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1590598179163184621,0.17611598596,90,2,0.0
1590598179365900813,0.207970943302,90,2,0.20271616
1590598179560758411,0.231370236725,90,2,0.397573888
1590598179759516938,0.247854366899,90,2,0.596332288
1590598179965202180,0.259324815124,90,2,0.802017536
1590598180164280051,0.266666151583,90,2,1.001095424
1590598180364784864,0.270933378488,90,2,1.201600256
1590598180565833506,-0.137496460229,90,2,1.402648832
1590598180759963060,-0.0962030142546,90,2,1.596778496
1590598180962887122,-0.0116772018373,90,2,1.799702528
1590598181163444753,0.0596355646849,90,2,2.000260096
1590598181361657625,0.113102979958,90,2,2.19847296
1590598181563143131,0.152796879411,90,2,2.399958528
1590598181768434744,0.18186122179,90,2,2.605250048
1590598181959945734,0.202491227537,90,2,2.796761088
1590598182163710614,0.216863304377,90,2,3.00052608
1590598182361711243,0.226669944823,90,2,3.19852672
1590598182563559546,0.232966896147,90,2,3.400374784
1590598182760989626,-0.102624110878,90,2,3.597805056
1590598182962412471,-0.166994147003,90,2,3.799227904
1590598183163481072,-0.087277777493,90,2,4.000296448
1590598183361007673,-0.00837743282318,90,2,4.197822976
1590598183565592828,0.0525686889887,90,2,4.402408192
1590598183759938020,0.0981907360256,90,2,4.596753408
1590598183962492095,0.131792016327,90,2,4.79930752
1590598184160371761,0.155964493752,90,2,4.997187072
1590598184369013229,0.173448305577,90,2,5.205828608
1590598184562073567,0.18558036536,90,2,5.39888896
1590598184766023094,0.193761102855,90,2,5.602838528
1590598184961033203,-0.195181369781,90,2,5.797848576
1590598185164739119,-0.18902765587,90,2,6.001554432
1590598185362661730,-0.104224123061,90,2,6.199476992
1590598185566030305,-0.0451400876045,90,2,6.402845696
1590598185761060223,0.0274368561804,90,2,6.597875456
1590598185961562763,0.0699401833117,90,2,6.79837824
1590598186165371930,0.101219117641,90,2,7.002187264
1590598186359079758,0.123746413738,90,2,7.19589504
1590598186563971987,0.140030309558,90,2,7.400787456
1590598186759669574,0.151429045945,90,2,7.596484864
1590598186959928723,0.158894620836,90,2,7.796744192
1590598187164218510,-0.176058430225,90,2,8.001033984
1590598187363719384,-0.241232756525,90,2,8.200534784
1590598187559182163,-0.161589682102,90,2,8.39599744
1590598187760495340,-0.082831364125,90,2,8.59731072
1590598187962749197,-0.0354593619704,90,2,8.799564544
1590598188161715614,0.0224963761866,90,2,8.998531072
1590598188364416653,0.0563119538128,90,2,9.201232128
1590598188561130234,0.0810266472399,90,2,9.3979456
1590598188762388166,0.0987226143479,90,2,9.599203584
1590598188964485299,0.0552913174033,90,2,9.801300736
1590598189159296651,0.172653235495,90,2,9.996112128
1590598189365772173,-0.121000595391,90,2,10.202587648
1590598189558772907,-0.195913109928,90,2,10.395588352
1590598189759316145,-0.103691220284,90,2,10.596131584
1590598189973792569,-0.12652920559,90,2,10.810607872
1590598190179306965,-0.261923018843,90,2,11.016122368
1590598190360863241,-0.274172518402,90,2,11.197678592
1590598190564449056,-0.0252758152783,90,2,11.401264384
1590598190764498087,1.06233581901,90,2,11.601313536
1590598190961166914,-1.66152194142,90,2,11.797982208
1590598191162337953,-2.21211872995,90,2,11.999153408
1590598191358886822,1.46778039634,90,2,12.195702272
1590598191558647046,6.81458711624,90,2,12.3954624
1590598191767906702,15.6641721725,90,2,12.604722176
1590598191961837210,28.2370120287,90,2,12.798652672
1590598192164620834,38.7364536524,90,2,13.00143616
1590598192360882504,47.7312862873,90,2,13.197697792
1590598192561391978,57.0796728134,90,2,13.398207232
1590598192766964278,65.1803076267,90,2,13.603779584
1590598192966254461,69.8188841343,90,2,13.803069696
1590598193161733161,73.3500480652,90,2,13.99854848
1590598193364901160,75.3914892673,90,2,14.20171648
1590598193567919352,76.2404203415,90,2,14.40473472
1590598193759643968,76.1789441109,90,2,14.596459264
1590598193964193953,75.0135958195,90,2,14.801009408
1590598194160774180,72.8191673756,90,2,14.997589504
1590598194362234100,71.2646961212,90,2,15.199049472
1590598194560470060,67.3673450947,90,2,15.397285376
1590598194760679624,60.6903970242,90,2,15.59749504
1590598194967640788,54.7857880592,90,2,15.804456192
1590598195162491005,48.2142716646,90,2,15.99930624
1590598195365150948,42.9882138968,90,2,16.201966336
1590598195563624493,33.8951200247,90,2,16.400439808
1590598195760829903,26.9292831421,90,2,16.597645312
1590598195962211013,19.9909538031,90,2,16.799026432
1590598196163247966,11.9262449443,90,2,17.000063232
1590598196368335175,4.78597767651,90,2,17.205150464
1590598196565549371,-2.76115685701,90,2,17.402364672
1590598196763481257,-9.9424302578,90,2,17.600296704
1590598196963880061,-17.1605050564,90,2,17.800695296
1590598197170713474,-24.460580945,90,2,18.00752896
1590598197361186281,-31.2129795551,90,2,18.198001664
1590598197561406619,-37.632972002,90,2,18.39822208
1590598197759784927,-43.7026768923,90,2,18.59660032
1590598197963340970,-49.352183938,90,2,18.800156416
1590598198160972262,-55.7589650154,90,2,18.997787648
1590598198360309772,-58.8942706585,90,2,19.19712512
1590598198562434408,-60.9503269196,90,2,19.399249664
1590598198761128979,-64.5830929279,90,2,19.59794432
1590598198964645899,-68.1375741959,90,2,19.801461248
1590598199163561241,-72.3305344582,90,2,20.000376576
1590598199364520763,-74.6589660645,90,2,20.201336064
1590598199563758614,-76.8728971481,90,2,20.400573952
1590598199760560755,-77.9584407806,90,2,20.597376
1590598199965641024,-78.5764396191,90,2,20.80245632
1590598200163952890,-78.8801968098,90,2,21.000768256
1590598200366502864,-79.1204690933,90,2,21.203318272
1590598200563358813,-78.8223147392,90,2,21.40017408
1590598200763620282,-78.1846880913,90,2,21.600435712
1590598200961905317,-77.7254939079,90,2,21.798720768
1590598201164261099,-75.5221843719,90,2,22.00107648
1590598201367839839,-74.0928888321,90,2,22.204655104
1590598201563314359,-72.8803813457,90,2,22.400129792
1590598201759678850,-73.9686727524,90,2,22.596494336
1590598201962142230,-77.5653481483,90,2,22.798957568
1590598202163886703,-84.2040777206,90,2,23.000701952
1590598202363249342,-92.2208249569,90,2,23.200064768
1590598202564913058,-96.3824629784,90,2,23.401728512
1590598202760273223,-99.0281224251,90,2,23.597088512
1590598202964980742,-100.0,90,2,23.801796096
1590598203166428486,-100.0,90,2,24.003243776
1590598203362749940,-100.0,90,2,24.199565312
1590598203562414086,-100.0,90,2,24.39922944
1590598203764002412,-100.0,90,2,24.600817664
1590598203960356445,-100.0,90,2,24.797171712
1590598204163901437,-100.0,90,2,25.0007168
1590598204368135931,-100.0,90,2,25.204951296
1590598204564086058,-100.0,90,2,25.400901376
1590598204766845058,-95.7699775696,90,2,25.603660544
1590598204964262858,-94.0295398235,90,2,25.801078272
1590598205165297574,-94.1150128841,90,2,26.002113024
1590598205365401104,-96.030241251,90,2,26.202216448
1590598205565437043,-94.7263360023,90,2,26.402252288
1590598205766408230,-93.3702111244,90,2,26.603223552
1590598205960641724,-92.7243888378,90,2,26.797457152
1590598206159330882,-88.2481098175,90,2,26.996146176
1590598206359620793,-82.8976392746,90,2,27.196436224
1590598206569576536,-76.6206622124,90,2,27.406391808
1590598206763764951,-70.1125919819,90,2,27.600580352
1590598206960952744,-62.0341897011,90,2,27.797768192
1590598207176798233,-59.348320961,90,2,28.013613568
1590598207364225681,-53.7352025509,90,2,28.201041152
1590598207566772495,-45.7029014826,90,2,28.40358784
1590598207766411807,-37.7465844154,90,2,28.603227136
1590598207961822152,-30.5389374495,90,2,28.798637568
1590598208166308355,-23.4739124775,90,2,29.003123712
1590598208366691362,-16.2024259567,90,2,29.203506688
1590598208565351586,-9.56434160471,90,2,29.40216704
1590598208759736966,-4.53441143036,90,2,29.596552448
1590598208963226535,0.0622047111392,90,2,29.800041984
1590598209163130328,3.44173759222,90,2,29.999945728
1590598209364493727,5.6073769927,90,2,30.201309184
1590598209564777492,7.44094699621,90,2,30.401592832
1590598209763829272,5.37258908153,90,2,30.600644608
1590598209960087964,5.52386045456,90,2,30.796903424
1590598210164101586,7.65089541674,90,2,31.000916992
1590598210364282987,9.99489203095,90,2,31.20109824
1590598210559597888,10.5306267738,90,2,31.396413184
1590598210760035576,9.55821946263,90,2,31.596850944
1590598210967991104,8.73779281974,90,2,31.8048064
1590598211165189151,8.91046375036,90,2,32.00200448
1590598211367494570,9.86236184835,90,2,32.204310016
1590598211567201947,10.5242490768,90,2,32.404017408
1590598211762967181,10.754557699,90,2,32.599782656
1590598211960880269,11.5023992956,90,2,32.797695744
1590598212170395410,11.323864013,90,2,33.007210752
1590598212362199328,7.58778601885,90,2,33.199014656
1590598212563082376,3.24305407703,90,2,33.399897856
1590598212759636379,-1.09024513513,90,2,33.59645184
1590598212962939915,-3.25146466494,90,2,33.799755264
1590598213159302327,-6.54422864318,90,2,33.99611776
1590598213365316626,-9.44938510656,90,2,34.202131968
1590598213562380971,-10.0600905716,90,2,34.399196416
1590598213763105954,-11.9652234018,90,2,34.599921408
1590598213962979406,-11.7218673229,90,2,34.799794688
1590598214161375813,-10.4993231595,90,2,34.998191104
1590598214361137820,-10.0562646985,90,2,35.19795328
1590598214560801436,-9.89437103271,90,2,35.397616896
