%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1590598179134736444,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1590598179233914456,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.099177984
1590598179332764594,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.198028288
1590598179431680434,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.296944128
1590598179529329871,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.394593536
1590598179629172691,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.494436352
1590598179730037715,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.595301376
1590598179829773585,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.695037184
1590598179929985310,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.795248896
1590598180035478725,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.9007424
1590598180131477687,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,0.996741376
1590598180229309855,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,1.094573568
1590598180332303658,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,1.197567232
1590598180432022484,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,1.297286144
1590598180531739575,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,1.397003264
1590598180632255606,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,1.497519104
1590598180729196925,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,1.594460416
1590598180831888322,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,1.697152
1590598180932531493,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,1.797795072
1590598181032242450,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,1.897506048
1590598181132404749,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,1.997668352
1590598181233032630,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,2.09829632
1590598181334316099,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,2.199579648
1590598181428981289,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,2.294244864
1590598181532251183,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,2.397514752
1590598181631876849,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,2.49714048
1590598181730624730,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,2.595888384
1590598181830820349,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,2.696083968
1590598181929255334,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,2.79451904
1590598182031940999,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,2.897204736
1590598182130422469,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,2.995686144
1590598182230308083,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,3.095571712
1590598182329314885,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,3.194578432
1590598182429468088,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,3.294731776
1590598182533073720,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,3.39833728
1590598182634139019,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,3.499402752
1590598182732308121,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,3.59757184
1590598182833179872,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,3.69844352
1590598182930719228,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,3.795982848
1590598183029476006,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,3.894739712
1590598183132912270,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,3.998176
1590598183233556353,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,4.098820096
1590598183329555440,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,4.194819072
1590598183433060932,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,4.29832448
1590598183533614539,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,4.398878208
1590598183635885634,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,4.501149184
1590598183731079131,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,4.596342784
1590598183834672876,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,4.699936512
1590598183930330733,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,4.79559424
1590598184034430752,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,4.899694336
1590598184129440061,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,4.994703616
1590598184230599236,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,5.095862784
1590598184330165343,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,5.195428864
1590598184433575399,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,5.29883904
1590598184530410023,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,5.3956736
1590598184634021269,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,5.499284992
1590598184730529261,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,5.595792896
1590598184829942707,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,5.6952064
1590598184930170759,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,5.795434496
1590598185032010642,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,5.897274368
1590598185133372477,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,5.998636032
1590598185229019418,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,6.094283008
1590598185335614832,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,6.200878336
1590598185431879330,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,6.29714304
1590598185532873130,152.387283615,1128.09114409,-0.00138691067289,0.0,0.0,0.0,0.0,0.0,0.0,6.398136832
