%time,field.port,field.star,secs_since_start
1590598179160519404,-142.372342607,-35.5786193111,0.0
1590598179362200160,-142.375429853,-35.5757574619,0.20168064
1590598179559046083,-142.377724796,-35.5736469334,0.39852672
1590598179759004596,-142.379391362,-35.5721477069,0.598485248
1590598179962323657,-142.380593476,-35.5710719521,0.801804288
1590598180161567313,-142.38145408,-35.5703684426,1.001047808
1590598180362356280,-142.382014155,-35.5699176501,1.2018368
1590598180561760164,-142.390265024,-35.5969788596,1.401240832
1590598180759000347,-142.342535662,-35.6027162185,1.598480896
1590598180961825589,-142.353463964,-35.5947385576,1.801306112
1590598181160837263,-142.359706757,-35.588290859,2.000317952
1590598181360731877,-142.365321173,-35.5833321417,2.20021248
1590598181561489664,-142.369337324,-35.5796950659,2.40097024
1590598181763366610,-142.372260645,-35.5770415374,2.602847232
1590598181959184548,-142.374446305,-35.5751290845,2.798665216
1590598182161634571,-142.375921626,-35.5738006127,3.001115136
1590598182360145923,-142.376987136,-35.5728614617,3.199626496
1590598182561557593,-142.377738457,-35.5722330843,3.40103808
1590598182759622884,-142.384855514,-35.5944619349,3.599103488
1590598182960973775,-142.34753536,-35.6056873508,3.8004544
1590598183160778700,-142.345021851,-35.6004861618,4.000259328
1590598183360333836,-142.352876568,-35.5932461612,4.1998144
1590598183563821495,-142.358969097,-35.5876215005,4.403302144
1590598183758942432,-142.363654607,-35.5834072737,4.59842304
1590598183961285262,-142.367069701,-35.5803200282,4.800765952
1590598184159332179,-142.369528569,-35.5781070469,4.998812672
1590598184366470998,-142.371290758,-35.576484877,5.205951488
1590598184559967726,-142.372615815,-35.5753203298,5.39944832
1590598184763253532,-142.37354472,-35.5745177825,5.60273408
1590598184959660159,-142.381863891,-35.6002368599,5.799140608
1590598185161083016,-142.337016869,-35.6078730114,6.000563712
1590598185360629562,-142.343519209,-35.600673992,6.20011008
1590598185566876769,-142.350895813,-35.5949366331,6.406357248
1590598185759867495,-142.354543134,-35.5889294817,6.599347968
1590598185960742029,-142.360949852,-35.5846196323,6.80022272
1590598186163446229,-142.363845852,-35.5817953491,7.002926848
1590598186358334041,-142.366127135,-35.5797223867,7.197814528
1590598186562792774,-142.367807362,-35.5782026696,7.40227328
1590598186758433563,-142.369036796,-35.5771098393,7.597914112
1590598186959191191,-142.369938381,-35.5763653487,7.798671872
1590598187162573738,-142.377219362,-35.5985156522,8.0020544
1590598187363656327,-142.340104114,-35.6096488605,8.203137024
1590598187559027444,-142.337754529,-35.6044032753,8.398508032
1590598187759119827,-142.345581926,-35.5972554823,8.598600448
1590598187961162461,-142.351647134,-35.5926621801,8.800643072
1590598188160314227,-142.35440653,-35.5879425194,8.999794688
1590598188364457213,-142.359419889,-35.584571821,9.203937792
1590598188560451009,-142.36161921,-35.5823588397,9.399931648
1590598188760427425,-142.363477022,-35.5807059339,9.599908096
1590598188962988149,-142.426874838,-35.5465242522,9.802468608
1590598189158769005,-142.458239066,-35.5175300992,9.998249472
1590598189364281339,-142.466134765,-35.5418524028,10.20376192
1590598189558210324,-142.409252949,-35.5668304046,10.39769088
1590598189758241439,-142.344912567,-35.5955889161,10.597722112
1590598189971594113,-142.313124867,-35.6215607104,10.811074816
1590598190167296828,-142.448731443,-35.5572066681,11.006777344
1590598190359508873,-142.871246945,-35.3220944814,11.198989568
1590598190564119744,-143.733927158,-34.8280566534,11.403600384
1590598190761768134,-144.946244754,-34.0271998978,11.601248768
