%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1590600145126352242,-5.82417957485,90,2,0.0
1590600145327947042,-6.04744628072,90,2,0.20159488
1590600145527109273,-5.80402053893,90,2,0.400757248
1590600145726591692,-6.21980912983,90,2,0.600239616
1590600145928350615,-6.10746480525,90,2,0.801998592
1590600146128458233,-6.17771372199,90,2,1.002106112
1590600146329200035,-6.13174363971,90,2,1.202848
1590600146525302245,-5.91321438551,90,2,1.398950144
1590600146725218513,-6.00468851626,90,2,1.598866432
1590600146928362283,-5.96207492054,90,2,1.802010112
1590600147131583816,-5.84631823003,90,2,2.005231616
1590600147327783331,-5.88330477476,90,2,2.201431296
1590600147525710244,-5.79608418047,90,2,2.399358208
1590600147727526758,-5.91373555362,90,2,2.601174528
1590600147926247022,-5.6526876986,90,2,2.799894784
1590600148126437457,-5.67466281354,90,2,3.000085248
1590600148326920723,-5.49136437476,90,2,3.200568576
1590600148524331496,-5.47156706452,90,2,3.397979392
1590600148727901323,-5.39362616837,90,2,3.601549312
1590600148927325835,-5.35218417645,90,2,3.800973824
1590600149127886724,-5.24645969272,90,2,4.00153472
1590600149323331998,-5.03723099828,90,2,4.196979968
1590600149527379165,-4.89989407361,90,2,4.401027072
1590600149724898977,-4.87381666899,90,2,4.598546944
1590600149925332976,-4.60362955928,90,2,4.798980864
1590600150136255650,-4.57949526608,90,2,5.009903616
1590600150325328335,-4.42933999002,90,2,5.198976256
1590600150529189524,-4.12936806679,90,2,5.402837504
1590600150737364317,-4.01728898287,90,2,5.611012096
1590600150925036534,-3.83452959359,90,2,5.798684416
1590600151136465483,-3.7186101079,90,2,6.01011328
1590600151343630878,-3.76048199832,90,2,6.21727872
1590600151523791350,-3.72636839747,90,2,6.397439232
1590600151728280967,-3.61859947443,90,2,6.60192896
1590600151930789784,-3.44209596515,90,2,6.80443776
1590600152124272698,-3.21536883712,90,2,6.997920512
1590600152336406594,-2.92044710368,90,2,7.2100544
1590600152523699421,-2.86168828607,90,2,7.397347328
1590600152737939576,-2.76373401284,90,2,7.611587328
1590600152924217781,-2.34129242599,90,2,7.797865728
1590600153123567237,-2.19787731767,90,2,7.997215232
1590600153339538492,-2.11455784738,90,2,8.213186304
1590600153525805667,-1.8187796697,90,2,8.39945344
1590600153727023569,-1.67547930032,90,2,8.600671488
1590600153928071439,-1.30265308544,90,2,8.801719296
1590600154125151954,-1.34760756046,90,2,8.998799872
1590600154343135711,-1.08588496223,90,2,9.216783616
1590600154536451893,-1.01900789887,90,2,9.410099712
1590600154740087271,-0.762761710212,90,2,9.613735168
1590600154936392163,-0.64630843699,90,2,9.810040064
1590600155126678025,-0.556385610253,90,2,10.000325888
1590600155325175102,-0.372401904315,90,2,10.198822912
1590600155537642703,-0.606910372153,90,2,10.411290624
1590600155733631560,-0.524904951453,90,2,10.60727936
1590600155935594078,-0.105700083077,90,2,10.809241856
1590600156127080016,-0.0621838495135,90,2,11.000727808
1590600156330657422,-0.0746747478843,90,2,11.204305408
1590600156530398654,0.0961370766163,90,2,11.404046592
1590600156724820307,0.294862687588,90,2,11.598468096
1590600156928524471,0.701343640685,90,2,11.802172416
1590600157135772291,-1.932586357,90,2,12.009420288
1590600157342106399,-2.2958599031,90,2,12.21575424
1590600157540905454,2.6866286993,90,2,12.414553344
1590600157725684322,8.57677012682,90,2,12.599332096
1590600157926608575,21.3480710983,90,2,12.800256512
1590600158127380553,34.7711920738,90,2,13.001028352
1590600158331190863,47.0271408558,90,2,13.204838656
1590600158525516816,58.2059025764,90,2,13.399164672
1590600158722806763,67.7135050297,90,2,13.596454656
1590600158928412690,72.0770299435,90,2,13.802060544
1590600159139763883,76.9599735737,90,2,14.01341184
1590600159328550854,79.6080827713,90,2,14.202198784
1590600159534631303,81.6836297512,90,2,14.408279296
1590600159738885126,82.6368749142,90,2,14.612532992
1590600159927269929,82.0583701134,90,2,14.80091776
1590600160138987272,80.8601975441,90,2,15.012635136
1590600160336301379,78.4377217293,90,2,15.209949184
1590600160541739212,75.1620829105,90,2,15.415387136
1590600160736592812,71.2080359459,90,2,15.610240768
1590600160923306673,67.5884366035,90,2,15.796954624
1590600161135319970,61.6938531399,90,2,16.008967936
1590600161325606857,54.8552215099,90,2,16.199254784
1590600161525965369,47.4715620279,90,2,16.399613184
1590600161725798049,38.8940930367,90,2,16.599446016
1590600161924412372,31.1799377203,90,2,16.798060288
1590600162126280704,23.4983235598,90,2,16.999928576
1590600162340014106,15.5524104834,90,2,17.213661952
1590600162528373395,7.78853595257,90,2,17.402021376
1590600162732713903,-2.15493738651,90,2,17.606361856
1590600162926328623,-10.0577935576,90,2,17.799976448
1590600163125024457,-17.8688645363,90,2,17.998672384
1590600163329088440,-25.7098346949,90,2,18.202736384
1590600163528300914,-33.9779049158,90,2,18.401948672
1590600163728161003,-40.7917767763,90,2,18.601808896
1590600163927972491,-47.0580369234,90,2,18.80162048
1590600164126408874,-52.9405772686,90,2,19.000056832
1590600164329998057,-57.7596306801,90,2,19.203645952
1590600164525809626,-63.4744524956,90,2,19.399457536
1590600164734573504,-65.4233455658,90,2,19.60822144
1590600164928027893,-69.7502017021,90,2,19.801675776
1590600165128784900,-73.7196624279,90,2,20.002432768
1590600165332733963,-77.2286653519,90,2,20.206381824
1590600165532098225,-79.6970844269,90,2,20.405746176
1590600165723427376,-81.4296483994,90,2,20.5970752
1590600165929448621,-82.84714818,90,2,20.803096576
1590600166126925020,-84.6832156181,90,2,21.000572928
1590600166327455707,-85.1158082485,90,2,21.201103616
1590600166534559118,-85.6153786182,90,2,21.408207104
1590600166729152707,-85.337805748,90,2,21.60280064
1590600166927091942,-84.6187353134,90,2,21.80073984
1590600167132652410,-81.9378972054,90,2,22.00630016
1590600167328438559,-81.3536286354,90,2,22.2020864
1590600167526683049,-80.748128891,90,2,22.400331008
1590600167736040454,-81.5629243851,90,2,22.60968832
1590600167927585096,-85.6116950512,90,2,22.801232896
1590600168124473040,-90.063148737,90,2,22.99812096
1590600168342739268,-93.5830056667,90,2,23.216387072
1590600168524687774,-96.8894064426,90,2,23.398335744
1590600168725031090,-100.0,90,2,23.59867904
1590600168923734899,-100.0,90,2,23.797382656
1590600169135861306,-100.0,90,2,24.00950912
1590600169336035642,-100.0,90,2,24.209683456
1590600169523700433,-100.0,90,2,24.397348352
1590600169722851056,-100.0,90,2,24.596498944
1590600169928873311,-100.0,90,2,24.802521088
1590600170124158521,-100.0,90,2,24.997806336
1590600170339340873,-100.0,90,2,25.212988672
1590600170539625825,-100.0,90,2,25.4132736
1590600170724820282,-99.4225561619,90,2,25.598468096
1590600170925695338,-97.1326768398,90,2,25.799343104
1590600171125748558,-96.8586325645,90,2,25.999396352
1590600171334771086,-96.8337059021,90,2,26.208419072
1590600171528808863,-97.2192585468,90,2,26.402456832
1590600171726835762,-96.0617721081,90,2,26.600483584
1590600171924865994,-94.2093133926,90,2,26.79851392
1590600172128119014,-91.4461135864,90,2,27.001766912
1590600172325064651,-89.0279531479,90,2,27.198712576
1590600172529829307,-83.6853265762,90,2,27.403477248
1590600172726385679,-77.1550774574,90,2,27.600033536
1590600172936478091,-70.3382492065,90,2,27.81012608
1590600173136812851,-62.696313858,90,2,28.010460672
1590600173326602088,-55.8407068253,90,2,28.200249856
1590600173525188420,-49.9512463808,90,2,28.398836224
1590600173725472284,-44.9650228024,90,2,28.599120128
1590600173924885671,-40.69917202,90,2,28.798533632
1590600174128144847,-33.9962780476,90,2,29.001792768
1590600174330631516,-27.5439023972,90,2,29.204279296
1590600174523341344,-21.3497787714,90,2,29.396989184
1590600174735143635,-14.8772478104,90,2,29.608791552
1590600174927946160,-8.48495140672,90,2,29.801594112
1590600175123365813,-3.46846431494,90,2,29.99701376
1590600175343130672,0.794135592878,90,2,30.216778496
1590600175527955999,5.35949170589,90,2,30.40160384
1590600175723542299,8.74394625425,90,2,30.597190144
1590600175939730424,10.9088480473,90,2,30.813378304
1590600176125718459,12.1173106134,90,2,30.9993664
1590600176327566022,12.7020448446,90,2,31.201213952
1590600176526348396,11.7666490376,90,2,31.39999616
1590600176726080867,11.3333888352,90,2,31.59972864
1590600176928626852,10.7975393534,90,2,31.802274816
1590600177135828784,9.50355902314,90,2,32.009476608
1590600177323081482,9.59557443857,90,2,32.196729344
1590600177529033025,10.9634876251,90,2,32.402680832
1590600177728219053,11.7366306484,90,2,32.601867008
1590600177931086041,11.8737451732,90,2,32.804733952
1590600178136839034,11.9267515838,90,2,33.010486784
1590600178331629398,11.6982586682,90,2,33.205277184
1590600178526050368,10.1305186749,90,2,33.399698176
1590600178729865918,5.81177845597,90,2,33.603513856
1590600178927588758,-0.422407547012,90,2,33.801236736
1590600179132269463,-4.52098362148,90,2,34.00591744
1590600179324604238,-6.95674791932,90,2,34.198252032
1590600179525463769,-8.61089453101,90,2,34.39911168
1590600179725723906,-9.78322848678,90,2,34.599371776
1590600179923258432,-9.12956669927,90,2,34.79690624
1590600180126799581,-9.32729914784,90,2,35.000447488
1590600180327048152,-10.052190721,90,2,35.200696064
