%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1590600145031799254,152.387283615,1128.09114409,-0.00138691067299,-3.3143486282e-14,-3.10053993373e-13,4.45277776017e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.0
1590600145129485037,152.387283615,1128.09114409,-0.00138691067299,-3.3274608725e-14,-3.07555925919e-13,4.4527782707e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.09768576
1590600145231242046,152.387283615,1128.09114409,-0.00138691067299,-3.34061924894e-14,-3.05049069643e-13,4.45277878302e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.199442688
1590600145333127258,152.387283615,1128.09114409,-0.00138691067299,-3.35372741908e-14,-3.02551778376e-13,4.4527792934e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.301327872
1590600145431864835,152.387283615,1128.09114409,-0.00138691067299,-3.36688911754e-14,-3.00044289209e-13,4.45277980585e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.400065536
1590600145531241765,152.387283615,1128.09114409,-0.00138691067299,-3.38001016832e-14,-2.97544543998e-13,4.45278031673e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.499442432
1590600145629156990,152.387283615,1128.09114409,-0.00138691067299,-3.39312595402e-14,-2.95045801859e-13,4.4527808274e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.597357568
1590600145738155323,152.387283615,1128.09114409,-0.00138691067299,-3.40631021711e-14,-2.92534013812e-13,4.45278134073e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.706355968
1590600145830476331,152.387283615,1128.09114409,-0.00138691067299,-3.41942089442e-14,-2.90036244891e-13,4.4527818512e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.798676992
1590600145931642369,152.387283615,1128.09114409,-0.00138691067299,-3.43261675322e-14,-2.87522247697e-13,4.45278236499e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.899843072
1590600146029126039,152.387283615,1128.09114409,-0.00138691067299,-3.44567499912e-14,-2.85034467703e-13,4.45278287342e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,0.997326848
1590600146135624805,152.387283615,1128.09114409,-0.00138691067299,-3.4588779407e-14,-2.82519121138e-13,4.45278338748e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,1.103825408
1590600146230945682,152.387283615,1128.09114409,-0.00138691067299,-3.47197363761e-14,-2.80024206197e-13,4.45278389737e-14,-1.31448501986e-15,2.50427933599e-14,5.11801057871e-20,1.199146496
1590600146335690235,152.387283615,1128.09114409,-0.00138691067299,-3.48528579828e-14,-2.77488051857e-13,4.45278441569e-14,-1.31448501986e-15,2.01601972963e-15,5.11801057871e-20,1.303890944
1590600146429403015,152.387283615,1128.09114409,-0.00138691067299,-3.49825842394e-14,-2.77289091284e-13,4.45278492078e-14,-1.31448501986e-15,-2.04234415838e-14,5.11801057871e-20,1.39760384
1590600146529242890,152.387283615,1128.09114409,-0.00138691067299,-3.51137947472e-14,-2.79327737675e-13,4.45278543166e-14,-1.31448501986e-15,-4.31196419716e-14,5.11801057871e-20,1.497443584
1590600146631603698,152.387283615,1128.09114409,-0.00138691067299,-3.52453932413e-14,-2.83644622131e-13,4.45278594404e-14,-1.31448501986e-15,-4.31196419716e-14,5.11801057871e-20,1.599804416
1590600146729530397,152.387283615,1128.09114409,-0.00138691067299,-3.53764395287e-14,-2.87943392303e-13,4.45278645428e-14,-1.31448501986e-15,-2.04518476807e-14,5.11801057871e-20,1.697731072
1590600146833127996,152.387283615,1128.09114409,-0.00138691067299,-3.55082470591e-14,-2.89994163132e-13,4.45278696748e-14,-1.31448501986e-15,-2.04518476807e-14,5.11801057871e-20,1.80132864
1590600146929742930,152.387283615,1128.09114409,-0.00138691067299,-3.56396032968e-14,-2.92037912376e-13,4.45278747892e-14,-1.31448501986e-15,-2.04518476807e-14,5.11801057871e-20,1.897943552
1590600147036322711,152.387283615,1128.09114409,-0.00138691067299,-3.57726145875e-14,-2.94107412307e-13,4.4527879968e-14,-1.31448501986e-15,-2.04518476807e-14,5.11801057871e-20,2.00452352
1590600147130401984,152.387283615,1128.09114409,-0.00138691067299,-3.59029955317e-14,-2.96135987126e-13,4.45278850445e-14,-1.31448501986e-15,-2.04518476807e-14,5.11801057871e-20,2.098602752
1590600147229052352,152.387283615,1128.09114409,-0.00138691067299,-3.60333269591e-14,-2.98163791522e-13,4.4527890119e-14,-1.31448501986e-15,-2.04518476807e-14,-2.58102681788e-20,2.19725312
1590600147336841159,152.387283615,1128.09114409,-0.00138691067299,-3.61742042175e-14,-3.00355676698e-13,4.45278873528e-14,-1.31448501986e-15,-2.04518476807e-14,-1.09030355764e-19,2.30504192
1590600147437013954,152.387283615,1128.09114409,-0.00138691067299,-3.62970125342e-14,-3.02266430302e-13,4.45278771665e-14,-1.31448501986e-15,-2.04518476807e-14,-1.09030355764e-19,2.40521472
1590600147529214264,152.387283615,1128.09114409,-0.00138691067299,-3.64276000075e-14,-3.04298218472e-13,4.45278663348e-14,-6.08596560734e-16,-2.04518476807e-14,-3.18887284243e-20,2.497414912
1590600147629297692,152.387283615,1128.09114409,-0.00138691067299,-3.64885114065e-14,-3.06345142057e-13,4.45278631433e-14,1.02550278924e-16,-2.04518476807e-14,-3.18887284243e-20,2.597498368
1590600147731775523,152.387283615,1128.09114409,-0.00138691067299,-3.64782626476e-14,-3.08389076593e-13,4.45278599563e-14,8.12658656189e-16,-2.04518476807e-14,-3.18887284243e-20,2.699976192
1590600147829596103,152.387283615,1128.09114409,-0.00138691067299,-3.63970195286e-14,-3.10433688907e-13,4.45278567683e-14,1.52300250861e-15,-2.04518476807e-14,-3.18887284243e-20,2.797796864
1590600147931654190,152.387283615,1128.09114409,-0.00138691067299,-3.62449216764e-14,-3.12476155737e-13,4.45278535837e-14,2.23260097204e-15,-2.04518476807e-14,-3.18887284243e-20,2.899854848
1590600148029727665,152.387283615,1128.09114409,-0.00138691067299,-3.60215031686e-14,-3.14522791632e-13,4.45278503926e-14,2.23260097204e-15,-2.04518476807e-14,-3.18887284243e-20,2.997928448
1590600148135826059,152.387283615,1128.09114409,-0.00138691067299,-3.57984977206e-14,-3.16565643674e-13,4.45278472073e-14,1.52286867741e-15,-2.04518476807e-14,-3.18887284243e-20,3.10402688
1590600148231785537,152.387283615,1128.09114409,-0.00138691067299,-3.56461728747e-14,-3.18611338482e-13,4.45278440177e-14,1.52286867741e-15,-2.04518476807e-14,-3.18887284243e-20,3.199986176
1590600148331164787,152.387283615,1128.09114409,-0.00138691067299,-3.54941512007e-14,-3.20652961746e-13,4.45278408344e-14,1.52286867741e-15,-2.04518476807e-14,-3.18887284243e-20,3.299365376
1590600148430766747,152.387283615,1128.09114409,-0.00138691067299,-3.53413815816e-14,-3.22704629778e-13,4.45278376354e-14,1.52286867741e-15,-2.04518476807e-14,-3.18887284243e-20,3.398967552
1590600148529000365,152.387283615,1128.09114409,-0.00138691067299,-3.51900159935e-14,-3.24737441928e-13,4.45278344658e-14,1.52286867741e-15,-2.04518476807e-14,-3.18887284243e-20,3.497201152
1590600148629531519,152.387283615,1128.09114409,-0.00138691067299,-3.50376192577e-14,-3.26784102204e-13,4.45278312746e-14,1.52286867741e-15,-2.04518476807e-14,-3.18887284243e-20,3.597732096
1590600148729828614,152.387283615,1128.09114409,-0.00138691067299,-3.48851070624e-14,-3.2883231308e-13,4.4527828081e-14,1.52286867741e-15,-2.04518476807e-14,-3.18887284243e-20,3.698029312
1590600148831521967,152.387283615,1128.09114409,-0.00138691067299,-3.47329710182e-14,-3.30875472316e-13,4.45278248953e-14,1.52286867741e-15,-2.04518476807e-14,-3.18887284243e-20,3.799722752
1590600148931593525,152.387283615,1128.09114409,-0.00138691067299,-3.45810451974e-14,-3.3291580829e-13,4.4527821714e-14,1.52286867741e-15,-2.04518476807e-14,-3.18887284243e-20,3.899794176
