%time,field.port,field.star,secs_since_start
1590600145124961987,-141.741328751,-36.0291932303,0.0
1590600145326000665,-141.794699849,-36.0142829273,0.201038592
1590600145525585455,-141.73228558,-36.0207169655,0.40062336
1590600145726635856,-141.764947545,-36.030012853,0.601673728
1590600145926307949,-141.687124369,-36.0479147788,0.801345792
1590600146126164938,-141.707655918,-36.033045457,1.001202944
1590600146328743098,-141.679447237,-36.0398141745,1.20378112
1590600146524197110,-141.691427388,-36.0073639457,1.399235072
1590600146723763384,-141.696317804,-36.0163968709,1.598801408
1590600146928177104,-141.694856143,-36.0027808888,1.803215104
1590600147127106054,-141.670158179,-36.0052260965,2.002144
1590600147326443764,-141.692110407,-35.9902270011,2.201481728
1590600147524774051,-141.665404368,-35.9944241523,2.399812096
1590600147725423443,-141.68028052,-35.9891956425,2.600461312
1590600147925012636,-141.631390026,-35.9888370576,2.800050688
1590600148124330629,-141.630747988,-35.9916169446,2.999368704
1590600148325496218,-141.623835836,-35.9772018303,3.200534272
1590600148523307345,-141.64093863,-35.9698149808,3.398345216
1590600148726972786,-141.634613875,-35.964443037,3.602010624
1590600148926325144,-141.632182328,-35.9619431877,3.8013632
1590600149126955676,-141.625010629,-35.9555467156,4.001993728
1590600149323413467,-141.664215915,-35.9147943919,4.198451456
1590600149525109007,-141.657331084,-35.914978807,4.400146944
1590600149723641659,-141.673983085,-35.907431448,4.598679552
1590600149924552190,-141.633015611,-35.9077388065,4.799590144
1590600150129493257,-141.670007915,-35.8934193149,5.0045312
1590600150324721258,-141.650733121,-35.8909297109,5.199759104
1590600150526134827,-141.658533197,-35.8672050489,5.401172736
1590600150730240059,-141.724280598,-35.8284471404,5.605277952
1590600150924375440,-141.699487012,-35.8338293295,5.799413504
1590600151128471147,-141.707041201,-35.8277026498,6.003508992
1590600151328814503,-141.750426563,-35.8050810633,6.203852544
1590600151523500519,-141.743295845,-35.8052108369,6.398538496
1590600151727676080,-141.714759315,-35.816986083,6.602714112
1590600151927793607,-141.731479618,-35.796225723,6.802831616
1590600152123520087,-141.779318263,-35.7545479087,6.998557952
1590600152326847067,-141.757270412,-35.7578981165,7.201884928
1590600152522727887,-141.765999394,-35.7628465885,7.397765888
1590600152728334260,-141.788375094,-35.739395134,7.603372288
1590600152923461513,-141.8276077,-35.6859557339,7.798499584
1590600153123319382,-141.899392988,-35.6533347505,7.998357248
1590600153326997052,-141.855269966,-35.6811746015,8.202034944
1590600153525243922,-141.816870643,-35.6842755074,8.400281856
1590600153726027066,-141.859231476,-35.6565551847,8.60106496
1590600153926643868,-141.902220687,-35.6061859546,8.80168192
1590600154124257576,-141.97419722,-35.5859993305,8.999295488
1590600154335025421,-141.973910352,-35.561970725,9.21006336
1590600154536478789,-142.016981525,-35.5455919314,9.411516672
1590600154738749072,-142.024248846,-35.524093911,9.613787136
1590600154930650475,-142.058754962,-35.5082649476,9.80568832
1590600155124752641,-142.071500095,-35.4995871923,9.999790592
1590600155324103456,-142.010779713,-35.5308148171,10.199141376
1590600155535645374,-142.002023411,-35.5670762914,10.410683392
1590600155729946274,-141.988458655,-35.5560318756,10.60498432
1590600155937977553,-142.030450658,-35.5041429284,10.813015552
1590600156124891244,-142.121824929,-35.4673691899,10.999929088
1590600156329888126,-142.301445244,-35.3643870127,11.204925952
1590600156528207401,-142.789872071,-35.0991810125,11.403245312
1590600156723902890,-143.694885797,-34.672171246,11.598940928
1590600156926996031,-144.98833238,-33.9346200987,11.80203392
1590600157127679606,-146.322855721,-33.1821927993,12.00271744
1590600157340036320,-148.73217763,-32.3132083218,12.215074304
1590600157531653183,-151.483869602,-31.2173659412,12.406691072
1590600157724501869,-153.648411191,-30.1350917313,12.599539712
1590600157924572314,-155.622636389,-28.7086442892,12.799610368
1590600158125992361,-156.887601084,-27.3881706472,13.0010304
1590600158327381179,-157.738000617,-24.6549236017,13.2024192
1590600158525525090,-158.164245402,-21.7355846372,13.400562944
1590600158722222209,-158.214693179,-19.0123933378,13.597260288
1590600158926943605,-157.664671706,-18.9215176709,13.80198144
1590600159127025714,-157.594238795,-17.2432052956,14.002063616
1590600159326215508,-157.412719688,-15.8353837793,14.201253376
1590600159527977242,-157.259532205,-14.5190594772,14.403015168
1590600159735830407,-157.212963975,-13.4636373023,14.61086848
1590600159924714751,-157.146424273,-12.6958164641,14.799752704
1590600160135245633,-157.145304122,-12.0202031797,15.01028352
1590600160327601630,-157.18893537,-11.4096935509,15.202639616
1590600160527092644,-157.294475453,-10.9412612484,15.402130688
1590600160727780155,-157.394578705,-10.5437835123,15.602818048
1590600160922834986,-157.595372607,-9.82568901261,15.797872896
1590600161127573076,-157.682361896,-9.68348618163,16.002610944
1590600161324804072,-157.785962205,-9.70753271638,16.199842048
1590600161524264959,-157.901856855,-9.85762185452,16.399302912
1590600161724444530,-158.056697244,-10.2443753399,16.599482368
1590600161923117657,-158.276246844,-10.6523186333,16.79815552
1590600162124395466,-158.487381652,-11.0449366898,16.999433472
1590600162327305959,-158.654379777,-11.6250477079,17.202343936
1590600162526428507,-158.843780923,-12.1830681867,17.401466368
1590600162727673677,-158.965877384,-13.0299305353,17.602711552
1590600162925533430,-159.189183589,-13.7325427037,17.800571392
1590600163124183788,-159.388092358,-14.3376598981,17.99922176
1590600163327705153,-159.575116598,-14.9456218663,18.20274304
1590600163527271769,-159.67952287,-15.743336735,18.402309632
1590600163726782178,-159.832601069,-16.3792068561,18.60182016
1590600163927920265,-159.97778357,-16.9701684835,18.802958336
1590600164124429747,-160.114155127,-17.5591203277,18.999467776
1590600164327640738,-160.247589703,-18.163872107,19.202678784
1590600164523950373,-160.360055598,-18.7380246388,19.398988288
1590600164727297537,-160.667004299,-18.676180691,19.602335488
1590600164927344156,-160.71794385,-19.2453523074,19.80238208
1590600165126311054,-160.744458644,-19.9935705026,20.00134912
1590600165332778285,-160.732929285,-20.7839873141,20.207816192
1590600165526900616,-160.75982657,-21.4365384648,20.401938688
1590600165722754479,-160.779251628,-22.0123199967,20.597792512
1590600165927562235,-160.771943325,-22.5999826427,20.802600192
1590600166125458631,-160.659518412,-23.5044977643,21.00049664
1590600166326128740,-160.662414412,-24.0605929835,21.201166592
