%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1589838176806697025,152.395784834,1128.15407684,-5.08888749034e-14,1.73548647442e-14,8.13827438811e-14,2.22638827702e-14,1.79868248255e-15,2.91487266412e-14,5.04446434063e-30,0.0
1589838176904566454,152.395784834,1128.15407684,-5.08888749034e-14,1.75340260938e-14,8.42861608279e-14,2.22638827702e-14,1.79868248255e-15,2.91487266412e-14,5.04446434063e-30,0.097869568
1589838177004682831,152.395784834,1128.15407684,-5.08888749034e-14,1.77142037925e-14,8.7206048322e-14,2.22638827702e-14,1.79868248255e-15,2.91487266412e-14,5.04446434063e-30,0.197985792
1589838177110480064,152.395784834,1128.15407684,-5.08888749034e-14,1.78940864497e-14,9.01211544926e-14,2.22638827702e-14,1.79868248255e-15,2.91487266412e-14,5.04446434063e-30,0.303783168
1589838177205136266,152.395784834,1128.15407684,-5.08888749034e-14,1.8073814296e-14,9.30337518583e-14,2.22638827702e-14,1.79868248255e-15,2.91487266412e-14,5.04446434063e-30,0.398439424
1589838177303707608,152.395784834,1128.15407684,-5.08888749034e-14,1.8252416439e-14,9.59281065293e-14,2.22638827702e-14,1.79868248255e-15,2.91487266412e-14,5.04446434063e-30,0.497010688
1589838177404159888,152.395784834,1128.15407684,-5.08888749034e-14,1.84324822107e-14,9.88461801783e-14,2.22638827702e-14,1.79868248255e-15,6.38638992081e-15,5.04446434063e-30,0.59746304
1589838177504916831,152.395784834,1128.15407684,-5.08888749034e-14,1.86130445782e-14,9.94872837058e-14,2.22638827702e-14,1.79868248255e-15,-1.64387221053e-14,5.04446434063e-30,0.698219776
1589838177604569729,152.395784834,1128.15407684,-5.08888749034e-14,1.87927003795e-14,9.78453531148e-14,2.22638827702e-14,1.79868248255e-15,-3.91492339618e-14,5.04446434063e-30,0.797872896
1589838177709487454,152.395784834,1128.15407684,-5.08888749034e-14,1.89724732539e-14,9.39325055791e-14,2.22638827702e-14,1.79868248255e-15,-3.91492339618e-14,5.04446434063e-30,0.9027904
1589838177804855227,152.395784834,1128.15407684,-5.08888749034e-14,1.91520304221e-14,9.00243529974e-14,2.22638827702e-14,1.79868248255e-15,-1.64511904303e-14,5.04446434063e-30,0.998158336
