%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1590598729629459795,152.387283615,1128.09114409,-0.00138691067296,-3.36016588592e-14,-2.36425518032e-13,3.33958054853e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,0.0
1590598729736108437,152.387283615,1128.09114409,-0.00138691067296,-3.37371063409e-14,-2.38617200018e-13,3.33958041043e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,0.106648832
1590598729831645145,152.387283615,1128.09114409,-0.00138691067296,-3.3872221335e-14,-2.40803502005e-13,3.33958027266e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,0.202185472
1590598729933603043,152.387283615,1128.09114409,-0.00138691067296,-3.4007053779e-14,-2.42985232036e-13,3.33958013519e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,0.30414336
1590598730035615604,152.387283615,1128.09114409,-0.00138691067296,-3.41426459186e-14,-2.45179254738e-13,3.33957999694e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,0.406155776
1590598730129036308,152.387283615,1128.09114409,-0.00138691067296,-3.42767177004e-14,-2.4734867646e-13,3.33957986024e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,0.499576576
1590598730235705672,152.387283615,1128.09114409,-0.00138691067296,-3.44126258967e-14,-2.49547813288e-13,3.33957972167e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,0.606245888
1590598730330379597,152.387283615,1128.09114409,-0.00138691067296,-3.45469151486e-14,-2.51720753903e-13,3.33957958475e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,0.700919808
1590598730432951172,152.387283615,1128.09114409,-0.00138691067296,-3.46821493485e-14,-2.53908984766e-13,3.33957944686e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,0.803491584
1590598730529180133,152.387283615,1128.09114409,-0.00138691067296,-3.48170413954e-14,-2.56091679235e-13,3.33957930933e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,0.899720448
1590598730635302924,152.387283615,1128.09114409,-0.00138691067296,-3.49522994365e-14,-2.58280295873e-13,3.33957917142e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,1.0058432
1590598730734082919,152.387283615,1128.09114409,-0.00138691067296,-3.50874047652e-14,-2.60466441465e-13,3.33957903366e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,1.104623104
1590598730832427125,152.387283615,1128.09114409,-0.00138691067296,-3.52223712353e-14,-2.62650340177e-13,3.33957889605e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,1.202967296
1590598730931947340,152.387283615,1128.09114409,-0.00138691067296,-3.53573808771e-14,-2.64834937456e-13,3.3395787584e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,1.302487552
1590598731029667005,152.387283615,1128.09114409,-0.00138691067296,-3.54924240255e-14,-2.67020076905e-13,3.33957862071e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,1.40020736
1590598731134460866,152.387283615,1128.09114409,-0.00138691067296,-3.56280013449e-14,-2.692138598e-13,3.33957848247e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,1.505001216
1590598731234243958,152.387283615,1128.09114409,-0.00138691067296,-3.57631231047e-14,-2.71400271264e-13,3.3395783447e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,1.604784128
1590598731333579761,152.387283615,1128.09114409,-0.00138691067296,-3.58981246922e-14,-2.73584738214e-13,3.33957820706e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,1.704120064
1590598731432697094,152.387283615,1128.09114409,-0.00138691067296,-3.60323707723e-14,-2.75756980264e-13,3.33957807018e-14,-1.35131231834e-15,-2.18656473136e-14,-1.37779419604e-20,1.803237376
