%time,field.port,field.star,secs_since_start
1590598729747223658,-142.528890543,-35.4589817176,0.0
1590598729944749055,-142.51505258,-35.4614610763,0.197525504
1590598730141027866,-142.518645259,-35.4512738492,0.393804288
1590598730341152780,-142.529327675,-35.4646917558,0.593929216
1590598730540930074,-142.537660506,-35.4490950188,0.793706496
1590598730744299209,-142.523685939,-35.4612834914,0.997075712
1590598730943510105,-142.530912279,-35.460077963,1.196286464
1590598731150256345,-142.565582319,-35.4429341882,1.403032832
1590598731346862160,-142.533248204,-35.4712487374,1.599638528
1590598731545095009,-142.522948278,-35.463544284,1.79787136
1590598731740832019,-142.54684028,-35.4646132086,1.993608448
1590598731946820986,-142.519710769,-35.4680112277,2.199597312
1590598732144462389,-142.525147599,-35.4714536431,2.397238784
1590598732340121954,-142.524191373,-35.4867157008,2.592898304
1590598732548745383,-142.534327374,-35.4852233044,2.80152192
1590598732747693590,-142.495969031,-35.4749370395,3.000470016
1590598732956862888,-142.546881261,-35.4747594546,3.209639424
1590598733140839908,-142.515913184,-35.4953456448,3.393616384
1590598733339592522,-142.515202844,-35.5027222491,3.592368896
1590598733540072215,-142.544613638,-35.4848442289,3.79284864
1590598733740902836,-142.507211523,-35.5008917584,3.99367936
1590598733940493586,-142.529395977,-35.5025002679,4.193270016
1590598734143081820,-142.520762618,-35.4999970036,4.395858176
1590598734340300614,-142.508509258,-35.5095490232,4.593076992
1590598734542443360,-142.53382194,-35.500010664,4.795219712
1590598734739849469,-142.494589333,-35.5145897028,4.99262592
1590598734940090981,-142.509779674,-35.5171578539,5.192867328
1590598735142152149,-142.497881484,-35.5159147595,5.39492864
1590598735340826441,-142.490778087,-35.52279276,5.593602816
1590598735546280005,-142.510544655,-35.5138827782,5.799056384
1590598735739959460,-142.508454617,-35.5084049665,5.992736
1590598735948019894,-142.507553032,-35.5425490821,6.200796416
1590598736140419161,-142.486693634,-35.539113497,6.39319552
1590598736342152904,-142.519055071,-35.5135480989,6.594929408
1590598736540335628,-142.489152502,-35.5465105918,6.793112064
1590598736744039421,-142.46705001,-35.5625342156,6.996815872
1590598736947222811,-142.490040427,-35.5363814213,7.199999232
1590598737142905130,-142.540884355,-35.5279119867,7.395681536
1590598737342111782,-142.458293708,-35.5519644979,7.594888192
1590598737540291931,-142.475669709,-35.570925103,7.793068288
1590598737742612523,-142.476653256,-35.552545064,7.995388928
1590598737947019722,-142.511145712,-35.5497583468,8.199796224
1590598738141110871,-142.441518763,-35.5625342156,8.393887232
1590598738343416864,-142.459618764,-35.5888987458,8.59619328
1590598738548884377,-142.441532423,-35.5923240857,8.801660928
1590598738742373568,-142.460506689,-35.570129386,8.99515008
1590598738958664429,-142.490395597,-35.5647198762,9.211440896
1590598739148624961,-142.488729031,-35.5669431028,9.401401344
1590598739341251671,-142.481256804,-35.5506462714,9.594028032
1590598739547040702,-142.452351443,-35.5869111608,9.799817216
1590598739739874335,-142.411903063,-35.6183061253,9.992650752
1590598739943437062,-142.411875742,-35.6179236347,10.196213504
1590598740144136587,-142.424771139,-35.5997245957,10.396913152
1590598740343844811,-142.449633028,-35.5941306707,10.596621312
1590598740542643282,-142.516322995,-35.5627869326,10.795419648
1590598740744845885,-142.777277202,-35.4203160167,10.997622272
1590598740939911053,-143.413987437,-35.0578720284,11.192687616
1590598741150231957,-144.505492647,-34.3595842235,11.403008512
1590598741360897637,-145.72524149,-33.522121069,11.613673984
1590598741541823127,-147.292004923,-32.6486218365,11.79459968
1590598741753198602,-149.921573112,-31.690564862,12.00597504
1590598741941150506,-152.392885818,-30.4478187727,12.193926912
1590598742151233173,-154.510845517,-29.2378029499,12.404009728
1590598742340930013,-155.984021698,-28.0796777818,12.593706496
1590598742541692238,-156.948731277,-26.3647316868,12.794468608
1590598742742528971,-157.593883625,-23.6182784706,12.995305472
1590598742944177885,-157.916049988,-20.6629512394,13.196954368
1590598743143303843,-157.710720841,-20.3521434812,13.396080384
1590598743339888426,-157.667881895,-18.9175664064,13.592664832
1590598743541316010,-157.687498198,-16.9961488156,13.794092544
1590598743741175212,-157.616669137,-15.4160972492,13.993951744
1590598743940305602,-157.455353729,-14.464677511,14.193082112
1590598744156000841,-157.435477878,-13.6454979191,14.408777216
1590598744349464139,-157.453741804,-12.8293441011,14.602240512
1590598744551104067,-157.462935239,-12.1539587742,14.803880448
1590598744745768470,-157.503561204,-11.5358590978,14.998544896
1590598744944106330,-157.553271321,-11.3312488283,15.196882688
1590598745140738496,-157.661324913,-11.1772391616,15.393515008
1590598745354901386,-157.803310886,-10.8681030922,15.607677952
