%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1590602711451158665,26.0936840289,90,2,0.0
1590602711466682681,13.4696388034,90,2,0.01552384
1590602711735153649,30.5586779365,90,2,0.28399488
1590602711753518465,18.0571226675,90,2,0.302359808
1590602712072515413,35.2583794714,90,2,0.621356544
1590602712082621107,20.6347066779,90,2,0.6314624
1590602712320819361,37.3476870532,90,2,0.869660672
1590602712349410542,21.5112520948,90,2,0.898251776
1590602712521456830,21.5499194675,90,2,1.070298112
1590602712755331342,35.4830439055,90,2,1.304172544
1590602712766238346,21.0424247056,90,2,1.31507968
1590602713049581075,30.2327217187,90,2,1.598422272
1590602713053160377,18.9067898578,90,2,1.602001664
1590602713270277429,23.6524917087,90,2,1.819118592
1590602713287593236,14.0787297642,90,2,1.836434432
1590602713433842519,10.6368636001,90,2,1.982683648
1590602713459571849,16.2765652805,90,2,2.008413184
1590602713592147743,-4.03779763355,90,2,2.140988928
1590602713866209778,-16.6094179896,90,2,2.415051008
1590602713868711462,-12.5053373696,90,2,2.41755264
1590602714070798575,-23.512771201,90,2,2.619639808
1590602714081823471,-17.0083724492,90,2,2.630664704
1590602714346142769,-18.0785171465,90,2,2.894983936
1590602714395641846,-24.3083299025,90,2,2.944483072
1590602714625988110,-18.2203207771,90,2,3.174829312
1590602714635893198,-22.5201706166,90,2,3.184734464
1590602714803933260,-15.5765732985,90,2,3.3527744
1590602714963312779,8.05213942175,90,2,3.512154112
1590602714979163058,-11.5423612966,90,2,3.528004352
1590602715243463228,-4.04143831277,90,2,3.792304384
1590602715262771594,18.8404496636,90,2,3.811612928
1590602715566029733,14.0456389845,90,2,4.11487104
1590602715574785045,27.360724239,90,2,4.12362624
1590602715809275466,29.3679257981,90,2,4.358116608
1590602715843523668,16.1593899465,90,2,4.3923648
1590602716013777940,15.1124161929,90,2,4.562619136
1590602716175906242,13.8754525397,90,2,4.72474752
1590602716184281380,27.9464054785,90,2,4.73312256
1590602716389287159,25.3511037798,90,2,4.938128384
1590602716646103211,7.01898852196,90,2,5.194944512
1590602716657865752,20.8264947585,90,2,5.206706944
1590602716848373962,-15.6080184828,90,2,5.397215232
1590602716856593574,-22.3290537067,90,2,5.40543488
1590602717011760369,-20.016934229,90,2,5.5606016
1590602717169924060,-30.0748046749,90,2,5.718765312
1590602717191968135,-23.1066124975,90,2,5.740809472
1590602717419494495,-31.7361764692,90,2,5.968335616
1590602717445177124,-24.4874102587,90,2,5.994018304
1590602717568911664,-25.2836007638,90,2,6.117752832
1590602717795420560,-32.4165287052,90,2,6.344261888
1590602717816855927,-25.4411390336,90,2,6.365697024
1590602718021908878,-28.8657770039,90,2,6.570750208
1590602718022287026,-24.1033140947,90,2,6.57112832
1590602718153346650,-22.984525075,90,2,6.702187776
1590602718169985507,-21.8459644522,90,2,6.718826752
1590602718411930719,-19.1021762717,90,2,6.96077184
1590602718417731700,-13.3898660878,90,2,6.9665728
1590602718604206665,-14.7287441551,90,2,7.153047808
1590602718613969166,16.6451670017,90,2,7.162810368
1590602718768105416,24.3207471277,90,2,7.316946688
1590602718778106525,-7.43502877935,90,2,7.32694784
1590602718962507934,26.1793558495,90,2,7.511349248
1590602718974643775,-4.38396501765,90,2,7.523484928
1590602719167898362,28.5060325378,90,2,7.716739584
1590602719178862525,7.84826791685,90,2,7.727703808
1590602719380056485,12.255867729,90,2,7.928897792
1590602719392007569,32.6317307139,90,2,7.940848896
1590602719601695716,34.6841377893,90,2,8.15053696
1590602719610819999,15.8659458981,90,2,8.159661312
1590602719849788631,35.7957965435,90,2,8.398629888
1590602719857235112,14.5218121784,90,2,8.406076416
1590602720168470086,32.7065763641,90,2,8.717311232
1590602720178543873,12.3563083743,90,2,8.727385088
1590602720399803954,5.33316700587,90,2,8.94864512
1590602720402584138,27.3702171975,90,2,8.95142528
1590602720627495671,22.7311619481,90,2,9.176336896
1590602720663032297,-7.30087704456,90,2,9.211873536
1590602720897917808,-18.656832098,90,2,9.446758912
1590602720921992339,-16.0868963241,90,2,9.470833664
1590602721068477026,-22.8405050596,90,2,9.617318144
1590602721081358164,-21.3168052052,90,2,9.630199296
1590602721344877690,-22.6156020093,90,2,9.893718784
1590602721351939180,-25.2683460609,90,2,9.900780288
1590602721515759466,-23.9308878708,90,2,10.064600576
1590602721769083672,-24.1489709879,90,2,10.317924864
1590602721800576228,-27.2380846796,90,2,10.349417472
1590602721998662660,-22.4910668301,90,2,10.547503872
1590602722041357287,-29.6525134021,90,2,10.590198528
1590602722198773867,-29.6525134021,90,2,10.747614976
1590602722349736010,-10.9760097872,90,2,10.898577152
1590602722472233215,-12.7747102819,90,2,11.021074432
1590602722667157201,-12.6131595245,90,2,11.215998464
1590602722678756988,30.9523641372,90,2,11.22759808
1590602722931829885,37.1647653148,90,2,11.480670976
1590602722977959443,17.6186974152,90,2,11.52680064
1590602723236214858,39.8917489479,90,2,11.785056
1590602723265512766,5.82418119275,90,2,11.81435392
1590602723586889796,10.487985791,90,2,12.135730944
1590602723599677904,41.5467034728,90,2,12.148519168
1590602723895109955,20.220751865,90,2,12.443951104
