%time,field.port,field.star,secs_since_start
1590602711447159093,-47.8102700569,-77.1604496247,0.0
1590602711465574193,-47.7053103297,-83.7807381502,0.018415104
1590602711727496999,-58.4043779335,-82.1437162078,0.28033792
1590602711752815413,-41.725884608,-86.1320309399,0.30565632
1590602712071421168,-56.725884608,-90.9261385283,0.624262144
1590602712081696021,-38.1779835626,-96.0930677727,0.63453696
1590602712319274928,-53.1779835626,-94.0098576056,0.872115968
1590602712348925131,-44.8905468536,-103.035157669,0.901766144
1590602712519294074,-53.8417707261,-107.347411632,1.072134912
1590602712752837865,-67.4090666539,-92.3474116325,1.305678848
1590602712765275169,-61.6317616085,-110.071126229,1.318116096
1590602713043684777,-60.3532102299,-95.0711262289,1.596525824
1590602713052752848,-63.425597479,-108.978077339,1.605593856
1590602713268052326,-51.4907061261,-93.978077339,1.820893184
1590602713283887194,-62.8096165858,-108.224561592,1.836728064
1590602713432553579,-62.7213089162,-108.15510909,1.985394432
1590602713459237764,-47.7213089162,-93.15510909,2.012078848
1590602713591645886,-46.8113770445,-93.0081808496,2.144486912
1590602713865138794,-31.8113770445,-108.00818085,2.417979648
1590602713868206909,-47.3839926971,-93.8612807468,2.421047808
1590602714069163103,-32.3839926971,-108.861280747,2.622003968
1590602714081585134,-53.3180474637,-98.2014417779,2.634426112
1590602714346417370,-60.0566440488,-100.566691717,2.899258368
1590602714394643783,-55.9921685295,-113.201441778,2.947484672
1590602714623783126,-59.9661199174,-106.808655034,3.176624128
1590602714639197818,-61.0643000358,-128.201441778,3.192038656
1590602714803422099,-63.0474754888,-118.890486329,3.356263168
1590602714963325723,-48.9563082129,-133.890486329,3.516166656
1590602714978233182,-63.3756583786,-114.232636436,3.531074048
1590602715244778073,-62.03729679,-111.533220205,3.797618944
1590602715262000121,-48.3756583786,-120.73808695,3.814841088
1590602715564978954,-48.3285993119,-119.545500533,4.117819904
1590602715574287607,-47.2742132307,-105.73808695,4.127128576
1590602715802589135,-53.9418468675,-90.7380869498,4.355430144
1590602715842721809,-47.6917945034,-109.591458518,4.395562752
1590602716012892266,-48.4884867564,-111.995936054,4.56573312
1590602716175133402,-49.2803377142,-114.344733847,4.7279744
1590602716184014382,-54.6016448098,-96.9959360539,4.736855296
1590602716384753552,-54.560733884,-81.9959360539,4.937594624
1590602716644509636,-51.9279785088,-88.7983417801,5.197350656
1590602716656953624,-50.3636512732,-71.0992131308,5.20979456
1590602716847938866,-49.4548552717,-69.5543252266,5.400779776
1590602716856762969,-35.3636512732,-86.0992131308,5.40960384
1590602717011267075,-37.9705345778,-81.5002720385,5.564108032
1590602717168343608,-52.9705345778,-96.5002720385,5.721184512
1590602717191267029,-47.8761709819,-81.0719446397,5.744108032
1590602717416011936,-62.8761709819,-96.0719446397,5.968852992
1590602717444407321,-55.5429133981,-80.3510323068,5.997248256
1590602717569029968,-60.7859882709,-80.2796236719,6.121870848
1590602717792499849,-75.7859882709,-95.2796236719,6.345340928
1590602717815603581,-62.505861223,-78.9153127903,6.368444416
1590602718020380158,-77.505861223,-93.9153127903,6.57322112
1590602718021273053,-63.2529455371,-78.0111937059,6.574114048
1590602718151853205,-78.2529455371,-93.0111937059,6.704694272
1590602718169461821,-64.3376305633,-78.1423762631,6.72230272
1590602718410426823,-62.5267513919,-75.5136913339,6.96326784
1590602718417053500,-49.3376305633,-93.1423762631,6.9698944
1590602718603498096,-50.0936017022,-86.1745234157,7.156338944
1590602718613728344,-36.899427376,-90.0740785559,7.166569216
1590602718766991931,-42.4094263299,-80.6275784507,7.319832832
1590602718777353508,-36.4802167191,-83.2626175007,7.330194432
1590602718959771848,-51.4759961352,-80.2115611247,7.512612864
1590602718974360075,-30.7441505931,-80.1428116743,7.527201024
1590602719166846091,-45.7441505931,-86.0652879708,7.719687168
1590602719178118357,-24.8112181622,-82.7838765696,7.73095936
1590602719379219693,-18.891267555,-89.1595294597,7.932060672
1590602719391426791,-39.8112181622,-92.842430554,7.944267776
1590602719600691824,-54.8112181622,-91.9521466356,8.153532672
1590602719610016032,-44.5409413622,-103.171174447,8.16285696
1590602719848822870,-59.5409413622,-93.6573469469,8.401663744
1590602719854835585,-55.2777269386,-107.909910496,8.407676672
1590602720167767465,-66.8444607251,-92.909910496,8.720608512
1590602720177773340,-63.2757591298,-108.023026266,8.730614272
1590602720398901403,-69.0300705753,-111.19778546,8.951742464
1590602720403512574,-62.0447811118,-93.0230262661,8.956353536
1590602720625410092,-57.6440546124,-78.0230262661,9.178251008
1590602720662312714,-64.9294057262,-97.1048591596,9.215153664
1590602720896912934,-62.6465665941,-98.4272221643,9.449753856
1590602720921115095,-49.9294057262,-93.9892066637,9.473956096
1590602721065722881,-34.9294057262,-108.989206664,9.61856384
1590602721081388537,-50.028694805,-92.7845429039,9.634229504
1590602721344233993,-51.0054369916,-92.891936575,9.897074944
1590602721350826403,-35.028694805,-107.784542904,9.903667456
1590602721515157421,-39.4499041342,-101.864012187,10.067998464
1590602721767427495,-46.4333497063,-99.7457513825,10.320268544
1590602721800037488,-52.3857340581,-116.864012187,10.352878336
1590602721998225684,-49.0201121054,-131.864012187,10.551066624
1590602722040723317,-37.3857340519,-131.864012191,10.59356416
1590602722198266421,-37.3857340519,-131.864012191,10.751107328
1590602722348732561,-22.3857340519,-146.864012191,10.901573632
1590602722471994054,-7.38573405054,-161.864012193,11.024835072
1590602722666389551,0.0,-176.864012189,11.219230464
1590602722678054672,-5.38714527835,-176.864012193,11.230895616
1590602722931753913,-2.94956609621,177.021676934,11.484594944
1590602722977786352,0.0,179.981459104,11.530627328
1590602723239662897,-2.87262870486,177.100993425,11.792503808
1590602723264936504,0.0,179.822636748,11.817777408
1590602723585734572,0.0,179.758249075,12.138575616
1590602723598867643,-2.53347697115,177.447114715,12.151708672
1590602723894283319,0.0,179.731788862,12.447124224
1590602723900364208,-2.15775702628,177.828610381,12.453205248
1590602724166450553,-1.28007368716,178.715150981,12.719291392
1590602724184397416,12.8422429749,162.828610381,12.737238272
1590602724495242802,27.8422429749,147.828610381,13.048083712
1590602724501581963,0.0,177.828611072,13.05442304
1590602724714907862,0.0,179.838226067,13.267748864
1590602724737863789,15.0000000019,162.82861107,13.29070464
1590602724895250331,30.0000001085,147.828610963,13.448091392
1590602725111370865,15.00000008,162.828610992,13.664211712
1590602725201893380,45.0000001158,132.828610955,13.754734336
1590602725353457497,30.0000001158,147.828610955,13.906298368
1590602725552983924,15.00000011,162.828610961,14.105824768
1590602725621020905,30.0000001151,147.828610956,14.173861888
1590602725906073065,15.0000001148,162.828610956,14.458914048
1590602725924920830,15.0000001147,162.828610957,14.477761792
1590602726221314473,0.0,177.828610957,14.77415552
1590602726225354013,0.0,177.828610972,14.778194944
1590602726391673850,0.0,179.997654369,14.944514816
1590602726401369373,15.0000000079,162.82861097,14.954210304
1590602726696030872,0.0,177.828610973,15.248871936
1590602726784449305,0.0,177.82861097,15.33729024
1590602727242344061,0.0,-179.843282786,15.795184896
1590602727247072905,0.0,179.733269616,15.799913984
1590602727585587738,0.0,-179.992662587,16.138428672
1590602728066288142,0.0,179.986364983,16.619129088
1590602728094845181,0.0,179.97269282,16.647686144
1590602728449874678,0.0,-179.530004377,17.002715648
1590602728481460431,0.0,-179.971333242,17.03430144
1590602728766078655,0.0,179.904924435,17.31891968
