%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1590602380936916106,-0.0668615102768,90,2,0.0
1590602381139655637,0.114612840116,90,2,0.202739456
1590602381345062972,0.274889264256,90,2,0.408146688
1590602381536700609,0.16392916441,90,2,0.599784448
1590602381740841068,0.0928296707571,90,2,0.803924736
1590602381945237574,0.0185297802091,90,2,1.00832128
1590602382142731017,-0.0369764864445,90,2,1.205814784
1590602382337356730,0.333146285266,90,2,1.400440576
1590602382555178581,0.262622348964,90,2,1.618262272
1590602382744417418,0.159319117665,90,2,1.807501312
1590602382938950864,0.0756073743105,90,2,2.002034688
1590602383141151523,0.0797126442194,90,2,2.204235264
1590602383335367088,0.226037576795,90,2,2.398450944
1590602383535256724,0.259839743376,90,2,2.598340608
1590602383744189855,0.182429607958,90,2,2.807273728
1590602383946687501,0.103226397187,90,2,3.009771264
1590602384140582299,0.0424058176577,90,2,3.203666176
1590602384334995747,-0.00256281346083,90,2,3.398079488
1590602384545420042,0.357752200216,90,2,3.608503808
1590602384737901273,0.334955658764,90,2,3.800985088
1590602384945609016,0.2347224392,90,2,4.008692736
1590602385143538260,0.149983353913,90,2,4.206621952
1590602385349229928,0.0877946615219,90,2,4.4123136
1590602385546036194,0.266891811043,90,2,4.60912
1590602385741545290,0.423941388726,90,2,4.804628992
1590602385939143969,0.332337338477,90,2,5.002227712
1590602386144995831,0.231206696481,90,2,5.208079616
1590602386340844922,0.154137611389,90,2,5.403928576
1590602386551979670,0.0977555289865,90,2,5.615063552
1590602386739438049,0.282627157867,90,2,5.802521856
1590602386951240553,0.444323010743,90,2,6.014324224
1590602387151198180,0.358076486737,90,2,6.214281984
1590602387341628954,0.258728116751,90,2,6.404712704
1590602387553599945,0.183282326907,90,2,6.616683776
1590602387745612650,0.128039997071,90,2,6.80869632
1590602387942864889,0.312561076134,90,2,7.005948672
1590602388141432663,0.475030951202,90,2,7.204516352
1590602388339470704,0.38684271276,90,2,7.402554368
1590602388546389614,0.288692582399,90,2,7.60947328
1590602388739755971,0.213610660285,90,2,7.802839808
1590602388936878689,0.159179698676,90,2,7.999962368
1590602389138145495,0.46071652323,90,2,8.201229312
