%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1589839028704022223,152.395784834,1128.15407684,-2.28908337091e-09,-3.40218522192e-14,-2.57398930439e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,0.0
1589839028814270394,152.395784834,1128.15407684,-2.28908337091e-09,-3.38733120156e-14,-2.56151777401e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,0.110248192
1589839028907690600,152.395784834,1128.15407684,-2.28908337091e-09,-3.37399270834e-14,-2.5503186899e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,0.203668224
1589839029006291089,152.395784834,1128.15407684,-2.28908337091e-09,-3.36004786368e-14,-2.53861050924e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,0.302268928
1589839029111058586,152.395784834,1128.15407684,-2.28908337091e-09,-3.34602469375e-14,-2.52683656619e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,0.407036416
1589839029204913538,152.395784834,1128.15407684,-2.28908337091e-09,-3.33199312226e-14,-2.51505556913e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,0.500891392
1589839029303718841,152.395784834,1128.15407684,-2.28908337091e-09,-3.31801992653e-14,-2.50332358473e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,0.59969664
1589839029406042857,152.395784834,1128.15407684,-2.28908337091e-09,-3.30389975375e-14,-2.49146819747e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,0.702020608
1589839029504658600,152.395784834,1128.15407684,-2.28908337091e-09,-3.2898916129e-14,-2.47970687292e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,0.800636416
1589839029604222376,152.395784834,1128.15407684,-2.28908337091e-09,-3.27590117891e-14,-2.46796041518e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,0.900200192
1589839029706600917,152.395784834,1128.15407684,-2.28908337091e-09,-3.26179683856e-14,-2.45611832091e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,1.002578688
1589839029806412004,152.395784834,1128.15407684,-2.28908337091e-09,-3.24780707402e-14,-2.44437242524e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,1.10238976
1589839029908721563,152.395784834,1128.15407684,-2.28908337091e-09,-3.23367157091e-14,-2.43250416653e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,1.204699392
1589839030007408207,152.395784834,1128.15407684,-2.28908337091e-09,-3.21948371706e-14,-2.42059195381e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,3.44016325745e-26,1.303385856
1589839030110095180,152.395784834,1128.15407684,-2.28908337091e-09,-3.20568715487e-14,-2.40900827206e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,-3.83709702302e-26,1.406072832
1589839030204522218,152.395784834,1128.15407684,-2.28908337091e-09,-3.19173136476e-14,-2.39729090153e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,-1.11983451125e-25,1.500499968
1589839030305147389,152.395784834,1128.15407684,-2.28908337091e-09,-3.17767003636e-14,-2.38548492038e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,-1.11983451125e-25,1.60112512
1589839030405735049,152.395784834,1128.15407684,-2.28908337091e-09,-3.16357794687e-14,-2.37365311203e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,1.701712896
1589839030504999774,152.395784834,1128.15407684,-2.28908337091e-09,-3.14960702726e-14,-2.36192303868e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,1.800977408
1589839030604641750,152.395784834,1128.15407684,-2.28908337091e-09,-3.13558874429e-14,-2.35015319874e-13,3.33958241554e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,1.90061952
1589839030707897684,152.395784834,1128.15407684,-2.28908337091e-09,-3.12155700544e-14,-2.33837206117e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,2.003875328
1589839030805130816,152.395784834,1128.15407684,-2.28908337091e-09,-3.10751981059e-14,-2.32658634271e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,2.10110848
1589839030905163737,152.395784834,1128.15407684,-2.28908337091e-09,-3.09348613034e-14,-2.31480357512e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,2.201141504
1589839031009501889,152.395784834,1128.15407684,-2.28908337091e-09,-3.07941101134e-14,-2.30298601529e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,2.30547968
1589839031107942500,152.395784834,1128.15407684,-2.28908337091e-09,-3.06541803346e-14,-2.29123742167e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,2.403920128
1589839031206494936,152.395784834,1128.15407684,-2.28908337091e-09,-3.05136564217e-14,-2.27943894418e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,2.502472704
1589839031305409855,152.395784834,1128.15407684,-2.28908337091e-09,-3.03737420401e-14,-2.26769164333e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,2.60138752
1589839031407278325,152.395784834,1128.15407684,-2.28908337091e-09,-3.02334698393e-14,-2.25591429974e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,2.703256064
1589839031510186873,152.395784834,1128.15407684,-2.28908337091e-09,-3.00929629973e-14,-2.24411725553e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,2.80616448
1589839031605000987,152.395784834,1128.15407684,-2.28908337091e-09,-2.99530077795e-14,-2.23236652604e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,2.900978688
1589839031704988324,152.395784834,1128.15407684,-2.28908337091e-09,-2.9812547464e-14,-2.22057338823e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,3.000966144
1589839031807256317,152.395784834,1128.15407684,-2.28908337091e-09,-2.96725728323e-14,-2.20882102873e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,3.103234048
1589839031907432815,152.395784834,1128.15407684,-2.28908337091e-09,-2.95316097623e-14,-2.19698567932e-13,3.33958241553e-14,1.40393169909e-15,1.17875002294e-14,-3.76520331724e-26,3.203410432
1589839032005094592,152.395784834,1128.15407684,-2.28908337091e-09,-2.93916602348e-14,-2.18523542759e-13,3.33958241553e-14,6.95634278262e-16,1.17875002294e-14,-3.76520331724e-26,3.301072384
1589839032110114881,152.395784834,1128.15407684,-2.28908337091e-09,-2.93216515603e-14,-2.17337248047e-13,3.33958241553e-14,-1.94563467984e-17,-1.10953997726e-14,-3.76520331724e-26,3.406092544
1589839032209777160,152.395784834,1128.15407684,-2.28908337091e-09,-2.93235858699e-14,-2.18440329668e-13,3.33958241553e-14,-7.25863190084e-16,-3.37004187577e-14,-3.76520331724e-26,3.50575488
1589839032306662093,152.395784834,1128.15407684,-2.28908337091e-09,-2.93960582467e-14,-2.21805081427e-13,3.33958241553e-14,-1.43529055286e-15,-5.64020943665e-14,-3.76520331724e-26,3.602639872
1589839032408556894,152.395784834,1128.15407684,-2.28908337091e-09,-2.95391583886e-14,-2.27428436009e-13,3.33958241553e-14,-2.14370994643e-15,-3.37326737723e-14,-3.76520331724e-26,3.704534528
1589839032506368938,152.395784834,1128.15407684,-2.28908337091e-09,-2.97530707219e-14,-2.3079448605e-13,3.33958241553e-14,-2.14370994643e-15,-3.37326737723e-14,-3.76520331724e-26,3.802346752
1589839032604808695,152.395784834,1128.15407684,-2.28908337091e-09,-2.99673454252e-14,-2.34166238221e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,-3.76520331724e-26,3.900786432
1589839032707387830,152.395784834,1128.15407684,-2.28908337091e-09,-3.01105982302e-14,-2.37537250482e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,-3.76520331724e-26,4.003365632
1589839032804638774,152.395784834,1128.15407684,-2.28908337091e-09,-3.02537420107e-14,-2.40905697187e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,-3.76520331724e-26,4.100616448
1589839032907648008,152.395784834,1128.15407684,-2.28908337091e-09,-3.03972097889e-14,-2.44281768179e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,-3.76520331724e-26,4.203625728
1589839033004744723,152.395784834,1128.15407684,-2.28908337091e-09,-3.05403617719e-14,-2.47650407904e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,-3.76520331724e-26,4.300722432
1589839033108848199,152.395784834,1128.15407684,-2.28908337091e-09,-3.06840732319e-14,-2.51032213195e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,3.65884583108e-26,4.404825856
1589839033205117823,152.395784834,1128.15407684,-2.28908337091e-09,-3.08268872045e-14,-2.54392898891e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,1.10365313076e-25,4.501095424
1589839033304669618,152.395784834,1128.15407684,-2.28908337091e-09,-3.09702316039e-14,-2.57766066541e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,1.10365313076e-25,4.600647424
1589839033409458609,152.395784834,1128.15407684,-2.28908337091e-09,-3.11145004905e-14,-2.61160989144e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,3.58368583464e-26,4.705436416
1589839033508686158,152.395784834,1128.15407684,-2.28908337091e-09,-3.12578821427e-14,-2.64535033426e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,3.58368583464e-26,4.804663808
1589839033604677951,152.395784834,1128.15407684,-2.28908337091e-09,-3.13998433997e-14,-2.67875653095e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,3.58368583464e-26,4.900655616
1589839033707210479,152.395784834,1128.15407684,-2.28908337091e-09,-3.15441984123e-14,-2.71272602406e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,3.58368583464e-26,5.003188224
1589839033807815146,152.395784834,1128.15407684,-2.28908337091e-09,-3.16865838056e-14,-2.74623202812e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,3.58368583464e-26,5.103792896
1589839033905126587,152.395784834,1128.15407684,-2.28908337091e-09,-3.18297590289e-14,-2.77992389427e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,3.58368583464e-26,5.201104384
1589839034004929199,152.395784834,1128.15407684,-2.28908337091e-09,-3.1972931518e-14,-2.81361511701e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,3.58368583464e-26,5.300907008
1589839034104862337,152.395784834,1128.15407684,-2.28908337091e-09,-3.21164338149e-14,-2.84738394985e-13,3.33958241553e-14,-1.43348637268e-15,-3.37326737723e-14,3.58368583464e-26,5.400840192
1589839034204395622,152.395784834,1128.15407684,-2.28908337091e-09,-3.22592177118e-14,-2.88098372942e-13,3.33958241553e-14,-1.43348637268e-15,-1.10848830115e-14,3.58368583464e-26,5.500373248
1589839034309663277,152.395784834,1128.15407684,-2.28908337091e-09,-3.2402979412e-14,-2.89210055382e-13,3.33958241553e-14,-1.43348637268e-15,1.17180028701e-14,3.58368583464e-26,5.60564096
1589839034405219820,152.395784834,1128.15407684,-2.28908337091e-09,-3.25461488252e-14,-2.88039720158e-13,3.33958241553e-14,-1.43348637268e-15,3.44269426335e-14,3.58368583464e-26,5.701197568
1589839034505154593,152.395784834,1128.15407684,-2.28908337091e-09,-3.26891234297e-14,-2.84606008755e-13,3.33958241553e-14,-1.43348637268e-15,5.71049826349e-14,3.58368583464e-26,5.801132288
1589839034605438567,152.395784834,1128.15407684,-2.28908337091e-09,-3.28328164342e-14,-2.78881792129e-13,3.33958241553e-14,-1.43348637268e-15,5.71049826349e-14,3.58368583464e-26,5.901416192
1589839034710415798,152.395784834,1128.15407684,-2.28908337091e-09,-3.29761205046e-14,-2.73173069247e-13,3.33958241553e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,6.0063936
1589839034807777934,152.395784834,1128.15407684,-2.28908337091e-09,-3.3119464904e-14,-2.69735702463e-13,3.33958241553e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,6.103755776
1589839034908491867,152.395784834,1128.15407684,-2.28908337091e-09,-3.32622012948e-14,-2.66312915587e-13,3.33958241553e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,6.204469504
1589839035008668915,152.395784834,1128.15407684,-2.28908337091e-09,-3.34090963405e-14,-2.62790405095e-13,3.33958241553e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,6.304646656
1589839035105457495,152.395784834,1128.15407684,-2.28908337091e-09,-3.35487079302e-14,-2.59442550254e-13,3.33958241553e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,6.401435136
1589839035207546500,152.395784834,1128.15407684,-2.28908337091e-09,-3.3691953558e-14,-2.56007551988e-13,3.33958241553e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,6.503524352
1589839035305352079,152.395784834,1128.15407684,-2.28908337091e-09,-3.38351834645e-14,-2.52572930718e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,6.60132992
1589839035406644962,152.395784834,1128.15407684,-2.28908337091e-09,-3.39783053717e-14,-2.49140899246e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,6.70262272
1589839035507928606,152.395784834,1128.15407684,-2.28908337091e-09,-3.41214259118e-14,-2.45708900556e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,6.803906304
1589839035604597844,152.395784834,1128.15407684,-2.28908337091e-09,-3.42645867807e-14,-2.42275934789e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,6.900575488
1589839035708388110,152.395784834,1128.15407684,-2.28908337091e-09,-3.44079998758e-14,-2.38836920697e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,7.004365824
1589839035806602275,152.395784834,1128.15407684,-2.28908337091e-09,-3.4551420148e-14,-2.35397734498e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,7.102579968
1589839035906883846,152.395784834,1128.15407684,-2.28908337091e-09,-3.46946196369e-14,-2.31963842633e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,7.202861568
1589839036006725402,152.395784834,1128.15407684,-2.28908337091e-09,-3.48376386714e-14,-2.28534278026e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,7.302703104
1589839036106599157,152.395784834,1128.15407684,-2.28908337091e-09,-3.49813614099e-14,-2.25087838753e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,7.402576896
1589839036205316961,152.395784834,1128.15407684,-2.28908337091e-09,-3.51245865316e-14,-2.21653332221e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,3.58368583464e-26,7.501294592
1589839036304686552,152.395784834,1128.15407684,-2.28908337091e-09,-3.52672873784e-14,-2.18231397683e-13,3.33958241554e-14,-1.43348637268e-15,3.43746840888e-14,-3.78815562999e-26,7.60066432
1589839036407998417,152.395784834,1128.15407684,-2.28908337091e-09,-3.54113870889e-14,-2.14775918704e-13,3.33958241554e-14,-1.43348637268e-15,1.15181844097e-14,-1.12322615685e-25,7.703976192
