%time,field.port,field.star,secs_since_start
1590602380935943584,-142.374801475,-35.5715398201,0.0
1590602381139176245,-142.365703663,-35.560560291,0.203232512
1590602381341396177,-142.384309099,-35.546083705,0.405452544
1590602381536012475,-142.401903666,-35.5508648374,0.600068864
1590602381739697964,-142.388011061,-35.5585248946,0.80375424
1590602381942442351,-142.384145174,-35.5646584045,1.00649856
1590602382140456645,-142.378243891,-35.5697298199,1.204513024
1590602382336296905,-142.36593589,-35.5463398371,1.40035328
1590602382548743223,-142.410386761,-35.5433550445,1.612799488
1590602382740345181,-142.397750911,-35.5530778187,1.804401408
1590602382937072487,-142.389841552,-35.5606866495,2.001128704
1590602383138998248,-142.30962781,-35.6052058225,2.203054592
1590602383335577149,-142.285162073,-35.608402351,2.399633408
1590602383534759609,-142.323943887,-35.5908043686,2.598816
1590602383747774706,-142.345458983,-35.5847938021,2.81183104
1590602383941605773,-142.351469549,-35.5837009719,3.005662208
1590602384138738931,-142.355417398,-35.583127236,3.202795264
1590602384335001041,-142.358545625,-35.5826286322,3.399057408
1590602384542598743,-142.352821927,-35.5563392341,3.606654976
1590602384736370360,-142.398884722,-35.5481020259,3.800426752
1590602384941074817,-142.39373476,-35.5549083094,4.005131264
1590602385138572192,-142.387806155,-35.5613218571,4.202628608
1590602385345980329,-142.38290208,-35.5661747065,4.410036736
1590602385538841463,-142.374528268,-35.5549322151,4.602897664
1590602385739748734,-142.393352269,-35.5405375914,4.803804928
1590602385936471136,-142.409826685,-35.5440312332,5.00052736
1590602386141908841,-142.398994005,-35.5532588187,5.205965056
1590602386339154203,-142.391467137,-35.5602973287,5.403210496
1590602386545328051,-142.385565853,-35.5654780272,5.609384448
1590602386738318914,-142.376918834,-35.5543072528,5.802375168
1590602386943711515,-142.395428647,-35.5397862706,6.007767808
1590602387146856080,-142.41216261,-35.5429623086,6.210912512
1590602387338252030,-142.40132993,-35.552148913,6.402308352
1590602387546925445,-142.393912345,-35.559115706,6.610981888
1590602387741850427,-142.388079363,-35.5642622535,6.805906688
1590602387942500890,-142.379418683,-35.552978781,7.006557184
1590602388142562087,-142.398474911,-35.538211912,7.206618368
1590602388338466194,-142.415236195,-35.5414528368,7.402522624
1590602388544441973,-142.404485477,-35.5505028374,7.608498176
1590602388736457071,-142.397245477,-35.557346687,7.80051328
1590602388938046409,-142.39156276,-35.5623498005,8.002102784
1590602389137166925,-142.380866683,-35.5431364784,8.201223168
1590602389344862306,-142.41578261,-35.5341991759,8.408918528
1590602389535972055,-142.416588573,-35.5412513462,8.600028416
1590602389741897481,-142.407080949,-35.549946177,8.805953792
1590602389941355463,-142.399813628,-35.5564519322,9.00541184
1590602390149793126,-142.394677326,-35.5610418193,9.213849344
1590602390335642266,-142.391043665,-35.5642759139,9.399698688
1590602390541777128,-142.380648117,-35.5391817989,9.605833472
1590602390748784438,-142.426765555,-35.5349436665,9.812840704
1590602390940001794,-142.414580497,-35.544386403,10.004058112
1590602391137367744,-142.406985327,-35.5516400639,10.201424128
1590602391337008182,-142.401166005,-35.5568719888,10.401064448
1590602391543863631,-142.396931288,-35.5605739513,10.607919872
1590602391741315553,-142.389595665,-35.5480849505,10.805371904
1590602391941381268,-142.47607952,-35.5023465887,11.005437696
1590602392135985505,-142.753685729,-35.3661252959,11.200041728
1590602392336765452,-143.074281148,-35.177946754,11.40082176
1590602392541730774,-144.304247954,-34.5219378201,11.605787136
1590602392740154629,-145.524994004,-33.7339354805,11.804210944
1590602392940496903,-146.263747264,-33.2992998077,12.004553216
1590602393135646232,-149.20877457,-32.0503553218,12.199702528
1590602393338651855,-152.049846397,-30.850485745,12.402708224
1590602393540780529,-153.926263286,-29.8661120516,12.604836864
1590602393742579748,-155.577994273,-28.5822618839,12.806636032
1590602393936575181,-156.720698582,-27.3778109577,13.000631552
1590602394139283721,-157.361465948,-25.2075268867,13.203340032
1590602394345144263,-157.778230431,-22.8594803123,13.40920064
1590602394536703807,-157.866216928,-20.5901567908,13.600760064
1590602394739177887,-157.876844702,-18.5787104764,13.803234304
1590602394935529886,-157.799376697,-16.8914454307,13.999586304
1590602395137035906,-157.684506575,-15.5228274927,14.201092352
1590602395338233481,-157.610822495,-14.2679629403,14.40228992
1590602395545421160,-157.549227849,-13.3690494276,14.609477376
1590602395743985279,-157.516388299,-12.600177594,14.808041472
1590602395945726295,-157.537411621,-11.8725626644,15.009782528
1590602396139770298,-157.568980756,-11.2253433302,15.203826688
1590602396342021950,-157.717646653,-10.5192212983,15.406078208
1590602396542869085,-157.860561531,-9.9513363188,15.606925312
1590602396742106711,-157.94715467,-9.72606984979,15.806162944
1590602396941244564,-157.989611126,-9.98494170329,16.005300992
1590602397138172800,-158.136036721,-10.1868292886,16.202229248
1590602397341405635,-158.38584406,-10.1100921132,16.405462016
1590602397536799504,-158.506929653,-10.6525739116,16.600855808
1590602397741394692,-158.699459026,-11.1216909406,16.805451008
1590602397937927956,-158.836062809,-11.7013016474,17.001984256
1590602398143255999,-159.008566067,-12.2482802716,17.207312384
1590602398337759192,-159.190740872,-12.7231056312,17.401815552
1590602398545974812,-159.345390015,-13.2951706864,17.610031104
1590602398737707733,-159.537878407,-13.8785712944,17.801764096
1590602398942335545,-159.734546874,-14.4279993952,18.006391808
1590602399136327474,-159.97992825,-14.6590237137,18.200383744
1590602399348170268,-160.102871655,-15.2466658691,18.41222656
1590602399551565336,-160.228533475,-15.8961844158,18.615621632
1590602399746031408,-160.321970463,-16.5411882074,18.81008768
1590602399935112818,-160.374125787,-17.4630998208,18.999169024
1590602400134783779,-160.469926021,-18.1147066978,19.198840064
1590602400339832039,-160.539156818,-18.7567410647,19.403888384
1590602400536266784,-160.656035015,-19.2669647334,19.600323072
1590602400743638057,-160.712452378,-19.9193622048,19.807694336
1590602400938470330,-160.774593439,-20.5017997561,20.00252672
1590602401139255882,-160.819208235,-21.0819884676,20.203312128
1590602401336456339,-160.870188767,-21.5734564369,20.400512768
1590602401535553549,-160.805206347,-22.3939534015,20.599609856
1590602401743650378,-160.80603963,-22.9936866993,20.807706624
1590602401934935043,-161.113083954,-22.4845080495,20.99899136
1590602402142556107,-161.012803116,-23.0651492611,21.20661248
1590602402341013650,-160.969158208,-23.6748409747,21.40507008
1590602402536088674,-160.891744844,-24.2965316231,21.600144896
1590602402739109283,-160.715102491,-25.1059022096,21.803165696
1590602402935808527,-160.578539689,-25.6776846658,21.999864832
1590602403136105707,-160.423303149,-26.2382109702,22.200162048
1590602403335554365,-160.089197616,-27.0146856581,22.399610624
1590602403538195639,-159.570895541,-27.8548757656,22.602252032
1590602403744158139,-159.137151208,-28.6779938153,22.808214528
1590602403934899804,-158.814738958,-29.419530378,22.998956032
1590602404137830262,-158.486193199,-30.1960136036,23.201886464
1590602404340380342,-158.147142609,-30.9534064505,23.404436736
1590602404538421255,-157.820714208,-31.7147061656,23.602477568
1590602404735900164,-157.515227167,-32.4406664819,23.79995648
1590602404937355472,-157.177173784,-33.1645743264,24.00141184
1590602405138362959,-156.384803539,-34.483985874,24.2024192
1590602405339612870,-156.883639574,-34.0484144653,24.403669248
1590602405539523288,-156.805515871,-34.4920898934,24.603579648
1590602405736487491,-156.003460417,-35.3461879737,24.800543744
1590602405942652830,-155.135261411,-36.7560619618,25.006709248
1590602406135003491,-154.481407402,-37.9558154253,25.199059712
1590602406338096450,-153.881716793,-39.1452962844,25.402152704
1590602406537216896,-152.9107371,-40.3685729195,25.601273344
1590602406739060915,-151.815502606,-41.3972028236,25.803117312
1590602406937656008,-150.768940041,-42.2594356591,26.001712384
1590602407136456976,-149.664908263,-42.9595778603,26.20051328
1590602407341471627,-148.392566964,-43.5004400502,26.405528064
1590602407538765326,-146.785846924,-43.8490153393,26.602821632
1590602407737672653,-144.794928744,-44.3049441268,26.801729024
1590602407937641679,-142.999900388,-44.7915951052,27.001698048
1590602408143718688,-140.019820551,-45.4708061917,27.207774976
1590602408338331508,-139.218120267,-45.3795343738,27.402387712
1590602408545996012,-141.109631875,-44.577950203,27.610052352
1590602408737448394,-140.080158442,-44.4702961764,27.801504768
1590602408938020253,-138.00540652,-44.8848784138,28.002076672
1590602409138931722,-137.968086366,-44.5760240897,28.202988032
1590602409340333305,-136.566190039,-44.6188527909,28.404389632
1590602409538599636,-136.182948125,-44.3796732265,28.602656
1590602409742311198,-135.78309519,-44.0016256711,28.806367488
1590602409937883486,-135.010081701,-43.4708311801,29.001939712
1590602410139720316,-134.576473972,-42.7042995401,29.203776512
1590602410339439492,-134.076845634,-41.9229327293,29.403495936
1590602410540329196,-133.569512843,-41.1880180349,29.604385536
1590602410738492918,-133.168703682,-40.5111087222,29.802549248
1590602410936553388,-133.152625416,-39.7261424016,30.000609792
1590602411140058559,-132.908705701,-39.3074825413,30.204114944
1590602411336167598,-132.869391132,-38.9642518752,30.400224
1590602411542475511,-132.635443492,-38.6876428742,30.60653184
1590602411744456024,-132.375117662,-38.4165424207,30.808512256
1590602411943031835,-132.108726624,-38.1559809492,31.007088128
1590602412147600245,-131.902441251,-37.8917175151,31.211656448
1590602412341543471,-131.623550967,-37.6697978388,31.405599744
1590602412538344489,-131.033040132,-37.4419632186,31.602400768
1590602412736503648,-130.768056113,-37.2218535424,31.800559872
1590602412945817999,-131.491646354,-37.1636808213,32.009874432
1590602413143622238,-131.674504178,-36.9858022047,32.207678464
1590602413337487216,-131.694024859,-36.7458030176,32.401543424
1590602413541528729,-132.035506997,-36.383563935,32.605585152
1590602413739562392,-131.881636495,-36.1176680857,32.803618816
1590602413938539002,-131.931852046,-35.9526677908,33.002595328
1590602414137276320,-131.916388497,-35.8109345354,33.201332736
1590602414340490474,-131.986630163,-35.9018785042,33.404546816
1590602414545104880,-132.420415477,-36.2703467193,33.609161216
1590602414739165613,-132.978551215,-36.6410518214,33.803222016
1590602414939644050,-133.275118029,-36.7782873973,34.00370048
1590602415136782807,-133.5824219,-36.8871503674,34.200839168
1590602415342425503,-133.691390738,-37.0778765698,34.40648192
1590602415537135154,-133.889780413,-37.2159454288,34.601191424
1590602415737565787,-134.109698844,-37.2209485423,34.801622016
1590602415936624555,-134.288895687,-37.2308352412,35.00068096
1590602416140394653,-134.554330498,-37.1523666129,35.204451072
1590602416338678125,-134.691139187,-37.2660243758,35.402734336
