%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1590601707655072866,-3.74816395342,90,2,0.0
1590601707854765825,-3.86053435504,90,2,0.199693056
1590601708044898996,-3.98086979985,90,2,0.389826304
1590601708248955445,-3.8368538022,90,2,0.593882624
1590601708456403227,-3.9860188961,90,2,0.801330432
1590601708663641621,-4.051130265,90,2,1.008568832
1590601708845779012,-4.07559797168,90,2,1.190706176
1590601709044362878,-4.02087084949,90,2,1.389289984
1590601709243567769,-3.9062358439,90,2,1.588495104
1590601709444650971,-3.9348654449,90,2,1.78957824
1590601709643679069,-3.96846309304,90,2,1.988606208
1590601709844270357,-4.06290665269,90,2,2.189197568
1590601710045503982,-4.16527092457,90,2,2.390431232
1590601710245835297,-4.29815091193,90,2,2.590762496
1590601710450632168,-4.04777675867,90,2,2.795559424
1590601710666851263,-4.15618009865,90,2,3.01177856
1590601710842858247,-4.03204634786,90,2,3.187785472
1590601711065501768,-4.03145998716,90,2,3.410428928
1590601711248973907,-4.0729150176,90,2,3.593901056
1590601711449034860,-3.97105738521,90,2,3.793961984
1590601711644433514,-3.88360358775,90,2,3.98936064
1590601711853330193,-3.78224998713,90,2,4.198257408
1590601712054156896,-3.76690104604,90,2,4.399084032
1590601712239851209,-3.6211296916,90,2,4.584778496
1590601712441894298,-3.42730768025,90,2,4.786821632
1590601712646492957,-3.38026732206,90,2,4.99142016
1590601712847478794,-3.37662398815,90,2,5.192406016
1590601713044160243,-3.5141993314,90,2,5.389087488
1590601713253189157,-3.40588353574,90,2,5.598116352
1590601713453425316,-3.24332751334,90,2,5.79835264
1590601713639591219,-3.05151492357,90,2,5.9845184
1590601713846339316,-3.06506715715,90,2,6.19126656
1590601714048687766,-3.0619578436,90,2,6.393615104
1590601714244225522,-2.79570966959,90,2,6.589152768
1590601714451183026,-3.02085578442,90,2,6.796110336
1590601714648000221,-2.84056756645,90,2,6.992927488
1590601714847668288,-2.82161962241,90,2,7.192595456
1590601715051612782,-2.64860056341,90,2,7.396539904
1590601715256781385,-2.38889046013,90,2,7.601708544
1590601715441225647,-2.28367447853,90,2,7.78615296
1590601715640691734,-2.14250348508,90,2,7.985618944
1590601715856983545,-1.92854255438,90,2,8.201910784
1590601716041225343,-1.80332046002,90,2,8.386152448
1590601716255777286,-1.77533458918,90,2,8.600704512
1590601716440196607,-1.73282865435,90,2,8.78512384
1590601716648942132,-1.5189143829,90,2,8.993869312
1590601716849810097,-1.38833802193,90,2,9.194737408
1590601717057060295,-1.30867352709,90,2,9.401987584
1590601717254916410,-1.57738141716,90,2,9.599843584
1590601717451040420,-1.48619841784,90,2,9.795967744
1590601717641201124,-1.33014395833,90,2,9.986128384
1590601717860778328,-1.0116697289,90,2,10.205705472
1590601718052275764,-0.867226812989,90,2,10.397202944
1590601718263799109,-0.76832389459,90,2,10.608726272
1590601718441194052,-0.60324408114,90,2,10.786121216
1590601718644384010,-0.750025780872,90,2,10.989311232
1590601718838837299,-0.807335413992,90,2,11.18376448
1590601719054424486,-0.474605569616,90,2,11.399351808
1590601719240507434,-0.494489446282,90,2,11.585434624
1590601719448573192,-3.35363894701,90,2,11.793500416
1590601719642846782,-3.56596373022,90,2,11.987773952
1590601719857694434,1.75102613866,90,2,12.202621696
1590601720047452279,7.70889744163,90,2,12.392379392
1590601720246331430,20.7232505083,90,2,12.591258624
1590601720463780038,34.515324235,90,2,12.808707328
1590601720639951965,47.0772534609,90,2,12.984879104
1590601720846884385,58.211517334,90,2,13.191811584
1590601721043628561,68.1345880032,90,2,13.388555776
1590601721256672329,71.4101433754,90,2,13.601599488
1590601721445605806,74.3065178394,90,2,13.79053312
1590601721657522496,79.3173193932,90,2,14.002449664
1590601721856046885,80.7117164135,90,2,14.20097408
1590601722043740655,80.9775292873,90,2,14.388667904
1590601722249634566,81.3931107521,90,2,14.594561792
1590601722442266337,79.0757894516,90,2,14.7871936
1590601722642297380,77.7028918266,90,2,14.987224576
1590601722840071293,72.8142261505,90,2,15.1849984
1590601723040513152,68.4344828129,90,2,15.385440256
1590601723253737041,67.3291862011,90,2,15.598664192
1590601723457332059,61.5951359272,90,2,15.8022592
1590601723640229079,51.4045536518,90,2,15.985156352
1590601723850300634,47.3666936159,90,2,16.195227904
1590601724040140482,35.157507658,90,2,16.385067776
1590601724244757735,27.9389709234,90,2,16.589684992
1590601724443507285,20.4864114523,90,2,16.788434432
1590601724643285085,12.4769203365,90,2,16.988212224
1590601724850018813,6.75840228796,90,2,17.194946048
1590601725042434826,-2.47753225267,90,2,17.387362048
1590601725241065516,-10.6549680233,90,2,17.585992704
1590601725453231051,-16.4895057678,90,2,17.798158336
1590601725646117127,-25.4012227058,90,2,17.991044352
1590601725845967428,-31.2949389219,90,2,18.190894592
1590601726041081826,-36.2623751163,90,2,18.386009088
1590601726251064900,-41.8015301228,90,2,18.595992064
1590601726439323765,-48.9567935467,90,2,18.78425088
1590601726649150725,-54.1674017906,90,2,18.994077952
1590601726855433738,-59.4809710979,90,2,19.20036096
1590601727040027223,-66.1131322384,90,2,19.384954368
1590601727253143209,-68.8173055649,90,2,19.598070528
1590601727451521550,-72.295165062,90,2,19.796448768
1590601727660544449,-76.2768030167,90,2,20.005471744
1590601727850993319,-78.6401629448,90,2,20.19592064
1590601728039337873,-80.5710315704,90,2,20.384265216
1590601728256920118,-82.0760071278,90,2,20.601847296
1590601728450203587,-82.7929794788,90,2,20.79513088
1590601728649654590,-83.1142008305,90,2,20.99458176
1590601728841516112,-83.0706894398,90,2,21.186443264
1590601729044959409,-83.1959784031,90,2,21.38988672
1590601729241887464,-81.0061514378,90,2,21.58681472
1590601729455833558,-79.937171936,90,2,21.800760832
1590601729640267793,-79.8121333122,90,2,21.985195008
1590601729847048330,-78.9442360401,90,2,22.19197568
1590601730040806050,-79.0529191494,90,2,22.385733376
1590601730245633774,-85.1023852825,90,2,22.590561024
1590601730446748208,-91.1393821239,90,2,22.791675392
1590601730648783361,-94.5878744125,90,2,22.993710592
1590601730845659038,-96.1125731468,90,2,23.190586368
1590601731045948541,-99.9442458153,90,2,23.390875648
1590601731252385889,-100.0,90,2,23.597313024
1590601731442743448,-100.0,90,2,23.787670784
1590601731648140757,-100.0,90,2,23.993068032
1590601731843517330,-100.0,90,2,24.188444672
1590601732040014498,-100.0,90,2,24.384941824
1590601732254920948,-98.7742006779,90,2,24.599848192
1590601732450080245,-94.2469954491,90,2,24.795007488
1590601732639645187,-92.4520254135,90,2,24.984572416
1590601732847846439,-95.3792572021,90,2,25.192773632
1590601733057599807,-97.7256417274,90,2,25.402526976
1590601733253026376,-99.2427647114,90,2,25.597953536
1590601733450720984,-100.0,90,2,25.795648256
1590601733641258532,-99.2753863335,90,2,25.986185728
1590601733840645018,-98.4248101711,90,2,26.185572352
1590601734039817917,-96.5740740299,90,2,26.384745216
1590601734246125503,-94.8151290417,90,2,26.5910528
1590601734454477221,-92.5983548164,90,2,26.799404544
1590601734656921485,-88.2280409336,90,2,27.001848832
1590601734850528884,-83.1306755543,90,2,27.195456
1590601735043981897,-75.2484083176,90,2,27.388909056
1590601735256636083,-71.6067194939,90,2,27.601563392
1590601735444113115,-67.2117650509,90,2,27.789040384
1590601735655728372,-62.3246312141,90,2,28.000655616
1590601735850518341,-54.0229260921,90,2,28.195445504
1590601736070149258,-46.229749918,90,2,28.415076608
1590601736255512973,-39.1892284155,90,2,28.60044032
1590601736460465181,-31.2409460545,90,2,28.805392384
1590601736655073503,-24.179777503,90,2,29.000000768
1590601736840555352,-14.5726531744,90,2,29.185482496
1590601737055564360,-9.30715203285,90,2,29.40049152
1590601737249091179,-3.22852581739,90,2,29.594018304
1590601737445989678,1.61083005369,90,2,29.790916864
1590601737648215623,6.1705365777,90,2,29.993142784
1590601737849942415,8.26003849506,90,2,30.19486976
1590601738042284726,9.10130515695,90,2,30.387212032
1590601738250959750,9.52532961965,90,2,30.595887104
1590601738454553026,9.94994565845,90,2,30.79948032
1590601738640176998,8.66704136133,90,2,30.985104128
1590601738850542431,9.44035500288,90,2,31.195469568
1590601739042722176,10.2412842214,90,2,31.387649536
1590601739254966373,10.9413303435,90,2,31.599893504
1590601739458419943,10.2484770119,90,2,31.8033472
1590601739656301650,10.5039596558,90,2,32.0012288
1590601739853136367,10.9135888517,90,2,32.198063616
1590601740042134912,11.2410657108,90,2,32.387062272
1590601740258076352,11.7695637047,90,2,32.603003648
1590601740443910781,11.7282785475,90,2,32.788837888
1590601740645721829,12.0219998062,90,2,32.990649088
1590601740861078195,9.68854725361,90,2,33.206005504
1590601741051607247,5.22795021534,90,2,33.396534528
1590601741250946097,0.975458137691,90,2,33.59587328
1590601741452597753,-2.36053057015,90,2,33.797524992
1590601741648843299,-4.72987517715,90,2,33.993770496
1590601741847851276,-7.47847035527,90,2,34.192778496
1590601742053754097,-10.924974829,90,2,34.398681344
1590601742250441112,-12.0284281671,90,2,34.595368448
1590601742449026501,-11.7287948728,90,2,34.793953792
1590601742640430857,-10.5571188033,90,2,34.98535808
1590601742862795458,-11.2127654254,90,2,35.207722752
1590601743053633064,-10.6005042791,90,2,35.398560256
1590601743249725373,-8.44304412603,90,2,35.594652672
1590601743453259636,-7.66028016806,90,2,35.798186752
