%time,field.port,field.star,secs_since_start
1590601707648243539,-141.992310882,-35.862659558,0.0
1590601707850390797,-141.975494956,-35.8716480869,0.202147328
1590601708044229320,-141.959525974,-35.8797145403,0.39598592
1590601708246146759,-141.938625595,-35.8694077849,0.59790336
1590601708451746418,-141.957312992,-35.8700942189,0.803502848
1590601708660941040,-141.942149973,-35.8749265777,1.0126976
1590601708845042445,-141.930333745,-35.8742572192,1.196798976
1590601709044713287,-141.925607254,-35.8668635394,1.39646976
1590601709243435353,-141.928393972,-35.8530426516,1.595191808
1590601709442250517,-141.940018953,-35.8478858588,1.79400704
1590601709643557269,-141.933885444,-35.8487293871,1.99531392
1590601709842815635,-141.92727382,-35.8539476517,2.194572288
1590601710042949747,-141.916140612,-35.8616760107,2.394706176
1590601710245916464,-141.904283404,-35.8709445774,2.59767296
1590601710447810966,-141.881853063,-35.8545965196,2.799567616
1590601710656993874,-141.872591326,-35.8716856529,3.008750336
1590601710841360207,-141.807335699,-35.890390126,3.193116672
1590601711049684964,-141.824315549,-35.8798579743,3.401441536
1590601711246619151,-141.850953287,-35.8642475769,3.59837568
1590601711447159629,-141.866280231,-35.8456831228,3.798916096
1590601711642597053,-141.885609667,-35.8285632536,3.994353664
1590601711847586607,-141.891428988,-35.815865932,4.199343104
1590601712054116411,-141.902780762,-35.8083117427,4.405872896
1590601712238738546,-141.901783555,-35.7951089871,4.590494976
1590601712440570357,-141.851472381,-35.8102481014,4.792326912
1590601712648087908,-141.828850795,-35.828286631,4.999844352
1590601712844461153,-141.840844607,-35.8206880455,5.1962176
1590601713044123777,-141.868192684,-35.8118361203,5.395880448
1590601713250690802,-141.873165062,-35.7919944208,5.60244736
1590601713449082707,-141.896333064,-35.7689527776,5.800839168
1590601713640742858,-141.916085971,-35.7470517761,5.992499456
1590601713841883387,-141.937081972,-35.7422364927,6.193639936
1590601714047369577,-141.933653217,-35.7425267757,6.399126016
1590601714241601567,-141.92690499,-35.7238018121,6.59335808
1590601714444383605,-141.960946653,-35.7336065487,6.796140032
1590601714644012946,-141.864381439,-35.7677233436,6.9957696
1590601714847697297,-141.839451248,-35.7902049112,7.199453952
1590601715051571411,-141.845188607,-35.7703597966,7.403328
1590601715258507868,-141.890295176,-35.7269334539,7.61026432
1590601715439804095,-141.948133218,-35.6968464706,7.791560704
1590601715639497382,-141.96589171,-35.6780224692,7.991254016
1590601715853016618,-141.97997556,-35.657180147,8.20477312
1590601716040085708,-142.0045096,-35.6415868251,8.391842304
1590601716250911222,-142.017828469,-35.6356923718,8.602667776
1590601716439217182,-142.02077911,-35.6311571262,8.790973696
1590601716645939093,-142.025177752,-35.6134054646,8.997695744
1590601716847023124,-142.048687263,-35.5984746711,9.198779648
1590601717044984818,-142.061896849,-35.589950595,9.396741376
1590601717251889708,-142.078630813,-35.607210483,9.603646208
1590601717446388300,-142.04712998,-35.6074017283,9.798144768
1590601717640260919,-142.063071642,-35.5928534254,9.992017408
1590601717855468073,-142.074519039,-35.5668918763,10.207224576
1590601718049465584,-142.107618135,-35.5497276109,10.401222144
1590601718254678218,-142.120335948,-35.5402985348,10.606434816
1590601718442999240,-142.148312402,-35.5152556462,10.79475584
1590601718643696030,-142.333150982,-35.4256367341,10.995452672
1590601718838622021,-142.768985353,-35.2173296248,11.190378496
