%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1590603132469575740,2.48824622474,90,2,0.0
1590603132642634252,-18.0629200937,90,2,0.17305856
1590603132776395807,-5.08292601316,90,2,0.306820096
1590603132944682857,-17.4488191557,90,2,0.475107072
1590603133081242921,-6.98164213359,90,2,0.6116672
1590603133232226925,-15.6827655014,90,2,0.762651136
1590603133366395598,-7.21232837687,90,2,0.896819968
1590603133543337968,-10.3539479469,90,2,1.073762304
1590603133661952992,-5.88094679795,90,2,1.192377344
1590603133839296115,3.54334399517,90,2,1.36972032
1590603133951515430,-5.50876317452,90,2,1.481939712
1590603134071560134,-5.63120681095,90,2,1.601984512
1590603134242812011,10.1705316663,90,2,1.773236224
1590603134376383633,-6.22611832843,90,2,1.906808064
1590603134487927065,-6.37889898042,90,2,2.01835136
1590603134638749077,13.266372366,90,2,2.169173504
1590603134747700163,-6.54772270847,90,2,2.278124544
1590603134934733886,15.514342144,90,2,2.465158144
1590603135048411810,-7.24263727779,90,2,2.578836224
1590603135242712619,13.8023478028,90,2,2.773136896
1590603135351585423,-9.49725708366,90,2,2.882009856
1590603135455600779,-9.88371597861,90,2,2.986025216
1590603135635081707,11.3353886321,90,2,3.165506048
1590603135773819152,-11.3210726069,90,2,3.304243456
1590603135941981472,-6.26384819461,90,2,3.47240576
1590603136087250321,-14.9623781273,90,2,3.617674752
1590603136236792542,-18.6662826004,90,2,3.767216896
1590603136345761303,-18.7880074634,90,2,3.8761856
1590603136540442724,-24.6663962726,90,2,4.070866944
1590603136667796637,-20.7071478852,90,2,4.198221056
1590603136840461403,-27.7154601628,90,2,4.370885632
1590603136986724016,-21.6942730956,90,2,4.517148416
1590603137140726280,-27.691190287,90,2,4.671150592
1590603137275983089,-21.1700324565,90,2,4.806407424
1590603137388290831,-20.6360044881,90,2,4.918715136
1590603137548462994,-21.8488537524,90,2,5.078887424
1590603137735665595,-16.4996026261,90,2,5.266089984
1590603137840599293,-15.7079407071,90,2,5.371023616
1590603137968738097,-13.5825154833,90,2,5.499162368
1590603138142896234,14.3542969053,90,2,5.673320448
1590603138252267443,-7.05858708744,90,2,5.78269184
1590603138444194011,23.2896017957,90,2,5.974618368
1590603138579534343,8.27222569974,90,2,6.109958656
1590603138732125947,27.6206403157,90,2,6.262550272
1590603138853762954,28.8499088819,90,2,6.384187392
1590603138968775572,13.8520206933,90,2,6.4992
1590603139138396272,30.0538494358,90,2,6.66882048
1590603139264273252,15.3818365454,90,2,6.794697472
1590603139433478835,29.0740189784,90,2,6.963903232
1590603139568659987,14.9633982404,90,2,7.099084288
1590603139742179866,27.9898786698,90,2,7.27260416
1590603139889948409,15.1270297731,90,2,7.420372736
1590603140041052564,22.9025989614,90,2,7.571476992
1590603140190468821,10.2284865262,90,2,7.720893184
1590603140343155302,-10.2201613248,90,2,7.87357952
1590603140465709363,-8.85440575314,90,2,7.996133632
1590603140643273172,-24.0361996418,90,2,8.173697536
1590603140771658665,-15.0454297681,90,2,8.302083072
1590603140942013307,-30.5519781755,90,2,8.472437504
1590603141079206518,-17.4576167038,90,2,8.60963072
1590603141244495790,-33.0628842981,90,2,8.774920192
1590603141384638177,-18.8137119664,90,2,8.915062528
1590603141546539561,-34.8938304739,90,2,9.07696384
1590603141686419039,-20.0301444844,90,2,9.216843264
1590603141842064367,-36.1271318376,90,2,9.372488704
1590603141966506101,-19.5519121594,90,2,9.496930304
1590603142142259238,-31.9693375499,90,2,9.67268352
1590603142266168544,-14.7315240614,90,2,9.796592896
1590603142446586627,-18.6508723007,90,2,9.977010944
1590603142567827205,-4.43739950161,90,2,10.09825152
1590603142744356572,14.8786368239,90,2,10.274780928
1590603142869727551,16.1968041021,90,2,10.400151808
1590603143040947876,29.8000580254,90,2,10.571372288
1590603143170271504,21.4583560329,90,2,10.700695808
1590603143345292574,36.2798421275,90,2,10.875716864
1590603143452374131,25.1295959616,90,2,10.982798336
1590603143644404704,37.7183021898,90,2,11.174829056
1590603143762736203,26.8223698037,90,2,11.293160448
1590603143944383432,41.392790053,90,2,11.474807808
1590603144134199223,43.7531290249,90,2,11.664623616
1590603144268666379,31.3298085691,90,2,11.799090688
1590603144441418618,45.0646932927,90,2,11.971842816
1590603144572077018,35.5042225476,90,2,12.102501376
1590603144746865603,53.1304714958,90,2,12.277289984
1590603144877755517,43.9723286653,90,2,12.408179712
1590603145050759409,60.7119146784,90,2,12.581183744
1590603145248128528,60.9366736242,90,2,12.778552832
1590603145356562110,54.9670168337,90,2,12.886986496
1590603145459822349,56.6324986379,90,2,12.990246656
1590603145569415799,58.1013482514,90,2,13.09984
1590603145790177125,47.4459079206,90,2,13.320601344
1590603145792918598,59.3577751931,90,2,13.323342848
1590603145946733143,32.6384060634,90,2,13.477157376
1590603146083936964,57.3935270416,90,2,13.614361344
1590603146238535926,-16.3385909798,90,2,13.768960256
1590603146375205189,48.7305894203,90,2,13.90562944
1590603146538498664,-42.8366990708,90,2,14.06892288
1590603146670166096,18.5398850901,90,2,14.200590336
1590603146799337357,-17.8593663513,90,2,14.329761792
1590603146946179112,-64.7144365918,90,2,14.476603392
1590603147065233207,-59.4501577887,90,2,14.595657472
1590603147245215036,-77.7510422313,90,2,14.775639296
1590603147371579948,-84.6780329959,90,2,14.902004224
1590603147545467499,-88.5400051022,90,2,15.075891712
1590603147685963412,-100.0,90,2,15.21638784
1590603147835407597,-97.3210268372,90,2,15.365831936
1590603147960502570,-100.0,90,2,15.490926848
1590603148144872841,-100.0,90,2,15.67529728
1590603148259340974,-100.0,90,2,15.789765376
1590603148436992575,-100.0,90,2,15.967416832
1590603148574078034,-100.0,90,2,16.104502272
1590603148744679449,-100.0,90,2,16.275103744
1590603148854134934,-100.0,90,2,16.38455936
1590603148970022642,-100.0,90,2,16.500446976
1590603149142196902,-100.0,90,2,16.672621312
1590603149345598467,-100.0,90,2,16.876022784
1590603149493340298,-100.0,90,2,17.023764736
1590603149638312596,-100.0,90,2,17.168737024
1590603149778414439,-100.0,90,2,17.308838656
1590603149932844493,-100.0,90,2,17.463268864
1590603150041777186,-100.0,90,2,17.572201472
1590603150180402432,-100.0,90,2,17.710826752
1590603150337214108,-100.0,90,2,17.867638528
1590603150444905047,-100.0,90,2,17.97532928
1590603150573446590,-100.0,90,2,18.103870976
1590603150743089675,-100.0,90,2,18.273513984
1590603150869048748,-100.0,90,2,18.399473152
1590603151044240821,-100.0,90,2,18.574665216
1590603151168350612,-100.0,90,2,18.69877504
1590603151345502754,-100.0,90,2,18.87592704
1590603151472917542,-100.0,90,2,19.003341824
1590603151580785277,-100.0,90,2,19.111209472
1590603151742270955,-100.0,90,2,19.272695296
1590603151868842538,-100.0,90,2,19.399266816
1590603152046599859,-100.0,90,2,19.577024256
1590603152170990482,-100.0,90,2,19.701414912
1590603152342897940,-100.0,90,2,19.87332224
1590603152465900534,-100.0,90,2,19.996324864
1590603152642900335,-100.0,90,2,20.173324544
1590603152769145613,-100.0,90,2,20.29956992
1590603152948992418,-100.0,90,2,20.479416832
1590603153083331389,-100.0,90,2,20.613755648
1590603153245922406,-100.0,90,2,20.776346624
1590603153381789720,-100.0,90,2,20.912214016
1590603153544406755,-100.0,90,2,21.074831104
1590603153669619108,-100.0,90,2,21.20004352
1590603153844138832,-100.0,90,2,21.374563072
1590603153974697072,-100.0,90,2,21.50512128
1590603154102893145,-100.0,90,2,21.633317376
1590603154248686715,-100.0,90,2,21.779110912
1590603154375173943,-100.0,90,2,21.905598208
1590603154488686826,-100.0,90,2,22.019111168
1590603154606449310,-100.0,90,2,22.136873728
1590603154736526610,-100.0,90,2,22.266950912
1590603154856947883,-100.0,90,2,22.387372288
1590603154976661515,-100.0,90,2,22.507085824
1590603155150685074,-81.2208856918,90,2,22.681109504
1590603155256603286,-100.0,90,2,22.787027712
1590603155444493480,-74.53559925,90,2,22.974917888
1590603155573613735,-100.0,90,2,23.104038144
1590603155745632590,-74.53559925,90,2,23.276056832
1590603155871449156,-100.0,90,2,23.401873408
1590603155987885448,-95.0069410133,90,2,23.518309888
1590603156158615708,-67.6895442167,90,2,23.689040128
1590603156336528044,-11.7230521544,90,2,23.866952448
1590603156454936088,-62.9289574309,90,2,23.985360384
1590603156650780153,22.0088791424,90,2,24.18120448
1590603156775347442,11.0979034824,90,2,24.305771776
1590603156950566338,67.5840802715,90,2,24.48099072
1590603157137560718,93.4663181087,90,2,24.667985152
1590603157260611455,95.4355820805,90,2,24.791035648
1590603157450436571,98.7879126077,90,2,24.980860928
1590603157670548921,100.0,90,2,25.200973312
1590603157851768304,100.0,90,2,25.38219264
1590603158037848597,100.0,90,2,25.568272896
1590603158175915740,100.0,90,2,25.706340096
1590603158340641625,100.0,90,2,25.871065856
1590603158476840213,100.0,90,2,26.007264512
1590603158639041799,100.0,90,2,26.169466112
1590603158791672163,100.0,90,2,26.322096384
1590603158957596060,100.0,90,2,26.48802048
1590603159141653305,100.0,90,2,26.672077568
1590603159273834130,100.0,90,2,26.80425856
1590603159386233174,100.0,90,2,26.916657408
1590603159578710320,100.0,90,2,27.109134592
1590603159743284881,100.0,90,2,27.273709312
1590603159865646816,100.0,90,2,27.396071168
1590603160040376597,100.0,90,2,27.570800896
1590603160164936973,100.0,90,2,27.69536128
1590603160294299413,100.0,90,2,27.824723712
1590603160440999083,100.0,90,2,27.971423488
1590603160550013724,100.0,90,2,28.080438016
1590603160746049474,93.2674763695,90,2,28.276473856
1590603160865029935,100.0,90,2,28.395454208
1590603161043175746,82.7951292509,90,2,28.5736
1590603161172673407,100.0,90,2,28.7030976
1590603161347318925,74.53559925,90,2,28.87774336
1590603161469416767,100.0,90,2,28.999841024
1590603161641201149,74.53559925,90,2,29.171625472
1590603161770876647,99.0226122252,90,2,29.301300992
1590603161945918211,73.2190773464,90,2,29.476342528
1590603162068555015,92.1885693285,90,2,29.598979328
1590603162241618870,63.6732900861,90,2,29.772043264
1590603162373507142,84.4176242622,90,2,29.903931392
1590603162541635881,51.7869755984,90,2,30.07206016
1590603162666355312,76.5301613903,90,2,30.19677952
1590603162839322213,37.5821920327,90,2,30.369746432
1590603162978346218,67.1315515758,90,2,30.50877056
1590603163144109676,7.88674663781,90,2,30.674533888
1590603163269133599,57.7678073686,90,2,30.799557888
1590603163378041671,53.6629287962,90,2,30.90846592
1590603163543571061,-39.5567253127,90,2,31.073995264
1590603163669797649,42.8910080432,90,2,31.200221952
1590603163845804060,-51.0372988459,90,2,31.376228352
1590603163966430854,33.4819398276,90,2,31.496855296
1590603164143690948,-57.6489735366,90,2,31.674115328
1590603164274907866,23.6214797347,90,2,31.805332224
1590603164435821940,-61.4666429829,90,2,31.966246144
1590603164541966663,16.1340820995,90,2,32.072390912
1590603164646173954,14.5921679051,90,2,32.176598272
1590603164840288565,-54.4479292002,90,2,32.370712832
1590603164944020542,15.8054088566,90,2,32.4744448
1590603165094078294,18.6902983539,90,2,32.624502528
1590603165234337196,-39.4314040778,90,2,32.7647616
1590603165351462399,27.6281757601,90,2,32.88188672
1590603165566340535,-15.5147760489,90,2,33.096764928
1590603165677493997,34.7443835807,90,2,33.207918336
1590603165852328398,25.689236585,90,2,33.382752768
1590603166034325672,34.2043458084,90,2,33.56475008
1590603166145694399,36.3673797575,90,2,33.676118784
1590603166286950934,44.6843183569,90,2,33.817375232
1590603166435825844,32.425343758,90,2,33.96625024
1590603166553028013,30.9559881672,90,2,34.083452416
1590603166738002988,30.0962239598,90,2,34.268427264
1590603166868718813,44.9834081327,90,2,34.399143168
1590603166981074625,44.7901305101,90,2,34.511499008
1590603167143285676,23.4588541444,90,2,34.67371008
1590603167252916523,44.2615144123,90,2,34.7833408
1590603167439329546,22.8992005142,90,2,34.969753856
1590603167561074834,43.8065169081,90,2,35.091499264
1590603167739615596,20.9006975871,90,2,35.270039808
1590603167843909504,42.4940439827,90,2,35.374333952
1590603167967149518,42.1157923643,90,2,35.497573888
1590603168095988010,41.3459649494,90,2,35.626412288
1590603168235507532,13.0582857431,90,2,35.765931776
1590603168361972126,39.6245222183,90,2,35.892396544
1590603168545199495,3.82632099499,90,2,36.075623936
1590603168651248287,37.8633125737,90,2,36.181672704
1590603168793623375,36.9697613597,90,2,36.324047616
1590603168942718514,-9.52537716909,90,2,36.473142784
1590603169068224602,34.9357503037,90,2,36.598648832
1590603169240489561,-14.741478556,90,2,36.770913792
1590603169367601677,32.0138509765,90,2,36.898025984
1590603169544093141,-19.1653561103,90,2,37.074517504
1590603169668958580,28.873816451,90,2,37.199382784
1590603169847850335,-22.6508056134,90,2,37.37827456
1590603170042933608,-24.6550969905,90,2,37.573357824
1590603170162445247,23.4595048945,90,2,37.692869632
1590603170341734690,-23.7973520275,90,2,37.872158976
1590603170468407582,21.1979665622,90,2,37.998831872
1590603170585807317,20.3530956617,90,2,38.11623168
1590603170757509822,-24.7043102727,90,2,38.287934208
1590603170874109782,15.6682519139,90,2,38.404534016
1590603171043063218,-26.8667086599,90,2,38.573487616
1590603171190328627,8.06139100842,90,2,38.720752896
1590603171348227057,-28.2398372018,90,2,38.878651392
1590603171466088555,-9.73057964087,90,2,38.996512768
1590603171638505717,-28.8749432812,90,2,39.168930048
1590603171786456417,-15.850457251,90,2,39.31688064
1590603171937543092,-29.026348434,90,2,39.467967488
1590603172076070098,-19.0149552245,90,2,39.606494464
1590603172183024256,-20.1206558415,90,2,39.713448448
1590603172344639330,-26.6692585657,90,2,39.875063552
1590603172534834291,-24.5454968114,90,2,40.065258496
1590603172670345703,-23.1471019458,90,2,40.200770048
1590603172793361262,-23.8290662018,90,2,40.323785472
1590603172938346003,-19.7538480384,90,2,40.468770304
1590603173143881381,-17.0614010128,90,2,40.674305792
1590603173271939706,-27.5450739233,90,2,40.802363904
1590603173398013297,-28.4736062862,90,2,40.928437504
1590603173540502253,-15.9644574023,90,2,41.070926592
1590603173678479666,-30.433888576,90,2,41.208903936
1590603173847144070,-12.2276255224,90,2,41.377568512
1590603173982600015,-31.9352449059,90,2,41.513024256
1590603174150623915,-9.43106563969,90,2,41.68104832
1590603174340887926,-3.95221044407,90,2,41.871312128
1590603174478257234,-34.8130621664,90,2,42.008681472
1590603174634658236,-12.6534701792,90,2,42.165082624
1590603174758826159,-37.1459056943,90,2,42.28925056
1590603174871051791,-37.775508276,90,2,42.401476096
1590603174986178995,-38.3981028425,90,2,42.516603392
1590603175143159026,-12.6653102132,90,2,42.67358336
1590603175250959703,-39.2389824556,90,2,42.781383936
1590603175373190132,-39.5330783314,90,2,42.903614464
1590603175544097076,-7.11594294556,90,2,43.074521344
1590603175685511032,-40.2458269937,90,2,43.215935232
1590603175861491906,4.35721266816,90,2,43.391916288
1590603175975855622,-40.7984720855,90,2,43.506279936
1590603176143623727,11.124032016,90,2,43.674048
1590603176267550157,-41.4257264648,90,2,43.797974528
1590603176391995745,-41.6098277739,90,2,43.922419968
1590603176540532455,12.930862095,90,2,44.0709568
1590603176669813378,-41.9841752644,90,2,44.200237824
1590603176778723577,-42.121069891,90,2,44.309147904
