%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,secs_since_start
1590603132440256919,152.353419626,1128.14228547,-2.1216718995,-0.0135555825273,-0.000851741064996,0.0622421734076,0.0
1590603132487071437,152.353469453,1128.14280275,-2.12166981896,-0.0105408322741,-0.000531395237746,0.0714081722547,0.046814464
1590603132536861216,152.353497472,1128.14326109,-2.12166675373,-0.00845776057912,-0.000303106283681,0.078412134493,0.09660416
1590603132585492180,152.3535111,1128.14369087,-2.12166389452,-0.00648556245732,-0.000119015290254,0.0844400941104,0.1452352
1590603132643220440,152.353516722,1128.14411065,-2.12166153566,-0.00453608090102,3.70712108569e-05,0.0900152006332,0.202963456
1590603132686595556,152.353517883,1128.1445261,-2.12165977163,-0.00144069925009,0.000240719234174,0.098456290014,0.24633856
1590603132742578790,152.353516858,1128.14492117,-2.12165814703,0.000777054599554,0.000364569603453,0.104672101697,0.302321664
1590603132785507311,152.353514352,1128.14531968,-2.12165706551,0.0025670607243,0.000440186114472,0.109953976669,0.345250304
1590603132839307479,152.353510993,1128.14572828,-2.12165653815,0.00418506881587,0.000483255187232,0.114797565015,0.399050496
1590603132887891678,152.353506545,1128.14614236,-2.12165642267,0.0065192739365,0.000495434919173,0.121993571323,0.447634688
1590603132940724737,152.353501855,1128.14654779,-2.12165660418,0.00805759765153,0.000477523780234,0.127195055874,0.500467712
1590603132994189661,152.353497117,1128.14696162,-2.12165702614,0.00917938051533,0.000442414212272,0.131477330265,0.553932544
1590603133042123627,152.353492784,1128.14738999,-2.12165759465,0.0101418170525,0.000401462459222,0.135259429832,0.601866496
1590603133085729207,152.354015912,1128.14781852,-2.12165806769,0.0109662766013,-0.000290548182673,0.140367273066,0.645472256
1590603133133891109,152.35431189,1128.14825046,-2.1216622664,0.0115149761832,-0.000235802136816,0.143840693292,0.693634048
1590603133181865406,152.354477819,1128.14869309,-2.12166412369,0.0118661727343,-5.76857909359e-05,0.146413968783,0.741608448
1590603133232979435,152.354568746,1128.14938395,-2.12166380985,0.0122853929222,6.04779517749e-05,0.14897460544,0.792722432
1590603133282668671,152.354616435,1128.14974304,-2.1216626741,0.0116980272436,0.000137421384684,0.150244498554,0.84241152
