%time,field.port,field.star,secs_since_start
1590603132468416071,63.9075360709,101.017532402,0.0
1590603132640195746,93.9075360709,131.017532402,0.17177984
1590603132774809293,63.9075360709,101.017532402,0.306393344
1590603132943493176,93.9075360709,131.017532402,0.47507712
1590603133081513576,63.9075360709,101.017532402,0.613097472
1590603133232261757,93.9075360709,131.017532402,0.763845632
1590603133364957287,63.9075360709,101.017532402,0.896541184
1590603133543000718,93.9075360709,131.017532402,1.074584832
1590603133660320452,63.9075360709,101.017532402,1.191904512
1590603133837812179,93.9075360709,131.017532402,1.369396224
1590603133950379637,63.9075360709,101.017532402,1.48196352
1590603134070215973,33.9075360709,71.0175324021,1.601799936
1590603134238801911,3.90753607093,101.017532402,1.77038592
1590603134375024459,-23.7935461464,71.0175324021,1.906608384
1590603134487583594,-27.2432010707,41.0175324021,2.019167488
1590603134636869498,-57.2432010707,11.0175324021,2.168453376
1590603134746873564,-34.4771336764,-18.9824675979,2.2784576
1590603134932895830,-64.4771336764,-48.9824675979,2.464479744
1590603135047549172,-48.7340912908,-50.7276042685,2.579133184
1590603135241625475,-78.7340912908,-80.7276042685,2.7732096
1590603135351551740,-59.8573601943,-60.1107885462,2.883135744
1590603135454302737,-71.6419138411,-71.4005267265,2.98588672
1590603135633075671,-101.641913841,-101.400526726,3.164659712
1590603135772173685,-95.0740415546,-91.6502886704,3.303757568
1590603135938865178,-125.074041555,-121.65028867,3.470449152
1590603136086294587,-133.299780792,-121.977643954,3.617878528
1590603136235769975,-163.299780792,-151.977643954,3.767353856
1590603136345183158,-164.310849229,-151.877959235,3.876767232
1590603136539365031,165.689150771,178.122040765,4.07094912
1590603136666290369,173.777097047,166.130564827,4.197874432
1590603136838511383,150.288147003,136.130564827,4.37009536
1590603136982915312,157.313976887,131.607343248,4.514499328
1590603137138521355,144.751402956,118.841393949,4.670105344
1590603137274219068,141.764423658,99.707453537,4.805803008
1590603137387572370,136.031919509,89.1841246606,4.91915648
1590603137540651320,149.585393286,119.184124661,5.072235264
1590603137735119154,159.463136448,149.184124661,5.266703104
1590603137840190461,129.463136448,119.184124661,5.371774464
1590603137966964347,99.4631364484,89.1841246606,5.498548224
1590603138139497761,129.463136448,119.184124661,5.671081728
1590603138252164788,99.4631364484,89.1841246606,5.783748864
1590603138441764058,129.463136448,119.184124661,5.973348096
1590603138576955855,99.4631364484,89.1841246606,6.108539904
1590603138731555757,129.463136448,119.184124661,6.26313984
1590603138846704061,159.463136448,149.184124661,6.378288128
1590603138966322339,-170.536863552,179.184124661,6.497906432
1590603139136836739,-140.536863552,-150.815875339,6.668420864
1590603139262493811,-110.536863552,-120.815875339,6.794077696
1590603139433078372,-91.0999550252,-120.267715987,6.964662272
1590603139567519341,-61.0999550252,-90.2677159868,7.099103232
1590603139739947368,-90.9411621375,-118.846650937,7.271531264
