%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,
1.58764368266673E+018,152.402364358,1128.10720223,-2.1216657006,-0.0068268927,0.0003662164,0.190305414,0
1.58764368271932E+018,152.402462753,1128.10724842,-2.1216650766,0.0042388109,0.0005280608,0.1784083806,0.052594432
1.58764368276721E+018,152.402514913,1128.1073103,-2.1216639388,0.0125061868,0.0005737049,0.169068913,0.100475904
1.58764368281732E+018,152.402539942,1128.10737238,-2.1216631157,0.0194400569,0.0005281285,0.1607478945,0.150585344
1.58764368287352E+018,152.40254916,1128.10743083,-2.1216628802,0.029240406,0.0003555704,0.1482699647,0.206791936
1.58764368292138E+018,152.402549902,1128.10750784,-2.1216636153,0.0359125242,0.0002145897,0.1390011609,0.254647296
1.58764368296527E+018,152.402546013,1128.10758212,-2.1216646497,0.0411208205,8.95992760735E-05,0.1309874764,0.298543104
1.58764368303613E+018,152.402539362,1128.10765036,-2.1216657023,0.0453296704,-2.07728747983E-05,0.1234792408,0.3693952
1.58764368306114E+018,152.402530299,1128.10771573,-2.1216666255,0.050605021,-0.0001684778,0.111860318,0.3944064
1.58764368311086E+018,152.402518166,1128.10756879,-2.1216677072,0.0529706674,-0.0002849896,0.1033372169,0.4441344
1.58764368317346E+018,152.40250367,1128.10752702,-2.1216686668,0.0539286446,-0.0003874865,0.0962351274,0.506733056
1.5876436832337E+018,152.40248755,1128.10754369,-2.1216695023,0.0535080909,-0.0004782916,0.0899299633,0.566968576
1.58764368325976E+018,152.4024728,1128.1075971,-2.1216702871,0.0502055934,-0.0004942303,0.0808097601,0.593027072
1.58764368331441E+018,152.402462101,1128.10745799,-2.1216707343,0.0462934251,-0.0004536284,0.0740234747,0.647681024
1.58764368336077E+018,152.402455184,1128.10743526,-2.121670685,0.0418909055,-0.0003709644,0.0680410799,0.694042624
1.58764368341815E+018,152.402451402,1128.10747755,-2.1216701718,0.0367857803,-0.0002596638,0.0621866208,0.751415552
1.58764368348698E+018,152.402449866,1128.10756073,-2.121669238,0.0277312901,-4.78016004479E-05,0.0517023239,0.820251648
1.58764368352363E+018,152.402450836,1128.10747303,-2.1216678934,0.0182735317,7.13804703823E-05,0.0442943539,0.856902656
1.58764368356172E+018,152.402452077,1128.10749692,-2.121666564,0.0103998064,0.0001856641,0.0366522247,0.894994432
1.58764368361074E+018,152.402453608,1128.10758921,-2.121665436,-0.0019860446,0.0002821656,0.0243652116,0.944005632
1.58764368365961E+018,152.402454877,1128.10775469,-2.121664558,-0.0111346968,0.0003167516,0.0148228573,0.992877056
1.58764368371193E+018,152.402455485,1128.10793788,-2.1216641754,-0.0187344844,0.000307212,0.0062665049,1.045203456
1.58764368376541E+018,152.4024549,1128.10812129,-2.1216643017,-0.0256445292,0.0002620583,-0.0020003664,1.098683136
1.58764368381272E+018,152.40245263,1128.10829639,-2.1216648289,-0.0345366132,0.0001255301,-0.0149626401,1.1459904
1.58764368386247E+018,152.402448283,1128.10849512,-2.1216660354,-0.040171986,-1.27765103885E-07,-0.024616703,1.195735552
1.58764368391451E+018,152.402442532,1128.10867809,-2.121667477,-0.0437984375,-0.0001188246,-0.0327939866,1.247780096
1.58764368397447E+018,152.40243625,1128.108838,-2.1216689388,-0.0462864519,-0.0002248885,-0.0402090889,1.3077376
1.58764368402881E+018,152.401898993,1128.10897311,-2.1216702272,-0.0477804528,0.0002306651,-0.050827161,1.362080256
1.58764368406205E+018,152.401589642,1128.10910491,-2.1216679833,-0.046790402,1.35626812224E-06,-0.058184887,1.395319808
1.58764368411033E+018,152.401409835,1128.1092118,-2.121667754,-0.0449993668,-0.0003055081,-0.0639179803,1.443600384
1.58764368416141E+018,152.401306127,1128.10929055,-2.1216691375,-0.0421396233,-0.0005274551,-0.0685768585,1.494675456
1.58764368421121E+018,152.401247709,1128.10934366,-2.1216709869,-0.0363987784,-0.0005942479,-0.0743282018,1.544482304
1.58764368426409E+018,152.40121703,1128.10938341,-2.1216722589,-0.0311430058,-0.0005781423,-0.0781486196,1.597357568
1.58764368432002E+018,152.401202754,1128.10940333,-2.1216727831,-0.025692242,-0.0005069231,-0.0811038395,1.653285376
1.58764368437196E+018,152.401197661,1128.10940496,-2.1216726751,-0.0162990794,-0.0003339974,-0.0849937122,1.705228288
1.58764368441457E+018,152.401201774,1128.10939389,-2.1216717552,-0.009107738,-0.0001909636,-0.0876544864,1.747836416
1.58764368446066E+018,152.401206173,1128.10937723,-2.1216705921,-0.0029353845,-0.000074921,-0.0898194079,1.793931264
1.5876436845154E+018,152.401212027,1128.10935631,-2.1216695161,0.0026315973,1.30804203606E-05,-0.0916441013,1.84867328
1.58764368456521E+018,152.401218575,1128.10909548,-2.1216687404,0.0104443018,0.000082025,-0.0939111252,1.898484224
1.58764368461751E+018,152.400696336,1128.10893449,-2.1216682332,0.0162996699,0.0007339469,-0.0953357803,1.950780928
1.58764368466363E+018,152.400402388,1128.10882951,-2.1216643828,0.0211762416,0.0006249548,-0.0963147446,1.996896768
1.58764368471398E+018,152.400239169,1128.10851823,-2.1216630664,0.0278600626,0.0003705242,-0.09730713,2.047253504
1.58764368476361E+018,152.400151743,1128.10832344,-2.1216639208,0.0326064087,0.0001706858,-0.0979477675,2.096876032
1.58764368481489E+018,152.400107208,1128.10796188,-2.1216656386,0.0358096746,2.59664872174E-05,-0.0984005011,2.148159232
1.58764368486449E+018,152.40008573,1128.10774725,-2.1216673689,0.0382377244,-8.83981151369E-05,-0.0987085208,2.197759232
1.58764368491627E+018,152.40007459,1128.10738279,-2.1216688147,0.0404950112,-0.0002677116,-0.0984514688,2.2495424
1.5876436849655E+018,152.40006768,1128.10717089,-2.1216702858,0.041237651,-0.0004125313,-0.0976233059,2.29876864
1.58764368501497E+018,152.399533316,1128.10681178,-2.1216715645,0.0404556633,8.38034150889E-05,-0.0962468424,2.348241408
1.58764368506456E+018,152.399229011,1128.10660989,-2.1216688597,0.0387401505,-0.0001234814,-0.0943491054,2.39783296
1.58764368511557E+018,152.399053686,1128.10626014,-2.1216680143,0.0338656653,-0.0004349585,-0.0905418212,2.448839168
1.58764368516436E+018,152.398966777,1128.10584257,-2.1216690001,0.0277646615,-0.0005828034,-0.0877614429,2.497633792
1.58764368521758E+018,152.398917632,1128.10561295,-2.1216699592,0.0226968862,-0.0006602094,-0.0854453852,2.550852352
1.58764368526385E+018,152.398364458,1128.10526681,-2.1216707029,0.0128141491,-5.04186664938E-05,-0.0829804347,2.597121536
1.58764368531438E+018,152.398051,1128.10509991,-2.1216673452,0.0048769223,-0.0001670346,-0.0818399379,2.64765056
1.58764368536449E+018,152.397874803,1128.10480555,-2.1216661194,-0.0028209603,-0.0004057291,-0.0816868482,2.69775616
1.58764368541351E+018,152.397777006,1128.10467835,-2.1216669225,-0.0098732229,-0.0005698346,-0.0824029586,2.746783232
1.5876436854646E+018,152.39719941,1128.10464814,-2.1216686924,-0.020161385,6.47267676914E-05,-0.0856429828,2.797871872
1.58764368551381E+018,152.396881113,1128.10445143,-2.121666523,-0.0272564861,3.04884859767E-05,-0.0889094764,2.847083008
1.58764368556451E+018,152.396713118,1128.10438806,-2.1216660946,-0.0320904029,-7.18313482011E-05,-0.0924291125,2.89778432
1.58764368561654E+018,152.396630509,1128.10439558,-2.1216671133,-0.0358088467,-0.0001037554,-0.0962051512,2.949805568
1.58764368566327E+018,152.396072857,1128.10444028,-2.1216685591,-0.0391033281,0.0005986114,-0.1025341304,2.9965376
1.58764368571814E+018,152.395756257,1128.10447449,-2.1216700914,-0.0423171242,0.0005660206,-0.1048602228,3.051414016
1.5876436857682E+018,152.395597254,1128.10456307,-2.1216675368,-0.0422178543,0.0003675147,-0.1102421805,3.101469952
1.58764368581937E+018,152.395525717,1128.10461707,-2.1216664895,-0.0403467476,0.0002204086,-0.1121896867,3.152644352
