%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1588775703934884140,5.92285953462,90,2,0.0
1588775704137739969,1.71542279422,90,2,0.202855936
1588775704338626156,8.85780528188,90,2,0.403741952
1588775704537739384,10.4961939156,90,2,0.602855168
1588775704737836288,-2.76947282255,90,2,0.802952192
1588775704938839492,4.10431399941,90,2,1.003955456
1588775705137162161,7.81843364239,90,2,1.202278144
1588775705337874901,0.638794526458,90,2,1.402990848
1588775705536414624,-0.372098363005,90,2,1.601530624
1588775705736862428,-10.0387170911,90,2,1.801978368
1588775705937089398,2.47913002968,90,2,2.002205184
1588775706137461303,-4.64625395834,90,2,2.202577152
1588775706337769966,5.38860186934,90,2,2.402885888
1588775706536729536,-4.53460514545,90,2,2.601845504
1588775706737881924,-7.6845087111,90,2,2.80299776
1588775706936616686,19.6922585368,90,2,3.001732608
1588775707137276790,9.50650125742,90,2,3.202392576
1588775707337525465,6.94258213043,90,2,3.402641408
1588775707536565397,1.74726359546,90,2,3.601681408
1588775707736710137,-12.2080758214,90,2,3.801826048
1588775707937004402,-18.467785418,90,2,4.002120192
1588775708137917355,-13.5651111603,90,2,4.203033344
1588775708337346168,-1.51287950575,90,2,4.402461952
1588775708537153422,18.1725025177,90,2,4.60226944
1588775708737291737,22.2681850195,90,2,4.80240768
1588775708939003074,4.75228726864,90,2,5.00411904
1588775709139041779,7.7438659966,90,2,5.204157696
1588775709338766412,-7.07712173462,90,2,5.40388224
1588775709540019309,10.0612401962,90,2,5.605135104
1588775709738913946,-2.11339853704,90,2,5.804029952
1588775709938166345,17.7644133568,90,2,6.003282176
1588775710137008129,8.45804288983,90,2,6.202124032
1588775710338448166,-8.26759934425,90,2,6.403564032
1588775710537517653,-12.3132690787,90,2,6.602633472
1588775710737239304,-15.6694799662,90,2,6.8023552
1588775710937298841,-22.5878342986,90,2,7.002414848
1588775711137157649,-0.067575275898,90,2,7.202273536
1588775711337208411,16.5884137154,90,2,7.402324224
1588775711537317104,7.35051780939,90,2,7.602433024
1588775711737163996,-4.99898791313,90,2,7.802279936
1588775711937737004,13.0738705397,90,2,8.002852864
1588775712136650442,-12.9333078861,90,2,8.2017664
1588775712336909002,-27.2662162781,90,2,8.40202496
1588775712537422437,-19.1074848175,90,2,8.60253824
1588775712737675354,0.213748961687,90,2,8.802791168
1588775712938192266,-13.8144403696,90,2,9.003308288
1588775713138060173,2.58133523166,90,2,9.203176192
1588775713337997417,-12.2543528676,90,2,9.403113216
1588775713537847043,-2.8177311644,90,2,9.602962944
1588775713737859400,2.42895632982,90,2,9.802975232
1588775713936522329,-3.52222248912,90,2,10.001638144
1588775714137115545,1.46158896387,90,2,10.202231552
1588775714336846113,-8.318400383,90,2,10.401961984
1588775714536429908,4.51192744076,90,2,10.601545728
1588775714737359789,-20.2711135149,90,2,10.802475776
1588775714936487342,-5.68430349231,90,2,11.001603328
1588775715136997295,16.0290300846,90,2,11.20211328
1588775715336887647,-11.8574395776,90,2,11.402003456
1588775715537230515,7.63997882605,90,2,11.602346496
1588775715737791099,-18.0234014988,90,2,11.80290688
1588775715937266662,-0.844628363848,90,2,12.002382592
1588775716137487519,-12.1279537678,90,2,12.20260352
1588775716338701064,-10.506272316,90,2,12.40381696
1588775716537992525,-16.767808795,90,2,12.603108352
1588775716737003445,-1.42095917836,90,2,12.802119424
1588775716938266101,-2.55577415228,90,2,13.003382016
1588775717138418388,3.69979850948,90,2,13.203534336
1588775717336616537,4.16141152382,90,2,13.401732352
1588775717537851554,23.750025034,90,2,13.602967552
1588775717736875631,11.3103479147,90,2,13.801991424
1588775717937775703,8.84371101856,90,2,14.00289152
1588775718137483098,24.2332667112,90,2,14.202598912
1588775718336638321,4.27783727646,90,2,14.401754112
1588775718537290787,24.6580481529,90,2,14.602406656
1588775718736910516,33.1095904112,90,2,14.802026496
1588775718937458407,22.2498103976,90,2,15.002574336
1588775719137815832,13.1138429046,90,2,15.202931712
1588775719338183678,10.4425340891,90,2,15.403299584
1588775719538184798,18.051213026,90,2,15.603300608
1588775719737381706,19.7014808655,90,2,15.802497536
1588775719936621042,10.9975732863,90,2,16.00173696
1588775720137249453,11.4796236157,90,2,16.20236544
1588775720337275947,7.07625895739,90,2,16.402391808
1588775720536729906,16.4855018258,90,2,16.60184576
1588775720737074915,-10.9256878495,90,2,16.802190848
1588775720937549650,-17.1457946301,90,2,17.002665472
1588775721137451810,6.12417161465,90,2,17.20256768
1588775721334353443,0.227099563926,90,2,17.399469312
1588775721536798024,-9.76042374969,90,2,17.601913856
1588775721736742716,-14.3978118896,90,2,17.80185856
1588775721937663245,-19.5604324341,90,2,18.002779136
1588775722136991421,-27.4127393961,90,2,18.202107392
1588775722338402554,-29.9892991781,90,2,18.403518464
1588775722537884394,-22.2805052996,90,2,18.60300032
1588775722737119755,-15.8691287041,90,2,18.802235648
1588775722937159936,-23.1320083141,90,2,19.00227584
1588775723137929177,-35.0799500942,90,2,19.20304512
1588775723338512054,-35.0536137819,90,2,19.403628032
1588775723538668243,-36.0948085785,90,2,19.603784192
1588775723737608836,-46.6293632984,90,2,19.802724864
1588775723937235314,-8.27947556973,90,2,20.002351104
1588775724138305314,-22.6477384567,90,2,20.203421184
1588775724337051910,-41.4581686258,90,2,20.402167808
1588775724537379467,-35.8837962151,90,2,20.602495488
1588775724737694605,-23.3094185591,90,2,20.802810624
1588775724937193704,-40.0186419487,90,2,21.002309632
1588775725138062638,-32.8955948353,90,2,21.203178496
1588775725336657033,-24.2648795247,90,2,21.401773056
1588775725537077348,-42.8937613964,90,2,21.602193152
1588775725738183666,-48.0407088995,90,2,21.803299584
1588775725938115820,-44.2819416523,90,2,22.003231744
1588775726136975289,-30.8178305626,90,2,22.202091264
1588775726338793924,-45.6994086504,90,2,22.403909888
1588775726538151627,-42.3326283693,90,2,22.603267584
1588775726737980220,-29.7539710999,90,2,22.803096064
1588775726936826790,-54.6782791615,90,2,23.001942784
1588775727137195737,-46.4037775993,90,2,23.20231168
1588775727336820626,-41.3973450661,90,2,23.40193664
1588775727537716843,-43.4484690428,90,2,23.60283264
1588775727738416532,-56.1197757721,90,2,23.803532544
1588775727937243261,-68.282520771,90,2,24.00235904
1588775728136948906,-62.5536382198,90,2,24.202064896
1588775728336248223,-51.6419529915,90,2,24.401364224
1588775728537544140,-39.2114669085,90,2,24.602660096
1588775728736944658,-25.7182240486,90,2,24.802060544
1588775728937385848,-33.0067783594,90,2,25.002501632
1588775729136379849,-35.683131218,90,2,25.201495808
1588775729337871991,-20.0470983982,90,2,25.402987776
1588775729536183868,-46.3271170855,90,2,25.601299712
1588775729736627574,-23.6627981067,90,2,25.80174336
1588775729937756548,-32.8899085522,90,2,26.002872576
1588775730137596816,-43.4833288193,90,2,26.202712832
1588775730338858545,-23.197516799,90,2,26.4039744
1588775730539092396,-34.0861737728,90,2,26.604208384
1588775730737628184,-43.3425694704,90,2,26.802744064
1588775730937350430,-40.7221734524,90,2,27.002466304
1588775731137760523,-47.1903294325,90,2,27.202876416
1588775731337475832,-26.5786707401,90,2,27.402591744
1588775731536735180,-34.0543121099,90,2,27.601851136
1588775731737305697,-26.0289430618,90,2,27.802421504
1588775731935675328,-26.7805278301,90,2,28.000791296
1588775732135540229,-27.3864746094,90,2,28.200656128
1588775732334866433,-12.4423190951,90,2,28.399982336
1588775732535095915,-3.05414684117,90,2,28.600211712
1588775732734733592,6.58696964383,90,2,28.799849472
1588775732938639025,-19.2295789719,90,2,29.003755008
1588775733136799542,-33.3922147751,90,2,29.201915392
1588775733337623682,-25.0248581171,90,2,29.402739712
1588775733536292077,0.719508528709,90,2,29.601408
1588775733737067356,-12.7816945314,90,2,29.802183168
1588775733938385167,-10.0752927363,90,2,30.003501056
1588775734137048267,-18.6382547021,90,2,30.202164224
1588775734337392536,-11.7416836321,90,2,30.402508544
1588775734536453509,-18.8233464956,90,2,30.601569536
1588775734737162295,-13.8226479292,90,2,30.802278144
