%time,field.port,field.star,secs_since_start
1588775703934383591,-22.7457474174,91.3682874707,0.0
1588775704136892285,-20.4367063458,84.6683500082,0.202508544
1588775704336510450,0.190058337949,81.2968456905,0.402126848
1588775704535268540,-11.6128122778,66.7419038145,0.600884992
1588775704736374989,-12.1978572538,117.283145333,0.801991424
1588775704936111257,-0.704440524673,57.6576565957,1.001727744
1588775705135489412,-21.29880087,100.627995419,1.20110592
1588775705336784721,-6.51054272016,85.5523882226,1.402401024
1588775705535832123,2.7873624208,103.425927771,1.601448448
1588775705735406698,12.9149417393,88.4116761639,1.801022976
1588775705935888255,-34.8016579723,64.1564313268,2.001504512
1588775706136504224,-11.7704667042,94.1555305766,2.202120704
1588775706335839629,-7.51303391719,93.175876544,2.401456128
1588775706535744615,-13.6374323195,119.671908372,2.601360896
1588775706735959865,-16.5962070887,112.499192046,2.801576192
1588775706935326949,-10.3367109597,73.1180698198,3.00094336
1588775707135642818,-25.0974908316,66.7820926475,3.201259264
1588775707335840126,-12.9005863892,87.1901924535,3.401456384
1588775707535446390,-0.965525466192,91.961953853,3.601062656
1588775707735684073,-29.8734989012,65.3359708455,3.80130048
1588775707935554129,-25.9771474797,93.8639634614,4.001170432
1588775708136054665,-9.84991740114,80.2430431242,4.201671168
1588775708335335427,-6.48835741196,99.9174508397,4.400951808
1588775708535104722,-14.037134136,88.4387373734,4.600721152
1588775708735608590,-5.21679262012,67.1729912039,4.80122496
1588775708937068534,-4.59925003094,66.9760017181,5.002684928
1588775709137089789,-8.360148129,78.7120084104,5.202706176
1588775709338057731,-39.8549529392,89.6232219491,5.403674112
1588775709535847491,6.37042821952,79.852479247,5.601463808
1588775709736079794,-12.5913265226,114.285177231,5.801696256
1588775709936365612,-26.4066451427,85.5421634295,6.001981952
1588775710135807094,-16.3514096938,106.844683337,6.20142336
1588775710337902318,-5.62724899631,93.1532822782,6.40351872
1588775710535558496,-9.91580225965,111.492476803,6.601174784
1588775710735294956,-11.7398623341,95.9999411997,6.80091136
1588775710935457162,-30.0382703847,82.4797251717,7.001073664
1588775711135492230,-22.9949946806,88.1812392417,7.201108736
1588775711335020367,-17.7887871461,98.0695226692,7.400636672
1588775711535545188,-10.8413987601,89.2291678453,7.601161472
1588775711735317772,-9.10383107866,120.714591391,7.800934144
1588775711935667029,-24.6980886897,68.6789727838,8.001283328
1588775712135132246,-25.0963706806,92.2119182861,8.200748544
1588775712336918405,-13.9185074105,103.393586825,8.402534912
1588775712536281763,-17.2709512315,68.8532177397,8.60189824
1588775712735966024,-7.02031986528,55.4875518171,8.801582336
1588775712935875853,-19.3228903224,105.029437622,9.001492224
1588775713136160647,-22.6755655161,80.9631704589,9.201777152
1588775713335776515,-16.0061470463,116.702647555,9.401392896
1588775713536414129,-22.9764404717,92.6060816729,9.602030592
1588775713737326500,-11.362990425,101.192025611,9.802942976
1588775713935464740,-13.1030178283,94.1573678975,10.001081088
1588775714136506678,-26.1648137574,81.2761638776,10.202123008
1588775714334880712,-31.8194676071,114.12302854,10.400497152
1588775714535745456,-9.45445627838,106.263038088,10.60136192
1588775714735266554,-10.4396572784,85.1858939322,10.800882944
1588775714935838819,4.09773357274,89.4407944266,11.001455104
1588775715135242069,-19.4455724727,108.137897695,11.200858368
1588775715335580099,-7.41404398555,82.2122959449,11.401196544
1588775715535744608,-5.210022622,76.6782649435,11.601360896
1588775715736063355,8.22709775152,74.2234881256,11.801679616
1588775715936199037,-11.3079510531,69.2533097308,12.001815296
1588775716135930210,-14.7164331612,68.6856527088,12.201546496
1588775716336205144,-8.00835325938,94.0473608708,12.40182144
1588775716536002751,-1.12088921792,76.0556112384,12.6016192
1588775716735344943,-3.28173129948,51.4201502607,12.80096128
1588775716936977630,-3.3269595315,55.5018713087,13.002594048
1588775717136504927,-3.17329713721,48.0258945829,13.202121216
1588775717335385928,-12.0966381192,55.2241387416,13.40100224
1588775717537199114,-9.12083568838,46.349168519,13.602815488
1588775717735915642,-7.28924447658,34.9716408902,13.801531904
1588775717935983718,-4.20816364435,20.5112732285,14.0016
1588775718135541817,4.30887179545,48.8668274735,14.201158144
1588775718336233628,-1.08324719163,36.0536726283,14.401850112
1588775718535382623,0.811978117895,49.0936375652,14.600998912
1588775718734978616,-4.89257421239,34.6310398468,14.800594944
1588775718935364946,2.47342494187,45.4225713958,15.000981248
1588775719135877084,-9.47943086508,33.4422864029,15.201493504
1588775719336793502,-2.88457138061,44.7785221231,15.402409984
1588775719536960658,-0.642658048535,44.4452532879,15.602577152
1588775719735636347,-3.77881838001,31.694140466,15.801252608
1588775719935550806,-9.27488377492,42.5217217534,16.001167104
1588775720135253465,-3.3498366098,39.0514392399,16.200869888
1588775720335927433,1.03389245813,47.588762476,16.401543936
1588775720535956015,-3.37700774265,51.014689741,16.601572352
1588775720736408388,2.38196892233,67.0178912682,16.802024704
1588775720935208310,1.06794500657,29.4331941715,17.000824576
1588775721135957604,4.18226655522,49.2856068621,17.201573888
1588775721333857282,-2.81476855484,61.0754764262,17.399473664
1588775721535543534,-2.1420111433,50.1172028841,17.601159936
1588775721735191618,-8.65972107977,51.7761499655,17.800807936
1588775721936337736,-3.4852269674,47.5113832629,18.001954048
1588775722135002588,0.826229894567,37.4991797133,18.200619008
1588775722336198723,-2.66080499189,48.20072352,18.40181504
1588775722535973990,-2.93500763188,46.8797205382,18.601590272
1588775722735597186,-3.51417416288,60.9552104553,18.801213696
1588775722935241218,-5.77495055646,70.2066675351,19.0008576
1588775723135964985,-0.603744539843,47.9758395415,19.201581312
1588775723336370394,-5.82573898935,43.2881338651,19.401986816
1588775723536183312,-1.47589224874,64.2698944293,19.60179968
1588775723735708144,1.2599040581,75.7130294402,19.801324544
1588775723935807251,-2.65923682315,59.6008180938,20.001423616
1588775724135879983,-2.68525514813,47.7428549588,20.20149632
1588775724335590979,-0.501236954058,69.1304346276,20.401207296
1588775724535317110,-1.30274844738,53.3635234947,20.600933376
1588775724735705388,7.72414994179,68.2121088635,20.801321728
1588775724935415337,-2.34935327494,57.8251669851,21.00103168
1588775725136434713,-1.62611052014,59.1225750783,21.202051072
1588775725335043750,0.133536494854,72.6482074464,21.400660224
1588775725535733886,-17.8030537037,79.7228968981,21.601350144
1588775725735814745,-1.83626455529,67.2114519991,21.80143104
1588775725936876705,-10.320049567,82.049928688,22.002493184
1588775726135624637,-3.57653592444,63.2434126197,22.201241088
1588775726336559360,-1.20668503835,77.6693732034,22.402175744
1588775726535784470,-9.93905307736,54.7771096906,22.601400832
1588775726738391805,6.1975151505,81.0009618956,22.804008192
1588775726935278500,-3.35039497776,74.5361332047,23.000894976
1588775727136021488,-5.90898960382,95.376939155,23.201637888
1588775727335239361,-2.54766077386,90.5499556761,23.400855808
1588775727536940237,8.98262851807,84.1303086865,23.602556672
1588775727735552435,-6.90338062338,80.6598759088,23.801168896
1588775727935332570,-11.8638311213,92.0142389511,24.000948992
1588775728135083216,2.37439509631,84.7364674848,24.200699648
1588775728335218078,-12.6036225707,95.1559210636,24.40083456
1588775728535956286,-15.0678002902,89.7301963719,24.601572608
1588775728735326156,-3.40811071658,72.0931248027,24.800942592
1588775728936149854,-8.38713335264,102.585220277,25.001766144
1588775729135372622,-19.9743845013,91.7992314262,25.200988928
1588775729336351998,-14.357277909,83.4639759216,25.401968384
1588775729535232260,-1.25895647607,72.3543044064,25.60084864
1588775729735459646,-8.11382845564,102.56621869,25.801075968
1588775729936599890,-7.54977179719,86.8403433341,26.002216192
1588775730136649554,-20.1250482291,99.4117436336,26.202265856
1588775730336393633,-1.89469575642,86.8501309951,26.402010112
1588775730536758617,-33.7320161973,84.4882925613,26.602374912
1588775730736525711,-29.8135230101,91.1087744332,26.802142208
1588775730936164590,-44.1478566061,71.9305321495,27.001780992
1588775731136244470,-21.7613873844,99.3752431026,27.201860864
1588775731338385236,-31.3593519136,109.138390634,27.404001536
1588775731535002416,-24.6408704875,99.8698854023,27.600618752
1588775731735607395,-35.8726145587,109.984616922,27.80122368
1588775731935047184,-34.7585936296,109.371914802,28.000663552
1588775732134385004,-10.1403532663,102.974438607,28.20000128
1588775732334147272,-40.5783997459,111.802287354,28.399763712
1588775732534218227,-21.103105705,118.840196237,28.599834624
1588775732734026790,-31.6927402772,115.298538247,28.799643136
1588775732936058491,-39.0687981657,105.347212173,29.001674752
1588775733135464811,-44.0395093153,110.238003279,29.201081088
1588775733335784840,-49.2800505032,121.343228341,29.401401344
1588775733535077392,-44.2090448558,107.812022539,29.60069376
1588775733735749844,-25.4205348737,131.042779982,29.801366272
1588775733935227992,-89.7011407472,125.044658117,30.000844288
1588775734135436698,-97.5433658767,132.12480489,30.201053184
