%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1588758446563519946,10.5525843799,90,2,0.0
1588758446763050823,-0.934478454292,90,2,0.199530752
1588758446963444970,-5.88939338923,90,2,0.399924992
1588758447164423566,-4.69031482935,90,2,0.60090368
1588758447363375593,-4.89092618227,90,2,0.799855616
1588758447564057338,1.067391783,90,2,1.000537344
1588758447763398615,7.33056664467,90,2,1.199878656
1588758447963322532,17.2187611461,90,2,1.399802624
1588758448163211061,-8.83229076862,90,2,1.599691008
1588758448367217067,-11.3575980067,90,2,1.803697152
1588758448563554674,0.0276574864984,90,2,2.00003456
1588758448763160777,0.579969072714,90,2,2.199640832
1588758448963280994,5.26795834303,90,2,2.399760896
1588758449163469221,0.274450983852,90,2,2.599949312
1588758449363352540,-4.93301413953,90,2,2.799832576
1588758449563415587,4.61379773915,90,2,2.999895552
1588758449763118589,5.13267591596,90,2,3.199598592
1588758449963454186,1.15819294006,90,2,3.399934208
1588758450163205297,2.53389813006,90,2,3.599685376
1588758450363622683,0.721680326387,90,2,3.800102656
1588758450563112489,1.53941987082,90,2,3.999592448
1588758450763261743,2.23987698555,90,2,4.199741696
1588758450963070054,-8.17077308893,90,2,4.399549952
1588758451163151357,-6.37743100524,90,2,4.59963136
1588758451363073861,1.37108648196,90,2,4.799553792
1588758451563518924,-0.579187553376,90,2,4.999998976
1588758451763264345,-2.63079646975,90,2,5.199744256
1588758451963645220,13.7221351266,90,2,5.400125184
1588758452163427740,1.80677846074,90,2,5.59990784
1588758452363738438,4.64986599982,90,2,5.800218368
1588758452563066659,-7.94682726264,90,2,5.999546624
1588758452763211575,-0.0771298189647,90,2,6.19969152
1588758452963472017,2.74507701397,90,2,6.399952128
1588758453163370299,8.47045481205,90,2,6.59985024
1588758453363350393,6.28292411566,90,2,6.799830272
1588758453563426003,2.54202727228,90,2,6.999906048
1588758453763202244,14.2456710339,90,2,7.199682304
1588758453963516173,1.53338667005,90,2,7.39999616
1588758454168133851,1.35727860034,90,2,7.604613888
1588758454363226417,9.35954675078,90,2,7.799706368
1588758454563415565,-3.64598743618,90,2,7.999895552
1588758454763243542,-1.9934900105,90,2,8.19972352
1588758454963439725,-1.22194169089,90,2,8.399919616
1588758455163237949,-7.12476149201,90,2,8.599717888
1588758455363378939,-4.16575968266,90,2,8.799858944
1588758455563110687,-4.68966290355,90,2,8.999590656
1588758455763102719,0.571215990931,90,2,9.19958272
1588758455963051487,5.33807277679,90,2,9.39953152
1588758456163250566,2.12157703936,90,2,9.599730688
1588758456363259065,1.5582065098,90,2,9.799739136
1588758456563119134,8.63094627857,90,2,9.999599104
1588758456765631929,12.8674551845,90,2,10.202112
1588758456966289097,-8.11873972416,90,2,10.402769152
1588758457163537120,-10.9971150756,90,2,10.600017152
1588758457363823430,60.3009462357,90,2,10.80030336
1588758457563138677,100.0,90,2,10.99961856
1588758457766680654,100.0,90,2,11.203160576
1588758457963307426,99.2109000683,90,2,11.39978752
1588758458163121739,100.0,90,2,11.599601664
1588758458363264579,100.0,90,2,11.799744512
1588758458563174838,100.0,90,2,11.999654912
1588758458763123530,93.4120476246,90,2,12.199603456
1588758458963180286,100.0,90,2,12.399660288
1588758459163180785,100.0,90,2,12.5996608
1588758459363124918,91.3834095001,90,2,12.799604992
1588758459563193473,81.5361082554,90,2,12.9996736
1588758459763001281,76.6839683056,90,2,13.199481344
1588758459962913924,80.8274924755,90,2,13.399394048
1588758460163133537,76.485478878,90,2,13.59961344
1588758460363802094,62.330698967,90,2,13.800282112
1588758460563766242,61.2146675587,90,2,14.000246272
1588758460762813500,56.219959259,90,2,14.19929344
1588758460963633427,41.4812207222,90,2,14.400113408
1588758461163236419,51.923251152,90,2,14.599716352
1588758461363326303,37.3848199844,90,2,14.799806208
1588758461563416725,28.7771701813,90,2,14.999896832
1588758461763415300,25.7559537888,90,2,15.199895296
1588758461963486188,30.5776447058,90,2,15.399966208
1588758462163312012,20.7179233432,90,2,15.599792128
1588758462364964231,16.6944280267,90,2,15.801444352
1588758462563326266,3.96729558706,90,2,15.999806208
1588758462763890914,-14.6725058556,90,2,16.200370944
1588758462963805127,-10.9641999006,90,2,16.400285184
1588758463162846644,-30.5319309235,90,2,16.59932672
1588758463363707804,-39.8217022419,90,2,16.800187904
1588758463562758611,-48.2223749161,90,2,16.999238656
1588758463763535779,-45.8374738693,90,2,17.200015872
1588758463968110257,-64.536857605,90,2,17.404590336
1588758464164396780,-83.9033186436,90,2,17.6008768
1588758464363374277,-69.6751236916,90,2,17.799854336
1588758464563579844,-75.678306818,90,2,18.000059904
1588758464766881072,-82.2784304619,90,2,18.203361024
1588758464963332603,-95.5826997757,90,2,18.399812608
1588758465163329758,-72.3750650883,90,2,18.599809792
1588758465363546247,-93.7780797482,90,2,18.800026368
1588758465563029790,-80.9171974659,90,2,18.99950976
1588758465763440106,-82.9830408096,90,2,19.199920128
1588758465965547421,-80.5622816086,90,2,19.40202752
1588758466163281661,-74.7287929058,90,2,19.599761664
1588758466363363454,-83.3684265614,90,2,19.799843328
1588758466563186803,-77.9133081436,90,2,19.999666688
1588758466764656256,-82.8879833221,90,2,20.201136128
1588758466963230928,-70.2279865742,90,2,20.399710976
1588758467168189449,-67.12641716,90,2,20.60466944
1588758467363458517,-51.9079566002,90,2,20.79993856
1588758467563204983,-45.454031229,90,2,20.999684864
1588758467763095541,-48.71481359,90,2,21.199575552
1588758467963005344,-35.8861535788,90,2,21.39948544
1588758468163275469,-38.44627738,90,2,21.59975552
1588758468363248866,-43.3083921671,90,2,21.799728896
1588758468563349663,-32.7120482922,90,2,21.99982976
1588758468763597716,-25.2057164907,90,2,22.200077824
1588758468963316568,-21.8421682715,90,2,22.39979648
1588758469163247688,-27.6150017977,90,2,22.599727616
1588758469363012442,-27.7686476707,90,2,22.799492352
1588758469563210802,-20.475949347,90,2,22.999690752
1588758469763284191,-11.0526651144,90,2,23.199764224
1588758469963293519,-8.00060331821,90,2,23.39977344
1588758470163483279,-13.1948649883,90,2,23.599963392
1588758470362979445,-5.53255788982,90,2,23.799459328
1588758470563113635,-8.04986730218,90,2,23.999593728
