%time,field.port,field.star,secs_since_start
1588758446563028585,-143.719296893,-14.9271325443,0.0
1588758446762719768,-137.922925155,-43.3258091885,0.199691264
1588758446962779207,-130.987564733,-40.7788897037,0.399750656
1588758447163651008,-133.254736745,-42.1285282535,0.600622592
1588758447362726352,-150.117968371,-28.1063752837,0.79969792
1588758447562939741,-139.71105502,-43.0966119457,0.999911168
1588758447762738170,-145.537397627,-34.5803325224,1.199709696
1588758447962806553,-146.032777587,-31.0161280776,1.399778048
1588758448162901155,-149.052855012,-62.9642081468,1.599872768
1588758448367735071,-125.176166579,-19.1820210858,1.80470656
1588758448562974848,-139.195307436,-43.7932434297,1.99994624
1588758448762661772,-130.318452081,-19.835513095,2.199633408
1588758448962827402,-146.442985088,-42.1907000504,2.39979904
1588758449162787968,-163.300356413,-38.3912980415,2.59975936
1588758449362690397,-144.543413858,-25.018269175,2.799661824
1588758449563045614,-122.475523442,-38.2725927689,3.000017152
1588758449762662610,-144.573248124,-25.0316256099,3.199634176
1588758449962774934,-138.594988449,-34.2527771404,3.39974656
1588758450162928179,-138.676677511,-38.4710951416,3.599899648
1588758450363039956,-140.705981355,-43.7405519353,3.80001152
1588758450562736654,-144.83920203,-9.3116122634,3.99970816
1588758450762882643,-149.099109053,-22.3971191942,4.19985408
1588758450963060145,-130.977305788,-52.323244703,4.400031744
1588758451162587220,-151.633040933,-53.9024834768,4.599558656
1588758451362740903,-136.02534834,-38.4227134966,4.799712512
1588758451562749145,-152.449043633,-18.385706406,4.999720704
1588758451762625345,-143.952725438,-35.1442978271,5.1995968
1588758451963463639,-145.566849403,-22.8729409076,5.4004352
1588758452162853159,-151.513813151,-42.2530391869,5.59982464
1588758452363006230,-145.188675489,-27.4809621821,5.799977728
1588758452562436911,-142.533043298,-15.7241609789,5.999408384
1588758452762621711,-157.310048284,-39.66687002,6.199593216
1588758452962883577,-146.267148698,-42.4516508427,6.399855104
1588758453162766759,-138.416092134,-30.5588844788,6.599738368
1588758453363018712,-146.420909917,-43.8259053943,6.799990272
1588758453563070164,-144.295273085,-47.8201283039,7.000041728
1588758453762798559,-151.456220996,-30.1958530942,7.199770112
1588758453962959941,-154.366851469,-36.9220902001,7.399931392
1588758454165289052,-146.284647643,-39.7419474593,7.60226048
1588758454362705347,-147.442719877,-42.1391594429,7.799676928
1588758454562757212,-137.438623762,-35.5341889306,7.99972864
1588758454762840571,-142.53887628,-19.0504562745,8.199812096
1588758454962847178,-145.561631138,-30.0953332002,8.399818752
1588758455162665592,-140.016774287,-35.2703318928,8.599636992
1588758455362981905,-159.134733321,-27.1864102742,8.799953408
1588758455562644375,-149.501448176,-45.4756966072,8.999616
1588758455762918475,-152.969025935,-13.8071403223,9.19988992
1588758455962735061,-139.611443541,-46.6881952037,9.399706624
1588758456162712710,-132.90724404,-50.1429458671,9.599684352
1588758456362739768,-154.875714223,-27.8026709222,9.799711232
1588758456562612208,-139.879774353,-41.4430470533,9.999583744
1588758456764393052,-139.078060408,-34.6640194152,10.20136448
1588758456966579049,-142.880781889,-26.2770781617,10.403550464
1588758457163084256,-141.220909317,-33.0428910912,10.600055808
1588758457363299473,-158.045236186,1.66122953859,10.800271104
1588758457562346047,-160.267424572,-10.8746780031,10.999317504
1588758457766647491,-155.484762191,0.375501068844,11.203619072
1588758457962758884,-160.466524587,-10.91861661,11.399730432
1588758458162628244,-161.556622778,-4.78883174975,11.599599872
1588758458362754298,-159.280844728,-16.8723482218,11.799725824
1588758458562736504,-157.524926036,-9.97061025887,11.999707904
1588758458762601895,-161.36423001,-18.298421711,12.199573504
1588758458962646758,-164.833365051,-9.02500045036,12.399618304
1588758459162662261,-161.560761873,-1.7644034947,12.599633664
1588758459362582088,-159.882994205,-6.66719140123,12.799553536
1588758459562807492,-156.343030102,-16.8766205051,12.999779072
1588758459762437191,-156.649104539,-16.609233967,13.19940864
1588758459962598438,-158.473051915,-5.02675285175,13.39956992
1588758460162684183,-158.05982547,-12.4515193805,13.59965568
1588758460362757392,-159.56145622,-10.7049307267,13.799728896
1588758460563069648,-150.259148381,-14.2486992455,14.000041216
1588758460762589130,-157.68214333,-25.1248952581,14.199560704
1588758460962828271,-156.310272514,-11.5280991491,14.399799808
1588758461162897901,-155.804251119,-23.865114677,14.59986944
1588758461362660181,-152.973438237,-18.0862572524,14.799631616
1588758461562674466,-162.022441679,-23.2356632261,14.999645952
1588758461763155053,-155.030909781,-21.5269650468,15.200126464
1588758461962672120,-160.956645301,-27.9641331791,15.399643648
1588758462162971391,-157.066374455,-15.4585519975,15.599942912
1588758462363726355,-159.018196633,-27.4069126862,15.800697856
1588758462562790651,-157.676692839,-21.9400343972,15.999762176
1588758462762814720,-154.933852793,-17.1263936928,16.19978624
1588758462962870737,-158.80722575,-30.29752046,16.399842304
1588758463162656187,-156.390786784,-33.1808574973,16.599627776
1588758463362541063,-145.859700594,-34.8788322797,16.799512576
1588758463562535057,-145.612720953,-21.3462877602,16.999506688
1588758463762952032,-157.150344801,-39.5528229363,17.199923456
1588758463966053953,-144.46694306,-35.9918525861,17.403025408
1588758464163737331,-156.390732143,-47.8322860407,17.600708864
1588758464362970163,-158.926084702,-31.4715924123,17.799941632
1588758464563274473,-143.097230584,-39.8778682238,18.000246016
1588758464765135828,-139.882533749,-37.1984294087,18.202107392
1588758464963476849,-154.848516409,-41.3815719356,18.400448256
1588758465162804104,-139.394202544,-50.9567185104,18.599775744
1588758465363131749,-149.927706622,-52.4030930295,18.800103168
1588758465562845289,-148.479365008,-43.2728820527,18.999816704
1588758465763190812,-146.258638283,-39.7206270238,19.200162304
1588758465964209459,-131.343280985,-35.1480988274,19.401180928
1588758466162636957,-130.710750826,-45.0349649906,19.599608576
1588758466362514196,-151.890839593,-48.5578570362,19.799485696
1588758466562616971,-133.911268188,-50.8003515747,19.999588608
1588758466765152552,-141.120013762,-46.6311358034,20.202124032
