%time,field.port,field.star,secs_since_start
1588774953085680964,31.499708886,-29.0354585957,0.0
1588774953285784725,31.9315646717,-28.7364363289,0.200103936
1588774953484027859,17.7578446816,-43.4766095201,0.398347008
1588774953686281087,53.3875760059,-52.9299704069,0.600600064
1588774953886396614,36.9633308823,-18.3074375607,0.800715776
1588774954086641411,44.4463085521,-48.8487479627,1.000960512
1588774954285800470,-5.49109301719,-35.7649810226,1.200119552
1588774954486026053,25.8015501464,-28.660614399,1.400345088
1588774954685292867,20.7142220544,-23.8727183851,1.599611904
1588774954887067268,36.4022923137,-35.5206105145,1.801386496
1588774955089354596,5.86852414808,-41.3211179313,2.0036736
1588774955286302626,31.4416591082,-56.6902354318,2.200621824
1588774955486583066,25.493896228,-25.5860047441,2.400902144
1588774955686369972,34.1112658661,-21.5627040116,2.600689152
1588774955891200679,16.8872124209,-37.2884615472,2.805519872
1588774956086773475,30.6189218416,-28.0854134331,3.001092608
1588774956285322940,37.0384595481,-37.4167461602,3.199642112
1588774956487093402,16.4492197102,-39.7321700435,3.401412608
1588774956684106631,57.3696001976,-28.7431811407,3.598425856
1588774956884593221,67.5308179843,-34.8054282367,3.798912256
1588774957085882249,16.0981189586,-25.7113660361,4.000201472
1588774957285475857,44.2855054084,-26.9696200699,4.199794944
1588774957487930686,25.5171478995,-13.3949828021,4.402249728
1588774957687535672,30.3418142367,-29.6816798686,4.60185472
1588774957883762177,27.3899277133,-28.1921709974,4.79808128
1588774958086202176,25.1063564172,-23.8300228726,5.000521216
1588774958284040393,33.276271825,-52.9479474648,5.198359552
1588774958486000222,26.7850990944,-42.7326209195,5.400319232
1588774958686062971,44.9981468559,-51.3899232585,5.600381952
1588774958888273211,40.7413339085,-40.3214787651,5.802592256
1588774959085225571,51.8963032383,-38.1380414573,5.999544576
1588774959284852978,46.3174013092,-24.7225424745,6.199172096
1588774959485379618,34.6837074355,-34.1254658294,6.399698688
1588774959685960119,62.6939717123,-61.4104835446,6.600279296
1588774959885264210,28.4989404062,-38.3077238469,6.799583232
1588774960083706180,32.9119461195,-46.2534536631,6.998025216
1588774960284990873,40.5403419318,-47.5505748883,7.19931008
1588774960485773057,22.7371704073,-53.3404067194,7.40009216
1588774960684799733,21.448603994,-19.8091997913,7.599118848
1588774960883509201,32.8676318522,-57.2212963002,7.797828352
1588774961085702030,41.3584927264,-46.6741557499,8.000021248
1588774961283773887,54.7925664087,-3.46566594595,8.198093056
1588774961485734226,44.6846855692,-36.7898713982,8.400053248
1588774961683812055,33.0725785084,-53.0630054165,8.5981312
1588774961883832909,62.8730319516,-37.7954323383,8.798151936
1588774962083685901,44.1822568539,-42.9804645788,8.998004992
1588774962283705828,33.5518084863,-50.0465616526,9.19802496
1588774962483276919,24.5267346114,-34.9172828297,9.397595904
1588774962686017657,48.0715168314,-23.0034658227,9.60033664
1588774962886209529,35.0311659888,-27.4652356716,9.80052864
