%time,field.throttle_bow,field.position_bow,field.lin_act_bow,
1.58802269205356E+018,12.8480110362,90,2,0
1.58802269231286E+018,30.3355537867,90,2,0.25929728
1.58802269254028E+018,7.8827309681,90,2,0.486721792
1.58802269281286E+018,20.7148569968,90,2,0.759304448
1.58802269312446E+018,9.0508026868,90,2,1.07089664
1.58802269334353E+018,-27.6888108509,90,2,1.289966336
1.58802269361251E+018,-32.3124688778,90,2,1.558954496
1.58802269384699E+018,-34.3162188032,90,2,1.793426944
1.5880226941193E+018,-41.4903263177,90,2,2.0657408
1.58802269434277E+018,-36.8689981229,90,2,2.289210112
1.58802269461382E+018,-30.9664407362,90,2,2.56026368
1.58802269484156E+018,-31.0823987361,90,2,2.78799616
1.58802269511202E+018,20.0637732265,90,2,3.058458624
1.58802269533783E+018,-17.6039774068,90,2,3.284270848
1.58802269561297E+018,33.4559997406,90,2,3.559406848
1.58802269584117E+018,9.0321743802,90,2,3.787606528
1.58802269611457E+018,39.5902309364,90,2,4.061009408
1.58802269634066E+018,13.8863320698,90,2,4.287101952
1.58802269661913E+018,40.5368920651,90,2,4.565571072
1.588022696844E+018,13.1766312022,90,2,4.790436608
1.58802269711963E+018,33.531256602,90,2,5.066071552
1.58802269734211E+018,-11.8705371005,90,2,5.28854528
1.58802269761344E+018,18.2370827418,90,2,5.559877376
1.58802269784057E+018,-26.8415662713,90,2,5.787012608
1.58802269811329E+018,-24.2284950018,90,2,6.059732992
1.5880226983405E+018,-34.1670288797,90,2,6.286939136
1.58802269861467E+018,-35.6903762857,90,2,6.561110528
1.5880226988395E+018,-36.5752550078,90,2,6.78594048
1.58802269911298E+018,-28.6096442974,90,2,7.059421184
1.58802269934297E+018,-31.5411811334,90,2,7.289406208
1.58802269961463E+018,21.6434075422,90,2,7.56107008
1.58802269983999E+018,-17.8465267946,90,2,7.786432
1.58802270011352E+018,31.9777995526,90,2,8.059960576
1.58802270032684E+018,6.1004098856,90,2,8.273278464
1.58802270063365E+018,37.655227832,90,2,8.580091136
1.5880227008466E+018,11.9279439917,90,2,8.793042688
1.58802270111995E+018,38.679677073,90,2,9.066391808
1.58802270144352E+018,36.5960416009,90,2,9.389963264
1.58802270171341E+018,29.9678429227,90,2,9.659853312
1.58802270194122E+018,-14.8196901381,90,2,9.887656192
1.58802270221309E+018,19.3197990236,90,2,10.1595264
1.58802270244516E+018,-26.3270853324,90,2,10.391597056
1.58802270271407E+018,-22.6440190394,90,2,10.660506624
1.5880227029408E+018,-33.2297497026,90,2,10.887240704
1.58802270321559E+018,-38.8724627286,90,2,11.162030336
1.58802270343137E+018,-37.3450423458,90,2,11.377807872
1.58802270371539E+018,-43.5421854835,90,2,11.661828096
1.58802270393943E+018,-35.4366339861,90,2,11.885865984
1.58802270420555E+018,8.6296678308,90,2,12.151988736
1.58802270440978E+018,-20.0183509191,90,2,12.356219904
1.58802270470353E+018,47.4528538379,90,2,12.649974272
1.58802270491459E+018,61.2135484641,90,2,12.861033984
1.58802270513303E+018,38.6159430309,90,2,13.079469568
1.58802270541287E+018,64.2357935225,90,2,13.359305472
1.58802270564089E+018,51.5593954842,90,2,13.587328512
1.58802270591421E+018,72.7558751992,90,2,13.860652032
1.58802270614317E+018,59.3938526902,90,2,14.089612288
1.58802270641476E+018,77.3723429716,90,2,14.361196288
1.58802270664162E+018,63.280456382,90,2,14.588062208
1.58802270691439E+018,64.1181498557,90,2,14.860826112
1.58802270713985E+018,62.1211964801,90,2,15.086294272
1.58802270741426E+018,44.2150469574,90,2,15.360697856
1.58802270764039E+018,54.5439840273,90,2,15.586829824
1.58802270791314E+018,18.4390910909,90,2,15.859582976
1.58802270813759E+018,40.1031321411,90,2,16.084033792
1.58802270841216E+018,-50.2530777113,90,2,16.3586048
1.58802270863896E+018,-27.5527078107,90,2,16.585404672
1.58802270891561E+018,-85.0883840931,90,2,16.86205184
1.58802270914377E+018,-75.9476244587,90,2,17.090205184
1.588022709416E+018,-94.3992157002,90,2,17.36244224
1.58802270964418E+018,-94.3992157002,90,2,17.590617856
1.58802270992034E+018,-94.3992157002,90,2,17.866777856
1.58802271014081E+018,-94.3992157002,90,2,18.087254528
1.58802271041554E+018,-94.3992157002,90,2,18.361981952
1.588022710643E+018,-94.3992157002,90,2,18.589444608
1.58802271091401E+018,-94.3992157002,90,2,18.860447744
1.58802271114292E+018,-94.3992157002,90,2,19.089364736
1.5880227114167E+018,-79.5755676526,90,2,19.363139328
1.588022711639E+018,-94.3992157002,90,2,19.58544128
1.58802271191313E+018,-49.2983825795,90,2,19.859567104
1.58802271213952E+018,-94.3992157002,90,2,20.085956608
1.58802271241449E+018,-49.2983825795,90,2,20.360925952
1.58802271263852E+018,-68.5222718667,90,2,20.584964608
1.58802271291498E+018,26.9442865017,90,2,20.86142464
1.58802271313841E+018,-18.3209396304,90,2,21.084853248
1.58802271341808E+018,49.9857199976,90,2,21.36451584
1.58802271364281E+018,37.7703015156,90,2,21.589246976
1.58802271392005E+018,63.7310112103,90,2,21.866491136
1.5880227141403E+018,50.225107255,90,2,22.086742016
1.58802271441291E+018,71.8164849605,90,2,22.359347712
1.5880227146439E+018,56.5069176352,90,2,22.590337024
1.5880227149185E+018,71.5940528466,90,2,22.864940544
1.58802271513992E+018,59.5657384109,90,2,23.086362624
1.58802271541859E+018,66.2350475955,90,2,23.365035008
1.58802271564025E+018,59.2411736461,90,2,23.586687232
1.58802271591408E+018,58.2078694593,90,2,23.860521472
1.58802271614209E+018,56.2986491732,90,2,24.088530432
1.58802271641585E+018,49.1905546112,90,2,24.362287872
1.58802271664392E+018,51.0487501041,90,2,24.590360832
1.58802271691265E+018,36.6135950637,90,2,24.85908736
1.58802271713643E+018,44.646454177,90,2,25.082865664
1.58802271741298E+018,16.0526782181,90,2,25.359424
1.58802271763817E+018,34.9729237093,90,2,25.584610048
1.58802271791739E+018,-46.1996109549,90,2,25.863826688
1.58802271814323E+018,20.7467768141,90,2,26.089668608
1.58802271841937E+018,-72.8624427589,90,2,26.3658112
1.58802271864144E+018,-23.7139113644,90,2,26.5878784
1.58802271891431E+018,-83.9239595829,90,2,26.860749824
1.58802271914408E+018,-42.4221174685,90,2,27.090519808
1.5880227194227E+018,-90.9973485899,90,2,27.369135872
1.58802271963991E+018,-49.1454666505,90,2,27.586349056
1.58802271991361E+018,-94.3194481121,90,2,27.86005504
1.58802272013949E+018,-49.1454666505,90,2,28.085929984
1.58802272041483E+018,-85.44242964,90,2,28.361271296
1.58802272064444E+018,-33.9311745768,90,2,28.590880256
1.58802272091286E+018,-58.7937822848,90,2,28.85929984
1.58802272113798E+018,11.3556903221,90,2,29.084419328
1.5880227214121E+018,26.5616149101,90,2,29.358541568
1.58802272163699E+018,30.0836317309,90,2,29.583426816
1.58802272191305E+018,42.0596015936,90,2,29.859490048
1.58802272213768E+018,34.5902921277,90,2,30.084120576
1.58802272241349E+018,47.9643298311,90,2,30.359934464
1.58802272263203E+018,36.3283800335,90,2,30.578467072
1.58802272284683E+018,35.3023231112,90,2,30.793269248
1.5880227231196E+018,50.0318975183,90,2,31.066040832
1.58802272334927E+018,34.4307833915,90,2,31.295712256
1.58802272361659E+018,47.7459983937,90,2,31.563030528
1.58802272384503E+018,31.4980487594,90,2,31.791474176
1.58802272411619E+018,45.2738939385,90,2,32.062631936
1.58802272434813E+018,27.432454609,90,2,32.294572032
1.58802272461341E+018,41.468998161,90,2,32.559845632
1.58802272484743E+018,23.4392964254,90,2,32.79386624
1.58802272511457E+018,36.5938337693,90,2,33.061011456
1.58802272541419E+018,33.6311718064,90,2,33.36062976
1.58802272564287E+018,13.2111802519,90,2,33.589312256
1.58802272591377E+018,25.31971509,90,2,33.8602112
1.58802272614111E+018,7.3680579682,90,2,34.087547904
1.5880227263582E+018,2.1597199307,90,2,34.304635648
1.58802272661237E+018,17.9842114471,90,2,34.558808832
1.58802272684755E+018,-9.4153409568,90,2,34.793989632
1.5880227271134E+018,12.9805807898,90,2,35.059835904
1.58802272734466E+018,-14.2407436656,90,2,35.291100672
1.58802272760506E+018,6.0105736938,90,2,35.551500032
1.58802272784169E+018,-16.4134840784,90,2,35.788126208
1.58802272811176E+018,-7.0739809857,90,2,36.058195712
1.58802272834677E+018,-17.3397025723,90,2,36.293212672
1.58802272861559E+018,-2.3297657076,90,2,36.56203008
1.58802272884742E+018,-16.5885674758,90,2,36.793860352
1.58802272911943E+018,8.9486376499,90,2,37.065870592
1.58802272934638E+018,-17.0529823542,90,2,37.292821504
1.58802272961485E+018,12.7206430703,90,2,37.561286144
1.58802272984382E+018,-17.9113237531,90,2,37.790262016
1.58802273011703E+018,15.2818129929,90,2,38.06347264
1.58802273034768E+018,-20.2233301103,90,2,38.294116352
1.58802273061405E+018,17.3231211602,90,2,38.560493312
1.58802273084271E+018,-22.6953828112,90,2,38.789153792
1.58802273111691E+018,18.4387022531,90,2,39.063350272
1.58802273134379E+018,-25.1867488869,90,2,39.290233344
1.58802273162046E+018,19.32222917,90,2,39.566902528
1.58802273184392E+018,-27.4925092187,90,2,39.790364672
1.58802273211423E+018,20.6609503483,90,2,40.060672
1.58802273234866E+018,-28.6341192541,90,2,40.295096576
1.58802273261549E+018,23.1034965845,90,2,40.561927936
1.5880227328438E+018,-28.9274819282,90,2,40.790239744
1.58802273311449E+018,25.3740759668,90,2,41.06093312
1.58802273334451E+018,-29.1829014769,90,2,41.290949376
1.58802273361321E+018,25.8324673239,90,2,41.559651072
1.58802273391388E+018,26.966328528,90,2,41.860317184
1.58802273413978E+018,-32.3465835739,90,2,42.086216448
1.588022734415E+018,21.1454130762,90,2,42.361442304
1.58802273464249E+018,-35.2206452335,90,2,42.588934656
1.58802273491317E+018,14.7964658916,90,2,42.859607808
1.58802273514078E+018,-37.9500912452,90,2,43.087224832
1.58802273541163E+018,-21.1137421215,90,2,43.358073344
1.5880227356385E+018,-44.4076793991,90,2,43.58494464
1.58802273591875E+018,-53.3744611746,90,2,43.865192448
1.58802273614295E+018,-49.8045213387,90,2,44.089390592
1.58802273642273E+018,-60.1622397891,90,2,44.369173504
1.58802273664125E+018,-48.0548731746,90,2,44.587689216
1.58802273685435E+018,-44.4482481105,90,2,44.80079104
1.588022737116E+018,-30.7072545947,90,2,45.062435328
1.58802273734858E+018,-34.7955429928,90,2,45.295019008
1.58802273762152E+018,22.8572226659,90,2,45.5679616
1.58802273784071E+018,-16.0259323248,90,2,45.787145728
1.58802273811284E+018,34.3003338102,90,2,46.059280384
1.58802273834542E+018,9.8952438461,90,2,46.291863808
1.58802273861358E+018,37.4201322572,90,2,46.560024064
1.58802273884141E+018,13.9142401652,90,2,46.78784768
1.58802273911587E+018,35.9721416685,90,2,47.062312448
1.58802273934129E+018,14.3825532226,90,2,47.287725312
1.5880227396157E+018,32.2982609061,90,2,47.562140416
1.58802273984454E+018,14.6829024892,90,2,47.790984192
1.58802274011588E+018,28.7806839,90,2,48.06231808
1.58802274034845E+018,14.1213761826,90,2,48.294890752
1.58802274061537E+018,26.4144505368,90,2,48.56180992
1.58802274084503E+018,13.7803175568,90,2,48.791474432
1.5880227411124E+018,23.9211091242,90,2,49.058844672
1.58802274134376E+018,13.7256193535,90,2,49.290197504
1.58802274161841E+018,22.5892939472,90,2,49.564849664
1.58802274182615E+018,14.1569274367,90,2,49.772590336
1.58802274211343E+018,23.1109890843,90,2,50.059867648
1.58802274234371E+018,14.7634467821,90,2,50.290145536
1.58802274261457E+018,23.4892566276,90,2,50.561009152
1.58802274284872E+018,14.6535908874,90,2,50.7951616
1.58802274311229E+018,22.7991449964,90,2,51.058731776
1.58802274333846E+018,14.5495771017,90,2,51.284904448
1.58802274361356E+018,23.9016622112,90,2,51.56
1.58802274384635E+018,14.9488995442,90,2,51.792787712
1.58802274411864E+018,24.0360404874,90,2,52.065076224
1.58802274434283E+018,13.9675090322,90,2,52.289270272
1.58802274462086E+018,24.3444257768,90,2,52.567302912
1.58802274484661E+018,13.0442174365,90,2,52.793046528
1.58802274512267E+018,24.7906156998,90,2,53.069113344
1.58802274534893E+018,11.7084193072,90,2,53.295370752
1.58802274561543E+018,24.0730839346,90,2,53.56186624
1.58802274584513E+018,9.344860323,90,2,53.791568384
1.58802274611385E+018,22.3782042156,90,2,54.060292096
1.58802274634435E+018,-1.536366456,90,2,54.290791936
1.5880227466189E+018,19.3480738106,90,2,54.565336576
1.58802274684284E+018,-13.6610936342,90,2,54.789279232
1.5880227471138E+018,20.935711394,90,2,55.060237568
1.58802274734893E+018,-10.7346262594,90,2,55.2953728
1.58802274761419E+018,29.8968077376,90,2,55.560625408
1.58802274784077E+018,5.001682589,90,2,55.787210752
1.58802274811348E+018,35.0452809463,90,2,56.059922176
1.58802274834294E+018,-4.6963026379,90,2,56.289378304
1.58802274861387E+018,29.5711612258,90,2,56.560311552
1.588022748844E+018,-26.119910443,90,2,56.790444544
1.58802274911362E+018,8.5443691368,90,2,57.060061184
1.58802274934692E+018,-40.1017563546,90,2,57.293355776
1.5880227496149E+018,-41.9822795314,90,2,57.561336576
1.588022749843E+018,-48.69731192,90,2,57.789443584
1.58802275011631E+018,-50.8719974883,90,2,58.062750208
1.5880227503462E+018,-50.6037820312,90,2,58.292635648
1.58802275063067E+018,-39.892043058,90,2,58.577113856
1.58802275093426E+018,-28.515791827,90,2,58.880702208
1.58802275114615E+018,-45.232954598,90,2,59.092588032
1.58802275142137E+018,16.6965824631,90,2,59.367807232
1.58802275174625E+018,25.7313558304,90,2,59.692689408
1.58802275201045E+018,25.2605756666,90,2,59.956888064
1.58802275222555E+018,-42.1557207418,90,2,60.171992576
1.58802275251425E+018,11.4844158815,90,2,60.460689152
1.58802275274162E+018,-47.5794761131,90,2,60.688060672
1.58802275302792E+018,-26.0180889079,90,2,60.974363392
1.5880227533196E+018,-84.6039145093,90,2,61.266038528
1.58802275353854E+018,-94.3992157002,90,2,61.484978688
1.58802275381633E+018,-94.3992157002,90,2,61.762770944
1.58802275403834E+018,-94.3992157002,90,2,61.984778752
1.58802275431588E+018,-94.3992157002,90,2,62.262323968
1.58802275454258E+018,-94.3992157002,90,2,62.489019136
1.58802275481902E+018,-94.3992157002,90,2,62.765456384
