%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,
1.58802269192623E+018,152.386927091,1128.15225056,-2.1216631548,-0.0023305894,4.49984212594E-05,-0.2859508261,0
1.58802269197052E+018,152.386948915,1128.15305508,-2.1216620146,-0.004436115,8.48562039061E-05,-0.315704126,0.044286976
1.58802269202799E+018,152.387500352,1128.15391953,-2.1216609392,-0.0071153326,-0.0006238788,-0.3254414268,0.10176
1.58802269207412E+018,152.387804903,1128.1546208,-2.1216643294,-0.008021481,-0.0005473353,-0.3691348351,0.14789248
1.58802269213938E+018,152.387980745,1128.15500524,-2.1216661792,-0.0090575836,-0.0003937355,-0.3853200488,0.21315072
1.58802269216893E+018,152.38807972,1128.15577284,-2.1216657165,-0.0086842639,-0.0002897428,-0.4130212484,0.242698752
1.58802269222003E+018,152.388133588,1128.15680857,-2.1216646152,-0.007730749,-0.0003000913,-0.4413054917,0.293795584
1.58802269227409E+018,152.388159378,1128.15735954,-2.121663832,-0.0075617511,-0.0003203658,-0.4513609035,0.347860224
1.58802269232836E+018,152.388169096,1128.1577923,-2.1216633018,-0.0073965114,-0.0003212647,-0.463357458,0.402131456
1.58802269237622E+018,152.388699513,1128.15836487,-2.1216629321,-0.0066177043,-0.0009601844,-0.47466395,0.449987584
1.58802269242711E+018,152.388997473,1128.15865099,-2.1216625982,-0.0061073704,-0.0008621663,-0.4848261854,0.50088064
1.58802269247672E+018,152.389161407,1128.15907303,-2.1216660732,-0.0042368019,-0.0005625986,-0.4969421527,0.550492672
1.58802269252631E+018,152.389253017,1128.15964002,-2.1216656684,-0.0025388962,-0.0002828615,-0.5035176631,0.60008448
1.58802269257814E+018,152.389301434,1128.15995886,-2.1216638327,-0.0015571761,-0.000056511,-0.5062554311,0.65190912
1.58802269262692E+018,152.389325462,1128.16035625,-2.1216615019,-0.0006459893,0.0001244187,-0.5056862626,0.700690432
1.5880226926751E+018,152.389864139,1128.16077965,-2.1216592251,0.0004809969,-0.0002749261,-0.4965318868,0.748871168
1.58802269272682E+018,152.390165776,1128.1609304,-2.1216605322,0.0010546436,-0.000031362,-0.4859425945,0.800587776
1.58802269277542E+018,152.390330758,1128.16115368,-2.121660067,0.0019800357,0.0002738999,-0.4732078359,0.849186304
1.58802269282363E+018,152.390416825,1128.16116824,-2.1216582608,0.0029422526,0.0004884224,-0.4581728271,0.897400832
1.58802269287861E+018,152.390986088,1128.16128582,-2.1216561321,0.0055486094,-3.56676970766E-05,-0.4279614711,0.952375296
1.58802269292813E+018,152.391298313,1128.16136885,-2.1216581369,0.007612118,8.2067828614E-05,-0.4025406749,1.001895424
1.58802269298E+018,152.391464355,1128.16122778,-2.121658697,0.0091404429,0.0002581319,-0.3776396637,1.0537728
1.58802269301664E+018,152.391544829,1128.16096418,-2.1216580073,0.010242833,0.0003500562,-0.3518890127,1.090413056
1.58802269307114E+018,152.392108021,1128.16087119,-2.1216569578,0.0114643792,-0.0002937631,-0.3045821718,1.144905984
1.5880226931227E+018,152.392415147,1128.16051389,-2.1216600109,0.0115294063,-0.0002269767,-0.2657126801,1.196471296
1.58802269317519E+018,152.39257598,1128.16029725,-2.1216611296,0.0115059742,-6.08348419135E-05,-0.2285345566,1.248958976
1.58802269322157E+018,152.392652658,1128.15993774,-2.1216605578,0.0104791446,2.33218650571E-05,-0.1645333541,1.295340288
1.58802269327256E+018,152.393210448,1128.15957768,-2.121659442,0.0094797842,-0.0005471913,-0.1130600468,1.346328576
1.58802269332232E+018,152.393513964,1128.15905857,-2.1216619701,0.0079786494,-0.0004135458,-0.065082333,1.396088064
1.58802269337341E+018,152.393672164,1128.15847407,-2.1216624663,0.0062682259,-0.0001805318,-0.0173813302,1.447184384
1.58802269342244E+018,152.393747964,1128.15809276,-2.1216612378,0.003820239,1.25662147582E-05,0.0629024808,1.4962112
