%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1592906617124229337,-100.0,45,2,0.0
1592906617325315629,-100.0,45,2,0.201086208
1592906617525532201,-53.1048178673,45,2,0.401302784
1592906617726647556,20.8605825901,45,2,0.602418176
1592906617925332735,58.1194162369,45,2,0.80110336
1592906618124305109,53.8764223456,45,2,1.000075776
1592906618326003386,29.7891441733,45,2,1.20177408
1592906618531356167,-13.0116362125,45,2,1.407126784
1592906618726322755,-51.7540201545,45,2,1.602093312
1592906618924267821,-49.4065508246,45,2,1.8000384
1592906619125671614,13.4850814939,45,2,2.001442304
1592906619325728338,74.7309848666,45,2,2.20149888
1592906619525281524,100.0,45,2,2.40105216
1592906619723993395,100.0,45,2,2.599763968
1592906619925466580,100.0,45,2,2.801237248
1592906620125702354,100.0,45,2,3.001473024
1592906620325256869,50.7329255342,45,2,3.201027584
1592906620525213342,-9.21043381095,45,2,3.400984064
1592906620724335386,-3.90949100256,45,2,3.600105984
1592906620928106831,36.7450043559,45,2,3.803877376
1592906621123866146,93.5879647732,45,2,3.999636736
1592906621328886474,100.0,45,2,4.204657152
1592906621526659881,100.0,45,2,4.402430464
1592906621724616742,100.0,45,2,4.600387328
1592906621924558397,76.0368853807,45,2,4.80032896
1592906622126959926,17.3968449235,45,2,5.002730496
1592906622326768476,-13.8816609979,45,2,5.202539008
1592906622528982139,-34.3651771545,45,2,5.40475264
1592906622729377477,-26.2925904244,45,2,5.60514816
1592906622925067145,15.3429433703,45,2,5.800837888
1592906623128259455,50.6052151322,45,2,6.004029952
1592906623326440553,59.72635746,45,2,6.202211072
1592906623526314304,64.3190592527,45,2,6.402084864
1592906623725928744,39.1682684422,45,2,6.601699328
1592906623926519589,-29.1935577989,45,2,6.802290176
1592906624130319236,-89.0415459871,45,2,7.006089984
1592906624326833746,-100.0,45,2,7.202604288
1592906624524126082,-100.0,45,2,7.399896832
1592906624725438498,-100.0,45,2,7.601209088
1592906624925764939,-88.6206701398,45,2,7.801535488
1592906625125117654,-55.8970272541,45,2,8.00088832
1592906625327585199,-51.2046664953,45,2,8.203355904
1592906625525591287,-99.3741899729,45,2,8.40136192
1592906625726144335,-100.0,45,2,8.60191488
1592906625924761129,-100.0,45,2,8.800531712
1592906626125826341,-100.0,45,2,9.001596928
1592906626328421042,-100.0,45,2,9.204191744
1592906626524981563,-100.0,45,2,9.400752128
1592906626726795802,-100.0,45,2,9.6025664
1592906626928637499,-100.0,45,2,9.804408064
1592906627124710141,-100.0,45,2,10.000480768
1592906627331080456,-100.0,45,2,10.206851072
1592906627526017324,-100.0,45,2,10.401787904
1592906627727696915,-100.0,45,2,10.60346752
1592906627928349383,-100.0,45,2,10.804120064
1592906628125691080,-100.0,45,2,11.00146176
1592906628325991466,-100.0,45,2,11.201762048
1592906628526209477,-100.0,45,2,11.40198016
1592906628726216927,-100.0,45,2,11.601987584
1592906628924777676,-100.0,45,2,11.800548352
1592906629125836752,-100.0,45,2,12.001607424
1592906629324838798,-100.0,45,2,12.200609536
1592906629529447935,-100.0,45,2,12.40521856
1592906629727738611,-100.0,45,2,12.603509248
1592906629925763773,-100.0,45,2,12.801534464
1592906630127364238,-100.0,45,2,13.003134976
1592906630324938402,-52.1914735436,45,2,13.20070912
1592906630525005878,-3.68369510397,45,2,13.400776448
1592906630725735362,12.1418992057,45,2,13.601506048
1592906630928334029,18.8529435545,45,2,13.804104704
1592906631127401000,13.9863193035,45,2,14.003171584
1592906631325885859,0.348861562088,45,2,14.201656576
1592906631526444729,1.16762984544,45,2,14.402215424
1592906631727467512,22.209931165,45,2,14.603238144
1592906631926020349,74.5209157467,45,2,14.801790976
1592906632126025242,100.0,45,2,15.00179584
1592906632326139601,100.0,45,2,15.201910272
1592906632524989453,100.0,45,2,15.400760064
1592906632725438609,100.0,45,2,15.601209344
1592906632926873312,41.6120961308,45,2,15.802643968
1592906633125445054,26.2318179011,45,2,16.001215744
1592906633326937071,27.6037342846,45,2,16.202707712
1592906633527105166,31.7023098469,45,2,16.402875904
1592906633726364486,51.309786737,45,2,16.60213504
1592906633926817726,75.1339867711,45,2,16.802588416
1592906634125933240,100.0,45,2,17.001703936
1592906634328322609,100.0,45,2,17.204093184
1592906634528454902,100.0,45,2,17.404225536
1592906634726110450,86.0408619046,45,2,17.601881088
1592906634926632563,65.1947781444,45,2,17.802403072
1592906635124972226,46.7613562942,45,2,18.000742912
1592906635325769274,41.5972173214,45,2,18.20153984
1592906635529419097,50.1359030604,45,2,18.405189632
1592906635726838852,69.6952268481,45,2,18.602609408
1592906635924534746,84.3679010868,45,2,18.800305408
1592906636124862605,84.2044577003,45,2,19.000633344
1592906636327398581,68.6394795775,45,2,19.20316928
1592906636526633528,37.4684110284,45,2,19.402404096
1592906636726541076,2.43926793337,45,2,19.60231168
1592906636926309152,-31.3610769808,45,2,19.802079744
1592906637134434050,-61.1629709601,45,2,20.010204672
1592906637324656897,-72.7479755878,45,2,20.20042752
1592906637527052674,-73.1235221028,45,2,20.402823424
1592906637727243841,-72.7397501469,45,2,20.6030144
1592906637926383884,-63.6379644275,45,2,20.802154496
1592906638124409165,-63.5063573718,45,2,21.000179712
1592906638371303505,-83.8855803013,45,2,21.247074048
1592906638526603268,-100.0,45,2,21.402373888
1592906638726632586,-100.0,45,2,21.602403328
1592906638925554431,-100.0,45,2,21.801325056
1592906639127338459,-100.0,45,2,22.00310912
1592906639328060166,-100.0,45,2,22.203830784
1592906639525319536,-100.0,45,2,22.401090048
1592906639728292303,-100.0,45,2,22.604062976
1592906639925921255,-100.0,45,2,22.801691904
1592906640125432288,-100.0,45,2,23.001202944
1592906640326938540,-100.0,45,2,23.202709248
1592906640526001727,-100.0,45,2,23.401772288
1592906640726639463,-100.0,45,2,23.602409984
1592906640928420293,-100.0,45,2,23.804190976
1592906641126100259,-100.0,45,2,24.001870848
1592906641326313095,-100.0,45,2,24.20208384
1592906641526568522,-100.0,45,2,24.402339072
1592906641726612985,-100.0,45,2,24.602383616
1592906641927154783,-100.0,45,2,24.802925312
1592906642126094698,-100.0,45,2,25.001865216
1592906642328932959,-100.0,45,2,25.204703488
1592906642526920993,-100.0,45,2,25.402691584
1592906642727046981,-100.0,45,2,25.602817536
1592906642925756969,-100.0,45,2,25.801527552
1592906643129154159,-100.0,45,2,26.004924672
1592906643325813675,-100.0,45,2,26.201584384
1592906643526539988,-100.0,45,2,26.402310656
1592906643725420762,-100.0,45,2,26.601191424
1592906643927579025,-100.0,45,2,26.80334976
1592906644131326149,-100.0,45,2,27.007096832
1592906644327408190,-100.0,45,2,27.203178752
1592906644528207923,-100.0,45,2,27.403978496
1592906644728506765,-100.0,45,2,27.604277504
1592906644925696969,-100.0,45,2,27.801467648
1592906645125634400,-100.0,45,2,28.001404928
1592906645326979125,-100.0,45,2,28.202749696
1592906645526414793,-100.0,45,2,28.402185472
1592906645728068720,-100.0,45,2,28.603839232
1592906645927021844,-100.0,45,2,28.802792448
1592906646125976623,-100.0,45,2,29.0017472
1592906646329960264,-100.0,45,2,29.205730816
1592906646527294706,-80.3811475635,45,2,29.403065344
1592906646726321098,-38.6846289039,45,2,29.602091776
1592906646985925602,-22.8813644499,45,2,29.861696256
1592906647125801321,-17.670750618,45,2,30.00157184
1592906647326391889,-22.0259949565,45,2,30.202162432
1592906647526813040,-40.1372611523,45,2,30.402583552
1592906647727755802,-35.5514064431,45,2,30.6035264
1592906647927242397,-3.68217751384,45,2,30.80301312
1592906648127247138,23.6413348466,45,2,31.003017728
1592906648330078262,68.8834637403,45,2,31.205848832
1592906648527573239,100.0,45,2,31.403343872
1592906648726766354,100.0,45,2,31.60253696
1592906648924614388,100.0,45,2,31.800385024
1592906649127811369,100.0,45,2,32.003581952
1592906649327082519,100.0,45,2,32.20285312
1592906649528339708,100.0,45,2,32.404110336
1592906649727356010,100.0,45,2,32.603126528
1592906649926825167,100.0,45,2,32.80259584
1592906650126615864,100.0,45,2,33.002386432
1592906650326102570,100.0,45,2,33.201873152
1592906650526180320,100.0,45,2,33.401950976
1592906650997543402,100.0,45,2,33.873314048
1592906651001707816,100.0,45,2,33.8774784
1592906651126110460,83.6102366447,45,2,34.001881088
1592906651326998300,66.3309469819,45,2,34.202768896
1592906651529777099,57.6004162431,45,2,34.405547776
1592906651725972177,55.1329404116,45,2,34.601742848
1592906651943147051,60.0712373853,45,2,34.818917632
1592906652128432698,64.1471743584,45,2,35.004203264
1592906652326853678,65.4513984919,45,2,35.202624256
1592906652528109718,53.8589954376,45,2,35.403880448
1592906652727221260,16.3493584841,45,2,35.602991872
1592906652927463759,-19.7818037122,45,2,35.803234304
1592906653126193021,-44.4336086512,45,2,36.00196352
1592906653326384591,-67.5615742803,45,2,36.202155264
1592906653529144564,-75.0191509724,45,2,36.4049152
1592906653727446727,-77.9960379004,45,2,36.603217408
