%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1592906617225781948,209.119201256,1143.77301335,3.27451441268,-3.0920674771e-14,3.0249654787e-13,2.3766194187e-14,1.3434958983e-15,-8.92823548383e-15,3.36292359861e-17,0.0
1592906617325917491,209.119201256,1143.77301335,3.27451441268,-3.07862807856e-14,3.01603429289e-13,2.37695582218e-14,1.3434958983e-15,-6.08512535066e-15,3.36292359861e-17,0.100135424
1592906617426206991,209.119201256,1143.77301335,3.27451441268,-3.06520197306e-14,3.00995317757e-13,2.37729189293e-14,1.3434958983e-15,-6.08512535066e-15,3.36292359861e-17,0.20042496
1592906617525590421,209.119201256,1143.77301335,3.27451441268,-3.05177452225e-14,3.00387145292e-13,2.37762799735e-14,1.3434958983e-15,-6.08512535066e-15,3.36292359861e-17,0.299808512
1592906617626624972,209.119201256,1143.77301335,3.27451441268,-3.03835190818e-14,2.99779191897e-13,2.3779639807e-14,1.3434958983e-15,-6.08512535066e-15,3.36292359861e-17,0.400843008
1592906617725853254,209.119201256,1143.77301335,3.27451441268,-3.02492407299e-14,2.99171002022e-13,2.37830009475e-14,1.3434958983e-15,-6.08512535066e-15,3.36292359861e-17,0.500071168
1592906617830579628,209.119201256,1143.77301335,3.27451441268,-3.011497455e-14,2.98562867277e-13,2.37863617832e-14,1.3434958983e-15,-6.08512535066e-15,3.36292359861e-17,0.604797696
1592906617928285118,209.119201256,1143.77301335,3.27451441268,-2.99805924162e-14,2.9795420734e-13,2.37897255214e-14,1.3434958983e-15,-6.08512535066e-15,3.36292359861e-17,0.702503168
1592906618025594659,209.119201256,1143.77301335,3.27451441268,-2.98464524401e-14,2.97346644213e-13,2.37930831982e-14,1.3434958983e-15,-6.08512535066e-15,3.36292359861e-17,0.799812608
1592906618125235673,209.119201256,1143.77301335,3.27451441268,-2.97123243156e-14,2.96739134766e-13,2.37964405782e-14,1.3434958983e-15,-6.08512535066e-15,3.36292359861e-17,0.899453696
1592906618225476902,209.119201256,1143.77301335,3.27451441268,-2.95779988775e-14,2.96130731621e-13,2.37998028973e-14,1.3434958983e-15,-6.08512535066e-15,3.36292359861e-17,0.999694848
1592906618326133435,209.119201256,1143.77301335,3.27451441268,-2.94435068759e-14,2.95521574058e-13,2.38031693856e-14,6.32199980842e-16,-6.08512535066e-15,3.36292359861e-17,1.100351488
1592906618427224510,209.119201256,1143.77301335,3.27451441268,-2.93803203998e-14,2.94913384182e-13,2.3806530526e-14,-7.7965994663e-17,-6.08512535066e-15,3.36292359861e-17,1.20144256
1592906618531378088,209.119201256,1143.77301335,3.27451441268,-2.93881134972e-14,2.94305144979e-13,2.38098919391e-14,-7.88189568409e-16,-6.08512535066e-15,3.36292359861e-17,1.30559616
1592906618626170456,209.119201256,1143.77301335,3.27451441268,-2.94668765669e-14,2.93697063914e-13,2.38132524782e-14,-1.49822848897e-15,-6.08512535066e-15,3.36292359861e-17,1.400388352
1592906618726666015,209.119201256,1143.77301335,3.27451441268,-2.96166935576e-14,2.93088575172e-13,2.38166152703e-14,-2.20874344205e-15,-6.08512535066e-15,3.36292359861e-17,1.500883968
1592906618826369276,209.119201256,1143.77301335,3.27451441268,-2.98373733737e-14,2.92480598565e-13,2.38199752321e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,1.600587264
1592906618925697728,209.119201256,1143.77301335,3.27451441268,-2.99869053218e-14,2.91873509852e-13,2.3823330287e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,1.699915776
1592906619026574734,209.119201256,1143.77301335,3.27451441268,-3.01370322543e-14,2.91264005545e-13,2.38266986916e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,1.800792832
1592906619126792515,209.119201256,1143.77301335,3.27451441268,-3.0286765032e-14,2.90656101479e-13,2.38300582525e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,1.901010432
1592906619225098683,209.119201256,1143.77301335,3.27451441268,-3.04362190781e-14,2.90049329041e-13,2.38334115595e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,1.999316736
1592906619326065141,209.119201256,1143.77301335,3.27451441268,-3.0586458218e-14,2.89439369181e-13,2.38367824817e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,2.100283136
1592906619426046810,209.119201256,1143.77301335,3.27451441268,-3.07363918252e-14,2.88830649761e-13,2.38401465486e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,2.200264704
1592906619525950199,209.119201256,1143.77301335,3.27451441268,-3.08858716004e-14,2.88223772866e-13,2.38435004329e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,2.300168192
1592906619625807426,209.119201256,1143.77301335,3.27451441268,-3.10358473748e-14,2.87614882251e-13,2.3846865446e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,2.400025344
1592906619725933481,209.119201256,1143.77301335,3.27451441268,-3.11854168443e-14,2.87007641203e-13,2.38502213427e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,2.500151552
1592906619825683157,209.119201256,1143.77301335,3.27451441268,-3.13353772527e-14,2.86398812972e-13,2.3853586011e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,2.599901184
1592906619925597723,209.119201256,1143.77301335,3.27451441268,-3.14852944219e-14,2.85790160289e-13,2.38569497091e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,2.69981568
1592906620025931837,209.119201256,1143.77301335,3.27451441268,-3.16351365481e-14,2.85181812275e-13,2.38603117235e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,2.80014976
1592906620126051119,209.119201256,1143.77301335,3.27451441268,-3.17849772448e-14,2.84573470065e-13,2.38636737058e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,2.900269056
1592906620226296872,209.119201256,1143.77301335,3.27451441268,-3.19346603511e-14,2.83965767661e-13,2.38670321523e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.000514816
1592906620326059743,209.119201256,1143.77301335,3.27451441268,-3.20847887131e-14,2.83356257551e-13,2.38704005889e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.10027776
1592906620425571668,209.119201256,1143.77301335,3.27451441268,-3.22343220905e-14,2.82749163034e-13,2.38737556759e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.199789568
1592906620525777826,209.119201256,1143.77301335,3.27451441268,-3.2384221035e-14,2.82140584343e-13,2.38771189651e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.299995904
1592906620625950437,209.119201256,1143.77301335,3.27451441268,-3.25341789419e-14,2.81531766268e-13,2.38804835773e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.400168448
1592906620725199357,209.119201256,1143.77301335,3.27451441268,-3.2683600112e-14,2.80925127305e-13,2.38838361466e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.499417344
1592906620826171254,209.119201256,1143.77301335,3.27451441268,-3.2833776716e-14,2.80315421336e-13,2.38872056657e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.60038912
1592906620928061969,209.119201256,1143.77301335,3.27451441268,-3.29835141391e-14,2.79707498409e-13,2.38905653308e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.702279936
1592906621026512157,209.119201256,1143.77301335,3.27451441268,-3.31332801501e-14,2.79099459417e-13,2.38939256374e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.800730112
1592906621125222191,209.119201256,1143.77301335,3.27451441268,-3.32829528933e-14,2.78491799086e-13,2.38972838513e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.899440128
1592906621225543435,209.119201256,1143.77301335,3.27451441268,-3.34329912035e-14,2.77882654579e-13,2.39006502675e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,3.999761408
1592906621328932093,209.119201256,1143.77301335,3.27451441268,-3.35825081429e-14,2.772756268e-13,2.39040049857e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,4.10315008
1592906621426248616,209.119201256,1143.77301335,3.27451441268,-3.37326515135e-14,2.76666055756e-13,2.39073737591e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,4.200466688
1592906621525696289,209.119201256,1143.77301335,3.27451441268,-3.38824593343e-14,2.7605784702e-13,2.39107350037e-14,-1.49882649423e-15,-6.08512535066e-15,3.36292359861e-17,4.29991424
1592906621626394428,209.119201256,1143.77301335,3.27451441268,-3.40321774606e-14,2.75450002437e-13,2.39140942359e-14,-1.49882649423e-15,-3.24607419937e-15,3.36292359861e-17,4.400612352
1592906621725483608,209.119201256,1143.77301335,3.27451441268,-3.41818069647e-14,2.75125943265e-13,2.39174514797e-14,-1.49882649423e-15,-4.08703561446e-16,3.36292359861e-17,4.499701504
1592906621826992126,209.119201256,1143.77301335,3.27451441268,-3.43318592115e-14,2.75085026662e-13,2.39208182086e-14,-1.49882649423e-15,2.43668339629e-15,3.36292359861e-17,4.601210112
1592906621925291762,209.119201256,1143.77301335,3.27451441268,-3.44814944331e-14,2.75328292752e-13,2.39241755806e-14,-1.49882649423e-15,5.27416245443e-15,3.36292359861e-17,4.69950976
1592906622026050698,209.119201256,1143.77301335,3.27451441268,-3.4631547752e-14,2.75856309559e-13,2.39275423335e-14,-1.49882649423e-15,8.11956974095e-15,3.36292359861e-17,4.8002688
1592906622126902648,209.119201256,1143.77301335,3.27451441268,-3.47813884487e-14,2.76668039264e-13,2.39309043158e-14,-1.49882649423e-15,8.11956974095e-15,3.36292359861e-17,4.901120512
1592906622226509390,209.119201256,1143.77301335,3.27451441268,-3.49311948401e-14,2.77479583126e-13,2.39342655284e-14,-1.49882649423e-15,5.27884485256e-15,3.36292359861e-17,5.000727296
1592906622326799303,209.119201256,1143.77301335,3.27451441268,-3.50810055196e-14,2.78007214135e-13,2.39376268372e-14,-1.49882649423e-15,5.27884485256e-15,3.36292359861e-17,5.101017344
1592906622426046353,209.119201256,1143.77301335,3.27451441268,-3.5230796545e-14,2.78534775921e-13,2.3940987705e-14,-1.49882649423e-15,5.27884485256e-15,-1.253012836e-16,5.200264448
1592906622526363412,209.119201256,1143.77301335,3.27451441268,-3.53807151436e-14,2.79062787019e-13,2.39284545713e-14,-1.49882649423e-15,5.27884485256e-15,-2.84367160331e-16,5.300581376
1592906622626153931,209.119201256,1143.77301335,3.27451441268,-3.55301959908e-14,2.79589256363e-13,2.39000940879e-14,-1.49882649423e-15,5.27884485256e-15,-1.25765744389e-16,5.400371968
1592906622729282123,209.119201256,1143.77301335,3.27451441268,-3.56800952927e-14,2.80117199498e-13,2.38875161161e-14,-1.49882649423e-15,5.27884485256e-15,-1.25765744389e-16,5.503500032
