%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1.59290612630581E+018,100,45,2,0
1.59290612646319E+018,100,45,2,0.157383168
1.59290612661474E+018,37.2226238251,45,2,0.30892672
1.59290612705392E+018,-54.3992817402,45,2,0.7481088
1.59290612705401E+018,-75.4742771387,45,2,0.74820352
1.59290612722785E+018,-69.6607083082,45,2,0.92204416
1.59290612739243E+018,-27.7923103422,45,2,1.086616064
1.59290612767757E+018,70.9113106132,45,2,1.371764736
1.59290612784722E+018,100,45,2,1.54141184
1.59290612799344E+018,100,45,2,1.687630848
1.59290612801342E+018,0,0,0,1.70761472
1.59290612821656E+018,99.9545454979,45,2,1.91074816
1.5929061284101E+018,66.891849041,45,2,2.104285696
1.59290612900849E+018,6.6226134077,45,2,2.702684416
1.59290612900851E+018,-31.0122184455,45,2,2.702700032
1.59290612901275E+018,-59.3557804823,45,2,2.706942464
1.59290612919315E+018,-53.6588802934,45,2,2.887342336
1.5929061293952E+018,8.3005446941,45,2,3.089393664
1.59290612959795E+018,72.7791115642,45,2,3.29214336
1.59290612979574E+018,99.0454107523,45,2,3.48992896
1.59290613000092E+018,67.2248974442,45,2,3.695105536
1.59290613019284E+018,8.2305539399,45,2,3.887026944
1.59290613039822E+018,-53.2836690545,45,2,4.09241216
1.59290613059822E+018,-100,45,2,4.292408576
1.59290613080056E+018,-100,45,2,4.494746624
1.59290613099558E+018,-100,45,2,4.689765888
1.59290613119302E+018,-99.7111871839,45,2,4.887213568
1.59290613139681E+018,-16.3922384381,45,2,5.090998016
1.59290613159505E+018,39.9714335799,45,2,5.28924288
1.59290613179291E+018,43.0068746209,45,2,5.487099904
1.59290613199318E+018,-7.8799463809,45,2,5.687367424
1.59290613219288E+018,-74.4344517589,45,2,5.887072768
1.59290613239298E+018,-100,45,2,6.08716672
1.59290613259286E+018,-100,45,2,6.2870464
1.59290613279241E+018,-100,45,2,6.486601216
1.59290613299331E+018,-100,45,2,6.687502848
1.59290613319256E+018,-52.4617731571,45,2,6.886747648
1.59290613339302E+018,6.0488004237,45,2,7.08721408
1.59290613359445E+018,-2.3007388227,45,2,7.288637696
1.59290613379205E+018,-64.8465678096,45,2,7.48624256
1.59290613399214E+018,-100,45,2,7.68633216
1.59290613419255E+018,-100,45,2,7.88674176
1.59290613439286E+018,-100,45,2,8.087052544
1.5929061345932E+018,-100,45,2,8.287386624
1.59290613479375E+018,-100,45,2,8.487935744
1.59290613499294E+018,-64.4314065576,45,2,8.687134208
1.59290613519429E+018,13.8840675354,45,2,8.888481792
1.59290613539542E+018,39.3255725503,45,2,9.0896128
1.59290613559332E+018,-2.1243446972,45,2,9.2875072
1.59290613579241E+018,-75.4002779722,45,2,9.48659968
1.59290613599336E+018,-100,45,2,9.6875456
1.59290613619507E+018,-100,45,2,9.88925952
1.59290613639513E+018,-100,45,2,10.089315328
1.59290613659297E+018,-100,45,2,10.287156736
1.59290613679338E+018,-20.9256391972,45,2,10.487569664
1.59290613699377E+018,46.4346259832,45,2,10.687962624
1.59290613719363E+018,72.0379278064,45,2,10.887822848
1.59290613739305E+018,40.9732758999,45,2,11.087238144
1.59290613759382E+018,-40.4851660132,45,2,11.288011264
1.59290613779313E+018,-100,45,2,11.48732032
1.59290613799402E+018,-100,45,2,11.688214528
1.59290613819509E+018,-100,45,2,11.88928
1.59290613840568E+018,-94.2744612694,45,2,12.09987328
1.59290613859265E+018,-32.1458801627,45,2,12.286843136
1.59290613879326E+018,39.6512746811,45,2,12.487450624
1.59290613899258E+018,80.6039869785,45,2,12.686773504
1.59290613919222E+018,78.2278999686,45,2,12.886409728
1.59290613940218E+018,49.1238832474,45,2,13.096369664
1.59290613959427E+018,12.272127904,45,2,13.28845824
1.59290613979311E+018,-19.1989168525,45,2,13.487300096
1.59290613999438E+018,-17.5608694553,45,2,13.688573696
1.59290614019376E+018,19.0969798714,45,2,13.88795264
1.59290614039253E+018,57.9361990094,45,2,14.08672
1.59290614059238E+018,88.2099419832,45,2,14.286569984
1.59290614079476E+018,100,45,2,14.488945664
1.59290614099296E+018,80.7001292706,45,2,14.687147008
1.59290614119374E+018,40.569677949,45,2,14.887925248
1.59290614139283E+018,-2.9346528463,45,2,15.087017472
1.59290614159293E+018,-36.111690104,45,2,15.28711936
1.59290614179377E+018,-44.342443347,45,2,15.487958016
1.59290614199441E+018,-25.4853889346,45,2,15.6886016
1.59290614219365E+018,-2.4895058014,45,2,15.88784256
1.59290614239353E+018,25.841968134,45,2,16.087724032
1.5929061425934E+018,48.8067269325,45,2,16.28759296
1.59290614279546E+018,39.282977581,45,2,16.48964736
1.59290614299459E+018,-3.6116554402,45,2,16.688781824
1.59290614319359E+018,-60.0549578667,45,2,16.887775232
1.59290614339353E+018,-100,45,2,17.0877248
1.5929061435932E+018,-100,45,2,17.28738688
1.59290614379324E+018,-100,45,2,17.487434496
1.59290614399292E+018,-100,45,2,17.68710528
1.5929061441926E+018,-87.9037901759,45,2,17.88678656
1.59290614439299E+018,-74.442602694,45,2,18.08718208
1.59290614459423E+018,-73.5901594162,45,2,18.28842368
1.59290614479281E+018,-100,45,2,18.486995968
1.59290614499357E+018,-100,45,2,18.687758848
1.59290614519283E+018,-100,45,2,18.88701952
1.5929061453937E+018,-100,45,2,19.08789376
1.59290614559422E+018,-100,45,2,19.288408576
1.5929061457928E+018,-100,45,2,19.486991616
1.59290614599476E+018,-100,45,2,19.688947712
1.59290614619262E+018,-100,45,2,19.886814976
1.59290614639259E+018,-100,45,2,20.086782464
1.59290614659387E+018,-100,45,2,20.28806144
1.59290614679782E+018,-100,45,2,20.492007936
1.59290614699253E+018,-100,45,2,20.686722048
1.59290614719544E+018,-100,45,2,20.889633024
1.59290614740133E+018,-100,45,2,21.095515648
1.59290614759524E+018,-100,45,2,21.28942592
1.59290614779399E+018,-100,45,2,21.488180224
1.59290614799411E+018,-88.5274484754,45,2,21.688302592
1.59290614819905E+018,-79.7932296991,45,2,21.893237504
1.59290614839461E+018,-92.8481072187,45,2,22.088804096
1.59290614861042E+018,-100,45,2,22.304611328
1.59290614880195E+018,-100,45,2,22.496135936
1.59290614899254E+018,-100,45,2,22.686729728
