%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1.59110974644609E+018,176.575668532,1150.9436211,25.9467576873,7.481355006E-07,6.72100462534E-07,2.43705629785E-14,-4.13823473905E-07,-3.71765425674E-07,-1.36869200868E-15,0
1.59110974654513E+018,176.575668606,1150.94362117,25.9467576873,7.06770952052E-07,6.34939909862E-07,2.42337526461E-14,-0.000000391,-3.51287985329E-07,-1.36869200868E-15,0.09904
1.59110974665095E+018,176.575668677,1150.94362123,25.9467576873,6.67657886225E-07,5.9980201569E-07,2.40968480067E-14,-3.69470799294E-07,-3.31920435112E-07,-1.36869200868E-15,0.204859904
1.591109746745E+018,176.575668744,1150.94362129,25.9467576873,6.30726697497E-07,5.66624248313E-07,2.39600376742E-14,-3.49109888263E-07,-3.1362886032E-07,-1.36869200868E-15,0.298909952
1.59110974689124E+018,176.575668807,1150.94362135,25.9467576873,5.95817822822E-07,5.35263261565E-07,2.38231767619E-14,-3.29859298017E-07,-2.96334763168E-07,-1.36869200868E-15,0.445149952
1.59110974696065E+018,176.575668866,1150.9436214,25.9467576873,5.62886346531E-07,5.05678704494E-07,2.36865335062E-14,-3.11694812629E-07,-0.00000028,-1.36869200868E-15,0.51456
1.59110974704808E+018,176.575668923,1150.94362145,25.9467576873,5.31667624921E-07,4.77632830162E-07,2.35494480846E-14,-2.94470974169E-07,-2.64543057175E-07,-1.36869200868E-15,0.601989888
1.59110974714507E+018,176.575668976,1150.9436215,25.9467576873,5.02277353334E-07,4.51229574905E-07,2.34128430084E-14,-2.78252085167E-07,-0.00000025,-1.36869200868E-15,0.698980096
1.59110974725077E+018,176.575669026,1150.94362154,25.9467576873,4.74446532414E-07,4.26227278592E-07,2.32759462008E-14,-2.6289017615E-07,-2.36171909757E-07,-1.36869200868E-15,0.804679936
1.59110974734597E+018,176.575669073,1150.94362159,25.9467576873,4.48161990001E-07,4.02614107991E-07,2.31391002993E-14,-2.4837838833E-07,-2.23134996624E-07,-1.36869200868E-15,0.899879936
1.59110974744606E+018,176.575669118,1150.94362163,25.9467576873,4.2334650005E-07,3.80320685831E-07,2.30023542522E-14,-2.34674493406E-07,-2.1082387182E-07,-1.36869200868E-15,0.999970048
1.5911097475449E+018,176.575669161,1150.94362166,25.9467576873,3.99898040397E-07,3.59255358361E-07,2.28655958048E-14,-2.21722532923E-07,-1.99188255479E-07,-1.36869200868E-15,1.098810112
1.59110974764572E+018,176.575669201,1150.9436217,25.9467576873,3.7772427523E-07,3.39335174594E-07,2.27287172712E-14,-2.09471855605E-07,-1.88182647613E-07,-1.36869200868E-15,1.19963008
1.59110974774491E+018,176.575669238,1150.94362173,25.9467576873,3.56767670611E-07,3.2050844806E-07,2.25917865261E-14,-1.9789100271E-07,-1.77778789228E-07,-1.36869200868E-15,1.298820096
1.59110974784594E+018,176.575669274,1150.94362177,25.9467576873,0.000000337,3.02731984822E-07,2.24549282243E-14,-0.000000187,-0.000000168,-9.65714454159E-17,1.399849984
1.59110974795542E+018,176.575669308,1150.9436218,25.9467576873,3.18305919951E-07,0.000000286,2.24452820026E-14,-1.76629468551E-07,-1.5867812584E-07,1.17421147077E-15,1.50932992
1.59110974804463E+018,176.575669339,1150.94362183,25.9467576873,3.00652001855E-07,2.70095970589E-07,2.25626431276E-14,-1.66867123443E-07,-1.49907951246E-07,2.44578302243E-15,1.598540032
1.59110974814594E+018,176.57566937,1150.94362185,25.9467576873,0.000000284,2.55092430281E-07,2.28074293704E-14,-1.57629726372E-07,-1.41609373963E-07,2.44578302243E-15,1.699849984
