%time,field.port,field.star,secs_since_start
1.59290612630567E+018,-143.334825544,-30.2602344573,0
1.59290612646311E+018,-142.34211219,-30.4365455454,0.15743744
1.59290612661472E+018,-142.124707269,-32.6975259909,0.30905088
1.59290612708223E+018,-140.345893782,-35.9492151302,0.776557312
1.59290612708285E+018,-139.808685744,-35.9933415674,0.777178624
1.59290612722775E+018,-139.680619697,-35.9684113769,0.922075648
1.59290612739162E+018,-139.458228737,-34.6242882048,1.085947392
1.59290612767755E+018,-141.753923619,-31.6995499758,1.3718784
1.59290612784716E+018,-142.937185591,-29.4195440384,1.541493248
1.5929061279932E+018,-142.970312009,-28.557551967,1.687529472
1.59290612821108E+018,-143.049856392,-29.1878230406,1.905411072
1.59290612840939E+018,-143.068092997,-30.1375949957,2.103724544
1.5929061290084E+018,-141.357745327,-32.103692269,2.702727936
1.59290612900843E+018,-141.401581481,-33.4409032896,2.702760192
1.59290612901274E+018,-141.058241532,-34.707264758,2.7070656
1.59290612919189E+018,-140.35049733,-34.8830430913,2.886216192
1.59290612939276E+018,-141.560588285,-33.0978809442,3.087087872
1.59290612959432E+018,-142.358627587,-31.1349767843,3.288649472
1.59290612979401E+018,-142.725053576,-29.8737106371,3.488338176
1.5929061299942E+018,-142.414498535,-30.2333337573,3.688527616
1.5929061301927E+018,-140.946882127,-31.854018119,3.887028224
1.59290613039413E+018,-140.519011757,-33.9274449849,4.088458496
1.592906130593E+018,-141.143796481,-36.4477847887,4.2873344
1.59290613080039E+018,-139.129710299,-38.1599800249,4.494723584
1.59290613099549E+018,-137.112823739,-38.8300898844,4.6898176
1.59290613119218E+018,-137.167096422,-37.2044775412,4.886514176
1.59290613139488E+018,-140.305650308,-34.1161289608,5.089207808
1.59290613159275E+018,-142.323288189,-32.0283723579,5.287079424
1.59290613179184E+018,-143.436335816,-31.2542626231,5.486172672
1.59290613199201E+018,-143.018697069,-32.6111138526,5.68634112
1.59290613219234E+018,-142.778943768,-35.1139342211,5.886665472
1.59290613239231E+018,-141.446209937,-37.4036287819,6.086636544
1.59290613259196E+018,-138.731660534,-39.539415275,6.286294016
1.59290613279204E+018,-137.968878668,-40.3224793878,6.486370304
1.59290613299282E+018,-139.341569106,-39.1745841356,6.68714752
1.59290613319135E+018,-140.497196133,-37.8190203966,6.88568192
1.59290613339152E+018,-141.263283811,-36.9128626146,7.085846272
1.59290613359311E+018,-139.261164119,-37.1844548416,7.287439616
1.59290613379162E+018,-139.644091845,-37.8611421733,7.485948928
1.59290613399159E+018,-140.40899107,-39.258510085,7.685917696
1.59290613419257E+018,-139.066845238,-40.9682840192,7.886904576
1.59290613439214E+018,-137.320652735,-42.0472216816,8.086465536
1.59290613459213E+018,-136.935061235,-41.922130182,8.286464512
1.59290613479235E+018,-137.708129366,-40.5407858941,8.486674944
1.59290613499219E+018,-139.67964981,-37.8661077208,8.686516224
1.59290613519263E+018,-142.186288254,-35.2311368522,8.886962688
1.59290613539525E+018,-142.909905816,-34.1888670603,9.0895808
1.59290613559225E+018,-143.861077959,-35.3456893699,9.286575872
1.5929061357919E+018,-142.182955122,-37.9957686169,9.486230272
1.59290613599212E+018,-138.522684066,-40.3539972958,9.686445312
1.59290613619241E+018,-136.96448569,-41.5425321736,9.886735872
1.59290613639321E+018,-136.966329841,-41.7752435488,10.087540224
1.59290613659193E+018,-138.652512302,-39.9271685293,10.286258432
1.59290613679177E+018,-139.922422054,-37.1763508222,10.486099712
1.59290613699234E+018,-142.595198019,-34.0086798398,10.686672384
1.59290613719252E+018,-145.436570375,-32.1226016477,10.88684544
1.59290613739187E+018,-146.64596465,-32.4247521411,11.086194688
1.59290613759308E+018,-145.854550631,-34.4624093064,11.2874048
1.59290613779215E+018,-144.904976751,-36.6362775192,11.48647552
1.59290613799307E+018,-144.656125639,-37.2637704134,11.687397376
1.59290613819406E+018,-145.26203172,-37.2448712799,11.888393728
1.59290613840561E+018,-146.297816248,-36.2231057159,12.099944448
1.59290613859222E+018,-149.446369531,-33.7171468755,12.286549504
1.59290613879224E+018,-152.356836079,-30.8646071611,12.486566912
1.59290613899255E+018,-154.39467766,-28.1522809851,12.686878208
1.59290613919194E+018,-155.170737414,-27.4341583108,12.886274048
1.59290613940214E+018,-155.548788384,-27.7075639531,13.096464896
1.59290613959294E+018,-155.454162943,-28.9018361899,13.287264768
1.59290613979218E+018,-154.812207124,-30.4233803558,13.4865088
1.59290613999313E+018,-154.532879707,-30.5308226466,13.687456768
1.59290614019242E+018,-154.541895557,-29.5164268567,13.886753536
1.59290614039187E+018,-154.616098732,-27.3108375378,14.086199296
1.59290614059178E+018,-154.062402617,-25.2026552543,14.286106624
1.59290614079342E+018,-153.145258476,-23.611827357,14.487749632
1.59290614099226E+018,-152.330690115,-22.8606909634,14.686586112
1.59290614119236E+018,-152.080131456,-23.4491390811,14.886689536
1.59290614139186E+018,-152.445573897,-25.2586884187,15.086194432
1.59290614159204E+018,-152.449945218,-26.880928356,15.286369536
1.59290614179247E+018,-152.879878306,-27.6033677098,15.48680192
1.59290614199314E+018,-153.446865969,-27.4566108502,15.68747136
1.5929061421927E+018,-153.769305539,-26.6477730185,15.8870336
1.5929061423924E+018,-154.039138993,-25.5505406944,16.086731776
1.59290614259202E+018,-154.267007764,-24.8306626615,16.286347264
1.59290614279343E+018,-154.616522204,-25.221293133,16.487761408
1.5929061429936E+018,-154.788520028,-27.0046316196,16.687932672
1.59290614319275E+018,-155.006088873,-29.1050479781,16.887079424
1.59290614339216E+018,-154.707595946,-31.479310526,17.086486272
1.59290614359266E+018,-153.717532705,-33.3923406446,17.28698496
1.59290614379239E+018,-153.169901798,-34.0832825811,17.486719488
1.59290614399191E+018,-153.50755903,-33.8453085451,17.686237696
1.59290614419202E+018,-153.310385129,-33.3394715653,17.886347776
1.59290614439207E+018,-153.64367104,-32.8291130004,18.086398976
1.5929061445937E+018,-154.282840142,-32.8994434583,18.288028416
1.59290614479205E+018,-153.948365779,-35.0977569181,18.486382336
1.59290614499268E+018,-153.048051223,-37.8677572115,18.687006208
1.59290614519202E+018,-151.456098052,-40.0279957818,18.886349312
1.59290614539235E+018,-148.880829867,-41.8208760427,19.086678528
1.59290614559349E+018,-147.941337347,-42.3533883262,19.2878208
1.59290614579167E+018,-147.855686775,-42.2762276792,19.4860032
1.59290614599388E+018,-147.676011818,-41.7803798511,19.68820864
1.59290614619244E+018,-148.257493143,-40.6791928474,19.886770176
1.59290614639256E+018,-149.223869288,-40.1872518876,20.086893568
1.59290614659186E+018,-149.27628416,-40.6530195625,20.286191616
1.59290614700359E+018,-146.806706322,-42.1389579523,20.697921536
1.5929061470036E+018,-144.048648614,-43.746569332,20.697931776
1.5929061471938E+018,-142.517620731,-44.4762794222,20.888130816
1.59290614739763E+018,-141.197618372,-44.6380626979,21.091961344
1.59290614759387E+018,-141.762297431,-43.7269940098,21.28820352
1.59290614779391E+018,-142.537892732,-42.1501492173,21.488242688
1.59290614799277E+018,-143.112516547,-40.7488197958,21.687096832
1.59290614819872E+018,-144.269769159,-39.9517811159,21.893052672
1.59290614839387E+018,-144.802414631,-40.1638243387,22.088199936
1.59290614860529E+018,-143.587515223,-41.1909959974,22.29961472
1.59290614879656E+018,-142.212598143,-42.487512751,22.49088512
1.59290614899251E+018,-140.622502783,-42.6899732183,22.686841344
1.59290614919971E+018,-139.63452958,-41.7522189811,22.894041088
1.59290614963236E+018,-139.287514989,-40.0958810319,23.326689536
1.59290614963239E+018,-140.406969334,-38.2346442378,23.326724352
1.59290614979314E+018,-140.369567218,-36.4045326158,23.487469312
1.59290615000434E+018,-139.38320594,-35.4208009602,23.698667008
1.59290615020856E+018,-140.013140626,-35.9626193765,23.902892544
1.59290615042714E+018,-139.392658921,-37.1616932362,24.121474048
1.59290615059413E+018,-138.431774249,-38.1681933274,24.288463872
1.5929061507932E+018,-139.330640804,-38.0939730768,24.48753152
1.5929061509931E+018,-137.546103619,-36.3914869544,24.687426048
1.59290615119367E+018,-137.670754571,-32.8813741928,24.888004608
1.59290615139404E+018,-139.952392924,-29.13490615,25.088370176
1.5929061515926E+018,-139.88328507,-27.0461403867,25.286925056
1.59290615179369E+018,-142.92557427,-27.0286670553,25.4880192
1.59290615199338E+018,-143.269528936,-28.029300014,25.687709696
1.59290615219267E+018,-141.664694028,-30.7477665301,25.887003392
1.59290615239473E+018,-140.772999172,-32.5160888458,26.089056
1.59290615259454E+018,-140.319952724,-33.0093753529,26.288871424
1.5929061527939E+018,-141.688080596,-31.9550673527,26.488230656
1.59290615299354E+018,-142.951843177,-30.2192225864,26.687873024
1.59290615319615E+018,-142.412367516,-28.3632330851,26.89047552
1.59290615339491E+018,-143.140274436,-26.7401376666,27.089235968
1.59290615359279E+018,-143.12310334,-26.8766150915,27.28712192
1.59290615379332E+018,-142.106525305,-28.1340529177,27.487650304
1.59290615399337E+018,-140.554337495,-30.2351540027,27.687694848
1.59290615419368E+018,-140.01437006,-31.7900055861,27.8880064
1.5929061543922E+018,-139.897765071,-32.3865747988,28.08653184
1.59290615459386E+018,-139.249102005,-32.6543284595,28.2881856
1.5929061547946E+018,-139.832960236,-31.7533684514,28.48893312
1.59290615499332E+018,-140.490639151,-30.0093820997,28.68764928
1.59290615519244E+018,-139.675770262,-29.1998270981,28.886770176
1.59290615539288E+018,-138.904177452,-29.5807569934,29.087205888
1.59290615559179E+018,-136.926414216,-31.8897161027,29.286115072
1.59290615579282E+018,-135.711282581,-34.3374373352,29.487149056
1.59290615599247E+018,-134.620637975,-35.7984557798,29.6868032
1.59290615619223E+018,-133.539050199,-37.2428256383,29.886556416
1.59290615639208E+018,-132.748086972,-38.0000784663,30.08640512
1.59290615659555E+018,-133.426720908,-37.1458881785,30.2898816
1.59290615679397E+018,-134.873232031,-35.1715639423,30.488299008
1.59290615699374E+018,-135.927690295,-33.7457278021,30.688073216
1.59290615719333E+018,-136.091027439,-33.4796168018,30.887659776
1.59290615739289E+018,-135.85097361,-34.324975655,31.087218688
1.59290615759224E+018,-135.183650468,-36.0594577985,31.286574592
1.59290615779399E+018,-134.101284051,-37.7467638254,31.488318976
1.59290615799308E+018,-132.258376069,-39.4510565328,31.687408896
1.59290615819216E+018,-131.313952152,-39.9752428157,31.886491136
1.5929061583936E+018,-132.232926784,-39.1094685271,32.087925248
1.59290615859333E+018,-133.721143042,-37.477254806,32.287661312
1.59290615879416E+018,-136.035579963,-35.4560105853,32.488488448
1.59290615899573E+018,-137.783193145,-34.6209892235,32.690057216
1.59290615919339E+018,-138.136218303,-35.2042737182,32.88771584
1.59290615939228E+018,-137.874581076,-37.1739465956,33.086607616
1.59290615959321E+018,-136.699269445,-40.2119771724,33.287542016
1.59290615979384E+018,-134.657083864,-41.9809039598,33.488170496
1.59290615999428E+018,-134.949525244,-42.0454390022,33.688610816
1.59290616019366E+018,-135.476829508,-41.2838011928,33.887990016
1.59290616039231E+018,-136.333116664,-40.4005689406,34.086638336
1.59290616059233E+018,-138.263191519,-38.8166583174,34.2866624
1.59290616079294E+018,-140.106331727,-37.9579840104,34.487269888
1.59290616099646E+018,-140.113831275,-38.4164194773,34.690786816
1.5929061611939E+018,-140.512659681,-39.5968127697,34.888230656
1.59290616139258E+018,-139.200757926,-41.1767277322,35.086906112
1.59290616159335E+018,-137.264249033,-42.5122516961,35.287681536
1.59290616179269E+018,-135.949956712,-43.2159865769,35.48701824
1.59290616199233E+018,-135.466720828,-42.9886266549,35.686655488
1.59290616219261E+018,-134.709567038,-42.6465195548,35.88694016
1.59290616239262E+018,-133.974105928,-42.2945974729,36.086949888
1.59290616259281E+018,-134.358481654,-41.8338534021,36.287139328
1.59290616279324E+018,-133.884357243,-42.0814580048,36.48756864
1.59290616299375E+018,-133.881802752,-42.3971698388,36.688078336
1.59290616319391E+018,-133.507904536,-42.8106558308,36.888237568
1.59290616339425E+018,-133.834633465,-42.8937894783,37.088576512
1.59290616359329E+018,-133.266389047,-42.3644668931,37.287616
1.59290616379187E+018,-132.7202198,-41.2865230232,37.486201856
1.59290616399223E+018,-136.013108641,-38.636150078,37.686564096
1.59290616419363E+018,-137.447707914,-36.4296506364,37.8879552
1.59290616439377E+018,-137.502404069,-34.9610882479,38.088100864
1.5929061645932E+018,-138.758831027,-34.1909297775,38.287528448
1.59290616479257E+018,-139.48972957,-34.9244716038,38.486896896
1.59290616499243E+018,-138.65279917,-36.8522617611,38.68676352
1.59290616519472E+018,-138.650176377,-37.9516592552,38.889048576
1.59290616539297E+018,-140.358338387,-36.5158646992,39.087297536
1.59290616559231E+018,-140.795511475,-34.1047840166,39.286637056
1.59290616579261E+018,-141.286506454,-30.3273137451,39.486939392
1.59290616599254E+018,-141.147074972,-27.832088547,39.686869504
1.59290616619241E+018,-142.68766512,-27.1137677973,39.88674176
1.59290616639385E+018,-142.73421969,-28.0343526464,40.088179712
1.59290616659276E+018,-141.865337665,-29.6238008455,40.28708608
1.59290616679383E+018,-139.967214434,-31.3428740823,40.488162304
1.59290616699343E+018,-139.440524887,-31.9316500491,40.687757056
1.59290616719431E+018,-139.891453976,-31.9336854455,40.888641792
1.59290616739509E+018,-139.65328528,-31.6612940863,41.089417472
1.59290616759303E+018,-141.921331556,-29.8290753508,41.287358464
1.5929061677939E+018,-142.382000495,-28.5656525714,41.488230912
1.59290616799459E+018,-141.614410175,-28.6298239062,41.688920576
1.59290616819317E+018,-141.857441966,-28.7166595162,41.88750464
1.59290616839408E+018,-140.503384284,-29.9139643569,42.08840832
1.59290616859427E+018,-138.883208772,-31.8184328334,42.28860032
1.59290616879321E+018,-137.100037625,-33.5769333371,42.487539712
1.5929061689927E+018,-137.253402692,-34.1324599431,42.687028224
1.5929061691944E+018,-137.784668466,-33.6368443414,42.888728576
1.59290616939283E+018,-138.319431297,-32.5716831706,43.087160576
1.59290616959297E+018,-139.294632046,-31.5580626072,43.287300608
1.59290616979384E+018,-139.831566877,-30.6766266948,43.48817408
1.59290616999353E+018,-139.37961326,-30.958730583,43.687858176
1.5929061701934E+018,-139.593152294,-31.6279422726,43.88772608
1.59290617039386E+018,-139.087936862,-33.2962979396,44.088191488
1.59290617059523E+018,-138.544062559,-35.4536985663,44.289564416
1.5929061707929E+018,-137.940915874,-37.4013714044,44.487233792
1.59290617099236E+018,-136.813675113,-38.6045467927,44.686688
1.59290617119272E+018,-136.896511648,-38.3030588276,44.887051776
1.59290617139299E+018,-137.928116099,-36.6717740123,45.08732288
1.59290617159404E+018,-138.719325213,-35.1459268272,45.288365568
1.59290617179462E+018,-140.271403739,-34.1918962492,45.488948736
1.5929061719929E+018,-140.393964654,-35.3519492382,45.687233024
1.59290617219322E+018,-139.380473864,-38.0429788844,45.887547136
1.59290617239415E+018,-138.065539505,-40.1694797353,46.08847744
1.59290617259319E+018,-136.49654943,-41.7083281855,46.287516416
1.59290617279241E+018,-135.925545616,-41.8894374816,46.486736896
1.59290617299257E+018,-136.859806211,-40.8771214843,46.686903808
1.59290617319366E+018,-138.33145243,-39.4724213645,46.88799104
1.59290617339419E+018,-139.385091072,-37.7322018621,47.088524288
1.59290617359317E+018,-142.201014142,-36.4192106923,47.287501056
1.59290617379588E+018,-142.833093508,-37.4223059342,47.49020544
1.5929061739928E+018,-140.727605734,-39.6977971165,47.687131136
1.59290617419497E+018,-138.506004744,-41.7494356791,47.889302272
1.5929061743937E+018,-137.179021932,-42.9195905179,48.088032768
1.59290617459344E+018,-135.386056294,-43.6834378935,48.287766528
1.59290617479259E+018,-134.876783729,-43.1456663643,48.486923776
1.59290617499356E+018,-136.471947089,-41.7363831876,48.687886848
1.59290617519606E+018,-137.704837215,-40.126972053,48.890388992
1.59290617539427E+018,-138.785496085,-39.2167264027,49.088604416
1.59290617559279E+018,-136.327229041,-40.3927688646,49.287117824
1.5929061757932E+018,-134.985957473,-41.9214744839,49.487528192
1.59290617599411E+018,-137.500710182,-42.2010546172,49.688435456
1.5929061761938E+018,-136.298200737,-42.7911897916,49.888128
1.59290617639338E+018,-133.995743968,-43.0061699958,50.08771072
1.59290617659254E+018,-135.440192373,-41.7744512469,50.286872576
1.59290617679421E+018,-137.652217438,-39.4138149263,50.48854272
1.59290617699477E+018,-136.281917566,-38.5493588642,50.689101312
1.59290617719312E+018,-136.583825588,-37.4632665786,50.887449856
1.59290617739237E+018,-138.55313305,-37.0661252293,51.086697472
1.59290617759776E+018,-138.60729645,-38.0259341474,51.292089344
1.59290617779414E+018,-137.733250802,-39.3565984317,51.488472064
1.59290617799473E+018,-139.021274215,-39.5629828427,51.689058816
1.59290617819274E+018,-138.047548787,-39.3062121261,51.887070976
1.59290617839353E+018,-136.899667195,-37.9871864842,52.087855872
1.59290617859407E+018,-138.746331781,-35.1689377345,52.288399616
1.5929061787936E+018,-141.760671846,-31.1635747864,52.487925248
