%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1592905712641258009,-100.0,45,2,0.0
1592905712642520068,18.4275368137,45,2,0.00126208
1592905712642555156,13.277726999,45,2,0.001297152
1592905712642613538,-93.9394672168,45,2,0.00135552
1592905712642672141,44.4614983906,45,2,0.001414144
1592905712642766422,-58.2968050177,45,2,0.001508352
1592905712642836824,49.1597660614,45,2,0.001578752
1592905712642916758,-62.539173745,45,2,0.00165888
1592905712642986005,49.5814907098,45,2,0.001728
1592905712643153369,45.0960634581,45,2,0.001895424
1592905712643212408,-88.4673407689,45,2,0.001954304
1592905712643353076,-32.151779351,45,2,0.002095104
1592905712643455106,-100.0,45,2,0.002197248
1592905712643665665,-44.8653856357,45,2,0.00240768
1592905712643684973,-87.0287541326,45,2,0.00242688
1592905712645416644,-30.5706235629,45,2,0.00415872
1592905712748840807,-30.9546536714,45,2,0.10758272
1592905712924148027,-65.2470225941,45,2,0.282889984
1592905713046140675,-42.2729001003,45,2,0.404882688
1592905713225691590,-47.982803531,45,2,0.584433664
1592905713351418183,-26.0260726458,45,2,0.710160128
1592905713528637511,-27.7538190264,45,2,0.887379456
1592905713645751396,-20.1724765857,45,2,1.004493312
1592905713749599104,-35.4498562985,45,2,1.108341248
1592905713928315436,-86.0368131212,45,2,1.287057408
1592905714044422643,-63.7613253692,45,2,1.403164672
1592905714227991582,-80.5124782334,45,2,1.586733568
1592905714355664124,-64.042594138,45,2,1.714406144
1592905714526601236,-88.2857023315,45,2,1.885343232
1592905714644078912,-72.2528017168,45,2,2.002820864
1592905714826975405,-36.9354818352,45,2,2.185717504
1592905714948967364,-59.1575176673,45,2,2.30770944
1592905715128156776,28.3441567001,45,2,2.486898688
1592905715259114373,-49.9433684906,45,2,2.617856512
1592905715425201576,-9.98609960025,45,2,2.78394368
1592905715546823382,-61.652175033,45,2,2.90556544
1592905715727360463,-89.7699797093,45,2,3.086102528
1592905715850446613,-82.8192369159,45,2,3.209188608
1592905716026833884,-91.7764044823,45,2,3.385575936
1592905716149466701,-82.7239708055,45,2,3.50820864
1592905716324350970,-73.415715244,45,2,3.683092992
1592905716449857794,-79.9245728384,45,2,3.808599808
1592905716627782499,24.266873736,45,2,3.986524416
1592905716749855270,-65.7338295445,45,2,4.108597248
1592905716928469931,65.001582627,45,2,4.287212032
1592905717054034575,-61.8640814738,45,2,4.412776704
1592905717227752519,-47.2916804361,45,2,4.586494464
1592905717351762424,-72.7912908715,45,2,4.710504448
1592905717526330134,-41.9264472019,45,2,4.885072128
1592905717637664063,-76.7980548899,45,2,4.996406016
1592905717824956732,-100.0,45,2,5.183698688
1592905717943082391,-91.5718366558,45,2,5.301824512
1592905718053909434,-89.7528491176,45,2,5.41265152
1592905718228385945,-75.7610768427,45,2,5.587128064
1592905718338571605,-79.4225283887,45,2,5.697313536
1592905718446502259,-64.6626332743,45,2,5.80524416
1592905718629836897,96.9126652168,45,2,5.988578816
1592905718743443898,-47.2280109178,45,2,6.102185984
1592905718925894143,45.4695428229,45,2,6.28463616
1592905719053671195,-61.9782303291,45,2,6.412413184
1592905719227190667,47.7843286118,45,2,6.5859328
1592905719349144259,-60.9807221736,45,2,6.707886336
1592905719456600185,-71.2859703075,45,2,6.81534208
1592905719626840465,-80.474051814,45,2,6.985582592
1592905719750422844,-88.2460597007,45,2,7.1091648
1592905719928294130,-100.0,45,2,7.28703616
1592905720047580039,-89.1120304481,45,2,7.406322176
1592905720228896827,-71.2551148931,45,2,7.587638784
1592905720348224563,-71.2209928534,45,2,7.706966528
1592905720527274768,60.9876704117,45,2,7.886016768
1592905720647404343,-45.5140060813,45,2,8.006146304
1592905720832688169,31.2089667938,45,2,8.191430144
1592905720950110902,-52.2078543695,45,2,8.308852992
1592905721125398058,27.9543952589,45,2,8.484140032
1592905721253369355,-60.4074822698,45,2,8.61211136
1592905721427707156,-91.5458677646,45,2,8.786449152
1592905721539237084,-80.5246763904,45,2,8.897979136
1592905721651028776,-79.764757173,45,2,9.009770752
1592905721826013480,-93.7237868367,45,2,9.184755456
1592905721942506141,-79.9753072194,45,2,9.301248256
1592905722126501270,-81.1844002653,45,2,9.485243392
1592905722250323863,-65.5167347409,45,2,9.609065984
1592905722425720504,-14.6624871306,45,2,9.784462592
1592905722541659426,-100.0,45,2,9.900401408
1592905722728020459,-14.6624871306,45,2,10.086762496
1592905722848962789,-100.0,45,2,10.207704832
1592905723028640158,-15.5354916479,45,2,10.387382272
1592905723145189011,-100.0,45,2,10.503931136
1592905723252207698,-100.0,45,2,10.610949632
1592905723437695855,-100.0,45,2,10.79643776
1592905723558221656,-100.0,45,2,10.916963584
1592905723728571104,-100.0,45,2,11.087313152
1592905723852440084,-100.0,45,2,11.21118208
1592905724026627300,-84.7385445104,45,2,11.385369344
1592905724147907685,-100.0,45,2,11.5066496
1592905724326323552,72.0759585824,45,2,11.685065472
1592905724448058378,17.5228438159,45,2,11.806800384
1592905724625718985,72.601279007,45,2,11.984461056
1592905724746811820,99.7499155217,45,2,12.10555392
1592905724850576980,100.0,45,2,12.209318912
1592905725027566863,-100.0,45,2,12.386308864
1592905725144071731,80.3444083365,45,2,12.502813696
1592905725326967374,-100.0,45,2,12.685709312
1592905725444826564,80.3444083365,45,2,12.80356864
1592905725625726058,-100.0,45,2,12.984467968
1592905725745504572,80.3444083365,45,2,13.104246528
1592905725927927127,-100.0,45,2,13.286669056
