%time,field.port,field.star,secs_since_start
1.59290571264266E+018,28.1578231899,32.1028317309,0
1.59290571264275E+018,58.1578231899,46.5713564572,0.00009216
1.5929057126428E+018,59.5817609912,48.9664961202,0.000146944
1.5929057126429E+018,89.5817609912,46.2097802322,0.000241408
1.59290571264297E+018,59.5817609912,27.4702521824,0.000312576
1.59290571264312E+018,89.5817609912,4.8275742355,0.0004672
1.59290571264318E+018,59.5817609912,8.5689970519,0.000526848
1.59290571274884E+018,29.5817609912,-3.7112393084,0.106181888
1.59290571292337E+018,-0.4182390088,-25.5450111662,0.280711936
1.59290571304317E+018,3.7827851359,3.2641669161,0.400518656
1.59290571322369E+018,-26.2172148641,-26.7358330839,0.581032192
1.59290571335099E+018,-0.6936056223,-0.6395194351,0.70833024
1.59290571352666E+018,-30.6936056223,-30.6395194351,0.884003328
1.5929057136449E+018,-14.9835380452,-15.0371097972,1.002246656
1.59290571374911E+018,-14.2801554836,-13.3316388268,1.106454528
1.59290571392631E+018,-44.2801554836,-27.7644565314,1.283653376
1.59290571404423E+018,-43.499248415,-25.9204388773,1.401575168
1.59290571422585E+018,-73.499248415,-55.9204388773,1.58318976
1.59290571435478E+018,-72.9379134838,-52.2180469195,1.712121088
1.59290571452543E+018,-98.0816744814,-53.3790354025,1.882774016
1.59290571464322E+018,-68.0816744814,-38.3371875341,2.000562688
1.59290571482573E+018,-75.4423634313,-68.3371875341,2.183077376
1.59290571494422E+018,-55.8648218363,-48.0945520889,2.301566976
1.592905715126E+018,-68.7226348,-78.0945520889,2.483341056
1.59290571525906E+018,-38.7226348,-48.0945520889,2.61640192
1.59290571542481E+018,-67.9887151727,-74.5701737344,2.782153728
1.59290571554354E+018,-46.1271457132,-44.5701737344,2.900884736
1.59290571572668E+018,-76.1271457132,-29.5399243934,3.084021248
1.59290571585037E+018,-50.5028788735,-31.0161940068,3.207710464
1.59290571602582E+018,-80.5028788735,-59.3928885098,3.383168
1.59290571614881E+018,-97.3435026934,-65.5950142721,3.5061504
1.59290571632275E+018,-102.83793166,-84.3876917242,3.680091648
1.592905716448E+018,-97.0009997169,-73.4541648841,3.805344
1.59290571662416E+018,-80.0611709644,-89.8212178077,3.981501696
1.59290571674941E+018,-70.3381595896,-61.0364446155,4.106757888
1.59290571692637E+018,-64.2731023708,-87.4180111882,4.283709696
1.59290571705281E+018,-39.432818761,-57.4180111882,4.4101504
1.59290571722625E+018,-44.8058436697,-38.4085640992,4.583595008
1.59290571735033E+018,-28.0830739581,-22.7778392977,4.707670784
1.59290571752622E+018,-58.0830739581,-52.7778392977,4.883567872
1.59290571763716E+018,-35.202991646,-29.4152176873,4.994504192
1.59290571782398E+018,-65.202991646,-22.2584591777,5.1813248
1.59290571794205E+018,-44.2501551176,-29.8486654709,5.29939584
1.59290571805388E+018,-55.1618038603,-37.3011469725,5.411219456
1.59290571822834E+018,-85.1618038603,-65.4371082336,5.5856832
1.59290571833851E+018,-86.2495271032,-62.4221672248,5.695851776
1.59290571844641E+018,-88.2850845401,-76.0338729319,5.80375168
1.59290571862767E+018,-72.6000367298,-105.511057674,5.98501504
1.592905718742E+018,-84.125952157,-82.7129596051,6.09934592
1.5929057189258E+018,-74.9197993053,-96.2761134714,6.283145216
1.59290571905341E+018,-73.8743170931,-66.2761134714,6.410756608
1.59290571922617E+018,-63.2366453092,-80.3691674936,6.58351616
1.59290571934911E+018,-40.015155145,-50.3691674936,6.706457088
1.59290571945368E+018,-41.6525765717,-35.1753381705,6.811020032
1.5929057196268E+018,-71.6525765717,-48.9566399998,6.984138496
1.59290571975036E+018,-41.6525765717,-26.4198065235,7.107702272
1.59290571992819E+018,-71.6525765717,-6.2545904856,7.285531392
1.59290572004753E+018,-41.6525765717,-24.1837878325,7.404870912
1.59290572022884E+018,-11.6525765717,5.8162121675,7.586188544
1.59290572034817E+018,-26.8694644952,-17.7500977868,7.705517312
1.59290572052663E+018,-56.8694644952,-47.7500977868,7.883971072
1.59290572064737E+018,-57.2774039308,-49.5046633232,8.004713984
1.59290572083167E+018,-27.2774039308,-19.5046633232,8.189015296
1.59290572094997E+018,-57.2774039308,-49.5046633232,8.307314688
1.59290572112418E+018,-83.6414031388,-79.5046633232,8.481525248
1.59290572125129E+018,-97.774916236,-78.521223978,8.608633856
1.59290572142653E+018,-127.774916236,-48.521223978,8.78387584
1.59290572153791E+018,-97.774916236,-31.6306023094,8.895253248
1.59290572164947E+018,-67.774916236,-22.8926260511,9.006809088
1.59290572182469E+018,-97.774916236,7.1073739489,9.182038528
1.592905721941E+018,-67.774916236,-18.0051463171,9.298344192
1.59290572212493E+018,-37.774916236,11.9948536829,9.482272512
1.59290572224835E+018,-7.774916236,-0.1836805511,9.605690368
1.59290572242565E+018,22.225083764,29.8163194489,9.782989056
1.59290572254108E+018,-7.774916236,-0.1836805511,9.898427648
1.59290572272681E+018,-6.704405931,-7.3857971522,10.084157696
1.59290572284849E+018,-10.9701027635,-9.85295435,10.205836032
