%time,field.star_effort,field.port_effort,secs_since_start
1.59290571292354E+018,12.1968070242,7.4924687355,0
1.59290571304376E+018,17.3559768255,16.1238854867,0.120227072
1.59290571322541E+018,10.8499989745,9.9483758819,0.301878528
1.59290571335106E+018,13.6341574213,13.0918092887,0.427520768
1.5929057135279E+018,11.7033632631,11.488402684,0.604368128
1.59290571364573E+018,16.7190708088,16.7482456908,0.722192128
1.59290571374956E+018,16.6795258345,16.1268245405,0.8260288
1.59290571392742E+018,10.9975844095,9.2044159949,1.003889152
1.5929057140443E+018,13.3411201011,10.6314096305,1.120765952
1.59290571422793E+018,13.986868517,11.6158208906,1.30439936
1.59290571435529E+018,13.6844310824,12.4425631689,1.431755008
1.59290571452598E+018,14.4016274921,12.9666650328,1.60244224
1.59290571464404E+018,16.3622090183,13.3850916552,1.72050304
1.59290571482694E+018,16.6477155876,17.2777005841,1.903403776
1.59290571494541E+018,16.9798812927,16.1009994643,2.021872128
1.59290571512804E+018,16.2030844046,16.6648939462,2.20450048
1.59290571525906E+018,17.0523751076,17.7212148901,2.335528704
1.59290571542482E+018,16.6782444432,17.0064445532,2.50128256
1.5929057155438E+018,17.7692977417,17.1307662993,2.620262656
1.59290571572668E+018,13.1604388644,10.5904105174,2.8031488
1.59290571585041E+018,17.25614558,14.1011182257,2.926877184
1.59290571602683E+018,14.8925035168,13.3088715055,3.103298816
1.59290571614942E+018,15.1012204941,14.4702390066,3.225885696
1.59290571632372E+018,15.9836321494,16.1483889655,3.40018304
1.5929057164488E+018,16.16730856,15.8883862153,3.525269504
1.59290571662419E+018,18.9597438892,19.1035873686,3.700659456
1.59290571674975E+018,18.0007078683,17.3508446735,3.8262144
1.59290571692832E+018,17.5272138612,18.4569720414,4.004780288
1.59290571705315E+018,18.0643757915,19.5068114585,4.12961408
1.59290571722718E+018,14.1756814274,13.3100043071,4.303641856
1.5929057173509E+018,21.5381515257,19.5324787247,4.427364352
1.59290571752628E+018,17.4031550475,17.0660768169,4.60274176
1.59290571763762E+018,23.06412457,21.2886068893,4.71408128
1.59290571782415E+018,15.6373266583,10.9048472372,4.900615424
1.5929057179421E+018,20.7651074755,17.5371741613,5.018568192
1.59290571805388E+018,19.6257016923,16.8636934314,5.130344704
1.59290571822833E+018,13.9102292231,13.7166173728,5.304790272
1.59290571833856E+018,16.1799030492,15.2493772892,5.415021056
1.59290571844645E+018,16.2700419506,16.0313457518,5.522917888
1.59290571862771E+018,21.6299643926,21.7355437453,5.70417536
1.59290571874242E+018,17.4373046367,17.4125170237,5.818886912
1.59290571892585E+018,13.6638665089,13.8636642417,6.002314752
1.59290571905341E+018,15.0493112206,14.8638872295,6.129879296
1.59290571922715E+018,15.9638748037,16.7749413656,6.303611648
1.59290571934912E+018,18.0869939238,19.8180548064,6.425585408
1.59290571945369E+018,21.1315690679,19.6738435445,6.53015552
1.59290571962681E+018,16.2916795473,14.5825612712,6.703274496
1.59290571975037E+018,22.8652511865,18.3338558113,6.826839552
1.59290571992829E+018,14.6981069608,6.7559772362,7.004752128
1.59290572004755E+018,19.0376394126,13.6323714138,7.124011776
1.59290572022889E+018,13.5557552014,8.5628570015,7.305350912
1.59290572034819E+018,16.7971637741,13.7956035008,7.42465408
1.59290572052727E+018,11.6099386522,11.3772774917,7.603735808
1.5929057206474E+018,13.0730816671,12.4291372915,7.723863296
1.59290572083171E+018,3.3852503259,5.0748690985,7.908175616
1.59290572095002E+018,3.4340388192,4.7630850384,8.026488576
1.59290572112462E+018,5.0313872101,12.6400708344,8.20108928
1.59290572125227E+018,13.0646808779,12.9932244477,8.32873216
1.59290572142767E+018,9.9530922773,9.2554062405,8.5041344
1.59290572153815E+018,13.5768327635,9.1207753609,8.6146112
1.59290572164951E+018,15.1428023559,9.6214897918,8.725971968
1.59290572182516E+018,12.6738978654,5.1478046372,8.901620224
1.59290572194251E+018,14.6150819745,6.2148227633,9.018971136
1.59290572212497E+018,13.2020459245,2.8666358701,9.201438464
1.59290572224888E+018,13.1667734289,5.2662015976,9.325342208
1.59290572242566E+018,8.6189380548,5.7095355306,9.502121472
1.59290572254161E+018,22.360679775,22.360679775,9.618075136
1.59290572272719E+018,17.9629481853,18.8490819165,9.803652096
