%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1591110226349926222,56.3663393259,45,2,0.0
1591110226350321950,8.76142270863,45,2,0.000395776
1591110226373578705,-30.2892010659,45,2,0.023652608
1591110226573772195,-32.9930856824,45,2,0.223846144
1591110226772207370,11.8689090014,45,2,0.422281216
1591110226972893561,69.8905065656,45,2,0.622967296
1591110227174385283,100.0,45,2,0.824459264
1591110227372568456,100.0,45,2,1.022642432
1591110227573434155,65.6920969486,45,2,1.223507968
1591110227773547058,8.44820495695,45,2,1.423620864
1591110227973589540,-13.8157885522,45,2,1.62366336
1591110228172121264,-64.1345009208,45,2,1.8221952
1591110228467206639,-100.0,45,2,2.117280512
1591110228573071880,-100.0,45,2,2.223145728
1591110228776277637,-63.0303174257,45,2,2.426351616
1591110228974070485,0.775488559157,45,2,2.624144384
1591110229172754384,42.8489893675,45,2,2.822828288
1591110229379376511,23.646088317,45,2,3.02945024
1591110229574462001,-23.6495118588,45,2,3.224535808
1591110229776697885,-100.0,45,2,3.426771712
1591110230090294811,-100.0,45,2,3.74036864
1591110230216841867,-100.0,45,2,3.86691584
1591110230377214516,-100.0,45,2,4.02728832
1591110230582811368,-100.0,45,2,4.232885248
1591110230773929550,-100.0,45,2,4.424003328
1591110231017963302,-100.0,45,2,4.66803712
1591110231173755550,-100.0,45,2,4.823829504
1591110231443421137,-100.0,45,2,5.09349504
1591110231576267167,-100.0,45,2,5.22634112
1591110231805986441,-100.0,45,2,5.456060416
1591110231996118112,-100.0,45,2,5.646191872
1591110232283206311,-100.0,45,2,5.933280256
1591110232409747833,-100.0,45,2,6.059821568
1591110232649834341,-100.0,45,2,6.299908096
1591110232877627188,-100.0,45,2,6.527700992
1591110233010390849,-100.0,45,2,6.66046464
1591110233282107490,-100.0,45,2,6.932181248
1591110233426038543,-100.0,45,2,7.076112384
1591110233661724888,-100.0,45,2,7.311798784
1591110233826558406,-100.0,45,2,7.47663232
1591110234083690389,-100.0,45,2,7.733764352
1591110234281955771,-100.0,45,2,7.932029696
1591110234379592058,-100.0,45,2,8.029665792
1591110234592057759,-96.6907069087,45,2,8.242131712
1591110234877802076,-94.8761701584,45,2,8.52787584
1591110235036862632,-100.0,45,2,8.686936576
1591110235178111089,-100.0,45,2,8.828184832
1591110235441200032,-100.0,45,2,9.091273984
1591110235642934093,-100.0,45,2,9.293007872
1591110235871245143,-100.0,45,2,9.521318912
1591110236091395092,-100.0,45,2,9.741468928
1591110236242379046,-46.1151823401,45,2,9.892452864
1591110236849715281,8.46307724714,45,2,10.499789056
1591110236849728066,7.12317880243,45,2,10.499801856
1591110236898421999,-13.9134824276,45,2,10.548495872
1591110237041750072,-53.782582283,45,2,10.691823872
1591110237314082526,-99.0453362465,45,2,10.964156416
1591110237506394949,-100.0,45,2,11.156468736
1591110237706123028,-70.3709498048,45,2,11.356196864
1591110237828743776,0.450437190011,45,2,11.478817536
1591110238049100357,48.1916293502,45,2,11.699174144
1591110238319027054,92.9847210646,45,2,11.9691008
1591110238443601988,100.0,45,2,12.093675776
1591110238635353660,98.0246588588,45,2,12.285427456
1591110238816629558,69.308809936,45,2,12.46670336
1591110239082462754,22.8946935385,45,2,12.732536576
1591110239250624307,-21.3598757982,45,2,12.900698112
1591110239495764506,-18.5356382281,45,2,13.145838336
1591110239675004567,29.6942908317,45,2,13.325078528
1591110239806672766,95.4752489924,45,2,13.456746496
1591110240068432900,100.0,45,2,13.718506752
1591110240277736241,100.0,45,2,13.927810048
1591110240440761715,100.0,45,2,14.090835456
1591110240682703129,66.2097707391,45,2,14.33277696
1591110240918554019,4.72111441195,45,2,14.568627968
1591110241048239284,-44.6013584733,45,2,14.698313216
1591110241219157801,-64.8916885257,45,2,14.869231616
1591110241473867575,-37.3982489109,45,2,15.123941376
1591110241654662358,34.98981148,45,2,15.304736256
1591110241777164365,100.0,45,2,15.427238144
1591110242078033062,100.0,45,2,15.728107008
1591110242259287814,70.9948539734,45,2,15.909361664
1591110242435697559,14.1339991242,45,2,16.08577152
1591110242646904198,-34.1046378016,45,2,16.296978176
1591110242875445305,-100.0,45,2,16.525519104
1591110243035371662,-100.0,45,2,16.685445632
1591110243291843931,-100.0,45,2,16.941917696
1591110243401084071,-93.3010354638,45,2,17.051158016
1591110243577786379,-49.6124327183,45,2,17.227860224
1591110243863230989,-3.91369219869,45,2,17.513304832
1591110244004415002,-4.79638390243,45,2,17.654488832
1591110244219403668,-51.1624142528,45,2,17.869477632
1591110244460107130,-100.0,45,2,18.110180864
1591110244630358301,-100.0,45,2,18.280432128
1591110244839850217,-100.0,45,2,18.489924096
1591110245084337125,-100.0,45,2,18.734411008
1591110245248620156,-100.0,45,2,18.898693888
1591110245393064737,-100.0,45,2,19.04313856
1591110245580595955,-100.0,45,2,19.230669824
1591110246211620221,-100.0,45,2,19.861693952
1591110246211634956,-100.0,45,2,19.8617088
1591110246346177076,-100.0,45,2,19.99625088
1591110246482289392,-100.0,45,2,20.132363264
1591110246596311768,-100.0,45,2,20.246385664
1591110246818877736,-100.0,45,2,20.468951552
1591110247037782672,-100.0,45,2,20.68785664
1591110247286630367,-100.0,45,2,20.936704256
1591110247425136627,-100.0,45,2,21.075210496
1591110247605960267,-100.0,45,2,21.256034048
1591110247804029368,-100.0,45,2,21.454103296
1591110248041631960,-100.0,45,2,21.691705856
1591110248277930422,-100.0,45,2,21.928004352
1591110248478034898,-100.0,45,2,22.1281088
1591110248622682272,-100.0,45,2,22.272756224
1591110248804178718,-100.0,45,2,22.454252544
1591110248983532767,-100.0,45,2,22.633606656
1591110249182235337,-100.0,45,2,22.832309248
1591110249372768379,-100.0,45,2,23.022842112
1591110249627597077,-100.0,45,2,23.277670912
