%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1591110226342234475,176.575669879,1150.94362231,25.9467576873,-3.00044652866e-14,2.54749486909e-13,2.43639974614e-14,-1.30929440195e-15,-5.30822673143e-15,6.72545287949e-16,0.0
1591110226342320263,176.575669879,1150.94362231,25.9467576873,-3.01351289537e-14,2.5421974175e-13,2.44311154705e-14,-1.30929440195e-15,-5.30822673143e-15,6.72545287949e-16,8.6016e-05
1591110226342331046,176.575669879,1150.94362231,25.9467576873,-3.02660233071e-14,2.53689061329e-13,2.44983519763e-14,-1.30929440195e-15,-5.30822673143e-15,6.72545287949e-16,9.6768e-05
1591110226342437172,176.575669879,1150.94362231,25.9467576873,-3.03969513738e-14,2.53158244224e-13,2.45656057996e-14,-1.30929440195e-15,-5.30822673143e-15,6.72545287949e-16,0.000202752
1591110226342484175,176.575669879,1150.94362231,25.9467576873,-3.05277158686e-14,2.52628090283e-13,2.46327756009e-14,-1.30929440195e-15,-5.30822673143e-15,6.72545287949e-16,0.000249856
1591110226342502633,176.575669879,1150.94362231,25.9467576873,-3.06586742148e-14,2.52097150417e-13,2.47000449778e-14,-1.30929440195e-15,-5.30822673143e-15,6.72545287949e-16,0.000268288
1591110226342515824,176.575669879,1150.94362231,25.9467576873,-3.07894858458e-14,2.51566805374e-13,2.47672389915e-14,-1.30929440195e-15,-5.30822673143e-15,6.72545287949e-16,0.000281344
1591110226342528987,176.575669879,1150.94362231,25.9467576873,-3.09203549142e-14,2.51036227464e-13,2.48344625092e-14,-1.30929440195e-15,-5.30822673143e-15,6.72545287949e-16,0.000294656
1591110226342541189,176.575669879,1150.94362231,25.9467576873,-3.10513772532e-14,2.50505028154e-13,2.49017647573e-14,-1.30929440195e-15,-5.30822673143e-15,6.72545287949e-16,0.000306944
1591110226342557360,176.575669879,1150.94362231,25.9467576873,-3.11822478825e-14,2.49974443916e-13,2.49689890767e-14,-1.30929440195e-15,-5.30822673143e-15,-5.99105127248e-16,0.000323072
1591110226342576655,176.575669879,1150.94362231,25.9467576873,-3.13130542067e-14,2.49444120388e-13,2.49091348992e-14,-1.30929440195e-15,-2.46872834675e-15,-1.8701307005e-15,0.000342272
1591110226342597400,176.575669879,1150.94362231,25.9467576873,-3.14437834274e-14,2.49197625075e-13,2.47224078126e-14,-1.30929440195e-15,3.69096300832e-16,-1.8701307005e-15,0.000363008
1591110226342615360,176.575669879,1150.94362231,25.9467576873,-3.15748947321e-14,2.49234585974e-13,2.45351349765e-14,-1.30929440195e-15,3.21521509503e-15,-5.96141677843e-16,0.000380928
1591110226342629636,176.575669879,1150.94362231,25.9467576873,-3.17057116698e-14,2.49555831213e-13,2.44755720328e-14,-1.30929440195e-15,6.05494387268e-15,-5.96141677843e-16,0.000395264
1591110226342652289,176.575669879,1150.94362231,25.9467576873,-3.183671684e-14,2.5016167582e-13,2.4415923384e-14,-1.30929440195e-15,8.89875873726e-15,-5.96141677843e-16,0.000418048
1591110226342675450,176.575669879,1150.94362231,25.9467576873,-3.19674107866e-14,2.51049951137e-13,2.435641644e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000441088
1591110226342697601,176.575669879,1150.94362231,25.9467576873,-3.20983703815e-14,2.51656260726e-13,2.42967885423e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.00046336
1591110226342716191,176.575669879,1150.94362231,25.9467576873,-3.22292016786e-14,2.52261976329e-13,2.42372190606e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000481792
1591110226342737359,176.575669879,1150.94362231,25.9467576873,-3.23602527363e-14,2.52868709368e-13,2.41775495185e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.00050304
1591110226342762569,176.575669879,1150.94362231,25.9467576873,-3.24909257682e-14,2.53473692243e-13,2.41180520973e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000528128
1591110226342784566,176.575669879,1150.94362231,25.9467576873,-3.26219112724e-14,2.54080121786e-13,2.40584124028e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000550144
1591110226342802529,176.575669879,1150.94362231,25.9467576873,-3.27527909542e-14,2.54686061398e-13,2.39988208907e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000568064
1591110226342823685,176.575669879,1150.94362231,25.9467576873,-3.28836394201e-14,2.55291856489e-13,2.39392435918e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000589312
1591110226342842277,176.575669879,1150.94362231,25.9467576873,-3.30144747752e-14,2.55897590879e-13,2.38796722623e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000608
1591110226342874641,176.575669879,1150.94362231,25.9467576873,-3.31454093973e-14,2.56503784851e-13,2.38200557352e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000640256
1591110226342905362,176.575669879,1150.94362231,25.9467576873,-3.32762628577e-14,2.57109603065e-13,2.37604761621e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000670976
1591110226342935931,176.575669879,1150.94362231,25.9467576873,-3.34074016325e-14,2.57716742211e-13,2.37007666811e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.00070144
1591110226342974597,176.575669879,1150.94362231,25.9467576873,-3.35379448058e-14,2.58321123874e-13,2.36413283866e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000740352
1591110226343014340,176.575669879,1150.94362231,25.9467576873,-3.36691544409e-14,2.58928591086e-13,2.35815866418e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000780032
1591110226343049095,176.575669879,1150.94362231,25.9467576873,-3.37999907325e-14,2.59534329813e-13,2.35220148859e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000814848
1591110226343094001,176.575669879,1150.94362231,25.9467576873,-3.39308064215e-14,2.60139973155e-13,2.34624525108e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000859648
1591110226343155374,176.575669879,1150.94362231,25.9467576873,-3.40615406368e-14,2.60745239294e-13,2.34029272319e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.000921088
1591110226343235351,176.575669879,1150.94362231,25.9467576873,-3.4192498983e-14,2.61351543102e-13,2.33432999027e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.00100096
1591110226343258483,176.575669879,1150.94362231,25.9467576873,-3.43234008283e-14,2.61957585325e-13,2.32836982994e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.001024
1591110226343306505,176.575669879,1150.94362231,25.9467576873,-3.44545186883e-14,2.62564627642e-13,2.32239983412e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.001072128
1591110226343364513,176.575669879,1150.94362231,25.9467576873,-3.45850815277e-14,2.63169100354e-13,2.31645510923e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.00113024
1591110226343466924,176.575669879,1150.94362231,25.9467576873,-3.47160817033e-14,2.63775597822e-13,2.31049047176e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.00123264
1591110226343577505,176.575669879,1150.94362231,25.9467576873,-3.48468121727e-14,2.64380846618e-13,2.30453811443e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.001343232
1591110226343772766,176.575669879,1150.94362231,25.9467576873,-3.49778579237e-14,2.64987555089e-13,2.29857140184e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.001538304
1591110226343861269,176.575669879,1150.94362231,25.9467576873,-3.51085400083e-14,2.65592579876e-13,2.29262124754e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.00162688
1591110226344040046,176.575669879,1150.94362231,25.9467576873,-3.52394446629e-14,2.66198635106e-13,2.28666095928e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.001805568
1591110226344114724,176.575669879,1150.94362231,25.9467576873,-3.53703165408e-14,2.66804538588e-13,2.2807021634e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.00188032
1591110226344238438,176.575669879,1150.94362231,25.9467576873,-3.55012471048e-14,2.67410713771e-13,2.27474069546e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.002003968
1591110226344336183,176.575669879,1150.94362231,25.9467576873,-3.56320784018e-14,2.68016429374e-13,2.26878374729e-14,-1.30929440195e-15,6.06169980747e-15,-5.96141677843e-16,0.00210176
1591110226344513350,176.575669879,1150.94362231,25.9467576873,-3.57629868024e-14,2.68622501947e-13,2.26282328847e-14,-1.30929440195e-15,6.06169980747e-15,6.75875756166e-16,0.002278912
1591110226344676734,176.575669879,1150.94362231,25.9467576873,-3.58938218454e-14,2.69228234893e-13,2.26957717312e-14,-1.30929440195e-15,6.06169980747e-15,1.94718038505e-15,0.00244224
1591110226344812780,176.575669879,1150.94362231,25.9467576873,-3.60250433426e-14,2.69835757023e-13,2.28909241164e-14,-1.30929440195e-15,6.06169980747e-15,1.94718038505e-15,0.002578432
1591110226344982499,176.575669879,1150.94362231,25.9467576873,-3.61555524904e-14,2.70439981157e-13,2.30850170968e-14,-1.30929440195e-15,6.06169980747e-15,6.79042430863e-16,0.00274816
1591110226345141353,176.575669879,1150.94362231,25.9467576873,-3.6286891672e-14,2.71048048136e-13,2.3153133845e-14,-1.30929440195e-15,6.06169980747e-15,6.79042430863e-16,0.00290688
1591110226345386440,176.575669879,1150.94362231,25.9467576873,-3.64172475492e-14,2.71651562666e-13,2.32207406198e-14,-6.01864342869e-16,6.06169980747e-15,6.79042430863e-16,0.003152128
1591110226345607494,176.575669879,1150.94362231,25.9467576873,-3.64774947682e-14,2.72258344843e-13,2.32887134421e-14,1.09395999204e-16,6.06169980747e-15,6.79042430863e-16,0.003373056
1591110226349565083,176.575669879,1150.94362231,25.9467576873,-3.64665557265e-14,2.72864483896e-13,2.33566142206e-14,8.19902481954e-16,6.06169980747e-15,6.79042430863e-16,0.007330816
1591110226349693360,176.575669879,1150.94362231,25.9467576873,-3.63845983971e-14,2.73470410501e-13,2.34244912004e-14,1.53015993702e-15,6.06169980747e-15,6.79042430863e-16,0.007459072
1591110226349777711,176.575669879,1150.94362231,25.9467576873,-3.6231733949e-14,2.74075980137e-13,2.34923281917e-14,2.2399989578e-15,6.06169980747e-15,6.79042430863e-16,0.007543296
1591110226349913114,176.575669879,1150.94362231,25.9467576873,-3.6007642409e-14,2.74682398118e-13,2.35602602162e-14,2.2399989578e-15,6.06169980747e-15,6.79042430863e-16,0.00767872
1591110226350089205,176.575669879,1150.94362231,25.9467576873,-3.5783671566e-14,2.75288489478e-13,2.36281556522e-14,1.52954837923e-15,6.06169980747e-15,6.79042430863e-16,0.007854848
1591110226350310951,176.575669879,1150.94362231,25.9467576873,-3.56307949139e-14,2.75894349603e-13,2.36960251847e-14,1.52954837923e-15,6.06169980747e-15,6.79042430863e-16,0.008076544
1591110226350517023,176.575669879,1150.94362231,25.9467576873,-3.54778245409e-14,2.76500581151e-13,2.37639363245e-14,1.52954837923e-15,6.06169980747e-15,6.79042430863e-16,0.008282624
1591110226350746592,176.575669879,1150.94362231,25.9467576873,-3.53249048574e-14,2.77106611812e-13,2.38318249608e-14,1.52954837923e-15,3.22018209624e-15,6.79042430863e-16,0.008512256
1591110226350759645,176.575669879,1150.94362231,25.9467576873,-3.51720384162e-14,2.77428443919e-13,2.38996899602e-14,1.52954837923e-15,3.79653719487e-16,6.79042430863e-16,0.008525312
1591110226350798499,176.575669879,1150.94362231,25.9467576873,-3.50191949493e-14,2.77466381647e-13,2.39675447602e-14,1.52954837923e-15,-2.46044775266e-15,6.79042430863e-16,0.008564224
1591110226350815207,176.575669879,1150.94362231,25.9467576873,-3.48663518471e-14,2.77220516611e-13,2.40353993982e-14,1.52954837923e-15,-5.30054244854e-15,6.79042430863e-16,0.008580864
1591110226370161823,176.575669879,1150.94362231,25.9467576873,-3.47131491776e-14,2.76689603523e-13,2.41034136661e-14,1.52954837923e-15,-8.14731854031e-15,6.79042430863e-16,0.027927552
1591110226467305589,176.575669879,1150.94362231,25.9467576873,-3.45605245144e-14,2.75876630383e-13,2.41711713282e-14,1.52954837923e-15,-8.14731854031e-15,6.79042430863e-16,0.125071104
1591110226565371528,176.575669879,1150.94362231,25.9467576873,-3.44073998848e-14,2.75060994114e-13,2.42391509502e-14,1.52954837923e-15,-5.30199256894e-15,6.79042430863e-16,0.22313728
1591110226666378089,176.575669879,1150.94362231,25.9467576873,-3.42547420364e-14,2.74531824335e-13,2.4306923345e-14,1.52954837923e-15,-5.30199256894e-15,6.79042430863e-16,0.324143616
