%time,field.port,field.star,secs_since_start
1591110226342126436,-134.386635694,-42.729823957,0.0
1591110226342194399,-135.360675311,-42.2707225467,6.8096e-05
1591110226342239199,-134.93531845,-42.5808985124,0.000112896
1591110226342359141,-133.600562883,-43.3595639834,0.000232704
1591110226342487319,-133.874576412,-43.8456275655,0.00036096
1591110226342510557,-133.398689811,-44.2724016905,0.000384256
1591110226342548716,-132.569955639,-44.571809863,0.0004224
1591110226342583860,-132.053989488,-44.5335437282,0.000457472
1591110226342606103,-131.864205852,-44.2352727822,0.000479744
1591110226342638049,-132.801867882,-43.6529718347,0.000511744
1591110226342683340,-134.203463681,-42.8962893275,0.000557056
1591110226342720359,-133.879958601,-42.4583307677,0.00059392
1591110226342766675,-132.810296335,-42.9071732339,0.000640256
1591110226342805232,-132.552128845,-43.6606523824,0.000678912
1591110226342844478,-132.114395681,-44.14438687,0.00071808
1591110226342878626,-132.953306836,-43.7772334663,0.000752384
1591110226342940832,-134.386649354,-43.333479491,0.000814592
1591110226343018670,-134.455128831,-42.4049562545,0.000892416
1591110226343086666,-133.375139319,-40.7674047406,0.000960256
1591110226343176207,-136.416608896,-37.8781664198,0.001049856
1591110226343266521,-138.944379946,-35.2122035678,0.001140224
1591110226343347567,-140.391724352,-33.6941359682,0.00122112
1591110226343502448,-141.039444851,-34.4296790399,0.001376
1591110226343784825,-139.756216231,-36.7861079639,0.001658368
1591110226344039255,-137.171467743,-38.9239947402,0.001912832
1591110226344243851,-136.099401251,-38.8101901282,0.002117632
1591110226344520641,-136.824261907,-36.415734126,0.002394368
1591110226344822754,-138.544977804,-31.1968002416,0.002696448
1591110226345156184,-139.104780108,-28.3869389642,0.00302976
1591110226345612359,-140.088764481,-28.1042613401,0.003485952
1591110226349575042,-140.247019964,-28.5604547974,0.007448832
1591110226349922224,-139.486505721,-29.5009701386,0.007795968
1591110226350320334,-140.390330993,-33.2653366921,0.008194048
1591110226372891107,-138.232428347,-35.2840025164,0.0307648
1591110226572249538,-138.384331755,-35.1499019973,0.230123264
1591110226771575611,-139.654801582,-33.6756364008,0.429449216
1591110226972241283,-140.026077005,-31.3414055916,0.630115072
1591110227172802199,-141.034376851,-28.2291769623,0.830675968
1591110227371921200,-141.596556061,-25.9771167439,1.029794816
1591110227572569474,-140.256691512,-27.5118192693,1.230443264
1591110227772617828,-139.273390158,-30.6430768056,1.430491392
1591110227971801108,-138.769745669,-33.0569100545,1.629674752
1591110228172089661,-137.815458959,-35.0018781376,1.829963264
1591110228467062213,-136.046262379,-37.6216518353,2.124935936
1591110228573043789,-134.919759279,-39.3360156566,2.230917376
1591110228776236951,-136.153673934,-37.4250994815,2.43411072
1591110228973008193,-138.388238623,-34.0123544816,2.630881792
1591110229172713732,-140.14108373,-31.4866359039,2.830587392
1591110229379346828,-141.581078852,-30.9109465795,3.037220608
1591110229572717466,-140.912048163,-32.749233938,3.230591232
1591110229774150759,-140.007977003,-35.7922300623,3.43202432
1591110230090201245,-135.04794827,-41.3353622908,3.748075008
1591110230216698469,-134.667930205,-41.9655531097,3.874572032
1591110230376694511,-134.114042844,-41.9138280871,4.034568192
1591110230582679503,-134.992651058,-40.6234243529,4.240553216
1591110230772937945,-135.001202455,-39.6001800529,4.430811648
1591110231017905095,-135.524108077,-38.8972921156,4.675778816
1591110231172926216,-136.420611387,-38.5952099241,4.830799872
1591110231443328206,-136.531082867,-39.3927950192,5.10120192
1591110231572197581,-136.450418333,-40.9877124922,5.230071296
1591110231805933547,-135.932512409,-42.2065802402,5.463807232
1591110231996081050,-136.397648291,-42.3805588187,5.653954816
1591110232283133990,-136.472479844,-42.2731745846,5.941007616
1591110232409693470,-136.266836508,-42.0307575106,6.067567104
1591110232649800483,-136.737122353,-41.2323152268,6.307674112
1591110232877587057,-138.022277087,-40.4836342862,6.535460608
1591110233010375899,-138.362843979,-40.8808132015,6.6682496
1591110233552074013,-137.440222026,-41.9736605442,7.209947648
1591110233552091078,-137.004510599,-42.9514191994,7.2099648
1591110233661682861,-136.1806122,-43.8360823762,7.319556608
1591110233826522401,-134.055166613,-44.499741122,7.484396032
1591110234083633398,-132.769219578,-44.7138812128,7.741507072
1591110234281821615,-133.242838555,-44.2645572183,7.93969536
1591110234378819127,-133.760498592,-43.6772224213,8.036692736
1591110234587333209,-134.207671077,-43.186275254,8.245206784
1591110234877775286,-133.797081085,-43.3129274518,8.535649024
1591110235036737314,-133.786084481,-43.6296125877,8.694610944
1591110235178047058,-133.87306011,-44.1090611316,8.83592064
1591110235441157948,-133.295157804,-44.6265913952,9.099031552
1591110235642711021,-132.229224822,-45.0387898965,9.300584704
1591110235871235036,-131.184438105,-45.1273706199,9.529108736
1591110236091463584,-131.460896842,-44.5854121847,9.749337344
1591110236242350250,-132.680413458,-43.8138296198,9.900224
1591110236572926511,-134.444883547,-42.3829049887,10.230800128
1591110236701675093,-133.558721144,-41.5082616995,10.359548672
1591110236851969363,-136.097680043,-41.3631850664,10.509842944
1591110237041736894,-135.42778875,-42.5310108107,10.699610624
1591110237314051324,-132.581648923,-44.0965516402,10.971924992
1591110237506312905,-131.767080562,-44.620119791,11.164186624
1591110237706104787,-132.976870989,-44.0440616364,11.363978496
1591110237828587006,-134.125135071,-42.9160251591,11.486460672
1591110238049012349,-133.940829247,-40.7019646981,11.706885888
1591110238318905914,-137.219524954,-37.3636824205,11.97677952
1591110238443544446,-139.938322734,-33.4346400061,12.101417984
1591110238635289473,-140.522672738,-33.0036345789,12.293163264
1591110238816559397,-140.319201403,-33.4335608363,12.474433024
1591110239082379272,-139.651536751,-35.572041839,12.740252928
1591110239250545331,-138.427170701,-38.6559064002,12.908419072
1591110239495642082,-137.052649772,-40.1006963153,13.153515776
1591110239674972559,-137.114258078,-38.5319452969,13.332846336
1591110239806586296,-137.201411292,-33.7923096922,13.464460032
1591110240068344055,-138.286168276,-27.9452921023,13.726217728
1591110240277710821,-140.518861493,-26.9907151092,13.935584512
1591110240440693895,-141.443272956,-27.0679252751,14.09856768
1591110240681883477,-140.485625792,-28.5371706825,14.339757056
1591110240918489216,-140.18042562,-32.5360090925,14.576362752
1591110241048199266,-138.000393161,-35.3200146888,14.706072832
1591110241219056697,-137.269863448,-36.1874384681,14.876930304
1591110241473829673,-137.654580683,-35.593235916,15.131703296
1591110241654612741,-139.372824052,-32.8469193035,15.3124864
1591110241777097905,-141.506001413,-29.3476392219,15.434971648
1591110242077980413,-140.864373442,-25.6464399654,15.73585408
1591110242259223342,-140.856395781,-26.791203576,15.91709696
1591110242435639843,-140.394073937,-29.7474238544,16.093513472
1591110242646901862,-139.039661085,-33.281111014,16.304775424
1591110242875173816,-137.414171685,-36.178842675,16.533047552
1591110243035329166,-134.049538537,-40.8065690453,16.693202944
1591110243580875502,-133.551289898,-40.2350324759,17.238749184
1591110243581043413,-134.821595801,-38.5730766961,17.23891712
1591110243603901248,-135.506896001,-37.0170913013,17.261774848
1591110243863184945,-138.351191677,-33.6118902453,17.52105856
1591110244004344029,-139.18319068,-32.6865328014,17.662217728
1591110244219332567,-139.249361553,-33.7368622165,17.877206272
1591110244460049710,-138.124456717,-37.0735974563,18.117923328
1591110244630304809,-135.045940194,-41.6035325931,18.288178432
1591110244839812559,-133.782259575,-42.6128501373,18.497686272
1591110245084272738,-134.037558386,-42.4387622758,18.742146304
1591110245248554471,-134.229705267,-41.5594881182,18.90642816
1591110245392982346,-135.027457702,-40.3207069538,19.050855936
1591110245577632829,-136.001196791,-39.3959539816,19.235506432
1591110245820042813,-136.062969022,-39.6912674557,19.477916416
1591110246025709332,-135.698441826,-40.7168545105,19.683582976
1591110246214596827,-136.350861495,-41.5606185145,19.872470528
1591110246482274170,-137.026886299,-42.2976130015,20.140147712
1591110246596240427,-135.902514218,-43.1844379331,20.254114048
1591110246818815393,-136.042642379,-43.2377304841,20.476689152
1591110247037711846,-136.609766646,-42.5321309617,20.695585536
1591110247286586681,-136.392047536,-41.9120317473,20.944460288
1591110247425076700,-136.984443503,-41.4907422642,21.0829504
1591110247605925244,-138.193195741,-41.293920118,21.263798784
1591110247803962475,-137.663719476,-42.0975157795,21.461836032
1591110248041585210,-138.474285346,-42.9490013124,21.699458816
1591110248277872806,-137.585404527,-43.9786181788,21.93574656
1591110248477980846,-135.367000066,-44.7267185534,22.135854592
1591110248622608017,-134.809561007,-44.8642888085,22.280481792
1591110248781596619,-133.906528037,-44.6948557209,22.439470336
1591110248982960798,-134.226631682,-44.1527231159,22.64083456
1591110249174858874,-134.705919717,-43.7256484626,22.832732416
1591110249372720532,-133.781494594,-43.880956719,23.030594304
1591110249627508177,-133.681650888,-44.2361880275,23.285381888
1591110249806999091,-133.778421009,-44.628100867,23.464872704
1591110250014245619,-133.603936996,-45.0037168751,23.672119296
1591110250261542442,-132.73681716,-45.3596243724,23.919416064
1591110250415790929,-131.889095061,-45.5204924028,24.073664512
1591110250701871420,-130.672474446,-45.3537811456,24.359745024
1591110250882464006,-131.482207032,-44.8213849753,24.540337664
1591110251077639970,-131.241074034,-44.5858766376,24.7355136
1591110251209300107,-132.812563958,-44.0609970904,24.867173888
1591110251415142085,-132.751925539,-44.3928896426,25.073015808
1591110251658157914,-130.824705702,-45.3900562803,25.316031488
1591110251898162553,-130.941010163,-45.6910149057,25.556036096
1591110251976757462,-131.001470998,-45.7838679123,25.634631168
1591110252243447407,-130.071185572,-45.8708401261,25.90132096
1591110252470924482,-128.680067284,-45.7758526853,26.128798208
1591110252674184441,-130.223758338,-44.9030501321,26.332058112
1591110252828489032,-132.967923441,-43.4827703508,26.486362624
1591110252994382713,-133.242428744,-42.137103556,26.652256256
1591110253218028030,-135.402954182,-41.5638867601,26.875901696
1591110253440161679,-136.033708491,-42.1713262188,27.098035456
1591110253685291511,-134.055289557,-43.8408464331,27.343165184
1591110253830477809,-130.452146204,-45.5310689508,27.488351488
1591110254043743326,-129.878314691,-45.3466538432,27.701616896
1591110254237781706,-131.73702773,-44.1792993819,27.895655424
1591110254481612542,-132.947719741,-41.3149434403,28.139486208
1591110254592052605,-136.300441039,-36.4339707311,28.249926144
1591110254777777125,-140.215068339,-32.8564542476,28.435650816
1591110255019291091,-140.104774444,-33.1667497416,28.6771648
1591110255285058491,-139.517992893,-33.9621321006,28.942932224
1591110255407669292,-139.078087729,-35.2211340402,29.065542912
1591110255655590128,-138.529828444,-36.7799403031,29.313463808
1591110255774468480,-137.330051075,-37.0231940753,29.432342272
1591110256022876601,-137.576771168,-34.8667974864,29.680750336
1591110256268379650,-137.047199281,-29.8700838066,29.926253312
1591110256446437268,-138.594155166,-27.3433970496,30.10431104
1591110256650641284,-139.659828601,-26.6546373586,30.308515072
1591110256860295469,-139.472080361,-27.0633746616,30.518169088
1591110257006055724,-139.535368894,-27.9927636246,30.663929344
1591110257281536471,-138.650886717,-30.7998911187,30.939410176
1591110257410690604,-138.326329788,-33.7959672585,31.068564224
1591110257662559503,-137.169951441,-33.8169905808,31.320433152
1591110257774100554,-139.115926977,-31.9340952568,31.431974144
1591110257972931043,-140.821274949,-29.0583704653,31.630804736
1591110258219395656,-139.614913277,-25.2303516714,31.877269248
1591110258470175406,-139.535273271,-25.4700161791,32.128049152
1591110258574160795,-139.468282776,-26.5795616268,32.23203456
1591110258773304407,-139.009239422,-29.9929964758,32.431177984
1591110258981242240,-137.868953001,-32.9311252907,32.639116032
1591110259175135363,-136.228232279,-35.2424920417,32.833009152
1591110259373140298,-134.776981005,-37.6587465927,33.031013888
1591110259613010883,-134.028733781,-39.1976599297,33.270884608
1591110259811117691,-134.478255851,-38.0672772824,33.468991232
1591110259975548865,-136.698968917,-34.5989960143,33.633422592
1591110260173088405,-137.951502667,-32.4600164078,33.830962176
1591110260372579752,-138.874261224,-32.2890875087,34.030453504
1591110260572528158,-138.259079746,-33.9894289517,34.230401792
1591110260772928715,-135.926133012,-38.2174185007,34.430802432
1591110260972819512,-133.750444554,-41.4556282617,34.63069312
1591110261172903903,-133.934600114,-41.6274894816,34.8307776
1591110261372995546,-133.966879588,-41.3127407043,35.030869248
1591110261572317685,-134.098073862,-40.7400839839,35.23019136
1591110261773270437,-134.818863725,-39.5599058425,35.431144192
1591110262026876795,-135.336236894,-39.162791814,35.684750336
1591110262172755067,-135.333641422,-39.7410868555,35.830628608
1591110262373234045,-136.135000197,-40.5790861799,36.031107584
1591110262573538333,-136.035361397,-41.7639259254,36.231411968
