%time,field.star_effort,field.port_effort,secs_since_start
1591110226373563595,-60.2167785168,-17.8376734257,0.0
1591110226573593022,-53.7020087242,-21.9185441732,0.20002944
1591110226772180256,-50.8065581322,-23.7682342529,0.398616576
1591110226972860077,-57.5478255749,-27.9302150011,0.599296512
1591110227173583856,-56.7695856094,-35.8504295349,0.800020224
1591110227372560425,-57.8802883625,-46.2360739708,0.998996736
1591110227573417343,-70.5503225327,-58.3713591099,1.199853568
1591110227773517409,-77.3916840553,-55.4973959923,1.399953664
1591110227972929587,-71.6694772243,-45.4371929169,1.599365888
1591110228172117956,-68.1817889214,-47.8513419628,1.798554368
1591110228467082569,-70.0221419334,-45.4637527466,2.093518848
1591110228573045754,-70.8483397961,-32.7328622341,2.199482112
1591110228776255510,-60.9427928925,-25.1566648483,2.40269184
1591110228973375114,-56.4423799515,-32.5642615557,2.599811584
1591110229172738379,-56.3918411732,-46.9596505165,2.799174656
1591110229379353073,-52.140468359,-49.827593565,3.00578944
1591110229573496403,-52.0306229591,-47.1508800983,3.199932672
1591110229774928862,-41.8285489082,-39.242914319,3.401365248
1591110230090273972,-46.459954977,-24.4373008609,3.7167104
1591110230216768680,-43.0044412613,-22.3336592317,3.84320512
1591110230376817198,-46.2075948715,-24.6592864394,4.003253504
1591110230582763470,-43.5733705759,-22.6746812463,4.209199872
1591110230773281165,-46.4463025331,-25.7722496986,4.399717632
1591110231017917484,-48.3701944351,-26.1830538511,4.644353792
1591110231173589387,-40.2511447668,-23.5424950719,4.800025856
1591110231443387998,-29.4364184141,-23.0632811785,5.069824256
1591110231574850785,-21.6617435217,-16.3275077939,5.201287168
1591110231805970825,-18.1579336524,-12.7209365368,5.432407296
1591110231996099974,-10.9415881336,-7.87800848484,5.622536448
1591110232283187772,-5.04982061684,-3.49734500051,5.909624064
1591110232409706185,-2.95111611485,-0.178203731775,6.036142592
1591110232649810599,-0.26204045862,1.43826715648,6.27624704
1591110232877600545,10.825279355,5.38687221706,6.504036864
1591110233010382787,24.2614239454,11.4556342363,6.6368192
1591110233825919936,32.4959278107,17.9240807891,7.452356352
1591110233825931139,41.1115974188,26.4748215675,7.452367616
1591110233938017291,51.4129579067,37.2350424528,7.564453632
1591110233938045418,51.6452729702,41.7836934328,7.564481792
1591110234083667329,42.1879023314,44.4684922695,7.710103808
1591110234281924438,34.5331609249,48.7065672874,7.908360704
1591110234379130312,32.4304997921,51.1180639267,8.00556672
1591110234591815611,35.9782278538,54.1382610798,8.218252032
1591110234877790065,38.5535657406,54.7630131245,8.504226304
1591110235036752426,42.1129345894,55.0481975079,8.663188736
1591110235178094593,48.6381113529,56.1876475811,8.804530944
1591110235441182586,53.2878637314,58.6490988731,9.067618816
1591110235642750535,51.7809987068,64.5439684391,9.269186816
1591110235871200565,43.9289033413,67.9901301861,9.497636864
1591110236091441923,36.5069895983,69.5470809937,9.717878272
1591110236242402859,37.5650316477,71.8261539936,9.868839168
1591110236574292828,50.3281116486,66.8495416641,10.200729088
1591110237042218852,44.10366714,55.3778409958,10.668655104
1591110237042230056,47.5023806095,57.5265049934,10.668666368
1591110237125097884,50.8337497711,61.6873323917,10.751534336
