%time,field.throttle_bow,field.position_bow,field.lin_act_bow,secs_since_start
1590669553915300616,0.0,0,2,0.0
1590669554110014540,0.0,0,2,0.194713856
1590669554317398226,0.0,0,2,0.402097664
1590669554510389170,0.0,0,2,0.59508864
1590669554714598503,0.0,0,2,0.799297792
1590669554910828063,0.0,0,2,0.995527424
1590669555132106027,0.0,0,2,1.216805376
1590669555310612704,0.0,0,2,1.395312128
1590669555516675910,0.0,0,2,1.601375232
1590669555717220653,0.0,0,2,1.80192
1590669555916963098,0.0,0,2,2.001662464
1590669556115079711,0.0,0,2,2.199779072
1590669556314681757,0.0,0,2,2.399381248
1590669556513675540,0.0,0,2,2.598374912
1590669556711134146,0.0,0,2,2.7958336
1590669556919127635,0.0,0,2,3.003826944
1590669557122473124,0.0,0,2,3.207172608
1590669557320937873,0.0,0,2,3.405637376
1590669557510010861,0.0,0,2,3.594710272
1590669557715499546,0.0,0,2,3.800198912
1590669557913953140,0.0,0,2,3.998652416
1590669558109800059,0.0,0,2,4.194499328
1590669558314185587,0.0,0,2,4.398884864
1590669558513910213,0.0,0,2,4.598609664
1590669558712663509,0.0,0,2,4.797362944
1590669558916468240,0.0,0,2,5.001167616
1590669559110971562,0.0,0,2,5.19567104
1590669559315916580,0.0,0,2,5.400615936
1590669559511565853,0.0,0,2,5.596265216
1590669559714525089,0.0,0,2,5.799224576
1590669559911615089,0.0,0,2,5.996314368
1590669560113907593,0.0,0,2,6.198607104
1590669560309634972,0.0,0,2,6.394334464
1590669560520197166,0.0,0,2,6.604896512
1590669560708996023,0.0,0,2,6.793695488
1590669560915455544,0.0,0,2,7.00015488
1590669561115148065,0.0,0,2,7.199847424
1590669561309194083,0.0,0,2,7.393893376
1590669561522154320,0.0,0,2,7.606853632
1590669561711475039,0.0,0,2,7.796174336
1590669561913190286,0.0,0,2,7.997889792
1590669562113867956,0.0,0,2,8.198567424
1590669562324941393,0.0,0,2,8.409640704
1590669562511802850,0.0,0,2,8.596502272
1590669562717938399,0.0,0,2,8.802637824
1590669562925660851,0.0,0,2,9.01036032
1590669563113742880,0.0,0,2,9.19844224
1590669563320885334,0.0,0,2,9.40558464
1590669563517976334,0.0,0,2,9.602675712
1590669563713182764,0.0,0,2,9.797882112
1590669563915625911,0.0,0,2,10.000325376
1590669564110110428,0.0,0,2,10.194809856
1590669564323302742,0.0,0,2,10.408002048
