%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1590669553965113160,152.382953053,1128.15276865,0.350836409337,-3.36507941721e-14,-2.61855221087e-13,-2.37278600531e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.0
1590669554061968631,152.382953053,1128.15276865,0.350836409337,-3.3795986691e-14,-2.61142254663e-13,-2.37283989112e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.096855552
1590669554162687254,152.382953053,1128.15276865,0.350836409337,-3.39426755695e-14,-2.60421940379e-13,-2.37289433228e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.197574144
1590669554261866657,152.382953053,1128.15276865,0.350836409337,-3.40887523167e-14,-2.59704631961e-13,-2.37294854626e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.296753664
1590669554361291572,152.382953053,1128.15276865,0.350836409337,-3.42348844589e-14,-2.58987051525e-13,-2.37300278079e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.396178432
1590669554461945086,152.382953053,1128.15276865,0.350836409337,-3.43801954323e-14,-2.58273503431e-13,-2.37305671056e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.496832
1590669554563120019,152.382953053,1128.15276865,0.350836409337,-3.45263028384e-14,-2.57556044462e-13,-2.37311093592e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.59800704
1590669554662701338,152.382953053,1128.15276865,0.350836409337,-3.46748591179e-14,-2.56826560325e-13,-2.37316607013e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.697588224
1590669554761951040,152.382953053,1128.15276865,0.350836409337,-3.48182894513e-14,-2.56122247095e-13,-2.37321930193e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.796837888
1590669554862698193,152.382953053,1128.15276865,0.350836409337,-3.49668122849e-14,-2.55392927193e-13,-2.37327442374e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.897585152
1590669554960187379,152.382953053,1128.15276865,0.350836409337,-3.51104077578e-14,-2.54687803047e-13,-2.37332771683e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,0.995074304
1590669555066481186,152.382953053,1128.15276865,0.350836409337,-3.52572805893e-14,-2.53966585465e-13,-2.37338222626e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,1.101368064
1590669555162073662,152.382953053,1128.15276865,0.350836409337,-3.54029214935e-14,-2.53251417249e-13,-2.37343627848e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,1.196960512
1590669555259881742,152.382953053,1128.15276865,0.350836409337,-3.55483463923e-14,-2.52537309725e-13,-2.37349025053e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,1.29476864
1590669555361869419,152.382953053,1128.15276865,0.350836409337,-3.56946039569e-14,-2.51819113404e-13,-2.37354453162e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,1.396756224
1590669555464821677,152.382953053,1128.15276865,0.350836409337,-3.58411600967e-14,-2.51099450933e-13,-2.37359892351e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,1.499708672
1590669555562590798,152.382953053,1128.15276865,0.350836409337,-3.59897675904e-14,-2.50369715309e-13,-2.37365407673e-14,-1.46127752368e-15,7.17558879069e-15,-5.42329061329e-18,1.597477632
