%time,field.pos_north,field.pos_east,field.pos_heading,field.vel_north,field.vel_east,field.vel_heading,field.acc_north,field.acc_east,field.acc_heading,secs_since_start
1588168442905496900,152.39578474,1128.15407684,5.44553214334e-10,4.98002008809e-08,5.19432399805e-12,-4.89247884338e-10,-2.60077292229e-08,-5.12132149839e-12,4.39559324575e-10,0.0
1588168443005990197,152.395784745,1128.15407684,4.95291832821e-10,4.71815351441e-08,4.67866847811e-12,-4.4498954357e-10,-2.46554456213e-08,-4.61765798125e-12,3.9979592291e-10,0.100493312
1588168443104095193,152.395784749,1128.15407684,4.51727394869e-10,4.47677691434e-08,4.22660015985e-12,-4.05849557184e-10,-2.34080627096e-08,-4.17246071678e-12,3.64631046638e-10,0.1985984
1588168443205473991,152.395784754,1128.15407684,4.10747591829e-10,4.24041893823e-08,3.8052947393e-12,-3.6903170631e-10,-2.21857588153e-08,-3.73624774782e-12,3.3155246514e-10,0.299977216
1588168443304512939,152.395784758,1128.15407684,3.74247071244e-10,4.02098203553e-08,3.4357465799e-12,-3.36238216288e-10,-2.10501471399e-08,-3.37641926137e-12,3.02089523798e-10,0.399016192
1588168443404133409,152.395784762,1128.15407684,3.40685490061e-10,3.81087021959e-08,3.0987296566e-12,-3.06085183152e-10,-1.99620368909e-08,-3.05868535794e-12,2.74998870059e-10,0.498636544
1588168443503721185,152.395784766,1128.15407684,3.10129325011e-10,3.61159128433e-08,2.7933842829e-12,-2.78632332362e-10,-1.89293107959e-08,-2.7863036314e-12,2.50334163834e-10,0.598224384
1588168443604119670,152.395784769,1128.15407684,2.82240475934e-10,3.42212415126e-08,2.51449776316e-12,-2.53575901707e-10,-1.79467558733e-08,-2.53596265081e-12,2.27822493595e-10,0.69862272
1588168443710637998,152.395784773,1128.15407684,2.55088600524e-10,3.22995759434e-08,2.24295720478e-12,-2.29181596412e-10,-1.69495206346e-08,-2.24380767872e-12,2.05905701719e-10,0.805141248
1588168443803950632,152.395784776,1128.15407684,2.33777896106e-10,3.07235060062e-08,2.03431426417e-12,-2.10035226826e-10,-1.61310347041e-08,-2.03238174987e-12,1.88703858612e-10,0.89845376
1588168443903383256,152.395784779,1128.15407684,2.12811149459e-10,2.91132269929e-08,1.83143194826e-12,-1.91197881992e-10,-1.52942637806e-08,-1.82810374911e-12,1.71779654872e-10,0.997886464
1588168444003158503,152.395784782,1128.15407684,1.93732451693e-10,2.75870875129e-08,1.64901445205e-12,-1.74056833758e-10,-1.45006887359e-08,-1.62390722614e-12,1.56379469561e-10,1.097661696
1588168444103141927,152.395784785,1128.15407684,1.76332179707e-10,2.61374694625e-08,1.48667421636e-12,-1.58423748605e-10,-1.37464086399e-08,-1.46479513631e-12,1.4233409662e-10,1.197645056
1588168444203125117,152.395784787,1128.15407684,1.60491557428e-10,2.47629806699e-08,1.34021090721e-12,-1.44191913532e-10,-1.30307552788e-08,-1.35112087534e-12,1.29547661019e-10,1.29762816
1588168444305424618,152.39578479,1128.15407684,1.46001148546e-10,2.34534691486e-08,1.20443149036e-12,-1.31173162813e-10,-1.23484927184e-08,-1.21402286011e-12,1.17851107415e-10,1.399927808
1588168444403688850,152.395784792,1128.15407684,1.32947206139e-10,2.22245858215e-08,1.08361573692e-12,-1.19444989643e-10,-1.17078257106e-08,-1.12351279538e-12,1.07314058785e-10,1.498192128
1588168444503514034,152.395784794,1128.15407684,1.21020858992e-10,2.10555824653e-08,9.7143519538e-13,-1.08729892067e-10,-1.10979919433e-08,-1.05540435332e-12,9.76871966054e-11,1.59801728
1588168444603697060,152.395784797,1128.15407684,1.10135903624e-10,1.99445618924e-08,8.6577860856e-13,-9.89504215386e-11,-1.05180432113e-08,-9.8711718053e-13,8.89009381234e-11,1.69820032
1588168444703670447,152.395784799,1128.15407684,1.00236813148e-10,1.88923272505e-08,7.67026504949e-13,-9.00566905552e-11,-9.96843674914e-09,-8.96130500534e-13,8.09104625022e-11,1.798173696
1588168444806082043,152.3957848,1128.15407684,9.12018659802e-11,1.78922427613e-08,6.77122116082e-13,-8.19393397008e-11,-9.44574672701e-09,-7.82074058292e-13,7.36175170044e-11,1.900585216
1588168444903616151,152.395784802,1128.15407684,8.30345672029e-11,1.6950738522e-08,5.9916893116e-13,-7.46015181024e-11,-8.95337178148e-09,-6.91420228363e-13,6.70249309618e-11,1.998119424
1588168445005829370,152.395784804,1128.15407684,7.55639107519e-11,1.60541406194e-08,5.29929549433e-13,-6.78895872248e-11,-8.48419866185e-09,-6.00342692225e-13,6.09946695321e-11,2.100332544
1588168445103432194,152.395784806,1128.15407684,6.88078001798e-11,1.52098258045e-08,4.7018575402e-13,-6.1819632339e-11,-8.04211744897e-09,-4.87205924476e-13,5.55411843758e-11,2.19793536
1588168445203804382,152.395784807,1128.15407684,6.26223202327e-11,1.44051565703e-08,4.21437446048e-13,-5.62623543483e-11,-7.62054510919e-09,-4.18955018247e-13,5.05483081428e-11,2.298307584
1588168445303310675,152.395784808,1128.15407684,5.70055336128e-11,1.36443818693e-08,3.79612304387e-13,-5.12160127203e-11,-7.22173396008e-09,-3.50857472416e-13,4.60144770879e-11,2.39781376
1588168445403630000,152.39578481,1128.15407684,5.18834732129e-11,1.29221437338e-08,3.4452341187e-13,-4.6614152513e-11,-6.84290327538e-09,-2.82639254882e-13,4.18799855025e-11,2.498133248
1588168445506354800,152.395784811,1128.15407684,4.72090927425e-11,1.22359501272e-08,3.16180873349e-13,-4.24145055007e-11,-6.48276979288e-09,-2.37038036768e-13,3.81068579689e-11,2.600857856
1588168445604319056,152.395784812,1128.15407684,4.29820260789e-11,1.15898716275e-08,2.92557455573e-13,-3.86167427525e-11,-6.14349402065e-09,-1.91717518597e-13,3.46947989741e-11,2.698822144
1588168445704558412,152.395784814,1128.15407684,3.91060202669e-11,1.09732422374e-08,2.73314553055e-13,-3.51343868394e-11,-5.81949932715e-09,-1.46074016598e-13,3.15661138144e-11,2.799061504
1588168445804575271,152.395784815,1128.15407684,3.56065656302e-11,1.03936085584e-08,2.58765291188e-13,-3.19903392755e-11,-5.51477013249e-09,-1.0078027822e-13,2.87413781167e-11,2.8990784
